Player,Nation,Pos,Secondary_Pos,Born
Axel Disasi,fr FRA,DF,,1998
Djené,tg TOG,DF,,1991
Koffi Djidji,ci CIV,DF,,1992
Koffi Djidji,ci CIV,DF,,1992
Alexander Djiku,gh GHA,DF,,1994
Papy Djilobodji,sn SEN,DF,FW,1988
Berat Djimsiti,al ALB,DF,,1993
Johan Djourou,ch SUI,DF,,1987
Matt Doherty,ie IRL,DF,MF,1992
Keagan Dolly,za RSA,FW,,1993
Giulio Donati,it ITA,DF,,1990
Ji Dong-won,kr KOR,FW,MF,1991
Anastasios Donis,gr GRE,FW,MF,1996
Godfred Donsah,gh GHA,MF,,1996
Riccardo Doratiotto,it ITA,FW,,1999
Gabriel Dos Santos,br BRA,DF,,1997
Mathieu Dossevi,tg TOG,FW,MF,1988
Abdoulaye Doucouré,fr FRA,MF,,1993
Cheick Doukouré,ci CIV,MF,,1992
Moussa Doumbia,ml MLI,FW,MF,1994
Seydou Doumbia,ci CIV,FW,,1987
Souleyman Doumbia,ci CIV,DF,,1996
Aleksandar Dragović,at AUT,DF,,1991
Julian Draxler,de GER,MF,FW,1993
Luke Dreher,eng ENG,MF,,1998
Josip Drmić,ch SUI,FW,,1992
Óscar Duarte,cr CRC,DF,MF,1989
Rubén Duarte,es ESP,DF,,1995
Leo Dubois,fr FRA,DF,,1994
Marvin Ducksch,de GER,FW,,1994
Ondrej Duda,sk SVK,MF,,1994
Shane Duffy,ie IRL,DF,,1992
Demeaco Duhaney,eng ENG,DF,,1998
Paul Dummett,wal WAL,DF,,1991
Alfred Duncan,gh GHA,MF,,1993
Lewis Dunk,eng ENG,DF,,1991
Erik Durm,de GER,DF,,1992
Jimmy Durmaz,se SWE,MF,FW,1989
Riza Durmisi,dk DEN,DF,MF,1994
Hugo Duro,es ESP,MF,FW,1999
Raphael Dwamena,gh GHA,FW,,1995
Paulo Dybala,ar ARG,FW,MF,1993
Edin Džeko,ba BIH,FW,,1986
Blerim Džemaili,ch SUI,MF,,1986
Félix Eboa Eboa,cm CMR,DF,,1997
Dennis Eckert,de GER,FW,,1997
Bruno Ecuele Manga,ga GAB,DF,,1988
Simone Edera,it ITA,FW,MF,1997
Simone Edera,it ITA,FW,,1997
Johannes Eggestein,de GER,FW,MF,1998
Maximilian Eggestein,de GER,MF,,1996
Albin Ekdal,se SWE,MF,,1989
Josip Elez,hr CRO,DF,,1994
Harvey Elliot,eng ENG,MF,,2003
Mohamed Elneny,eg EGY,MF,,1992
Aritz Elustondo,es ESP,DF,,1994
Gorka Elustondo,es ESP,MF,,1987
Nico Elvedi,ch SUI,DF,,1996
Rodrigo Ely,br BRA,DF,,1993
Mohamed Elyounoussi,no NOR,MF,FW,1994
Adri Embarba,es ESP,FW,MF,1992
Breel Embolo,ch SUI,FW,,1997
Emerson,br BRA,DF,,1999
Youssef En-Nesyri,ma MAR,FW,,1997
Björn Engels,be BEL,DF,,1994
Sergi Enrich,es ESP,FW,,1990
Javier Eraso,es ESP,MF,FW,1990
Christian Eriksen,dk DEN,MF,FW,1992
Patrick Erras,de GER,MF,,1995
Gonzalo Escalante,ar ARG,MF,,1993
Sergio Escudero,es ESP,DF,MF,1989
Bernardo Espinosa,co COL,DF,,1989
Alexander Esswein,de GER,FW,MF,1990
Beñat Etxebarria,es ESP,MF,,1987
Xabier Etxeita,es ESP,DF,,1987
Lucas Evangelista,br BRA,FW,MF,1995
Jonny Evans,nir NIR,DF,,1988
Ewerton,br BRA,DF,,1989
Valentin Eysseric,fr FRA,FW,MF,1992
Valentin Eysseric,fr FRA,MF,FW,1992
Marco Fabián,mx MEX,FW,,1989
Fabinho,br BRA,MF,,1993
Fábio,br BRA,DF,,1990
Cesc Fàbregas,es ESP,MF,,1987
Cesc Fàbregas,es ESP,MF,,1987
Romain Faivre,fr FRA,MF,FW,1998
Fayçal Fajr,ma MAR,MF,,1988
Radamel Falcao,co COL,FW,,1986
Diego Falcinelli,it ITA,FW,,1991
Simon Falette,gn GUI,DF,,1992
Iago Falque,es ESP,FW,MF,1990
Paolo Faragò,it ITA,MF,DF,1993
Mohamed Fares,dz ALG,DF,MF,1996
Diego Farias,br BRA,FW,,1990
Diego Farias,br BRA,FW,,1990
Andrea Favilli,it ITA,FW,MF,1997
Federico Fazio,ar ARG,DF,,1987
Zouhair Feddal,ma MAR,DF,,1989
Nabil Fekir,fr FRA,MF,,1993
Yassin Fekir,fr FRA,FW,,1997
Felipe,br BRA,DF,,1987
Luiz Felipe,br BRA,DF,,1997
Ohis Felix Uduokhai,de GER,DF,,1997
Marouane Fellaini,be BEL,MF,,1987
Kiko Femenía,es ESP,DF,,1991
Edimilson Fernandes,ch SUI,MF,,1996
Gelson Fernandes,ch SUI,MF,,1986
Borja Fernández,es ESP,MF,DF,1981
Federico Fernández,ar ARG,DF,,1989
Joaquín Fernández,es ESP,DF,MF,1996
Fernandinho,br BRA,MF,,1985
Juan Ferney Otero,co COL,FW,MF,1995
Alex Ferrari,it ITA,DF,,1994
David Ferreiro,es ESP,FW,MF,1988
Facundo Ferreyra,ar ARG,FW,MF,1991
Jordan Ferri,fr FRA,MF,,1992
Jordan Ferri,fr FRA,MF,,1992
Oliver Fink,de GER,MF,,1982
Alfreð Finnbogason,is ISL,FW,,1989
Roberto Firmino,br BRA,FW,MF,1991
Junior Firpo,es ESP,DF,MF,1996
Mathieu Flamini,fr FRA,MF,,1984
Sergio Floccari,it ITA,FW,,1981
Alessandro Florenzi,it ITA,DF,FW,1991
Phil Foden,eng ENG,MF,,2000
Guessouma Fofana,fr FRA,MF,,1992
Guessouma Fofana,fr FRA,MF,,1992
Seko Fofana,ci CIV,MF,,1995
Wesley Fofana,fr FRA,DF,,2000
Youssouf Fofana,fr FRA,MF,,1999
Thomas Foket,be BEL,DF,,1994
Thomas Fontaine,mg MAD,DF,MF,1991
José Fonte,pt POR,DF,,1983
Rui Fonte,pt POR,FW,,1990
Pablo Fornals,es ESP,MF,FW,1996
Emil Forsberg,se SWE,MF,FW,1991
Steven Fortes,cv CPV,DF,,1992
Iver Fossum,no NOR,MF,FW,1996
Timothy Fosu-Mensah,nl NED,DF,,1998
Dimitri Foulquier,fr FRA,MF,FW,1993
Juan Foyth,ar ARG,DF,,1998
Raphael Framberger,de GER,DF,MF,1995
Simon Francis,eng ENG,DF,,1985
Mike Frantz,de GER,MF,FW,1986
Ryan Fraser,sco SCO,MF,FW,1994
Fred,br BRA,MF,,1993
Ryan Fredericks,eng ENG,DF,,1992
Remo Freuler,ch SUI,MF,,1992
Nicolas Frey,fr FRA,DF,,1984
Marco Friedl,at AUT,DF,,1998
Alexander Fuchs,de GER,MF,,1997
Christian Fuchs,at AUT,DF,,1986
Javi Fuego,es ESP,MF,,1984
Angelo Fulgini,fr FRA,MF,FW,1996
Niclas Füllkrug,de GER,FW,,1993
Ramiro Funes Mori,ar ARG,DF,MF,1991
Manolo Gabbiadini,it ITA,FW,MF,1991
Manolo Gabbiadini,it ITA,FW,,1991
Mijat Gaćinović,rs SRB,MF,,1995
Gianluca Gaetano,it ITA,FW,,2000
Roberto Gagliardini,it ITA,MF,,1994
Riccardo Gagliolo,se SWE,DF,,1990
Milan Gajić,rs SRB,DF,,1996
Javi Galán,es ESP,DF,MF,1994
Sam Gallagher,eng ENG,FW,,1995
Álex Gallar,es ESP,MF,FW,1992
Enric Gallego,es ESP,FW,,1986
Álex Gálvez,es ESP,DF,,1989
Kévin Gameiro,fr FRA,FW,,1987
Idrissa Gana Gueye,sn SEN,MF,,1989
Ignatius Ganago,cm CMR,FW,,1999
Cristian Ganea,ro ROU,MF,,1992
Ganso,br BRA,MF,FW,1989
Ezequiel Garay,ar ARG,DF,,1986
Borja Garcés,es ESP,FW,MF,1999
Aleix García,es ESP,MF,,1997
Álvaro García,es ESP,FW,MF,1992
Borja García,es ESP,FW,MF,1990
Dani García,es ESP,MF,,1990
Javi García,es ESP,DF,MF,1987
Manu García,es ESP,MF,,1986
Manu García,es ESP,MF,,1998
Raúl García,es ESP,DF,,1989
Raúl García,es ESP,DF,,1989
Raúl García,es ESP,MF,FW,1986
Sergio García,es ESP,FW,MF,1983
James Garner,eng ENG,MF,,2001
Mario Gaspar,es ESP,DF,,1990
Marcello Gazzola,it ITA,DF,MF,1985
Jean-Philippe Gbamin,ci CIV,MF,,1995
Theodor Gebre Selassie,cz CZE,DF,,1986
Dennis Geiger,de GER,MF,FW,1998
Jérémy Gélin,fr FRA,DF,MF,1997
Romain Genevois,ht HAI,DF,,1987
Christian Gentner,de GER,MF,,1985
Yannick Gerhardt,de GER,MF,,1994
Valère Germain,fr FRA,FW,,1990
Gerson,br BRA,MF,FW,1997
Gervinho,ci CIV,FW,,1987
Willem Geubbels,fr FRA,MF,,2001
Lamine Ghezali,fr FRA,FW,MF,1999
Rachid Ghezzal,dz ALG,FW,MF,1992
Paolo Ghiglione,it ITA,MF,DF,1997
Saman Ghoddos,ir IRN,FW,MF,1993
Faouzi Ghoulam,dz ALG,DF,,1991
Emanuele Giaccherini,it ITA,MF,FW,1985
Morgan Gibbs-White,eng ENG,MF,FW,2000
Ben Gibson,eng ENG,DF,,1993
Niko Gießelmann,de GER,DF,,1991
Daniel Ginczek,de GER,FW,,1991
Matthias Ginter,de GER,DF,,1994
Andrei Girotto,br BRA,MF,,1992
Olivier Giroud,fr FRA,FW,,1986
Kamil Glik,pl POL,DF,,1988
Serge Gnabry,de GER,FW,MF,1995
Joris Gnagnon,fr FRA,DF,MF,1997
Eddy Gnahoré,fr FRA,MF,,1993
Massimo Gobbi,it ITA,DF,,1980
Kevin Goden,de GER,DF,FW,1999
Diego Godín,uy URU,DF,,1986
Edoardo Goldaniga,it ITA,DF,,1993
Aleksandr Golovin,ru RUS,MF,FW,1996
André Gomes,pt POR,MF,,1993
Angel Gomes,eng ENG,MF,FW,2000
Ibai Gómez,es ESP,FW,,1989
Ibai Gómez,es ESP,MF,FW,1989
Joe Gomez,eng ENG,DF,,1997
Mario Gómez,de GER,FW,,1985
Maxi Gómez,uy URU,FW,,1996
Moi Gómez,es ESP,MF,,1994
Papu Gómez,ar ARG,MF,FW,1988
Sergi Gómez,es ESP,DF,,1992
Maxime Gonalons,fr FRA,MF,,1989
Anthony Gonçalves,fr FRA,MF,FW,1986
Jérôme Gondorf,de GER,MF,FW,1988
Álvaro González,es ESP,DF,,1990
Bruno González,es ESP,DF,,1990
Cristo González,es ESP,FW,,1997
Giancarlo González,cr CRC,DF,,1988
Nicolás González,ar ARG,FW,MF,1998
Jon Gorenc Stanković,si SVN,MF,DF,1996
Leon Goretzka,de GER,MF,,1995
Mirko Gori,it ITA,MF,,1993
Andoni Gorosabel,es ESP,DF,,1996
Robin Gosens,de GER,DF,MF,1994
Dan Gosling,eng ENG,MF,,1990
Felix Götze,de GER,MF,,1998
Mario Götze,de GER,FW,MF,1992
Prince-Désir Gouano,fr FRA,DF,,1993
Yoann Gourcuff,fr FRA,MF,FW,1986
Jeffrey Gouweleeuw,nl NED,DF,,1991
Paolo Gozzi Iweru,it ITA,DF,,2001
Max Gradel,ci CIV,FW,MF,1987
Jonathan Gradit,fr FRA,DF,,1992
Samuel Grandsir,fr FRA,FW,MF,1996
Samuel Grandsir,fr FRA,FW,MF,1996
Álex Granell,es ESP,MF,DF,1988
Esteban Granero,es ESP,MF,,1987
Karlan Grant,eng ENG,FW,MF,1997
Alberto Grassi,it ITA,MF,,1995
Andre Gray,jm JAM,FW,,1991
Demarai Gray,eng ENG,FW,MF,1996
Mason Greenwood,eng ENG,FW,,2001
Michael Gregoritsch,at AUT,MF,FW,1994
Clément Grenier,fr FRA,MF,,1991
Antoine Griezmann,fr FRA,FW,,1991
Vincenzo Grifo,it ITA,MF,FW,1993
Vincenzo Grifo,it ITA,MF,FW,1993
Florian Grillitsch,at AUT,MF,,1995
Jérémy Grimm,fr FRA,MF,,1987
Pascal Groß,de GER,MF,,1991
Sergej Grubac,me MNE,FW,MF,2000
Marko Grujić,rs SRB,MF,,1996
Andrés Guardado,mx MEX,MF,DF,1986
Sergi Guardiola,es ESP,FW,,1991
Sergi Guardiola,es ESP,MF,FW,1991
Metehan Güçlü,tr TUR,FW,,1999
Gonçalo Guedes,pt POR,MF,FW,1996
Mattéo Guendouzi,fr FRA,MF,,1999
Javi Guerra,es ESP,FW,MF,1982
Raphaël Guerreiro,pt POR,FW,DF,1993
Francis Guerrero,es ESP,DF,MF,1996
Ander Guevara,es ESP,MF,,1997
Makhtar Gueye,sn SEN,FW,MF,1997
John Guidetti,se SWE,FW,,1992
Josuha Guilavogui,fr FRA,MF,,1990
Frederic Guilbert,fr FRA,DF,,1994
Baptiste Guillaume,be BEL,FW,,1995
Sehrou Guirassy,fr FRA,FW,,1996
Manuel Gulde,de GER,DF,,1991
Gerard Gumbau,es ESP,MF,,1994
İlkay Gündoğan,de GER,MF,,1990
Aron Gunnarsson,is ISL,MF,,1989
Christian Günter,de GER,DF,,1993
Koray Günter,de GER,DF,,1994
Serdar Gürler,tr TUR,FW,MF,1991
Ahmet Gürleyen,de GER,DF,,1999
Gorka Guruzeta,es ESP,FW,MF,1996
Luiz Gustavo,br BRA,MF,DF,1987
Jonathan de Guzmán,nl NED,MF,,1987
Janik Haberer,de GER,MF,FW,1994
Hacen,mr MTN,FW,,1997
Alexander Hack,de GER,DF,,1993
Munir El Haddadi,ma MAR,FW,,1995
Munir El Haddadi,ma MAR,FW,MF,1995
Oussama Haddadi,tn TUN,DF,MF,1992
Florent Hadergjonaj,xk KVX,DF,MF,1994
Benjamin Hadžić,ba BIH,FW,MF,1999
André Hahn,de GER,FW,MF,1990
Amadou Haidara,ml MLI,MF,,1998
Oualid El Hajjam,ma MAR,DF,MF,1991
Achraf Hakimi,ma MAR,DF,,1998
Sébastien Haller,ci CIV,FW,,1994
Emil Hallfreðsson,is ISL,MF,,1984
Emil Hallfreðsson,is ISL,MF,,1984
Marcel Halstenberg,de GER,DF,,1991
Romain Hamouma,fr FRA,FW,MF,1987
Marek Hamšík,sk SVK,MF,,1987
Dávid Hancko,sk SVK,DF,,1997
Genki Haraguchi,jp JPN,MF,DF,1991
Féthi Harek,dz ALG,DF,,1982
Amine Harit,ma MAR,MF,FW,1997
Martin Harnik,at AUT,FW,MF,1987
Kadeem Harris,eng ENG,MF,FW,1993
Makoto Hasebe,jp JPN,DF,MF,1984
Hans Hateboer,nl NED,DF,MF,1994
Kai Havertz,de GER,MF,FW,1999
Isaac Hayden,eng ENG,MF,,1995
Eden Hazard,be BEL,FW,,1991
Thorgan Hazard,be BEL,FW,DF,1993
Rhys Healey,wal WAL,FW,MF,1994
Dominique Heintz,de GER,DF,,1993
Filip Helander,se SWE,DF,,1993
Jordan Henderson,eng ENG,MF,,1990
Jeff Hendrick,ie IRL,MF,FW,1992
Rouwen Hennings,de GER,FW,,1987
Benjamin Henrichs,de GER,DF,,1997
Benjamin Henrichs,de GER,DF,MF,1997
Dalbert Henrique,br BRA,DF,,1993
Uche Henry Agbo,ng NGA,MF,,1995
Christophe Hérelle,mq MTQ,DF,,1992
Mario Hermoso,es ESP,DF,,1995
Javier Hernández,mx MEX,FW,,1988
Lucas Hernández,fr FRA,DF,,1996
Theo Hernández,fr FRA,DF,,1997
Ander Herrera,es ESP,MF,,1989
Yangel Herrera,ve VEN,MF,DF,1998
Patrick Herrmann,de GER,FW,DF,1991
Pablo Hervías,es ESP,FW,MF,1993
Pablo Hervías,es ESP,MF,,1993
Përparim Hetemaj,fi FIN,MF,,1986
Son Heung-min,kr KOR,FW,MF,1992
Gonzalo Higuaín,ar ARG,FW,,1987
Gonzalo Higuaín,ar ARG,FW,,1987
Oscar Hiljemark,se SWE,MF,,1992
Vitorino Hilton,br BRA,DF,,1977
Martin Hinteregger,at AUT,DF,,1992
Martin Hinteregger,at AUT,DF,,1992
Andrew Hjulsager,dk DEN,MF,FW,1995
Wesley Hoedt,nl NED,DF,,1994
Wesley Hoedt,nl NED,DF,,1994
André Hoffmann,de GER,DF,MF,1993
Nicolas Höfler,de GER,MF,,1990
Jonas Hofmann,de GER,MF,,1992
Jonathan Hogg,eng ENG,MF,,1988
Junior Hoilett,ca CAN,FW,MF,1990
Rob Holding,eng ENG,DF,,1995
José Holebas,gr GRE,DF,,1984
Lucas Höler,de GER,FW,MF,1994
Mason Holgate,eng ENG,DF,,1996
Gerrit Holtmann,de GER,FW,MF,1995
Justin Hoogma,nl NED,DF,MF,1998
Branimir Hrgota,se SWE,FW,,1993
Benjamin Hübner,de GER,DF,,1989
Tomáš Hubočan,sk SVK,DF,,1985
Callum Hudson-Odoi,eng ENG,FW,,2000
Will Hughes,eng ENG,MF,FW,1995
Vitor Hugo,br BRA,DF,,1991
Mats Hummels,de GER,DF,,1988
Adrien Hunou,fr FRA,FW,MF,1994
Emerson Hyndman,us USA,MF,,1996
Elseid Hysaj,al ALB,DF,,1994
Suk Hyun-jun,kr KOR,FW,,1991
Pierre Højbjerg,dk DEN,MF,,1995
Simone Iacoponi,it ITA,DF,,1987
Robert Ibáñez,es ESP,DF,FW,1993
Roger Ibanez,br BRA,FW,,1998
Jordon Ibe,eng ENG,MF,FW,1995
Vedad Ibišević,ba BIH,FW,,1984
Vicente Iborra,es ESP,MF,FW,1988
Vicente Iborra,es ESP,MF,,1988
Didier Ibrahim Ndong,ga GAB,MF,,1994
Mauro Icardi,ar ARG,FW,,1993
Edgar Ié,pt POR,DF,,1994
Edgar Ié,pt POR,DF,,1994
Borja Iglesias,es ESP,FW,,1993
Kelechi Iheanacho,ng NGA,FW,MF,1996
Jordan Ikoko,cd COD,DF,,1994
Jonathan Ikone,fr FRA,MF,FW,1998
Ivo Iličević,hr CRO,MF,,1986
Josip Iličić,si SVN,FW,MF,1988
Asier Illarramendi,es ESP,MF,,1990
Stefan Ilsanker,at AUT,DF,MF,1989
Giannelli Imbula,cd COD,MF,,1992
Ciro Immobile,it ITA,FW,,1990
Emmanuel Imorou,bj BEN,DF,,1988
Svante Ingelsson,se SWE,MF,DF,1998
Roberto Inglese,it ITA,FW,,1991
Danny Ings,eng ENG,FW,,1992
Lorenzo Insigne,it ITA,FW,MF,1991
Emiliano Insúa,ar ARG,DF,,1989
Pablo Insua,es ESP,DF,,1993
Takashi Inui,jp JPN,MF,FW,1988
Takashi Inui,jp JPN,FW,MF,1988
Artur Ioniță,md MDA,MF,,1990
Carlos Isaac,es ESP,DF,,1998
Isco,es ESP,MF,FW,1992
Mikael Ishak,se SWE,FW,,1993
Wilson Isidor,fr FRA,FW,,2000
Gian-Luca Itter,de GER,DF,,1999
Manuel Iturra,cl CHI,MF,,1984
Ander Iturraspe,es ESP,MF,,1989
Ivi,es ESP,MF,FW,1994
Alex Iwobi,ng NGA,FW,MF,1996
José Izquierdo,co COL,MF,FW,1992
Armando Izzo,it ITA,DF,,1992
Koo Ja-cheol,kr KOR,MF,FW,1989
Lukas Jäger,at AUT,MF,,1994
Phil Jagielka,eng ENG,DF,MF,1982
Alireza Jahanbakhsh,ir IRN,FW,MF,1993
Christophe Jallet,fr FRA,DF,MF,1983
Christoph Janker,de GER,MF,FW,1985
Marko Janković,me MNE,MF,DF,1995
Jakub Jankto,cz CZE,MF,,1996
Daryl Janmaat,nl NED,DF,,1989
Vincent Janssen,nl NED,FW,,1994
Tony Jantschke,de GER,DF,,1990
Adnan Januzaj,be BEL,FW,MF,1995
Nicolas Janvier,fr FRA,MF,,1998
Paweł Jaroszyński,pl POL,DF,MF,1994
Jason,es ESP,MF,DF,1994
Dennis Jastrzembski,pl POL,DF,MF,2000
Assil Jaziri,tn TUN,FW,MF,1999
Corentin Jean,fr FRA,FW,MF,1995
Benjamin Jeannot,fr FRA,FW,,1992
Tin Jedvaj,hr CRO,DF,,1995
Jemerson,br BRA,DF,MF,1992
Carl Jenkinson,eng ENG,DF,,1992
Fredrik Jensen,fi FIN,FW,MF,1997
Mathias Jensen,dk DEN,MF,FW,1996
Jesé,es ESP,FW,MF,1993
Gabriel Jesus,br BRA,FW,,1997
Juan Jesus,br BRA,DF,,1991
Raúl Jiménez,mx MEX,FW,,1991
Joaquín,es ESP,FW,DF,1981
Joelinton,br BRA,FW,MF,1996
Aron Jóhannsson,us USA,MF,,1990
Stefan Johansen,no NOR,MF,,1991
Jakob Johansson,se SWE,MF,,1990
Ben Johnson,eng ENG,DF,,2000
Fabian Johnson,us USA,DF,FW,1987
Tyreke Johnson,eng ENG,FW,,1998
Jonathas,br BRA,FW,,1989
Phil Jones,eng ENG,DF,,1992
Jony,es ESP,MF,FW,1991
Joan Jordán,es ESP,MF,,1994
Bruno Jordão,pt POR,MF,,1998
Jorginho,it ITA,MF,,1991
Willian José,br BRA,FW,,1991
Joselu,es ESP,FW,,1990
Evens Joseph,fr FRA,FW,MF,1999
Diogo Jota,pt POR,FW,MF,1996
Vukašin Jovanović,rs SRB,DF,,1996
Stevan Jovetić,me MNE,MF,FW,1989
Luka Jović,rs SRB,FW,MF,1997
Jozabed,es ESP,MF,,1991
Miguel Juan Llambrich,es ESP,DF,,1996
Juanfran,es ESP,DF,,1988
Juanfran,es ESP,DF,,1985
Juanmi,es ESP,FW,MF,1993
Juanpe,es ESP,DF,,1991
Juanpi,ve VEN,MF,FW,1994
Nathaël Julan,fr FRA,FW,MF,1996
Christopher Jullien,fr FRA,DF,,1993
David Juncà,es ESP,DF,,1993
Sebastian Jung,de GER,DF,,1990
Hamed Junior Traorè,ci CIV,MF,,2000
Vinicius Júnior,br BRA,FW,,2000
Musa Juwara,gm GAM,FW,,2001
Mathias Jørgensen,dk DEN,DF,,1990
Sory Kaba,gn GUI,FW,MF,1995
Ozan Kabak,tr TUR,DF,,2000
Christian Kabasele,be BEL,DF,,1991
Elias Kachunga,cd COD,FW,MF,1992
Pavel Kadeřábek,cz CZE,DF,MF,1992
Shinji Kagawa,jp JPN,MF,,1989
Florian Kainz,at AUT,FW,,1992
Gaël Kakuta,cd COD,MF,FW,1991
Nikola Kalinić,hr CRO,FW,,1988
Salomon Kalou,ci CIV,FW,MF,1985
Samuel Kalu,ng NGA,FW,,1997
François Kamano,gn GUI,FW,MF,1996
Aboubakar Kamara,mr MTN,FW,MF,1995
Boubacar Kamara,fr FRA,DF,,1999
Hassane Kamara,fr FRA,DF,FW,1994
Marcin Kamiński,pl POL,DF,,1992
Patrick Kammerbauer,de GER,FW,,1997
Kevin Kampl,si SVN,MF,,1990
Harry Kane,eng ENG,FW,,1993
Wilfried Kanga,fr FRA,FW,,1998
Lee Kangin,kr KOR,FW,MF,2001
N'Golo Kanté,fr FRA,MF,,1991
Wilfrid Kaptoum,cm CMR,MF,,1996
Kenan Karaman,tr TUR,FW,MF,1994
Yann Karamoh,fr FRA,FW,MF,1998
Yann Karamoh,fr FRA,MF,,1998
Ibrahim Karamoko,fr FRA,MF,,2001
Rick Karsdorp,nl NED,DF,,1995
Grigoris Kastanos,cy CYP,MF,,1998
Beram Kayal,il ISR,MF,,1988
Moise Kean,it ITA,FW,,2000
Michael Keane,eng ENG,DF,,1993
Neeskens Kebano,cd COD,FW,MF,1992
Thilo Kehrer,de GER,DF,,1996
Jules Keita,gn GUI,FW,MF,1998
Naby Keïta,gn GUI,MF,,1995
Keko,es ESP,MF,FW,1991
Martin Kelly,eng ENG,DF,,1990
Marc-Oliver Kempf,de GER,DF,,1995
Kenedy,br BRA,MF,FW,1996
Jonjoe Kenny,eng ENG,DF,,1997
Christophe Kerbrat,fr FRA,DF,,1986
Sebastian Kerk,de GER,MF,FW,1994
Franck Kessié,ci CIV,MF,,1996
Saîf-Eddine Khaoui,tn TUN,MF,FW,1995
Wahbi Khazri,tn TUN,FW,MF,1991
Rani Khedira,de GER,DF,MF,1994
Sami Khedira,de GER,MF,,1987
Isaac Kiese Thelin,se SWE,FW,,1992
Kike,es ESP,FW,,1989
Max Kilman,eng ENG,DF,,1997
Joshua Kimmich,de GER,DF,MF,1995
Presnel Kimpembe,fr FRA,DF,,1995
Joshua King,no NOR,FW,,1992
Sofian Kiyine,ma MAR,MF,DF,1997
Simon Kjær,dk DEN,DF,,1989
Davy Klaassen,nl NED,MF,,1993
Felix Klaus,de GER,FW,MF,1992
Ragnar Klavan,ee EST,DF,,1985
Tim Kleindienst,de GER,FW,,1995
Lukas Klostermann,de GER,DF,,1996
Justin Kluivert,nl NED,FW,,1999
Lukas Klünter,de GER,DF,,1996
Robin Knoche,de GER,DF,,1992
Anthony Knockaert,fr FRA,FW,MF,1991
Törles Knöll,de GER,FW,,1997
Robin Koch,de GER,MF,DF,1996
Kenan Kodro,ba BIH,FW,MF,1993
Dominik Kohr,de GER,MF,,1994
Djégui Koita,fr FRA,DF,,1999
Koke,es ESP,MF,,1992
Aleksandar Kolarov,rs SRB,DF,,1985
Sead Kolašinac,ba BIH,DF,,1993
Randal Kolo Muani,fr FRA,FW,MF,1998
Timothée Kolodziejczak,fr FRA,DF,,1991
Vincent Kompany,be BEL,DF,,1986
Ghislain Konan,ci CIV,DF,,1995
Ibrahima Konaté,fr FRA,DF,,1999
Moussa Konaté,sn SEN,FW,,1993
Geoffrey Kondogbia,cf CTA,MF,,1993
Kouadio Koné,fr FRA,MF,,2001
Lamine Koné,ci CIV,DF,,1989
Youssouf Koné,ml MLI,DF,,1995
Terence Kongolo,nl NED,DF,,1994
Yevhen Konoplyanka,ua UKR,FW,,1989
Pascal Köpke,de GER,FW,MF,1995
Julian Korb,de GER,DF,,1992
Laurent Koscielny,fr FRA,DF,,1985
Filip Kostić,rs SRB,DF,MF,1992
Christian Kouakou,ci CIV,FW,,1991
Christian Kouamé,ci CIV,FW,MF,1997
Kalidou Koulibaly,sn SEN,DF,,1991
Jules Koundé,fr FRA,DF,,1998
Cheikhou Kouyaté,sn SEN,MF,,1989
Mateo Kovačić,hr CRO,MF,,1994
Dawid Kownacki,pl POL,FW,,1997
Dawid Kownacki,pl POL,MF,FW,1997
Emil Krafth,se SWE,DF,,1994
Luka Krajnc,si SVN,DF,,1994
Andrej Kramarić,hr CRO,MF,FW,1991
Christoph Kramer,de GER,MF,,1991
Vasyl Kravets,ua UKR,DF,,1997
Ladislav Krejčí,cz CZE,MF,DF,1992
Rene Krhin,si SVN,MF,,1990
Toni Kroos,de GER,MF,,1990
Rade Krunić,ba BIH,MF,,1993
Max Kruse,de GER,FW,MF,1988
Lukas Kübler,de GER,DF,,1992
Yuya Kubo,jp JPN,FW,MF,1993
Juraj Kucka,sk SVK,MF,,1987
Dejan Kulusevski,se SWE,DF,MF,2000
Pierre Kunde,cm CMR,MF,,1995
Jasmin Kurtić,si SVN,MF,,1989
Layvin Kurzawa,fr FRA,DF,MF,1992
Rafał Kurzawa,pl POL,FW,MF,1993
Ahmed Kutucu,tr TUR,FW,MF,2000
Enock Kwateng,fr FRA,DF,,1997
Grejohn Kyei,fr FRA,FW,,1995
Antonino La Gumina,it ITA,FW,,1996
Rajiv van La Parra,nl NED,MF,FW,1991
Gaëtan Laborde,fr FRA,FW,,1994
Gaëtan Laborde,fr FRA,FW,MF,1994
Alexandre Lacazette,fr FRA,FW,,1991
Víctor Laguardia,es ESP,DF,,1989
Abdou Lahat Diakhate,sn SEN,FW,,1998
Konrad Laimer,at AUT,MF,DF,1997
Diego Lainez,mx MEX,MF,FW,2000
Kenny Lala,fr FRA,DF,MF,1991
Adam Lallana,eng ENG,MF,FW,1988
Érik Lamela,ar ARG,FW,MF,1992
Mohamed Lamine Diaby,fr FRA,FW,,2001
Loïck Landre,fr FRA,DF,,1992
Michael Lang,ch SUI,DF,,1991
Sebastian Langkamp,de GER,DF,,1988
Manuel Lanzini,ar ARG,MF,,1993
Gianluca Lapadula,pe PER,FW,MF,1990
Aymeric Laporte,fr FRA,DF,,1994
Danilo Larangeira,br BRA,DF,,1984
Johan Larsson,se SWE,DF,,1990
