,Player,Nation,Born
183,Ross Barkley,eng ENG,1993.0
184,Aymen Barkok,ma MAR,1998.0
185,Ashley Barnes,eng ENG,1989.0
186,Harvey Barnes,eng ENG,1997.0
187,Antonio Barragán,es ESP,1987.0
188,Antonio Barreca,it ITA,1995.0
189,Édgar Barreto,py PAR,1984.0
190,Barri,es ESP,1995.0
191,Musa Barrow,gm GAM,1998.0
192,Gareth Barry,eng ENG,1981.0
193,Fin Bartels,de GER,1987.0
194,Kyle Bartley,eng ENG,1991.0
195,Marc Bartra,es ESP,1991.0
197,Andrea Barzagli,it ITA,1981.0
198,Daniele Baselli,it ITA,1992.0
199,Nicolas Basin,fr FRA,1998.0
200,Dušan Basta,rs SRB,1984.0
201,Gil Bastião Dias,pt POR,1996.0
203,Samuel Bastien,be BEL,1996.0
204,Borja Bastón,es ESP,1992.0
205,Alessandro Bastoni,it ITA,1999.0
206,Bastos,ao ANG,1991.0
207,Michy Batshuayi,be BEL,1993.0
209,Moritz Bauer,at AUT,1992.0
210,Robert Bauer,de GER,1995.0
211,Timo Baumgartl,de GER,1996.0
212,Julian Baumgartlinger,at AUT,1988.0
213,Jon Bautista,es ESP,1995.0
214,Paul Baysse,fr FRA,1988.0
216,Noah Joel Sarenren Bazee,ng NGA,1996.0
217,Hervé Bazile,ht HAI,1990.0
218,Riechedly Bazoer,nl NED,1996.0
219,Enrico Bearzotti,it ITA,1996.0
220,Claudio Beauvue,GPE,1988.0
221,Bebé,pt POR,1990.0
222,Ihlas Bebou,tg TOG,1994.0
223,Andreas Beck,de GER,1987.0
224,Henri Bedimo,cm CMR,1984.0
225,Jan Bednarek,pl POL,1996.0
226,Valon Behrami,ch SUI,1985.0
227,Ishak Belfodil,dz ALG,1992.0
228,Stefan Bell,de GER,1991.0
229,Karim Bellarabi,de GER,1990.0
230,Héctor Bellerín,es ESP,1995.0
231,François Bellugou,fr FRA,1987.0
232,Andrea Belotti,it ITA,1993.0
233,Chaouki Ben Saada,tn TUN,1984.0
234,Wissam Ben Yedder,fr FRA,1990.0
235,Ahmad Benali,ly LBY,1992.0
236,Yohan Benalouane,tn TUN,1987.0
237,Marco Benassi,it ITA,1994.0
238,Medhi Benatia,ma MAR,1987.0
239,Lars Bender,de GER,1989.0
240,Sven Bender,de GER,1989.0
241,László Bénes,sk SVK,1997.0
242,Nicolas Benezet,fr FRA,1991.0
243,Marcel Benger,de GER,1998.0
244,Charlison Benschop,cw CUW,1989.0
245,Ramy Bensebaini,dz ALG,1995.0
246,Nabil Bentaleb,dz ALG,1994.0
247,Rodrigo Bentancur,uy URU,1997.0
248,Christian Benteke,be BEL,1990.0
249,Karim Benzema,fr FRA,1987.0
250,Yassine Benzia,dz ALG,1994.0
251,Saido Berahino,bi BDI,1993.0
252,Domenico Berardi,it ITA,1994.0
253,Yuri Berchiche,es ESP,1990.0
254,Álex Berenguer,es ESP,1995.0
255,Bartosz Bereszyński,pl POL,1992.0
256,Jóhann Berg Guðmundsson,is ISL,1990.0
257,Markel Bergara,es ESP,1986.0
258,Emil Berggreen,dk DEN,1993.0
259,Robert Berić,si SVN,1991.0
260,Kévin Bérigaud,fr FRA,1988.0
261,Federico Bernardeschi,it ITA,1994.0
262,Bernardo,br BRA,1995.0
263,Juan Bernat,es ESP,1993.0
264,Andrea Bertolacci,it ITA,1991.0
265,Ryan Bertrand,eng ENG,1989.0
266,Muhamed Bešić,ba BIH,1992.0
267,Daniel Bessa,it ITA,1993.0
269,Vincent Bessat,fr FRA,1985.0
270,Matteo Bianchetti,it ITA,1993.0
271,Ermin Bičakčić,ba BIH,1990.0
272,Pedro Bigas,es ESP,1990.0
273,Lucas Biglia,ar ARG,1986.0
274,Philip Billing,dk DEN,1996.0
275,Jean-Claude Billong,fr FRA,1993.0
276,Davide Biondini,it ITA,1983.0
277,Cristiano Biraghi,it ITA,1992.0
278,Mame Biram Diouf,sn SEN,1987.0
279,Davide Biraschi,it ITA,1994.0
280,Valter Birsa,si SVN,1986.0
281,Milan Biševac,rs SRB,1983.0
282,Yves Bissouma,ml MLI,1996.0
283,Leonardo Bittencourt,de GER,1993.0
284,Ludovic Blas,fr FRA,1997.0
285,Pablo de Blasis,ar ARG,1988.0
286,Jérémy Blayac,fr FRA,1983.0
287,Alexis Blin,fr FRA,1996.0
288,Daley Blind,nl NED,1990.0
289,Danny Blum,de GER,1991.0
290,Emmanuel Boateng,gh GHA,1996.0
291,Jérôme Boateng,de GER,1988.0
292,Kevin-Prince Boateng,gh GHA,1987.0
293,Raúl Bobadilla,py PAR,1987.0
294,Yann Bodiger,fr FRA,1995.0
295,Mathieu Bodmer,fr FRA,1982.0
296,Jeremie Boga,ci CIV,1997.0
297,Quentin Boisgard,fr FRA,1997.0
298,Yannick Bolasie,cd COD,1989.0
299,Deian Boldor,ro ROU,1995.0
300,Giacomo Bonaventura,it ITA,1989.0
301,Federico Bonazzoli,it ITA,1997.0
303,Daniele Bonera,it ITA,1981.0
304,Gaëtan Bong,cm CMR,1988.0
305,Kevin Bonifazi,it ITA,1996.0
306,Leonardo Bonucci,it ITA,1987.0
307,Wilfried Bony,ci CIV,1988.0
308,Celso Borges,cr CRC,1988.0
309,Fabio Borini,it ITA,1991.0
310,Marco Borriello,it ITA,1982.0
311,Gabriel Boschilia,br BRA,1996.0
312,Ryad Boudebouz,dz ALG,1990.0
313,Sofiane Boufal,ma MAR,1993.0
314,Arnold Bouka Moutou,cg CGO,1988.0
315,Farid Boulaya,dz ALG,1993.0
316,Emmanuel Bourgaud,fr FRA,1987.0
317,Benjamin Bourigeaud,fr FRA,1994.0
318,Eneko Bóveda,es ESP,1988.0
320,Lucas Boyé,ar ARG,1996.0
322,Robbie Brady,ie IRL,1992.0
323,Martin Braithwaite,dk DEN,1991.0
324,Brandon,es ESP,1995.0
325,Julian Brandt,de GER,1996.0
326,Darko Brašanac,rs SRB,1992.0
327,Josip Brekalo,hr CRO,1998.0
329,Jimmy Briand,fr FRA,1985.0
330,Enrico Brignola,it ITA,1999.0
331,Miguel Britos,uy URU,1985.0
332,Leon Britton,eng ENG,1982.0
333,Petar Brlek,hr CRO,1994.0
334,John Brooks,us USA,1993.0
335,Daniel Brosinski,de GER,1988.0
336,Izzy Brown,eng ENG,1997.0
337,Marcelo Brozović,hr CRO,1992.0
338,Bruma,pt POR,1994.0
339,Jeffrey Bruma,nl NED,1991.0
340,Bruno,es ESP,1980.0
341,Chris Brunt,nir NIR,1984.0
342,Jacob Bruun Larsen,dk DEN,1998.0
344,Marcel Büchel,li LIE,1991.0
345,Ante Budimir,hr CRO,1991.0
346,Alberto Bueno,es ESP,1988.0
347,Onur Bulut,tr TUR,1994.0
348,Alessandro Buongiorno,it ITA,1999.0
349,Nicolás Burdisso,ar ARG,1981.0
350,Guido Burgstaller,at AUT,1989.0
351,Burgui,es ESP,1993.0
352,Oliver Burke,sco SCO,1997.0
353,Patrick Burner,fr FRA,1996.0
354,Dženis Burnić,de GER,1998.0
355,Sergio Busquets,es ESP,1988.0
356,Unai Bustinza,es ESP,1992.0
357,Sam Byram,eng ENG,1993.0
358,Jakub Błaszczykowski,pl POL,1985.0
359,Erick Cabaco,uy URU,1995.0
360,Yohan Cabaye,fr FRA,1986.0
361,Rémy Cabella,fr FRA,1990.0
363,Gustavo Cabral,ar ARG,1985.0
364,Leandro Cabrera,uy URU,1991.0
366,Fabrizio Cacciatore,it ITA,1986.0
367,Martín Cáceres,uy URU,1987.0
369,Cafú,pt POR,1993.0
370,Jonathan Cafu,br BRA,1991.0
371,Gary Cahill,eng ENG,1985.0
372,Yannick Cahuzac,fr FRA,1985.0
373,Felipe Caicedo,ec ECU,1988.0
374,Caiuby,br BRA,1988.0
375,Cala,es ESP,1989.0
376,Davide Calabria,it ITA,1996.0
377,Mattia Caldara,it ITA,1994.0
378,Carlos Calderón,es ESP,1995.0
379,Luca Caldirola,it ITA,1991.0
380,Hakan Çalhanoğlu,tr TUR,1994.0
381,Fabrizio Caligara,it ITA,2000.0
382,Daniel Caligiuri,it ITA,1988.0
383,José Callejón,es ESP,1987.0
384,Jonathan Calleri,ar ARG,1993.0
385,Simone Calvano,it ITA,1993.0
386,Dominic Calvert-Lewin,eng ENG,1997.0
387,Ignacio Camacho,es ESP,1990.0
388,Abdoul Camara,gn GUI,1990.0
389,Souleymane Camara,sn SEN,1982.0
390,Víctor Camarasa,es ESP,1994.0
391,Geoff Cameron,us USA,1985.0
392,José Campaña,es ESP,1993.0
393,Joel Campbell,cr CRC,1992.0
394,Tyrese Campbell,eng ENG,1999.0
395,Emre Can,de GER,1994.0
396,Sergio Canales,es ESP,1991.0
397,João Cancelo,pt POR,1994.0
399,Antonio Candreva,it ITA,1987.0
400,Paolo Cannavaro,it ITA,1981.0
401,Ander Capa,es ESP,1992.0
402,Pierrick Capelle,fr FRA,1987.0
403,Leonardo Capezzi,it ITA,1995.0
404,Étienne Capoue,fr FRA,1988.0
405,Elio Capradossi,it ITA,1996.0
406,Gianluca Caprari,it ITA,1993.0
407,Marco Capuano,it ITA,1991.0
409,Antonio Caracciolo,it ITA,1990.0
410,Diego Carlos,br BRA,1993.0
411,Lionel Carole,fr FRA,1991.0
412,Yannick Carrasco,be BEL,1993.0
413,Michael Carrick,eng ENG,1981.0
414,Daniel Carriço,pt POR,1988.0
415,André Carrillo,pe PER,1991.0
416,Guido Carrillo,ar ARG,1991.0
418,Thomas Carrique,fr FRA,1999.0
419,Andy Carroll,eng ENG,1989.0
420,Tom Carroll,eng ENG,1992.0
421,Federico Cartabia,ar ARG,1993.0
422,Dani Carvajal,es ESP,1992.0
423,Casemiro,br BRA,1992.0
424,Francesco Cassata,it ITA,1997.0
425,Timothy Castagne,be BEL,1995.0
426,Leandro Castán,br BRA,1986.0
427,Dani Castellano,es ESP,1987.0
428,Javi Castellano,es ESP,1987.0
429,Samu Castillejo,es ESP,1995.0
430,Chory Castro,uy URU,1984.0
431,Gonzalo Castro,de GER,1987.0
432,Jonny Castro,es ESP,1994.0
433,Lucas Castro,ar ARG,1989.0
434,Rubén Castro,es ESP,1981.0
435,Danilo Cataldi,it ITA,1994.0
436,Craig Cathcart,nir NIR,1989.0
437,Edinson Cavani,uy URU,1987.0
438,Marijan Ćavar,ba BIH,1998.0
439,Dani Ceballos,es ESP,1996.0
440,Federico Ceccherini,it ITA,1992.0
441,Emanuel Cecchini,ar ARG,1996.0
442,Ricardo Centurión,ar ARG,1993.0
443,Luca Ceppitelli,it ITA,1989.0
444,Fabio Ceravolo,it ITA,1987.0
445,Alessio Cerci,it ITA,1987.0
446,Boštjan Cesar,si SVN,1982.0
447,Damir Ceter,co COL,1997.0
448,Nacer Chadli,be BEL,1989.0
449,Fouad Chafik,ma MAR,1986.0
450,Nathaniel Chalobah,eng ENG,1994.0
451,Calum Chambers,eng ENG,1995.0
452,Timothy Chandler,us USA,1990.0
453,Kwon Chang-hoon,kr KOR,1994.0
454,Charles,br BRA,1984.0
455,Charly Charrier,fr FRA,1986.0
456,Pape Cheikh Diop,sn SEN,1997.0
457,Chema,es ESP,1992.0
458,Denis Cheryshev,ru RUS,1990.0
459,Raman Chibsah,gh GHA,1993.0
460,Giorgio Chiellini,it ITA,1984.0
461,Federico Chiesa,it ITA,1997.0
462,Ben Chilwell,eng ENG,1996.0
463,Vlad Chiricheș,ro ROU,1989.0
464,Hamza Choudhury,eng ENG,1997.0
465,Andreas Christensen,dk DEN,1996.0
466,Chuca,es ESP,1997.0
467,Lee Chung-yong,kr KOR,1988.0
468,Amato Ciciretti,it ITA,1993.0
469,Cifu,es ESP,1990.0
470,Luca Cigarini,it ITA,1986.0
471,Per Ciljan Skjelbred,no NOR,1987.0
472,Thiago Cionek,pl POL,1986.0
473,Saliou Ciss,sn SEN,1989.0
474,Karamoko Cissé,gn GUI,1988.0
475,Issa Cissokho,sn SEN,1985.0
476,Ciaran Clark,ie IRL,1989.0
477,Christian Clemens,de GER,1991.0
478,Tom Cleverley,eng ENG,1989.0
479,Sam Clucas,eng ENG,1990.0
480,Nathaniel Clyne,eng ENG,1991.0
481,Marcus Coco,fr FRA,1996.0
482,Massimo Coda,it ITA,1988.0
483,Isaac Cofie,gh GHA,1991.0
484,Renaud Cohade,fr FRA,1984.0
485,Coke,es ESP,1987.0
487,Emre Çolak,tr TUR,1991.0
488,Séamus Coleman,ie IRL,1988.0
489,James Collins,wal WAL,1983.0
490,Racine Coly,sn SEN,1995.0
491,Kingsley Coman,fr FRA,1996.0
492,Marvin Compper,de GER,1985.0
493,Alois Confais,fr FRA,1996.0
494,Daniel Congré,fr FRA,1985.0
495,Diego Contento,de GER,1990.0
496,Andrea Conti,it ITA,1994.0
497,Lewis Cook,eng ENG,1997.0
498,Steve Cook,eng ENG,1991.0
499,Duje Čop,hr CRO,1990.0
500,Francis Coquelin,fr FRA,1991.0
502,Sébastien Corchia,fr FRA,1990.0
503,Iñigo Córdoba,es ESP,1997.0
504,Jhon Córdoba,co COL,1993.0
505,Sergio Córdova,ve VEN,1997.0
506,Jérémy Cordoval,GPE,1990.0
507,Benjamin Corgnet,fr FRA,1987.0
508,Jack Cork,eng ENG,1989.0
509,Andreas Cornelius,dk DEN,1993.0
510,Maxwel Cornet,ci CIV,1996.0
511,Quentin Cornette,fr FRA,1994.0
512,Ángel Correa,ar ARG,1995.0
513,Joaquín Correa,ar ARG,1994.0
514,Andrea Cossu,it ITA,1980.0
515,Andrea Costa,it ITA,1986.0
516,Danny da Costa,de GER,1993.0
517,Diego Costa,es ESP,1988.0
518,Douglas Costa,br BRA,1990.0
519,Filippo Costa,it ITA,1995.0
520,Jaume Costa,es ESP,1988.0
521,Nuno da Costa,cv CPV,1991.0
522,Kalifa Coulibaly,ml MLI,1991.0
523,Lassana Coulibaly,ml MLI,1996.0
524,Philippe Coutinho,br BRA,1992.0
526,Nicolas Cozza,fr FRA,1999.0
527,Martin Cranie,eng ENG,1986.0
528,Michele Cremonesi,it ITA,1988.0
529,Aaron Cresswell,eng ENG,1989.0
530,Lorenzo Crisetig,it ITA,1993.0
531,Bryan Cristante,it ITA,1995.0
532,Sebastián Cristóforo,uy URU,1993.0
533,Enzo Crivelli,fr FRA,1995.0
535,Giovanni Crociata,it ITA,1997.0
536,Peter Crouch,eng ENG,1981.0
537,Juan Cuadrado,co COL,1988.0
538,Mickaël Cuisance,fr FRA,1999.0
539,Josh Cullen,ie IRL,1996.0
540,Patrick Cutrone,it ITA,1998.0
541,Wylan Cyprien,fr FRA,1995.0
542,Marco D'Alessandro,it ITA,1991.0
543,Danilo D'Ambrosio,it ITA,1988.0
544,Damien Da Silva,fr FRA,1988.0
545,Kouadio-Yves Dabila,ci CIV,1997.0
546,Bryan Dabo,bf BFA,1992.0
548,Mahmoud Dahoud,de GER,1996.0
549,Dario Dainelli,it ITA,1979.0
550,Felipe dal Belo,br BRA,1984.0
551,Charlie Daniels,eng ENG,1986.0
552,Danilo,br BRA,1991.0
553,Scott Dann,eng ENG,1987.0
554,Kevin Danso,at AUT,1998.0
555,Dante,br BRA,1983.0
556,Romain Danzé,fr FRA,1986.0
557,Andrea Danzi,it ITA,1999.0
558,Stéphane Darbion,fr FRA,1984.0
559,Palkó Dárdai,hu HUN,1999.0
560,Sergi Darder,es ESP,1993.0
562,Vladimír Darida,cz CZE,1990.0
563,Matteo Darmian,it ITA,1989.0
564,Ben Davies,wal WAL,1993.0
565,Tom Davies,eng ENG,1998.0
566,Steven Davis,nir NIR,1985.0
567,Salem Al-Dawsari,sa KSA,1991.0
568,Craig Dawson,eng ENG,1990.0
569,Kevin De Bruyne,be BEL,1991.0
570,Sebastien De Maio,fr FRA,1987.0
571,Rodrigo De Paul,ar ARG,1994.0
572,Daniele De Rossi,it ITA,1983.0
573,Mattia De Sciglio,it ITA,1992.0
574,Lorenzo De Silvestri,it ITA,1988.0
575,Lucas Deaux,fr FRA,1988.0
576,Mathieu Debuchy,fr FRA,1985.0
577,Troy Deeney,eng ENG,1988.0
578,Jermain Defoe,eng ENG,1982.0
579,Steven Defour,be BEL,1988.0
580,Grégoire Defrel,mq MTQ,1991.0
581,Alessandro Deiola,it ITA,1995.0
582,Lorenzo Del Pinto,it ITA,1990.0
583,Damien Delaney,ie IRL,1981.0
584,Thomas Delaney,dk DEN,1991.0
585,Jonathan Delaplace,fr FRA,1986.0
586,Cristian Dell'Orco,it ITA,1994.0
587,Andy Delort,dz ALG,1991.0
588,Fabian Delph,eng ENG,1989.0
589,Mousa Dembélé,be BEL,1987.0
590,Ousmane Dembélé,fr FRA,1997.0
591,Jessy Deminguet,fr FRA,1998.0
592,Kerem Demirbay,de GER,1993.0
593,Ermedin Demirović,ba BIH,1998.0
594,Diego Demme,de GER,1991.0
595,Fabio Depaoli,it ITA,1997.0
596,Memphis Depay,nl NED,1994.0
597,Mathieu Deplagne,fr FRA,1991.0
598,Laurent Depoitre,be BEL,1988.0
599,Mike van der Hoorn,nl NED,1992.0
600,Gregory van der Wiel,nl NED,1988.0
601,Daniele Dessena,it ITA,1987.0
602,Mattia Destro,it ITA,1991.0
603,Gerard Deulofeu,es ESP,1994.0
605,Gianluca Di Chiara,it ITA,1993.0
606,Federico Di Francesco,it ITA,1994.0
607,Davide Di Gennaro,it ITA,1988.0
608,Ángel Di María,ar ARG,1988.0
609,Franco Di Santo,ar ARG,1989.0
610,Cheick Diabaté,ml MLI,1988.0
611,Fousseni Diabaté,ml MLI,1995.0
612,Moussa Diaby,fr FRA,1999.0
613,Fallou Diagne,sn SEN,1989.0
614,Adama Diakhaby,fr FRA,1996.0
615,Mouctar Diakhaby,fr FRA,1996.0
616,Abdou Diallo,sn SEN,1996.0
617,Habib Diallo,sn SEN,1995.0
618,Mustapha Diallo,sn SEN,1986.0
619,Mohamed Diamé,sn SEN,1987.0
620,Lassana Diarra,fr FRA,1985.0
621,Amadou Diawara,gn GUI,1997.0
622,Brahim Díaz,es ESP,1999.0
623,Bakaye Dibassy,ml MLI,1989.0
624,Daniel Didavi,de GER,1990.0
625,Étienne Didot,fr FRA,1983.0
626,Adrián Diéguez,es ESP,1996.0
627,Dennis Diekmeier,de GER,1989.0
628,Eric Dier,eng ENG,1994.0
629,Lucas Digne,fr FRA,1993.0
630,Virgil van Dijk,nl NED,1991.0
632,Landry Dimata,be BEL,1997.0
633,Tristan Dingomé,cm CMR,1991.0
634,Ismaël Diomandé,ci CIV,1992.0
635,Lois Diony,fr FRA,1992.0
636,Issa Diop,fr FRA,1997.0
637,Papakouli Diop,sn SEN,1986.0
639,Assane Dioussé,sn SEN,1997.0
640,Djené,tg TOG,1991.0
641,Koffi Djidji,ci CIV,1992.0
642,Alexander Djiku,gh GHA,1994.0
643,Papy Djilobodji,sn SEN,1988.0
644,Berat Djimsiti,al ALB,1993.0
645,Keagan Dolly,za RSA,1993.0
646,Jean-Luc Dompé,fr FRA,1995.0
647,Giulio Donati,it ITA,1990.0
648,Ji Dong-won,kr KOR,1991.0
649,Anastasios Donis,gr GRE,1996.0
650,Godfred Donsah,gh GHA,1996.0
651,Dória,br BRA,1994.0
652,Niklas Dorsch,de GER,1998.0
653,Gabriel Dos Santos,br BRA,1997.0
654,Mauro dos Santos,ar ARG,1989.0
655,Mathieu Dossevi,tg TOG,1988.0
656,Abdoulaye Doucouré,fr FRA,1993.0
657,Cheick Doukouré,ci CIV,1992.0
658,Mohamed Dräger,tn TUN,1996.0
659,Aleksandar Dragović,at AUT,1991.0
661,Boukary Dramé,sn SEN,1985.0
662,Julian Draxler,de GER,1993.0
663,Danny Drinkwater,eng ENG,1990.0
664,Josip Drmić,ch SUI,1992.0
665,Rick van Drongelen,nl NED,1998.0
666,Óscar Duarte,cr CRC,1989.0
667,Rubén Duarte,es ESP,1995.0
668,Leo Dubois,fr FRA,1994.0
669,Ondrej Duda,sk SVK,1994.0
670,Shane Duffy,ie IRL,1992.0
671,Paul Dummett,wal WAL,1991.0
672,Alfred Duncan,gh GHA,1993.0
673,Lewis Dunk,eng ENG,1991.0
674,Jimmy Durmaz,se SWE,1989.0
675,Riza Durmisi,dk DEN,1994.0
676,Hugo Duro,es ESP,1999.0
