,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
26,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,33,2459,75,71.9,27.3,31,78,8,2,27,1,2.61,72,15,+57,+2.09,+0.68,60.0,18.8,+41.2,+1.51,+0.09,Matches
27,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,29,2528,87,73.9,28.1,29,87,26,0,,0,1.52,39,30,+9,+0.32,+0.12,34.6,33.2,+1.4,+0.05,+0.02,Matches
28,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,6,344,57,10.1,3.8,4,64,1,2,45,20,0.17,1,5,-4,-1.05,-0.52,3.5,5.2,-1.7,-0.44,-0.17,Matches
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,4,161,40,4.7,1.8,2,70,0,2,11,7,1.50,2,5,-3,-1.68,-1.37,1.8,4.4,-2.6,-1.44,-1.07,Matches
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,17,1075,63,31.4,11.9,12,77,7,5,30,5,1.00,10,13,-3,-0.25,+0.36,15.4,12.7,+2.7,+0.23,+0.27,Matches
31,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,80,40,2.6,0.9,1,80,0,1,0,4,1.50,0,2,-2,-2.25,-1.16,0.4,0.9,-0.5,-0.60,-0.06,Matches
32,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,30,2160,72,63.2,24.0,22,86,15,8,33,2,1.63,31,23,+8,+0.33,-0.17,31.3,32.6,-1.2,-0.05,-0.25,Matches
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,13,936,72,27.4,10.4,11,82,7,2,15,1,1.85,16,9,+7,+0.67,+0.27,14.3,12.7,+1.7,+0.16,+0.03,Matches
34,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,13,1073,83,31.4,11.9,12,88,10,1,19,4,0.85,13,18,-5,-0.42,+0.12,14.0,15.5,-1.5,-0.12,-0.24,Matches
35,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,3,57,19,1.7,0.6,0,,0,3,18,16,0.33,1,3,-2,-3.16,-3.08,0.7,1.7,-1.0,-1.62,-1.67,Matches
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,25,1531,61,44.8,17.0,18,79,6,7,16,3,1.20,22,25,-3,-0.18,-0.80,17.5,24.9,-7.4,-0.43,-0.44,Matches
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,2205,88,72.1,24.5,25,88,24,0,,0,2.28,60,35,+25,+1.02,-0.24,40.0,30.9,+9.2,+0.37,-0.63,Matches
38,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,13,1023,79,29.9,11.4,12,84,10,1,21,5,0.62,9,16,-7,-0.62,-0.05,11.6,16.0,-4.4,-0.39,-0.13,Matches
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,38,3411,90,99.7,37.9,38,90,37,0,,0,1.18,56,70,-14,-0.37,-0.37,53.2,55.7,-2.5,-0.07,+0.21,Matches
40,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,180,90,5.3,2.0,2,90,2,0,,11,0.50,3,4,-1,-0.50,+0.28,1.6,2.4,-0.8,-0.40,-0.05,Matches
41,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,16,525,33,17.2,5.8,5,66,0,11,18,5,0.94,7,12,-5,-0.86,+0.31,6.0,8.9,-2.9,-0.50,+0.05,Matches
42,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
43,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,4,313,78,10.2,3.5,4,78,3,0,,0,0.75,1,9,-8,-2.30,-1.25,2.2,8.5,-6.3,-1.82,-0.96,Matches
44,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,8,499,62,16.3,5.5,5,86,4,3,24,2,1.63,11,12,-1,-0.18,-0.85,9.8,11.7,-1.9,-0.34,-1.15,Matches
45,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,31,2530,82,82.7,28.1,29,85,24,2,27,0,2.29,71,27,+44,+1.57,-0.47,65.0,21.6,+43.4,+1.55,-0.45,Matches
46,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,25,1895,76,55.4,21.1,23,80,14,2,25,3,1.24,28,36,-8,-0.38,-0.79,23.2,36.4,-13.2,-0.63,-0.94,Matches
47,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,27,1265,47,41.3,14.1,11,83,5,16,22,6,1.70,33,16,+17,+1.21,+1.21,25.2,18.4,+6.8,+0.48,-0.10,Matches
48,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,36,2991,83,87.5,33.2,32,90,32,4,27,0,2.39,86,30,+56,+1.69,+2.10,67.4,34.3,+33.0,+0.99,+1.02,Matches
49,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,27,1990,74,58.2,22.1,25,78,9,2,20,4,1.44,30,22,+8,+0.36,+0.24,32.4,21.9,+10.5,+0.47,+0.27,Matches
50,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,20,1713,86,50.1,19.0,19,90,19,1,2,6,2.10,33,22,+11,+0.58,-0.85,34.1,19.4,+14.7,+0.77,-0.24,Matches
51,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,22,1660,75,54.2,18.4,19,85,16,3,15,6,0.55,19,44,-25,-1.36,-0.39,17.8,37.2,-19.4,-1.05,-0.22,Matches
52,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,27,1625,60,47.5,18.1,18,78,8,9,25,2,1.37,18,17,+1,+0.06,-0.04,19.6,23.1,-3.4,-0.19,-0.70,Matches
53,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,26,1211,47,39.6,13.5,11,78,3,15,23,2,2.35,42,21,+21,+1.56,+0.78,24.9,12.0,+12.9,+0.96,+0.67,Matches
54,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,25,1868,75,54.6,20.8,20,88,18,5,23,10,1.16,21,32,-11,-0.53,-0.24,19.0,26.0,-7.0,-0.34,-0.05,Matches
55,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,30,2408,80,78.7,26.8,26,89,23,4,24,0,2.53,74,21,+53,+1.98,+1.57,65.7,18.3,+47.4,+1.77,+0.71,Matches
56,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,34,2976,88,87.0,33.1,34,88,31,0,,1,1.18,29,43,-14,-0.42,+0.59,34.0,43.2,-9.2,-0.28,+0.38,Matches
57,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,34,2922,86,85.4,32.5,33,88,30,1,19,3,1.91,56,31,+25,+0.77,+0.23,48.4,37.2,+11.2,+0.34,+0.51,Matches
58,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,9,140,16,4.1,1.6,0,,0,9,15,4,0.89,0,6,-6,-3.86,-3.23,1.4,2.8,-1.5,-0.94,-0.61,Matches
59,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,1,5,5,0.1,0.1,0,,0,1,4,0,0.00,1,0,+1,+18.00,+18.03,0.1,0.0,+0.1,+0.95,+0.95,Matches
60,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,4,146,37,4.3,1.6,2,59,0,2,15,4,1.00,1,0,+1,+0.62,+0.29,0.9,1.2,-0.3,-0.16,-0.28,Matches
61,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,17,637,37,18.6,7.1,6,78,1,11,15,10,2.06,16,8,+8,+1.13,-0.36,14.5,9.7,+4.8,+0.68,-0.23,Matches
62,Alex\Alex,es ESP,GK,Atlético Madrid,es La Liga,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
63,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,2250,90,65.8,25.0,25,90,25,0,,12,1.04,24,43,-19,-0.76,+0.01,29.4,38.7,-9.2,-0.37,+0.56,Matches
64,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,1,10,10,0.3,0.1,0,,0,1,9,0,0.00,0,1,-1,-9.00,-8.87,0.0,0.4,-0.4,-3.24,-3.18,Matches
65,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,29,2462,85,72.0,27.4,27,88,20,2,40,4,2.69,67,14,+53,+1.94,+0.62,58.4,22.3,+36.1,+1.32,+0.62,Matches
66,Abdallah Ali Mohamed\Abdallah-Ali-Mohamed,km COM,DF,Marseille,fr Ligue 1,19,1999,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
67,Marco Alia\Marco-Alia,al ALB,GK,Lazio,it Serie A,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
68,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,27,1252,46,36.6,13.9,11,88,9,16,18,4,1.52,23,21,+2,+0.14,+0.27,18.0,18.5,-0.5,-0.03,+0.27,Matches
69,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,3420,90,100.0,38.0,38,90,38,0,,0,2.55,89,22,+67,+1.76,,73.6,30.0,+43.6,+1.15,,Matches
70,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,1170,90,34.2,13.0,13,90,13,0,,25,0.62,7,17,-10,-0.77,-0.01,10.2,22.3,-12.1,-0.93,-0.56,Matches
71,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,33,2616,79,76.5,29.1,28,88,26,5,29,0,2.09,57,29,+28,+0.96,-0.16,51.6,26.2,+25.3,+0.87,-0.08,Matches
72,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,4,176,44,5.8,2.0,2,69,1,2,20,3,2.00,7,2,+5,+2.56,+2.34,3.7,2.5,+1.2,+0.60,+0.48,Matches
73,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,25,1825,73,53.4,20.3,22,81,10,3,13,0,1.72,32,21,+11,+0.54,-0.42,29.8,21.1,+8.7,+0.43,+0.35,Matches
74,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,10,759,76,22.2,8.4,9,82,4,1,18,0,1.70,11,11,0,0.00,+0.20,11.6,9.2,+2.4,+0.28,+0.82,Matches
75,Julio Alonso\Julio-Alonso,es ESP,DF,Betis,es La Liga,19,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
76,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,9,536,60,15.7,6.0,6,82,4,3,14,5,1.11,8,8,0,0.00,+0.28,7.0,7.7,-0.6,-0.11,+0.34,Matches
77,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,31,2759,89,80.7,30.7,31,89,29,0,,1,1.97,52,28,+24,+0.78,+0.78,48.5,28.2,+20.2,+0.66,+0.23,Matches
78,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,11,571,52,16.7,6.3,6,91,6,5,5,11,1.00,7,16,-9,-1.42,-0.79,6.3,9.8,-3.6,-0.56,0.00,Matches
79,Diego Altamirano\Diego-Altamirano,es ESP,FW,Betis,es La Liga,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,1170,90,34.2,13.0,13,90,13,0,,25,1.08,23,22,+1,+0.08,+0.48,14.2,21.0,-6.8,-0.52,-0.20,Matches
81,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,19,1069,56,31.3,11.9,12,84,9,7,9,17,1.37,7,14,-7,-0.59,-0.70,9.8,15.6,-5.8,-0.48,-0.93,Matches
82,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,30,2613,87,76.4,29.0,30,87,28,0,,3,1.47,32,30,+2,+0.07,+0.74,31.1,30.4,+0.6,+0.02,+0.49,Matches
83,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,33,2922,89,85.4,32.5,33,89,31,0,,0,1.00,36,56,-20,-0.62,-0.62,33.4,57.5,-24.1,-0.74,-0.26,Matches
84,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,23,1622,71,47.4,18.0,19,82,12,4,17,0,2.00,45,22,+23,+1.28,-1.08,45.2,19.1,+26.1,+1.45,-0.01,Matches
85,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,1,9,9,0.3,0.1,0,,0,1,8,1,0.00,0,2,-2,-20.00,-20.59,0.1,0.9,-0.8,-7.79,-8.44,Matches
86,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,17,762,45,22.3,8.5,7,79,4,10,21,10,1.41,9,14,-5,-0.59,-1.27,12.3,11.6,+0.7,+0.09,-0.54,Matches
87,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,32,2522,79,73.7,28.0,30,83,21,2,24,2,0.88,20,46,-26,-0.93,-0.63,25.9,45.1,-19.2,-0.69,-0.48,Matches
88,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,9,641,71,18.7,7.1,7,86,6,2,19,1,1.44,10,9,+1,+0.14,+0.08,7.0,8.3,-1.3,-0.18,-0.45,Matches
89,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,31,2763,89,80.8,30.7,31,89,30,0,,3,0.77,34,60,-26,-0.85,-0.44,32.3,44.1,-11.8,-0.39,-0.16,Matches
90,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,15,1002,67,29.3,11.1,13,72,2,2,32,0,1.40,13,10,+3,+0.27,-0.10,14.5,11.4,+3.1,+0.28,+0.25,Matches
91,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,28,2177,78,63.7,24.2,24,88,20,4,19,4,1.39,40,34,+6,+0.25,+0.10,32.1,31.2,+0.9,+0.04,-0.38,Matches
92,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,2880,90,84.2,32.0,32,90,32,0,,1,1.09,31,47,-16,-0.50,+0.50,38.5,49.5,-11.0,-0.34,+0.22,Matches
93,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,13,754,58,24.6,8.4,10,69,2,3,22,4,1.85,21,8,+13,+1.55,+1.36,20.2,7.7,+12.5,+1.49,+1.15,Matches
94,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,1,2,2,0.1,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,-0.29,0.0,0.2,-0.2,-7.41,-7.46,Matches
95,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,1,3,3,0.1,0.0,0,,0,1,2,1,3.00,0,0,0,0.00,-0.74,0.0,0.0,0.0,0.00,-0.27,Matches
96,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Chelsea,eng Premier League,17,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
97,Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,es La Liga,28,1989,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
98,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,2880,90,84.2,32.0,32,90,32,0,,1,1.50,52,42,+10,+0.31,+0.48,41.6,44.2,-2.6,-0.08,-0.03,Matches
99,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,36,3043,85,89.0,33.8,36,85,25,0,,0,1.36,48,49,-1,-0.03,+0.45,44.7,54.2,-9.4,-0.28,+0.31,Matches
100,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,23,881,38,25.8,9.8,8,68,0,15,23,5,0.78,7,14,-7,-0.72,-0.08,8.0,12.3,-4.3,-0.44,+0.19,Matches
101,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,30,1988,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
102,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,30,2495,83,73.0,27.7,28,87,24,2,34,0,1.20,36,38,-2,-0.07,-0.56,36.3,34.1,+2.1,+0.08,-0.04,Matches
103,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,3,106,35,3.1,1.2,1,92,1,2,7,17,0.33,0,3,-3,-2.55,-2.14,0.2,2.3,-2.0,-1.74,-1.26,Matches
104,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,8,646,81,18.9,7.2,7,90,6,1,16,7,0.25,3,19,-16,-2.23,-1.13,3.1,11.6,-8.5,-1.18,-0.69,Matches
105,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,1,4,4,0.1,0.0,0,,0,1,3,2,0.00,0,1,-1,-22.50,-22.39,0.0,0.3,-0.3,-6.04,-6.07,Matches
106,Yhoan Andzouana\Yhoan-Andzouana,cg CGO,DFMF,Girona,es La Liga,21,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
107,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,990,90,28.9,11.0,11,90,11,0,,22,1.00,9,11,-2,-0.18,-0.22,13.6,10.0,+3.6,+0.33,+0.36,Matches
108,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Getafe,es La Liga,20,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
109,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,35,3028,87,88.5,33.6,34,88,27,1,45,1,1.31,40,43,-3,-0.09,+0.14,46.4,39.2,+7.2,+0.21,+0.50,Matches
110,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,24,1807,75,52.8,20.1,23,78,13,1,24,4,1.71,23,15,+8,+0.40,+0.01,21.4,27.2,-5.8,-0.29,-0.70,Matches
111,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,35,2133,61,62.4,23.7,22,89,19,13,14,3,1.00,26,34,-8,-0.34,-0.06,25.6,33.0,-7.4,-0.31,-0.34,Matches
112,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,3060,90,100.0,34.0,34,90,34,0,,0,0.62,31,71,-40,-1.18,,33.8,66.2,-32.4,-0.95,,Matches
113,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,13,755,58,22.1,8.4,10,67,4,3,27,8,0.92,10,18,-8,-0.95,-0.58,9.9,14.4,-4.4,-0.53,-0.38,Matches
114,Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,1,58,58,1.7,0.6,0,,0,1,57,24,1.00,0,0,0,0.00,+1.34,0.0,0.6,-0.5,-0.84,-0.22,Matches
115,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,28,1990,33,2103,64,61.5,23.4,22,84,15,11,24,2,1.30,29,30,-1,-0.04,+0.09,31.1,39.6,-8.5,-0.36,-0.13,Matches
116,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,30,1987,30,1863,62,54.5,20.7,18,89,16,12,22,6,1.13,19,36,-17,-0.82,-0.71,24.9,34.2,-9.3,-0.45,-0.26,Matches
117,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,31,1987,28,2181,78,63.8,24.2,25,86,21,3,11,3,1.57,31,21,+10,+0.41,+0.19,28.2,24.1,+4.0,+0.17,+0.17,Matches
