,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
514,Roberto Canella\Roberto-Canella,es ESP,DF,Sporting Gijón,es La Liga,28,1988,20,1751,88,51.2,19.5,20,,17,0,,10,1.00,20,27,-7,-0.36,+0.88,Matches
515,Paolo Cannavaro\Paolo-Cannavaro,it ITA,DF,Sassuolo,it Serie A,35,1981,18,1425,79,41.7,15.8,16,,15,2,,14,1.11,23,28,-5,-0.32,-0.32,Matches
516,Aitor Cantalapiedra\Aitor-Cantalapiedra,es ESP,FWMF,Villarreal,es La Liga,20,1996,1,5,5,0.1,0.1,0,,0,1,,1,1.00,0,0,0,0.00,-0.61,Matches
517,Ander Capa\Ander-Capa,es ESP,DF,Eibar,es La Liga,24,1992,31,2552,82,74.6,28.4,29,,26,2,,5,1.48,42,37,+5,+0.18,+0.18,Matches
518,Pierrick Capelle\Pierrick-Capelle,fr FRA,FWMF,Angers,fr Ligue 1,29,1987,32,1749,55,51.1,19.4,20,,8,12,,3,1.16,14,24,-10,-0.51,-0.57,Matches
519,Leonardo Capezzi\Leonardo-Capezzi,it ITA,MF,Crotone,it Serie A,21,1995,25,1637,65,47.9,18.2,18,,14,7,,11,0.92,13,30,-17,-0.93,-0.58,Matches
520,Christian Capone\Christian-Capone,it ITA,FW,Atalanta,it Serie A,17,1999,0,,,,,0,,0,0,,5,,,,,,,Matches
521,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,eng Premier League,28,1988,37,3203,87,93.7,35.6,37,,27,0,,1,1.08,35,60,-25,-0.70,+0.54,Matches
522,Gianluca Caprari\Gianluca-Caprari,it ITA,FWMF,Pescara,it Serie A,23,1993,35,3108,89,90.9,34.5,34,,31,1,,0,0.51,34,72,-38,-1.10,+0.63,Matches
523,Marco Capuano\Marco-Capuano,it ITA,DF,Cagliari,it Serie A,24,1991,12,771,64,22.5,8.6,8,,5,4,,19,0.83,14,18,-4,-0.47,+0.11,Matches
524,Àlex Carbonell\Alex-Carbonell,es ESP,MF,Barcelona,es La Liga,18,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
525,Mehdi Carcela\Mehdi-Carcela,ma MAR,MFFW,Granada,es La Liga,27,1989,22,1742,79,50.9,19.4,20,,13,2,,1,0.73,20,36,-16,-0.83,+1.10,Matches
526,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,fr Ligue 1,22,1994,36,3205,89,93.7,35.6,36,,35,0,,0,2.11,62,35,+27,+0.76,+0.76,Matches
527,Irvin Cardona\Irvin-Cardona,fr FRA,FW,Monaco,fr Ligue 1,18,1997,3,19,6,0.6,0.2,0,,0,3,,7,3.00,0,0,0,0.00,-2.01,Matches
528,Marc Cardona\Marc-Cardona,es ESP,FW,Barcelona,es La Liga,21,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
529,Cassio Cardoselli\Cassio-Cardoselli,it ITA,MF,Lazio,it Serie A,18,1998,0,,,,,0,,0,0,,4,,,,,,,Matches
530,Baily Cargill\Baily-Cargill,eng ENG,DF,Bournemouth,eng Premier League,21,1995,1,13,13,0.4,0.1,0,,0,1,,10,1.00,0,0,0,0.00,+0.32,Matches
531,Carlão\Carlao,br BRA,DF,Torino,it Serie A,30,1986,4,334,84,9.8,3.7,4,,3,0,,7,1.25,5,8,-3,-0.81,-1.04,Matches
532,José Carlos Lazo\Jose-Carlos-Lazo,es ESP,MF,Villarreal,es La Liga,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
533,Diego Carlos\Diego-Carlos,br BRA,DF,Nantes,fr Ligue 1,23,1993,34,2949,87,86.2,32.8,34,,32,0,,0,1.44,36,47,-11,-0.34,+0.24,Matches
534,José Carlos\Jose-Carlos,es ESP,DF,Betis,es La Liga,20,1996,6,494,82,14.4,5.5,6,,4,0,,2,1.17,7,7,0,0.00,+0.71,Matches
535,Carlos Carmona\Carlos-Carmona,cl CHI,MF,Atalanta,it Serie A,29,1987,2,100,50,2.9,1.1,2,,0,0,,5,0.00,1,3,-2,-1.80,-2.42,Matches
536,Carlos Carmona\Carlos-Carmona,es ESP,MFFW,Sporting Gijón,es La Liga,29,1987,25,1856,74,54.3,20.6,21,,12,4,,6,0.88,24,33,-9,-0.44,+0.77,Matches
537,Lapo Carradori\Lapo-Carradori,it ITA,DF,Empoli,it Serie A,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
538,Marco Carraro\Marco-Carraro,it ITA,MF,Inter,it Serie A,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
539,Yannick Carrasco\Yannick-Carrasco,be BEL,MFFW,Atlético Madrid,es La Liga,22,1993,35,2302,66,67.3,25.6,27,,8,8,,0,1.97,41,18,+23,+0.90,-0.71,Matches
540,Cédric Carrasso\Cedric-Carrasso,fr FRA,GK,Bordeaux,fr Ligue 1,34,1981,24,2160,90,63.2,24.0,24,,24,0,,3,1.63,38,22,+16,+0.67,+1.10,Matches
541,Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,eng Premier League,35,1981,23,1600,70,46.8,17.8,18,,14,5,,10,1.87,21,14,+7,+0.39,-0.50,Matches
542,Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,es La Liga,27,1988,6,451,75,13.2,5.0,6,,4,0,,10,1.00,6,10,-4,-0.80,-1.53,Matches
543,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Monaco,fr Ligue 1,25,1991,19,598,31,17.5,6.6,5,,4,14,,5,2.11,23,10,+13,+1.96,-0.05,Matches
544,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,eng Premier League,27,1989,18,1311,73,38.3,14.6,15,,9,3,,1,1.11,24,27,-3,-0.21,+0.39,Matches
545,Tom Carroll\Tom-Carroll,eng ENG,MF,Tottenham,eng Premier League,24,1992,1,1,1,0.0,0.0,0,,0,1,,0,3.00,0,0,0,0.00,-1.58,Matches
546,Tom Carroll\Tom-Carroll,eng ENG,MF,Swansea City,eng Premier League,24,1992,17,1387,82,40.6,15.4,16,,12,1,,0,1.53,20,18,+2,+0.13,+1.33,Matches
547,Federico Cartabia\Federico-Cartabia,ar ARG,MFFW,Valencia,es La Liga,23,1993,4,151,38,4.4,1.7,2,,0,2,,4,0.50,1,5,-4,-2.38,-2.25,Matches
548,Cameron Carter-Vickers\Cameron-Carter-Vickers,us USA,DF,Tottenham,eng Premier League,18,1997,0,,,,,0,,0,0,,16,,,,,,,Matches
549,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,24,1992,23,2018,88,59.0,22.4,21,,21,2,,7,2.09,53,24,+29,+1.29,-1.02,Matches
550,Eduardo Carvalho\Eduardo-Carvalho,pt POR,GK,Chelsea,eng Premier League,33,1982,0,,,,,0,,0,0,,2,,,,,,,Matches
551,Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,24,1992,25,1703,68,49.8,18.9,20,,14,5,,2,2.48,52,20,+32,+1.69,-0.04,Matches
552,Nacho Cases\Nacho-Cases,es ESP,MF,Sporting Gijón,es La Liga,28,1987,21,1469,70,43.0,16.3,16,,10,5,,7,0.73,19,41,-22,-1.35,-0.98,Matches
553,Kiko Casilla\Kiko-Casilla,es ESP,GK,Real Madrid,es La Liga,29,1986,11,990,90,28.9,11.0,11,,11,0,,27,2.64,33,10,+23,+2.09,+0.54,Matches
554,Leandro Castán\Leandro-Castan,br BRA,DF,Torino,it Serie A,29,1986,14,1177,84,34.4,13.1,13,,13,1,,13,1.93,28,15,+13,+0.99,+1.32,Matches
555,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,24,1992,20,1800,90,58.8,20.0,20,,20,0,,13,1.05,19,30,-11,-0.55,-0.05,Matches
556,Dani Castellano\Dani-Castellano,es ESP,DF,Las Palmas,es La Liga,28,1987,27,2105,78,61.5,23.4,25,,20,2,,3,1.22,41,42,-1,-0.04,+1.33,Matches
557,Javi Castellano\Javi-Castellano,es ESP,DFMF,Las Palmas,es La Liga,28,1987,5,102,20,3.0,1.1,0,,0,5,,3,0.00,0,1,-1,-0.88,-0.34,Matches
558,Samu Castillejo\Samu-Castillejo,es ESP,MF,Villarreal,es La Liga,21,1995,33,2044,62,59.8,22.7,24,,13,9,,1,1.67,31,19,+12,+0.53,-0.19,Matches
559,Joel Castro Pereira\Joel-Castro-Pereira,pt POR,GK,Manchester Utd,eng Premier League,20,1996,1,90,90,2.6,1.0,1,,1,0,,2,3.00,2,0,+2,+2.00,+1.38,Matches
560,Carlos Castro\Carlos-Castro,es ESP,FW,Sporting Gijón,es La Liga,21,1995,25,1027,41,30.0,11.4,10,,4,15,,8,0.92,15,32,-17,-1.49,-1.00,Matches
561,Chory Castro\Chory-Castro,uy URU,MFFW,Málaga,es La Liga,31,1984,29,1790,62,52.3,19.9,21,,10,8,,7,1.07,29,32,-3,-0.15,+0.01,Matches
562,Gonzalo Castro\Gonzalo-Castro,de GER,MF,Dortmund,de Bundesliga,29,1987,28,1921,69,62.8,21.3,23,,13,5,,1,2.04,53,24,+29,+1.36,+1.12,Matches
563,Jonny Castro\Jonny-Castro,es ESP,DF,Celta Vigo,es La Liga,22,1994,30,2221,74,64.9,24.7,23,,23,7,,3,1.37,38,47,-9,-0.36,+0.16,Matches
564,Lucas Castro\Lucas-Castro,ar ARG,MF,Chievo,it Serie A,27,1989,33,2759,84,80.7,30.7,33,,24,0,,0,1.15,37,50,-13,-0.42,+0.26,Matches
565,Rubén Castro\Ruben-Castro,es ESP,FW,Betis,es La Liga,35,1981,35,2778,79,81.2,30.9,32,,25,3,,1,0.91,34,56,-22,-0.71,-0.57,Matches
566,Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Lazio,it Serie A,21,1994,11,662,60,19.4,7.4,5,,3,6,,6,1.92,16,8,+8,+1.09,+0.60,Matches
567,Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Genoa,it Serie A,21,1994,13,931,72,27.2,10.3,10,,8,3,,4,0.69,7,24,-17,-1.64,-1.32,Matches
568,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,eng Premier League,27,1989,15,1162,77,34.0,12.9,13,,11,2,,5,1.40,17,21,-4,-0.31,+0.65,Matches
569,Lee Cattermole\Lee-Cattermole,eng ENG,MF,Sunderland,eng Premier League,28,1988,8,633,79,18.5,7.0,8,,1,0,,1,0.13,4,13,-9,-1.28,-0.28,Matches
570,Goran Čaušić\Goran-Causic,rs SRB,MF,Osasuna,es La Liga,24,1992,26,2007,77,58.7,22.3,22,,19,4,,1,0.58,21,54,-33,-1.48,-0.14,Matches
571,Pietro Cavagnaro\Pietro-Cavagnaro,it ITA,GK,Sampdoria,it Serie A,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
572,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FW,Monaco,fr Ligue 1,22,1993,2,98,49,2.9,1.1,1,,0,1,,0,2.00,3,0,+3,+2.76,+0.78,Matches
573,Edinson Cavani\Edinson-Cavani,uy URU,FW,Paris S-G,fr Ligue 1,29,1987,36,2965,82,86.7,32.9,35,,22,1,,1,2.25,75,27,+48,+1.46,-0.13,Matches
574,Dimitri Cavaré\Dimitri-Cavare,fr FRA,DF,Rennes,fr Ligue 1,21,1995,2,106,53,3.1,1.2,1,,1,1,,9,2.00,2,1,+1,+0.85,+1.04,Matches
575,Santi Cazorla\Santi-Cazorla,es ESP,MF,Arsenal,eng Premier League,31,1984,8,618,77,18.1,6.9,7,,5,1,,0,2.38,16,5,+11,+1.60,+0.90,Matches
576,Dani Ceballos\Dani-Ceballos,es ESP,MF,Betis,es La Liga,19,1996,30,2341,78,68.5,26.0,24,,22,6,,3,0.97,29,40,-11,-0.42,+0.58,Matches
577,Kike Cebriá\Kike-Cebria,es ESP,GK,Eibar,es La Liga,21,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
578,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Crotone,it Serie A,24,1992,35,3097,88,90.6,34.4,35,,33,0,,2,0.97,32,50,-18,-0.52,+1.15,Matches
579,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,eng Premier League,34,1982,35,3097,88,90.6,34.4,35,,34,0,,0,2.03,72,37,+35,+1.02,+1.57,Matches
580,Álvaro Cejudo\Alvaro-Cejudo,es ESP,MFFW,Betis,es La Liga,32,1984,17,822,48,24.0,9.1,6,,5,11,,12,1.12,13,21,-8,-0.88,-0.36,Matches
581,Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,it Serie A,26,1989,19,1689,89,49.4,18.8,19,,17,0,,3,1.21,21,36,-15,-0.80,-0.49,Matches
582,Alessio Cerci\Alessio-Cerci,it ITA,FWMF,Atlético Madrid,es La Liga,29,1987,1,17,17,0.5,0.2,0,,0,1,,7,3.00,0,0,0,0.00,-1.14,Matches
583,Michele Cerofolini\Michele-Cerofolini,it ITA,GK,Fiorentina,it Serie A,17,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
584,Alberto Cerri\Alberto-Cerri,it ITA,FW,Pescara,it Serie A,20,1996,13,697,54,20.4,7.7,7,,5,6,,7,0.54,9,15,-6,-0.77,+0.48,Matches
585,Boštjan Cesar\Bostjan-Cesar,si SVN,DF,Chievo,it Serie A,34,1982,17,1436,84,42.0,16.0,16,,14,1,,14,0.94,17,28,-11,-0.69,-0.37,Matches
586,Julien Cétout\Julien-Cetout,fr FRA,MFDF,Nancy,fr Ligue 1,28,1988,28,2332,83,68.2,25.9,27,,23,1,,8,0.86,17,39,-22,-0.85,-0.77,Matches
587,Nacer Chadli\Nacer-Chadli,be BEL,MFFW,West Brom,eng Premier League,26,1989,31,2134,69,62.4,23.7,27,,8,4,,2,1.10,27,32,-5,-0.21,0.00,Matches
588,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,fr Ligue 1,29,1986,27,2395,89,70.0,26.6,27,,23,0,,2,0.89,36,46,-10,-0.38,-0.20,Matches
589,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Chelsea,eng Premier League,21,1994,10,167,17,4.9,1.9,1,,0,9,,19,3.00,7,3,+4,+2.16,+0.83,Matches
590,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,eng Premier League,21,1995,1,90,90,2.6,1.0,1,,1,0,,2,0.00,3,4,-1,-1.00,-1.92,Matches
591,Calum Chambers\Calum-Chambers,eng ENG,DF,Middlesbrough,eng Premier League,21,1995,24,2160,90,63.2,24.0,24,,24,0,,2,0.79,17,33,-16,-0.67,+0.05,Matches
592,Nereo Champagne\Nereo-Champagne,ar ARG,GK,Leganés,es La Liga,31,1985,4,360,90,10.5,4.0,4,,4,0,,18,0.75,2,4,-2,-0.50,0.00,Matches
593,Timothy Chandler\Timothy-Chandler,us USA,MFDF,Eint Frankfurt,de Bundesliga,26,1990,32,2817,88,92.1,31.3,31,,30,1,,0,1.31,35,41,-6,-0.19,+0.18,Matches
594,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,FW,Dijon,fr Ligue 1,22,1994,8,224,28,6.5,2.5,2,,0,6,,4,1.00,1,8,-7,-2.81,-2.67,Matches
595,Clément Chantôme\Clement-Chantome,fr FRA,MF,Rennes,fr Ligue 1,28,1987,7,336,48,9.8,3.7,6,,2,1,,4,0.86,2,4,-2,-0.54,-0.42,Matches
596,Roman Chanturia\Roman-Chanturia,ge GEO,FW,Empoli,it Serie A,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
597,Charles\Charles,br BRA,FW,Málaga,es La Liga,32,1984,21,1145,55,33.5,12.7,11,,7,10,,3,1.10,11,16,-5,-0.39,-0.35,Matches
598,Paul Charruau\Paul-Charruau,fr FRA,GK,Bastia,fr Ligue 1,23,1993,1,42,42,1.2,0.5,0,,0,1,,11,0.00,1,1,0,0.00,+0.67,Matches
599,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MFFW,Celta Vigo,es La Liga,18,1997,16,580,36,17.0,6.4,5,,3,11,,11,1.06,6,15,-9,-1.40,-1.17,Matches
600,Sergei Chernik\Sergei-Chernik,by BLR,GK,Nancy,fr Ligue 1,28,1988,17,1377,81,40.3,15.3,15,,15,2,,21,0.94,12,21,-9,-0.59,+0.03,Matches
601,Nicolò Cherubin\Nicolo-Cherubin,it ITA,DF,Bologna,it Serie A,29,1986,0,,,,,0,,0,0,,2,,,,,,,Matches
602,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Villarreal,es La Liga,25,1990,11,346,31,10.1,3.8,2,,0,9,,2,1.64,1,4,-3,-0.78,-1.54,Matches
603,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,it Serie A,31,1984,21,1636,78,47.8,18.2,20,,16,1,,10,2.43,37,13,+24,+1.32,+0.01,Matches
604,Federico Chiesa\Federico-Chiesa,it ITA,MFFW,Fiorentina,it Serie A,18,1997,27,1492,55,43.6,16.6,17,,4,10,,11,1.48,27,21,+6,+0.36,+0.36,Matches
605,Ben Chilwell\Ben-Chilwell,eng ENG,DFMF,Leicester City,eng Premier League,19,1996,12,699,58,20.4,7.8,7,,7,5,,15,1.17,6,18,-12,-1.55,-1.45,Matches
606,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Napoli,it Serie A,26,1989,14,1124,80,32.9,12.5,13,,12,1,,17,2.36,34,14,+20,+1.60,+0.23,Matches
607,Ivaylo Chochev\Ivaylo-Chochev,bg BUL,MF,Palermo,it Serie A,23,1993,30,2286,76,66.8,25.4,25,,20,5,,8,0.73,19,50,-31,-1.22,-0.19,Matches
608,Michaël Chrétien\Michael-Chretien,ma MAR,DF,Nancy,fr Ligue 1,32,1984,13,1124,86,32.9,12.5,13,,10,0,,5,0.62,8,18,-10,-0.80,-0.29,Matches
609,Andreas Christensen\Andreas-Christensen,dk DEN,DF,M'Gladbach,de Bundesliga,20,1996,31,2781,90,90.9,30.9,31,,30,0,,0,1.42,45,43,+2,+0.06,+2.00,Matches
610,Max Christiansen\Max-Christiansen,de GER,MF,Ingolstadt 04,de Bundesliga,19,1996,11,443,40,14.5,4.9,4,,1,7,,15,0.55,6,7,-1,-0.20,+0.48,Matches
611,Lee Chung-yong\Lee-Chung-yong,kr KOR,MF,Crystal Palace,eng Premier League,28,1988,15,471,31,13.8,5.2,4,,0,11,,11,0.73,6,14,-8,-1.53,-1.38,Matches
612,Churripi\Churripi,es ESP,GK,Sevilla,es La Liga,22,1994,0,,,,,0,,0,0,,4,,,,,,,Matches
613,Michaël Ciani\Michael-Ciani,fr FRA,DF,Lorient,fr Ligue 1,32,1984,25,2167,87,63.4,24.1,25,,23,0,,2,1.20,31,42,-11,-0.46,+0.62,Matches
614,Michaël Ciani\Michael-Ciani,fr FRA,DF,Espanyol,es La Liga,32,1984,1,55,55,1.6,0.6,0,,0,1,,0,0.00,2,4,-2,-3.27,-3.30,Matches
615,Hikmet Ciftci\Hikmet-Ciftci,tr TUR,MF,Köln,de Bundesliga,18,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
616,Luca Cigarini\Luca-Cigarini,it ITA,MF,Sampdoria,it Serie A,30,1986,4,276,69,8.1,3.1,3,,2,1,,33,0.25,2,7,-5,-1.63,-1.60,Matches
617,Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,29,1987,26,2136,82,69.8,23.7,25,,17,1,,4,1.31,29,28,+1,+0.04,+0.53,Matches
618,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,es La Liga,27,1989,1,90,90,2.6,1.0,1,,1,0,,32,0.00,1,2,-1,-1.00,-3.16,Matches
619,Thiago Cionek\Thiago-Cionek,pl POL,DF,Palermo,it Serie A,30,1986,29,2326,80,68.0,25.8,26,,22,3,,8,0.83,21,40,-19,-0.74,+1.32,Matches
620,Gilles Cioni\Gilles-Cioni,fr FRA,DF,Bastia,fr Ligue 1,32,1984,25,2064,83,60.4,22.9,23,,21,2,,12,0.80,15,34,-19,-0.83,-0.43,Matches
621,Issa Cissokho\Issa-Cissokho,sn SEN,DF,Angers,fr Ligue 1,31,1985,13,1158,89,33.9,12.9,13,,11,0,,2,1.54,16,17,-1,-0.08,+0.24,Matches
622,Issa Cissokho\Issa-Cissokho,sn SEN,DF,Genoa,it Serie A,31,1985,0,,,,,0,,0,0,,2,,,,,,,Matches
623,Renato Civelli\Renato-Civelli,ar ARG,DF,Lille,fr Ligue 1,32,1983,13,1098,84,32.1,12.2,12,,12,1,,5,1.08,11,16,-5,-0.41,-0.33,Matches
624,Josh Clackstone\Josh-Clackstone,eng ENG,DF,Hull City,eng Premier League,19,1996,0,,,,,0,,0,0,,3,,,,,,,Matches
625,Claiton\Claiton,br BRA,DF,Crotone,it Serie A,31,1984,10,704,70,20.6,7.8,9,,5,1,,19,0.20,5,15,-10,-1.28,-0.81,Matches
626,Jordy Clasie\Jordy-Clasie,nl NED,MF,Southampton,eng Premier League,25,1991,16,1021,64,29.9,11.3,12,,3,4,,15,1.75,15,15,0,0.00,+0.26,Matches
627,Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MF,Lorient,fr Ligue 1,18,1998,0,,,,,0,,0,0,,3,,,,,,,Matches
628,Adam Clayton\Adam-Clayton,eng ENG,MF,Middlesbrough,eng Premier League,27,1989,34,2804,82,82.0,31.2,32,,28,2,,4,0.76,24,45,-21,-0.67,+0.06,Matches
629,Cléber\Cleber,br BRA,DF,Hamburger SV,de Bundesliga,25,1990,5,325,65,10.6,3.6,5,,3,0,,3,0.40,2,9,-7,-1.94,-1.25,Matches
630,Christian Clemens\Christian-Clemens,de GER,MFFW,Köln,de Bundesliga,24,1991,12,805,67,26.3,8.9,10,,3,2,,6,1.33,16,14,+2,+0.22,-0.06,Matches
631,Christian Clemens\Christian-Clemens,de GER,MF,Mainz 05,de Bundesliga,24,1991,3,188,63,6.1,2.1,2,,1,1,,3,1.33,2,3,-1,-0.48,-0.17,Matches
632,Jérémy Clément\Jeremy-Clement,fr FRA,MF,Saint-Étienne,fr Ligue 1,31,1984,5,335,67,9.8,3.7,3,,2,2,,4,1.40,6,7,-1,-0.27,-0.27,Matches
633,Carlos Clerc\Carlos-Clerc,es ESP,DFMF,Osasuna,es La Liga,24,1992,25,1948,78,57.0,21.6,22,,18,3,,5,0.52,21,53,-32,-1.48,-0.13,Matches
634,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Everton,eng Premier League,26,1989,10,406,41,11.9,4.5,4,,2,6,,8,1.30,4,9,-5,-1.11,-1.80,Matches
635,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,eng Premier League,26,1989,17,1441,85,42.1,16.0,16,,14,1,,0,1.06,17,31,-14,-0.87,-0.24,Matches
636,Gaël Clichy\Gael-Clichy,fr FRA,DF,Manchester City,eng Premier League,31,1985,25,2123,85,62.1,23.6,24,,21,1,,10,2.08,49,24,+25,+1.06,-0.05,Matches
637,Sam Clucas\Sam-Clucas,eng ENG,MF,Hull City,eng Premier League,25,1990,37,3185,86,93.1,35.4,36,,29,1,,0,0.89,33,74,-41,-1.16,-0.39,Matches
638,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,eng Premier League,25,1991,37,3323,90,97.2,36.9,37,,36,0,,0,2.03,77,41,+36,+0.98,+0.98,Matches
639,Marcus Coco\Marcus-Coco,fr FRA,MFFW,Guingamp,fr Ligue 1,20,1996,34,2612,77,76.4,29.0,31,,11,3,,0,1.26,32,36,-4,-0.14,+0.20,Matches
640,Andrea Coda\Andrea-Coda,it ITA,DF,Pescara,it Serie A,31,1985,13,999,77,29.2,11.1,12,,5,1,,11,0.38,13,29,-16,-1.44,-0.40,Matches
641,Fábio Coentrão\Fabio-Coentrao,pt POR,DF,Real Madrid,es La Liga,28,1988,3,169,56,4.9,1.9,2,,1,1,,6,3.00,5,2,+3,+1.60,-0.12,Matches
642,Isaac Cofie\Isaac-Cofie,gh GHA,MF,Genoa,it Serie A,24,1991,15,1002,67,29.3,11.1,11,,8,4,,22,1.20,16,20,-4,-0.36,+0.46,Matches
643,Renaud Cohade\Renaud-Cohade,fr FRA,MF,Metz,fr Ligue 1,31,1984,33,2782,84,81.3,30.9,32,,25,1,,0,1.12,33,59,-26,-0.84,+0.15,Matches
644,Almog Cohen\Almog-Cohen,il ISR,MF,Ingolstadt 04,de Bundesliga,27,1988,31,2494,80,81.5,27.7,29,,21,2,,2,1.03,33,45,-12,-0.43,+1.00,Matches
645,Valentin Cojocaru\Valentin-Cojocaru,ro ROU,GK,Crotone,it Serie A,20,1995,0,,,,,0,,0,0,,16,,,,,,,Matches
646,Coke\Coke,es ESP,DFMF,Schalke 04,de Bundesliga,29,1987,8,627,78,20.5,7.0,7,,5,1,,1,1.25,9,10,-1,-0.14,-0.37,Matches
647,Antonio Čolak\Antonio-Colak,hr CRO,FW,Darmstadt 98,de Bundesliga,22,1993,22,1276,58,41.7,14.2,12,,7,10,,8,0.45,13,32,-19,-1.34,-0.53,Matches
648,Emre Çolak\Emre-Colak,tr TUR,MF,La Coruña,es La Liga,25,1991,33,2462,75,72.0,27.4,29,,16,4,,4,0.88,32,39,-7,-0.26,+0.78,Matches
649,Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,eng Premier League,27,1988,26,2316,89,67.7,25.7,26,,25,0,,0,1.65,46,28,+18,+0.70,+0.70,Matches
650,James Collins\James-Collins,wal WAL,DF,West Ham,eng Premier League,32,1983,22,1655,75,48.4,18.4,19,,18,3,,9,1.27,21,29,-8,-0.44,+0.02,Matches
651,Roberto Colombo\Roberto-Colombo,it ITA,GK,Cagliari,it Serie A,40,1975,1,81,81,2.4,0.9,0,,0,1,,25,3.00,4,1,+3,+3.33,+3.98,Matches
652,Fabio Coltorti\Fabio-Coltorti,ch SUI,GK,RB Leipzig,de Bundesliga,35,1980,1,90,90,2.9,1.0,1,,1,0,,17,3.00,4,0,+4,+4.00,+3.30,Matches
653,Kingsley Coman\Kingsley-Coman,fr FRA,MFFW,Bayern Munich,de Bundesliga,20,1996,19,917,48,30.0,10.2,10,,3,9,,5,2.11,25,5,+20,+1.96,-0.01,Matches
654,Marvin Compper\Marvin-Compper,de GER,DF,RB Leipzig,de Bundesliga,31,1985,25,2098,84,68.6,23.3,25,,21,0,,1,2.12,50,21,+29,+1.24,+1.43,Matches
655,David Concha\David-Concha,es ESP,MF,Real Sociedad,es La Liga,19,1996,8,123,15,3.6,1.4,1,,0,7,,14,1.13,0,3,-3,-2.20,-2.44,Matches
656,Alessandro Confente\Alessandro-Confente,it ITA,GK,Chievo,it Serie A,18,1998,0,,,,,0,,0,0,,28,,,,,,,Matches
657,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,31,1985,24,1815,76,53.1,20.2,21,,18,3,,1,0.88,22,32,-10,-0.50,-0.05,Matches
658,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,29,1987,37,3330,90,97.4,37.0,37,,37,0,,0,1.24,57,56,+1,+0.03,+6.03,Matches
659,Diego Contento\Diego-Contento,de GER,DF,Bordeaux,fr Ligue 1,26,1990,25,2103,84,61.5,23.4,24,,22,1,,8,1.36,32,26,+6,+0.26,-0.02,Matches
660,Andrea Conti\Andrea-Conti,it ITA,MF,Atalanta,it Serie A,22,1994,33,2663,81,77.9,29.6,31,,23,2,,2,1.88,45,33,+12,+0.41,-0.66,Matches
