,,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,29,1987,37,37,3330,37.0,62,1.68,197,135,70.6,10,8,19,10,27.0,5,4,1,0,20.0,Matches
2,René Adler\Rene-Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19,19,1710,19.0,38,2.00,87,49,59.8,5,4,10,5,26.3,6,3,1,2,25.0,Matches
3,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,29,1987,16,16,1440,16.0,25,1.56,78,53,70.5,5,4,7,6,37.5,3,2,0,1,0.0,Matches
4,Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,eng Premier League,24,1992,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
5,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,29,1986,26,26,2340,26.0,51,1.96,152,101,69.1,8,3,15,5,19.2,5,4,0,1,0.0,Matches
6,Diego Alves\Diego-Alves,br BRA,GK,Valencia,es La Liga,31,1985,33,33,2970,33.0,56,1.70,159,103,67.9,11,7,15,6,18.2,11,5,4,2,44.4,Matches
7,Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,es La Liga,26,1989,13,13,1108,12.3,22,1.79,54,32,64.8,4,1,7,4,30.8,3,3,0,0,0.0,Matches
8,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Atlético Madrid,es La Liga,32,1984,9,8,771,8.6,6,0.70,34,28,82.4,5,2,1,5,62.5,0,0,0,0,,Matches
9,Markel Areitio\Markel-Areitio,es ESP,GK,Eibar,es La Liga,19,1996,1,0,47,0.5,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches
10,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,23,1993,15,14,1297,14.4,14,0.97,35,21,62.9,9,2,3,6,42.9,1,1,0,0,0.0,Matches
11,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,21,1994,23,23,2015,22.4,22,0.98,67,45,67.2,14,2,6,7,30.4,0,0,0,0,,Matches
12,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,27,1989,24,24,2104,23.4,15,0.64,89,74,84.3,10,9,4,11,45.8,2,1,1,0,50.0,Matches
13,Emil Audero\Emil-Audero,it ITA,GK,Juventus,it Serie A,19,1997,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
14,Loic Badiashile\Loic-Badiashile,fr FRA,GK,Monaco,fr Ligue 1,18,1998,1,0,45,0.5,0,0.00,2,2,150.0,1,0,0,1,,1,1,0,0,0.0,Matches
15,Diego Barrios\Diego-Barrios,es ESP,GK,Leganés,es La Liga,22,1994,1,0,63,0.7,1,1.43,2,1,50.0,0,1,0,0,,0,0,0,0,,Matches
16,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,26,1990,34,34,3060,34.0,37,1.09,150,113,76.0,16,14,4,12,35.3,3,1,1,1,50.0,Matches
17,Asmir Begović\Asmir-Begovic,ba BIH,GK,Chelsea,eng Premier League,29,1987,2,2,180,2.0,5,2.50,6,1,16.7,1,0,1,0,0.0,0,0,0,0,,Matches
18,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Wolfsburg,de Bundesliga,32,1983,14,14,1260,14.0,22,1.57,63,41,68.3,5,1,8,3,21.4,4,2,1,1,33.3,Matches
19,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,23,1993,3,2,215,2.4,1,0.42,6,5,83.3,0,2,0,1,50.0,0,0,0,0,,Matches
20,Etrit Berisha\Etrit-Berisha,al ALB,GK,Atalanta,it Serie A,27,1989,26,26,2340,26.0,26,1.00,77,51,70.1,15,7,4,11,42.3,3,3,0,0,0.0,Matches
21,Albano Bizzarri\Albano-Bizzarri,ar ARG,GK,Pescara,it Serie A,38,1977,29,29,2610,29.0,68,2.34,169,101,62.7,1,6,22,2,6.9,5,5,0,0,0.0,Matches
22,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,21,1995,11,11,990,11.0,15,1.36,53,38,81.1,5,3,3,2,18.2,5,5,0,0,0.0,Matches
