,,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
151,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,eng Premier League,23-138,1997,19,19,1710,19.0,19,1.00,61,45,72.1,5,7,7,7,36.8,3,2,0,1,0.0,Matches
152,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34-151,1986,30,30,2700,30.0,34,1.13,109,75,70.6,17,5,8,10,33.3,2,2,0,0,0.0,Matches
153,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Hertha BSC,de Bundesliga,28-307,1992,19,19,1710,19.0,33,1.74,72,44,61.1,4,6,9,5,26.3,5,5,0,0,0.0,Matches
154,Matz Sels\Matz-Sels,be BEL,GK,Strasbourg,fr Ligue 1,29-038,1992,1,1,90,1.0,2,2.00,5,4,80.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches
155,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,it Serie A,29-332,1991,29,29,2610,29.0,56,1.93,136,83,59.6,3,11,15,5,17.2,1,1,0,0,0.0,Matches
156,Rui Silva\Rui-Silva,pt POR,GK,Granada,es La Liga,27-057,1994,28,28,2520,28.0,47,1.68,113,68,61.1,10,6,12,8,28.6,8,3,4,1,57.1,Matches
157,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,it Serie A,30-034,1991,29,29,2610,29.0,34,1.17,112,82,73.2,11,8,10,7,24.1,5,4,0,1,0.0,Matches
158,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,es La Liga,23-298,1997,28,28,2520,28.0,32,1.14,78,52,65.4,9,8,11,6,21.4,6,5,1,0,16.7,Matches
159,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,de Bundesliga,33-014,1988,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
160,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,it Serie A,34-083,1987,26,26,2340,26.0,48,1.85,93,51,54.8,4,11,11,5,19.2,6,6,0,0,0.0,Matches
161,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,it Serie A,29-335,1991,21,21,1890,21.0,30,1.43,108,82,75.0,9,2,10,4,19.0,5,3,2,0,40.0,Matches
162,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32-109,1988,26,26,2340,26.0,40,1.54,99,63,64.6,10,8,8,5,19.2,5,5,0,0,0.0,Matches
163,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,28-001,1993,20,20,1800,20.0,21,1.05,59,43,71.2,4,7,9,8,40.0,5,4,1,0,20.0,Matches
164,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,28-330,1992,13,12,1105,12.3,18,1.47,42,24,57.1,8,1,3,2,16.7,1,0,1,0,100.0,Matches
165,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,eng Premier League,26-003,1995,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
166,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,26-017,1995,6,6,540,6.0,12,2.00,27,16,59.3,2,1,3,1,16.7,1,1,0,0,0.0,Matches
167,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,30-352,1990,23,23,2070,23.0,23,1.00,75,53,72.0,12,7,4,5,21.7,3,2,1,0,33.3,Matches
168,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,35-055,1986,1,1,90,1.0,3,3.00,6,4,66.7,0,1,0,0,0.0,1,1,0,0,0.0,Matches
169,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,28-340,1992,22,22,1980,22.0,18,0.82,72,57,77.8,17,3,2,9,40.9,2,2,0,0,0.0,Matches
170,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,31-028,1990,1,0,47,0.5,2,3.83,2,0,0.0,0,0,0,0,,0,0,0,0,,Matches
171,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30-271,1990,27,27,2430,27.0,37,1.37,111,79,70.3,13,11,3,3,11.1,4,4,0,0,0.0,Matches
172,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,es La Liga,32-007,1989,4,4,360,4.0,5,1.25,12,7,58.3,2,0,2,1,25.0,0,0,0,0,,Matches
173,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,es La Liga,25-190,1995,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
174,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,es La Liga,23-270,1997,12,10,971,10.8,17,1.58,41,27,63.4,2,4,4,2,20.0,2,2,0,0,0.0,Matches
175,João Virgínia\Joao-Virginia,pt POR,GK,Everton,eng Premier League,21-177,1999,1,0,48,0.5,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,0,,Matches
176,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,es La Liga,27-175,1993,9,9,810,9.0,12,1.33,28,17,60.7,3,2,4,3,33.3,1,1,0,0,0.0,Matches
177,Yoel\Yoel,es ESP,GK,Eibar,es La Liga,32-220,1988,2,1,120,1.3,1,0.75,1,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches
178,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,de Bundesliga,26-159,1994,26,26,2340,26.0,41,1.58,117,80,68.4,6,7,13,4,15.4,5,4,0,1,0.0,Matches
179,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,de Bundesliga,32-052,1989,1,0,51,0.6,1,1.76,2,2,100.0,0,0,0,0,,1,1,0,0,0.0,Matches
180,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,Spezia,it Serie A,30-089,1991,6,6,513,5.7,11,1.93,25,16,64.0,2,1,3,1,16.7,2,2,0,0,0.0,Matches

