,,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
75,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38-016,1983,22,22,1980,22.0,30,1.36,87,59,69.0,7,6,9,7,31.8,5,3,1,1,25.0,Matches
76,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,eng Premier League,22-133,1998,2,2,180,2.0,1,0.50,7,6,85.7,1,0,1,1,50.0,0,0,0,0,,Matches
77,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,de Bundesliga,23-120,1997,27,27,2430,27.0,41,1.52,124,85,69.4,10,9,8,5,18.5,5,3,2,0,40.0,Matches
78,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,22-072,1999,31,31,2790,31.0,48,1.55,133,94,70.7,5,13,13,3,9.7,11,9,1,1,10.0,Matches
79,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,de Bundesliga,36-089,1985,3,2,239,2.7,12,4.52,24,13,50.0,0,0,2,0,0.0,0,0,0,0,,Matches
80,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,24-041,1997,28,28,2520,28.0,50,1.79,136,90,67.6,9,4,15,5,17.9,7,6,1,0,14.3,Matches
81,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Lens,fr Ligue 1,35-196,1985,31,31,2784,30.9,42,1.36,107,74,67.3,13,10,8,7,22.6,8,7,1,0,12.5,Matches
82,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29-344,1991,21,21,1890,21.0,23,1.10,50,30,60.0,13,4,4,8,38.1,3,3,0,0,0.0,Matches
83,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,es La Liga,28-051,1993,26,26,2340,26.0,40,1.54,96,61,65.6,7,8,11,6,23.1,8,7,1,0,12.5,Matches
84,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,29-032,1992,29,29,2591,28.8,34,1.18,103,73,68.0,12,6,11,8,27.6,2,1,1,0,50.0,Matches
85,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,34-100,1986,30,30,2700,30.0,32,1.07,107,84,76.6,14,7,9,10,33.3,7,7,0,0,0.0,Matches
86,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,de Bundesliga,27-251,1993,2,1,135,1.5,3,2.00,8,5,62.5,0,1,0,0,0.0,0,0,0,0,,Matches
87,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,30-186,1990,31,31,2790,31.0,31,1.00,101,76,73.3,17,10,4,10,32.3,7,4,2,1,33.3,Matches
88,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,26-113,1994,19,18,1637,18.2,25,1.37,66,47,66.7,10,3,5,4,22.2,3,3,0,0,0.0,Matches
89,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,34-026,1987,24,24,2138,23.8,32,1.35,85,57,67.1,8,10,6,5,20.8,4,4,0,0,0.0,Matches
90,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,25-128,1995,31,31,2790,31.0,19,0.61,85,67,78.8,19,9,3,17,54.8,1,1,0,0,0.0,Matches
91,Radosław Majecki\Radoslaw-Majecki,pl POL,GK,Monaco,fr Ligue 1,21-140,1999,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
92,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36-008,1985,30,30,2700,30.0,34,1.13,94,63,66.0,13,9,8,8,26.7,2,2,0,0,0.0,Matches
93,Vito Mannone\Vito-Mannone,it ITA,GK,Monaco,fr Ligue 1,33-034,1988,9,9,810,9.0,14,1.56,30,18,60.0,5,1,3,2,22.2,2,2,0,0,0.0,Matches
94,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,38-057,1983,3,3,244,2.7,7,2.58,13,6,46.2,0,1,2,0,0.0,0,0,0,0,,Matches
95,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,eng Premier League,28-215,1992,29,29,2610,29.0,31,1.07,131,101,78.6,13,5,11,14,48.3,4,3,1,0,25.0,Matches
96,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,32-092,1989,18,18,1620,18.0,25,1.39,71,48,69.0,4,7,7,2,11.1,3,3,0,0,0.0,Matches
97,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,31-123,1989,25,25,2250,25.0,48,1.92,113,70,61.9,7,6,12,7,28.0,5,5,0,0,0.0,Matches
98,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Rennes,fr Ligue 1,29-035,1992,1,1,90,1.0,1,1.00,1,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches
99,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,eng Premier League,29-035,1992,25,25,2250,25.0,21,0.84,64,45,70.3,12,7,6,14,56.0,2,2,0,0,0.0,Matches
100,Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,24-014,1997,13,13,1170,13.0,20,1.54,53,36,66.0,8,2,3,4,30.8,2,2,0,0,0.0,Matches
101,Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,eng Premier League,21-034,2000,29,29,2610,29.0,47,1.62,148,109,73.0,13,3,13,9,31.0,8,7,1,0,12.5,Matches
102,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,it Serie A,24-044,1997,2,2,180,2.0,4,2.00,10,7,70.0,0,1,1,0,0.0,1,1,0,0,0.0,Matches
103,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,it Serie A,37-271,1983,11,11,973,10.8,16,1.48,39,24,64.1,5,3,3,4,36.4,3,2,1,0,33.3,Matches
104,Lorenzo Montipò\Lorenzo-Montipo,it ITA,GK,Benevento,it Serie A,25-044,1996,29,29,2610,29.0,54,1.86,130,81,60.8,7,9,13,7,24.1,3,3,0,0,0.0,Matches
105,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,35-082,1986,29,29,2610,29.0,42,1.45,100,61,62.0,8,9,12,9,31.0,4,4,0,0,0.0,Matches
106,Florian Müller\Florian-Muller,de GER,GK,Freiburg,de Bundesliga,23-143,1997,27,27,2430,27.0,41,1.52,137,99,71.5,10,7,10,5,18.5,3,2,1,0,33.3,Matches
107,Juan Musso\Juan-Musso,ar ARG,GK,Udinese,it Serie A,26-334,1994,27,27,2430,27.0,34,1.26,105,77,73.3,7,9,11,8,29.6,6,6,0,0,0.0,Matches
108,Paul Nardi\Paul-Nardi,fr FRA,GK,Lorient,fr Ligue 1,26-322,1994,18,18,1620,18.0,37,2.06,87,54,60.9,3,3,12,2,11.1,4,3,0,1,0.0,Matches
109,Keylor Navas\Keylor-Navas,cr CRC,GK,Paris S-G,fr Ligue 1,34-111,1986,23,23,2025,22.5,15,0.67,68,53,79.4,16,2,5,13,56.5,2,1,1,0,50.0,Matches
110,Neto\Neto,br BRA,GK,Barcelona,es La Liga,31-260,1989,6,6,540,6.0,6,1.00,19,14,78.9,2,2,2,2,33.3,2,2,0,0,0.0,Matches
111,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,de Bundesliga,35-009,1986,27,27,2430,27.0,35,1.30,107,72,68.2,20,4,3,7,25.9,2,1,0,1,0.0,Matches
112,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,es La Liga,28-088,1993,29,29,2610,29.0,19,0.66,89,74,79.8,20,6,3,14,48.3,3,1,2,0,66.7,Matches
113,Robin Olsen\Robin-Olsen,se SWE,GK,Everton,eng Premier League,31-087,1990,5,5,450,5.0,8,1.60,20,12,65.0,2,1,2,1,20.0,1,1,0,0,0.0,Matches
114,Jonas Omlin\Jonas-Omlin,ch SUI,GK,Montpellier,fr Ligue 1,27-085,1994,27,27,2313,25.7,42,1.63,116,85,73.3,10,8,9,2,7.4,11,11,0,0,0.0,Matches
115,Stefan Ortega\Stefan-Ortega,de GER,GK,Arminia,de Bundesliga,28-150,1992,27,27,2430,27.0,46,1.70,145,103,71.0,6,5,16,6,22.2,5,4,1,0,20.0,Matches
116,David Ospina\David-Ospina,co COL,GK,Napoli,it Serie A,32-217,1988,15,15,1350,15.0,12,0.80,35,26,74.3,10,0,5,7,46.7,3,3,0,0,0.0,Matches
117,Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,Metz,fr Ligue 1,32-260,1988,27,27,2428,27.0,27,1.00,89,67,75.3,11,8,8,7,25.9,6,5,1,0,16.7,Matches
118,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,es La Liga,28-322,1992,29,29,2610,29.0,47,1.62,117,72,62.4,5,8,16,6,20.7,3,3,0,0,0.0,Matches
119,Alberto Paleari\Alberto-Paleari,it ITA,GK,Genoa,it Serie A,28-219,1992,2,1,116,1.3,3,2.33,8,4,62.5,0,0,1,0,0.0,0,0,0,0,,Matches
120,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,eng Premier League,33-049,1988,29,29,2609,29.0,38,1.31,103,73,68.9,9,8,12,8,27.6,7,6,1,0,14.3,Matches
121,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,28-356,1992,27,27,2430,27.0,39,1.44,112,77,67.0,7,9,11,5,18.5,4,2,2,0,50.0,Matches
122,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,eng Premier League,24-158,1996,1,1,90,1.0,5,5.00,7,2,28.6,0,0,1,0,0.0,0,0,0,0,,Matches
123,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,it Serie A,40-011,1981,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
124,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,fr Ligue 1,38-152,1982,1,1,90,1.0,2,2.00,5,2,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
125,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,de Bundesliga,35-339,1985,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
126,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,es La Liga,24-264,1996,1,1,90,1.0,0,0.00,3,2,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
127,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,it Serie A,28-146,1992,25,25,2249,25.0,31,1.24,111,83,76.6,7,10,8,6,24.0,5,5,0,0,0.0,Matches
128,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33-143,1987,1,1,90,1.0,1,1.00,7,5,85.7,0,1,0,0,0.0,0,0,0,0,,Matches
129,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,eng Premier League,27-029,1994,23,23,2022,22.5,29,1.29,97,69,72.2,12,3,8,6,26.1,3,2,0,1,0.0,Matches
130,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,eng Premier League,28-351,1992,29,29,2610,29.0,35,1.21,138,106,76.8,8,9,12,9,31.0,3,3,0,0,0.0,Matches
131,Ivan Provedel\Ivan-Provedel,it ITA,GK,Spezia,it Serie A,27-019,1994,22,22,1980,22.0,39,1.77,88,54,61.4,5,7,10,4,18.2,6,5,1,0,16.7,Matches
132,Anthony Racioppi\Anthony-Racioppi,ch SUI,GK,Dijon,fr Ligue 1,22-095,1998,21,21,1890,21.0,33,1.57,93,63,67.7,2,6,13,3,14.3,4,3,1,0,25.0,Matches
133,Rafael\Rafael,br BRA,GK,Spezia,it Serie A,39-033,1982,2,1,117,1.3,3,2.31,9,6,66.7,0,0,1,1,100.0,0,0,0,0,,Matches
134,Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,Reims,fr Ligue 1,25-156,1995,30,30,2655,29.5,37,1.25,124,91,72.6,9,12,9,8,26.7,6,3,2,1,40.0,Matches
135,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,eng Premier League,22-326,1998,30,30,2700,30.0,52,1.73,160,112,69.4,4,2,24,2,6.7,4,3,0,1,0.0,Matches
136,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,eng Premier League,33-328,1987,2,2,180,2.0,2,1.00,5,3,60.0,1,0,1,1,50.0,0,0,0,0,,Matches
137,Federico Ravaglia\Federico-Ravaglia,it ITA,GK,Bologna,it Serie A,21-145,1999,2,2,180,2.0,6,3.00,10,4,40.0,0,0,2,0,0.0,0,0,0,0,,Matches
138,Pepe Reina\Pepe-Reina,es ESP,GK,Lazio,it Serie A,38-217,1982,22,22,1980,22.0,26,1.18,78,57,73.1,14,3,5,7,31.8,5,5,0,0,0.0,Matches
139,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,es La Liga,26-012,1995,28,28,2520,28.0,28,1.00,71,45,63.4,12,9,7,11,39.3,3,2,1,0,33.3,Matches
140,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Nîmes,fr Ligue 1,30-159,1990,31,31,2790,31.0,58,1.87,151,97,65.6,8,5,18,7,22.6,9,6,2,1,25.0,Matches
141,Sergio Rico\Sergio-Rico,es ESP,GK,Paris S-G,fr Ligue 1,27-216,1993,8,7,675,7.5,6,0.80,28,23,78.6,4,1,2,5,71.4,0,0,0,0,,Matches
142,Roberto\Roberto,es ESP,GK,Valladolid,es La Liga,35-054,1986,10,10,900,10.0,13,1.30,35,24,68.6,1,5,4,1,10.0,3,2,0,1,0.0,Matches
143,Joel Robles\Joel-Robles,es ESP,GK,Betis,es La Liga,30-292,1990,18,18,1620,18.0,25,1.39,56,37,62.5,9,2,7,6,33.3,5,4,1,0,20.0,Matches
144,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,eng Premier League,24-113,1996,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
145,Rubén\Ruben,es ESP,GKMF,Osasuna,es La Liga,36-287,1984,3,3,187,2.1,5,2.41,9,3,44.4,0,2,1,0,0.0,0,0,0,0,,Matches
146,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,eng Premier League,34-163,1986,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
147,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,28-362,1992,11,11,990,11.0,19,1.73,30,16,50.0,2,4,5,2,18.2,4,4,0,0,0.0,Matches
148,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,eng Premier League,28-362,1992,1,1,90,1.0,1,1.00,8,7,87.5,0,0,1,0,0.0,0,0,0,0,,Matches
149,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,de Bundesliga,28-244,1992,11,10,945,10.5,24,2.29,64,46,68.8,0,4,6,1,10.0,4,4,0,0,0.0,Matches
150,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,36-250,1984,15,15,1350,15.0,14,0.93,54,40,74.1,9,4,2,5,33.3,0,0,0,0,,Matches
