Player,Nation,Pos,Squad,Comp,Born,goals_allowed,penalties_alllowed,free_kicks_allowed,corners_allowed,own_goals,PSxG,PSxG_per_SoT,PSxG_difference,long_passes_cmp,long_passes_attempted,long_pass_completion,passes_attempted,throws_attempted,launch_percentage,avg_pass_length,goal_kicks_attempted,goal_kicks_long_percentage,goal_kick_len,crosses_attempted,crosses_stopped,stop_percentage,defensive_actions,AvgDist,Season
Jean-Christophe Bouet,fr FRA,GK,Amiens,fr Ligue 1,1983,1,0,0.0,0.0,0.0,1.1,0.19,0.1,2.0,15.0,13.3,12.0,2.0,58.3,48.8,8.0,100.0,62.6,11.0,3.0,27.3,0.0,18.0,2018
Yassine Bounou,ma MAR,GK,Girona,es La Liga,1991,46,4,2.0,1.0,1.0,40.8,0.28,-4.2,177.0,485.0,36.5,507.0,62.0,67.9,48.9,153.0,92.2,66.3,259.0,20.0,7.7,10.0,13.0,2018
Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,1983,1,0,0.0,0.0,0.0,1.4,0.29,0.4,2.0,7.0,28.6,49.0,8.0,8.2,25.8,4.0,75.0,52.8,14.0,0.0,0.0,3.0,18.9,2018
Alberto Brignoli,it ITA,GK,Benevento,it Serie A,1991,31,2,0.0,6.0,0.0,29.0,0.4,-2.0,92.0,266.0,34.6,374.0,61.0,51.3,43.2,103.0,71.8,56.1,144.0,25.0,17.4,16.0,17.0,2018
Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,1978,14,3,0.0,2.0,2.0,15.8,0.22,3.8,87.0,187.0,46.5,431.0,71.0,32.5,34.2,101.0,46.5,40.2,167.0,12.0,7.2,14.0,14.5,2018
Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,1990,43,2,1.0,3.0,0.0,47.9,0.33,4.9,184.0,517.0,35.6,1027.0,169.0,35.7,36.1,219.0,68.5,55.2,268.0,27.0,10.1,38.0,17.5,2018
Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,1983,22,3,1.0,1.0,1.0,20.4,0.26,-0.6,63.0,228.0,27.6,303.0,63.0,48.8,40.4,89.0,89.9,60.6,175.0,21.0,12.0,23.0,17.5,2018
Jack Butland,eng ENG,GK,Stoke City,eng Premier League,1993,61,5,0.0,10.0,2.0,57.4,0.28,-1.6,310.0,795.0,39.0,794.0,72.0,74.4,54.2,219.0,93.2,69.3,433.0,34.0,7.9,25.0,14.9,2018
Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,1981,4,0,0.0,0.0,0.0,3.3,0.33,-0.7,11.0,32.0,34.4,74.0,9.0,33.8,32.2,9.0,77.8,55.2,23.0,1.0,4.3,2.0,18.5,2018
Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,1994,16,0,1.0,1.0,1.0,13.3,0.31,-1.7,33.0,71.0,46.5,158.0,26.0,22.8,27.0,42.0,83.3,57.6,95.0,3.0,3.2,3.0,14.3,2018
Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,1986,11,0,0.0,1.0,1.0,10.5,0.37,0.5,27.0,69.0,39.1,159.0,33.0,30.8,33.8,34.0,58.8,45.6,80.0,6.0,7.5,5.0,14.9,2018
Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,1992,48,6,1.0,5.0,2.0,51.2,0.31,5.2,269.0,704.0,38.2,1026.0,198.0,49.9,41.1,270.0,71.1,55.1,298.0,35.0,11.7,22.0,13.6,2018
Petr Čech,cz CZE,GK,Arsenal,eng Premier League,1982,48,5,0.0,8.0,0.0,48.0,0.34,0.0,135.0,359.0,37.6,699.0,164.0,39.5,37.9,109.0,76.1,58.3,318.0,39.0,12.3,28.0,15.9,2018
Nereo Champagne,ar ARG,GK,Leganés,es La Liga,1985,6,1,1.0,0.0,0.0,4.1,0.36,-1.9,19.0,43.0,44.2,37.0,4.0,75.7,48.1,15.0,100.0,63.8,15.0,0.0,0.0,1.0,14.9,2018
Leandro Chichizola,ar ARG,GK,Las Palmas,es La Liga,1990,47,3,1.0,5.0,1.0,46.2,0.29,0.2,154.0,416.0,37.0,798.0,128.0,41.5,37.0,131.0,64.9,53.0,225.0,31.0,13.8,35.0,16.1,2018
Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,1989,1,0,0.0,0.0,0.0,1.3,0.18,0.3,2.0,9.0,22.2,18.0,4.0,33.3,30.1,9.0,33.3,40.8,7.0,1.0,14.3,0.0,15.0,2018
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,1987,58,2,3.0,10.0,1.0,52.1,0.29,-4.9,283.0,620.0,45.6,782.0,160.0,53.2,43.2,262.0,77.9,52.5,411.0,36.0,8.8,19.0,13.3,2018
Alex Cordaz,it ITA,GK,Crotone,it Serie A,1983,66,6,3.0,11.0,0.0,64.5,0.3,-1.5,304.0,884.0,34.4,781.0,95.0,72.3,51.6,338.0,94.4,62.3,428.0,21.0,4.9,26.0,14.4,2018
