Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Federico Brancolini,it ITA,GK,Fiorentina,it Serie A,2001.0,0,,,,,0,,0.0,0,,26,,,,,,,2019,,,,,
Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,1983.0,0,,,,,0,,0.0,0,,2,,,,,,,2019,,,,,
Gabriel Brazão,br BRA,GK,Parma,it Serie A,2000.0,0,,,,,0,,0.0,0,,12,,,,,,,2019,,,,,
Fabian Bredlow,de GER,GK,Nürnberg,de Bundesliga,1995.0,13,1128.0,87.0,36.9,12.5,12,90.0,12.0,1,47.0,19,0.64,10.0,30.0,-20.0,-1.6,-0.57,2019,11.5,17.4,-5.9,-0.47,0.31
Gianluigi Buffon,it ITA,GK,Paris S-G,fr Ligue 1,1978.0,17,1530.0,90.0,44.7,17.0,17,90.0,17.0,0,,20,2.35,50.0,18.0,32.0,1.88,0.07,2019,41.8,16.4,25.4,1.49,0.08
Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,1990.0,32,2880.0,90.0,94.1,32.0,32,90.0,32.0,0,,0,2.19,75.0,40.0,35.0,1.09,0.09,2019,54.6,36.1,18.5,0.58,0.48
Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,1983.0,36,3239.0,90.0,94.7,36.0,36,90.0,35.0,0,,0,1.17,42.0,48.0,-6.0,-0.17,-0.66,2019,45.5,45.1,0.4,0.01,-0.18
David Button,eng ENG,GK,Brighton,eng Premier League,1989.0,4,360.0,90.0,10.5,4.0,4,90.0,4.0,0,,25,1.0,4.0,5.0,-1.0,-0.25,0.46,2019,2.7,6.2,-3.5,-0.89,-0.35
Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,1981.0,2,180.0,90.0,5.3,2.0,2,90.0,2.0,0,,36,2.0,2.0,0.0,2.0,1.0,0.39,2019,2.2,0.9,1.3,0.66,0.05
Rafael Cabral,br BRA,GK,Sampdoria,it Serie A,1990.0,2,180.0,90.0,5.3,2.0,2,90.0,2.0,0,,35,2.0,2.0,0.0,2.0,1.0,0.81,2019,1.4,1.1,0.2,0.12,0.2
Marc-Aurèle Caillard,fr FRA,GK,Guingamp,fr Ligue 1,1994.0,21,1890.0,90.0,55.3,21.0,21,90.0,21.0,0,,13,0.9,16.0,34.0,-18.0,-0.86,0.44,2019,21.3,29.0,-7.8,-0.37,-0.22
Elia Caprile,it ITA,GK,Chievo,it Serie A,2001.0,0,,,,,0,,0.0,0,,15,,,,,,,2019,,,,,
Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,1994.0,3,270.0,90.0,7.9,3.0,3,90.0,3.0,0,,6,0.33,1.0,6.0,-5.0,-1.67,-1.67,2019,4.0,3.0,1.0,0.33,0.5
Johann Carrasso,fr FRA,GK,Reims,fr Ligue 1,1988.0,0,,,,,0,,0.0,0,,25,,,,,,,2019,,,,,
Matis Carvalho,pt POR,GK,Toulouse,fr Ligue 1,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,1986.0,0,,,,,0,,0.0,0,,2,,,,,,,2019,,,,,
Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,1992.0,26,2295.0,88.0,75.0,25.5,26,88.0,25.0,0,,0,1.5,40.0,39.0,1.0,0.04,-1.25,2019,34.1,35.6,-1.5,-0.06,-0.23
Petr Čech,cz CZE,GK,Arsenal,eng Premier League,1982.0,7,584.0,83.0,17.1,6.5,7,83.0,6.0,0,,29,2.14,12.0,9.0,3.0,0.46,-0.14,2019,7.8,8.6,-0.8,-0.13,-0.23
Leandro Chichizola,ar ARG,GK,Getafe,es La Liga,1990.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,37,3.0,2.0,1.0,1.0,1.0,0.68,2019,1.6,0.7,0.9,0.87,0.79
Sébastien Cibois,fr FRA,GK,Paris S-G,fr Ligue 1,1998.0,0,,,,,0,,0.0,0,,4,,,,,,,2019,,,,,
Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,1989.0,3,270.0,90.0,7.9,3.0,3,90.0,3.0,0,,27,1.33,4.0,4.0,0.0,0.0,-1.54,2019,3.9,4.2,-0.3,-0.1,-1.05
Yannis Clementia,fr FRA,GK,Nice,fr Ligue 1,1997.0,0,,,,,0,,0.0,0,,29,,,,,,,2019,,,,,
Joel Coleman,eng ENG,GK,Huddersfield,eng Premier League,1995.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,7,1.0,1.0,1.0,0.0,0.0,1.46,2019,1.1,0.6,0.5,0.52,1.47
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,1987.0,36,3213.0,89.0,93.9,35.7,36,89.0,35.0,0,,1,1.17,51.0,56.0,-5.0,-0.14,0.73,2019,44.9,54.5,-9.6,-0.27,0.3
Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,1983.0,0,,,,,0,,0.0,0,,37,,,,,,,2019,,,,,
Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,1987.0,37,3330.0,90.0,97.4,37.0,37,90.0,37.0,0,,1,1.03,33.0,42.0,-9.0,-0.24,-1.24,2019,39.4,52.6,-13.2,-0.36,-0.68
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,1992.0,27,2430.0,90.0,71.1,27.0,27,90.0,27.0,0,,5,1.67,43.0,36.0,7.0,0.26,-0.65,2019,44.0,37.2,6.8,0.25,-0.56
Alessio Cragno,it ITA,GK,Cagliari,it Serie A,1994.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.08,36.0,54.0,-18.0,-0.47,,2019,39.1,58.8,-19.6,-0.52,
Cristian,es ESP,GK,Valencia,es La Liga,1998.0,0,,,,,0,,0.0,0,,4,,,,,,,2019,,,,,
Iván Cuéllar,es ESP,GK,Leganés,es La Liga,1984.0,34,3055.0,90.0,89.3,33.9,34,90.0,33.0,0,,2,1.24,35.0,38.0,-3.0,-0.09,0.65,2019,34.3,34.6,-0.3,-0.01,0.55
Riccardo Daga,it ITA,GK,Cagliari,it Serie A,2000.0,0,,,,,0,,0.0,0,,10,,,,,,,2019,,,,,
Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,1998.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Joe Daniel Tupper,eng ENG,GK,Crystal Palace,eng Premier League,1997.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Antonio Daniele,it ITA,GK,Napoli,it Serie A,2002.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,1990.0,0,,,,,0,,0.0,0,,23,,,,,,,2019,,,,,
Mattia Del Favero,it ITA,GK,Juventus,it Serie A,1998.0,0,,,,,0,,0.0,0,,8,,,,,,,2019,,,,,
Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,1992.0,6,495.0,83.0,14.5,5.5,6,83.0,5.0,0,,16,1.83,8.0,4.0,4.0,0.73,0.76,2019,9.6,4.7,4.9,0.89,0.94
Javier Díaz,es ESP,GK,Sevilla,es La Liga,1997.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,3,0.0,0.0,1.0,-1.0,-1.0,-1.43,2019,1.1,0.9,0.2,0.16,-0.36
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,1993.0,21,1890.0,90.0,55.3,21.0,21,90.0,21.0,0,,15,0.9,23.0,35.0,-12.0,-0.57,0.43,2019,20.9,28.7,-7.8,-0.37,-0.04
Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,1992.0,24,2160.0,90.0,63.2,24.0,24,90.0,24.0,0,,5,1.38,29.0,30.0,-1.0,-0.04,0.17,2019,27.0,26.9,0.1,0.0,-0.41
Jaume Doménech,es ESP,GK,Valencia,es La Liga,1990.0,4,360.0,90.0,10.5,4.0,4,90.0,4.0,0,,31,2.0,5.0,1.0,4.0,1.0,0.65,2019,5.0,3.1,1.9,0.48,0.05
Álex Domínguez,es ESP,GK,Alavés,es La Liga,1998.0,0,,,,,0,,0.0,0,,4,,,,,,,2019,,,,,
Antonio Donnarumma,it ITA,GK,Milan,it Serie A,1990.0,0,,,,,0,,0.0,0,,37,,,,,,,2019,,,,,
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,1999.0,36,3090.0,86.0,90.4,34.3,36,86.0,34.0,0,,0,1.81,50.0,31.0,19.0,0.55,0.55,2019,41.7,35.1,6.6,0.19,-0.22
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,1997.0,3,225.0,75.0,6.6,2.5,2,90.0,2.0,1,45.0,17,1.33,2.0,2.0,0.0,0.0,-0.06,2019,2.6,2.3,0.3,0.12,-0.16
Bartłomiej Drągowski,pl POL,GK,Empoli,it Serie A,1997.0,14,1260.0,90.0,36.8,14.0,14,90.0,14.0,0,,1,1.21,22.0,24.0,-2.0,-0.14,0.57,2019,19.0,26.8,-7.7,-0.55,-0.51
Matthieu Dreyer,fr FRA,GK,Amiens,fr Ligue 1,1989.0,0,,,,,0,,0.0,0,,38,,,,,,,2019,,,,,
Jaroslav Drobný,cz CZE,GK,Düsseldorf,de Bundesliga,1979.0,2,180.0,90.0,5.9,2.0,2,90.0,2.0,0,,8,1.5,2.0,3.0,-1.0,-0.5,-0.03,2019,1.8,1.9,-0.2,-0.08,0.34
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,1989.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.18,42.0,48.0,-6.0,-0.16,,2019,38.8,52.4,-13.7,-0.36,
Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,1993.0,11,940.0,85.0,27.5,10.4,10,90.0,10.0,1,39.0,25,1.64,19.0,17.0,2.0,0.19,0.26,2019,14.5,15.1,-0.6,-0.05,-0.07
Ederson,br BRA,GK,Manchester City,eng Premier League,1993.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,2.58,95.0,23.0,72.0,1.89,,2019,81.9,25.4,56.4,1.49,
Florian Escales,fr FRA,GK,Marseille,fr Ligue 1,1996.0,0,,,,,0,,0.0,0,,6,,,,,,,2019,,,,,
Michael Esser,de GER,GK,Hannover 96,de Bundesliga,1987.0,32,2880.0,90.0,94.1,32.0,32,90.0,32.0,0,,1,0.66,29.0,66.0,-37.0,-1.16,0.34,2019,30.9,61.3,-30.4,-0.95,0.06
Neil Etheridge,ph PHI,GK,Cardiff City,eng Premier League,1990.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,0.89,34.0,69.0,-35.0,-0.92,,2019,39.8,61.8,-22.0,-0.58,
Jokin Ezkieta,es ESP,GK,Barcelona,es La Liga,1996.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,1985.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.37,52.0,55.0,-3.0,-0.08,,2019,48.9,60.8,-11.9,-0.31,
Fabricio,es ESP,GK,Fulham,eng Premier League,1987.0,2,180.0,90.0,5.3,2.0,2,90.0,2.0,0,,17,0.0,1.0,5.0,-4.0,-2.0,-0.81,2019,2.2,3.6,-1.4,-0.7,-0.03
Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,1988.0,17,1470.0,86.0,48.0,16.3,16,90.0,16.0,1,29.0,9,0.88,18.0,26.0,-8.0,-0.49,0.08,2019,21.6,24.2,-2.6,-0.16,0.08
Aitor Fernández,es ESP,GK,Levante,es La Liga,1991.0,16,1440.0,90.0,42.1,16.0,16,90.0,16.0,0,,21,1.06,25.0,24.0,1.0,0.06,0.43,2019,19.0,23.2,-4.2,-0.26,0.36
Andrés Fernández,es ESP,GK,Villarreal,es La Liga,1986.0,6,540.0,90.0,15.8,6.0,6,90.0,6.0,0,,32,1.83,9.0,7.0,2.0,0.33,0.49,2019,6.0,8.0,-2.0,-0.33,-0.3
Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,1993.0,1,90.0,90.0,2.9,1.0,1,90.0,1.0,0,,27,3.0,5.0,1.0,4.0,4.0,4.58,2019,1.2,0.9,0.3,0.28,0.69
Fraser Forster,eng ENG,GK,Southampton,eng Premier League,1988.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,4,0.0,0.0,3.0,-3.0,-3.0,-2.54,2019,0.4,1.8,-1.4,-1.36,-1.14
Alessandro Fortunato D'Andrea,it ITA,GK,Napoli,it Serie A,2000.0,0,,,,,0,,0.0,0,,14,,,,,,,2019,,,,,
Ben Foster,eng ENG,GK,Watford,eng Premier League,1983.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.32,52.0,59.0,-7.0,-0.18,,2019,47.9,54.3,-6.3,-0.17,
Pierluigi Frattali,it ITA,GK,Parma,it Serie A,1985.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,37,0.0,1.0,2.0,-1.0,-1.0,-0.49,2019,1.2,2.2,-0.9,-0.91,-0.21
Constantin Frommann,de GER,GK,Freiburg,de Bundesliga,1998.0,0,,,,,0,,0.0,0,,6,,,,,,,2019,,,,,
Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,2000.0,0,,,,,0,,0.0,0,,3,,,,,,,2019,,,,,
Andrea Fulignati,it ITA,FWGK,Empoli,it Serie A,1994.0,0,,,,,0,,0.0,0,,15,,,,,,,2019,,,,,
Andrea Fulignati,it ITA,FWGK,SPAL,it Serie A,1994.0,0,,,,,0,,0.0,0,,11,,,,,,,2019,,,,,
Alessio Furlanetto,it ITA,GK,Lazio,it Serie A,2002.0,0,,,,,0,,0.0,0,,2,,,,,,,2019,,,,,
Daniel Fuzato,br BRA,GK,Roma,it Serie A,1997.0,0,,,,,0,,0.0,0,,37,,,,,,,2019,,,,,
Alberto García,es ESP,GK,Rayo Vallecano,es La Liga,1985.0,17,1530.0,90.0,44.7,17.0,17,90.0,17.0,0,,21,0.76,18.0,35.0,-17.0,-1.0,-0.43,2019,20.0,25.7,-5.7,-0.34,0.04
Manuel Gasparini,it ITA,GK,Udinese,it Serie A,2002.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,1992.0,3,270.0,90.0,7.9,3.0,3,90.0,3.0,0,,32,2.0,4.0,2.0,2.0,0.67,-0.08,2019,5.3,3.1,2.2,0.73,0.51
David de Gea,es ESP,GK,Manchester Utd,eng Premier League,1990.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.74,65.0,54.0,11.0,0.29,,2019,59.6,47.9,11.7,0.31,
Luca Gemello,it ITA,GK,Torino,it Serie A,2000.0,0,,,,,0,,0.0,0,,2,,,,,,,2019,,,,,
Edvinas Gertmonas,lt LTU,GK,Rennes,fr Ligue 1,1996.0,0,,,,,0,,0.0,0,,9,,,,,,,2019,,,,,
Simone Ghidotti,it ITA,GK,Fiorentina,it Serie A,2000.0,0,,,,,0,,0.0,0,,6,,,,,,,2019,,,,,
Fabian Giefer,de GER,GK,Augsburg,de Bundesliga,1990.0,4,360.0,90.0,11.8,4.0,4,90.0,4.0,0,,13,1.0,6.0,7.0,-1.0,-0.25,0.38,2019,5.3,6.7,-1.4,-0.35,0.07
Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,1988.0,8,713.0,89.0,20.8,7.9,7,90.0,7.0,1,82.0,26,1.25,10.0,12.0,-2.0,-0.25,0.41,2019,9.0,10.8,-1.8,-0.23,0.18
Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,1995.0,20,1799.0,90.0,52.6,20.0,20,90.0,19.0,0,,18,1.95,40.0,21.0,19.0,0.95,0.28,2019,38.0,21.3,16.7,0.84,0.35
Heurelho Gomes,br BRA,GK,Watford,eng Premier League,1981.0,0,,,,,0,,0.0,0,,38,,,,,,,2019,,,,,
Alfred Gomis,sn SEN,GK,SPAL,it Serie A,1993.0,20,1724.0,86.0,50.4,19.2,19,90.0,19.0,1,13.0,18,0.9,15.0,27.0,-12.0,-0.63,-0.63,2019,20.9,22.4,-1.5,-0.08,0.21
Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,1990.0,4,360.0,90.0,10.5,4.0,4,90.0,4.0,0,,33,2.25,8.0,5.0,3.0,0.75,0.16,2019,7.2,3.3,3.9,0.98,0.17
Jens Grahl,de GER,GK,Stuttgart,de Bundesliga,1988.0,0,,,,,0,,0.0,0,,34,,,,,,,2019,,,,,
Lee Grant,eng ENG,GK,Manchester Utd,eng Premier League,1983.0,0,,,,,0,,0.0,0,,9,,,,,,,2019,,,,,
Stefano Greco,it ITA,GK,Roma,it Serie A,1999.0,0,,,,,0,,0.0,0,,5,,,,,,,2019,,,,,
Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,1987.0,20,1754.0,88.0,51.3,19.5,20,88.0,19.0,0,,17,1.7,32.0,23.0,9.0,0.46,1.06,2019,28.6,23.3,5.3,0.27,0.47
Guido Guerrieri,it ITA,GK,Lazio,it Serie A,1996.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,32,1.0,3.0,3.0,0.0,0.0,-0.27,2019,1.7,2.4,-0.7,-0.71,-1.1
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,1990.0,33,2925.0,89.0,95.6,32.5,33,89.0,32.0,0,,0,2.0,60.0,27.0,33.0,1.02,0.35,2019,57.8,33.9,23.8,0.73,-0.67
Angus Gunn,eng ENG,GK,Southampton,eng Premier League,1996.0,12,1080.0,90.0,31.6,12.0,12,90.0,12.0,0,,26,1.33,17.0,18.0,-1.0,-0.08,0.65,2019,14.0,16.3,-2.4,-0.2,0.08
Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,1986.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.0,31.0,52.0,-21.0,-0.55,,2019,34.6,46.5,-11.9,-0.31,
Hugo Hagege,fr FRA,GK,Monaco,fr Ligue 1,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Ben Hamer,eng ENG,GK,Huddersfield,eng Premier League,1987.0,7,552.0,79.0,16.1,6.1,7,79.0,6.0,0,,26,0.14,3.0,21.0,-18.0,-2.93,-1.81,2019,5.2,15.6,-10.4,-1.69,-0.94
Samir Handanović,si SVN,GK,Inter,it Serie A,1984.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.82,57.0,33.0,24.0,0.63,,2019,64.3,38.2,26.1,0.69,
Joe Hart,eng ENG,GK,Burnley,eng Premier League,1987.0,19,1710.0,90.0,50.0,19.0,19,90.0,19.0,0,,19,0.63,17.0,41.0,-24.0,-1.26,-1.32,2019,16.6,37.6,-21.0,-1.11,-1.09
Tom Heaton,eng ENG,GK,Burnley,eng Premier League,1986.0,19,1710.0,90.0,50.0,19.0,19,90.0,19.0,0,,19,1.47,28.0,27.0,1.0,0.05,1.32,2019,25.2,25.4,-0.2,-0.01,1.09
Wayne Hennessey,wal WAL,GK,Crystal Palace,eng Premier League,1987.0,18,1576.0,88.0,46.1,17.5,17,90.0,17.0,1,45.0,15,0.83,16.0,26.0,-10.0,-0.57,-0.96,2019,20.8,22.7,-1.9,-0.11,-0.28
Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,1988.0,31,2790.0,90.0,81.6,31.0,31,90.0,31.0,0,,1,1.48,32.0,32.0,0.0,0.0,0.57,2019,32.1,30.7,1.4,0.04,0.76
Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,1987.0,2,180.0,90.0,5.9,2.0,2,90.0,2.0,0,,31,3.0,6.0,4.0,2.0,1.0,-0.09,2019,3.7,3.5,0.2,0.1,-0.48
Ron-Thorben Hoffmann,de GER,GK,Bayern Munich,de Bundesliga,1999.0,0,,,,,0,,0.0,0,,5,,,,,,,2019,,,,,
Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,1989.0,32,2880.0,90.0,94.1,32.0,32,90.0,32.0,0,,1,1.81,68.0,47.0,21.0,0.66,2.66,2019,59.2,38.3,20.9,0.65,1.88
Jannik Huth,de GER,GK,Mainz 05,de Bundesliga,1994.0,0,,,,,0,,0.0,0,,9,,,,,,,2019,,,,,
Alessandro Iacobucci,it ITA,GK,Frosinone,it Serie A,1991.0,0,,,,,0,,0.0,0,,12,,,,,,,2019,,,,,
Salvador Ichazo,uy URU,GK,Torino,it Serie A,1992.0,3,251.0,84.0,7.3,2.8,2,91.0,2.0,1,70.0,35,1.33,4.0,2.0,2.0,0.72,0.35,2019,2.0,3.2,-1.2,-0.42,-0.5
Gorka Iraizoz,es ESP,GK,Girona,es La Liga,1981.0,7,559.0,80.0,16.3,6.2,6,90.0,6.0,1,18.0,27,0.57,4.0,10.0,-6.0,-0.97,-0.65,2019,4.0,10.7,-6.7,-1.08,-0.92
Adam Jakubech,sk SVK,GK,Lille,fr Ligue 1,1997.0,0,,,,,0,,0.0,0,,34,,,,,,,2019,,,,,
Jandrei,br BRA,GK,Genoa,it Serie A,1993.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,17,0.0,0.0,1.0,-1.0,-1.0,-0.54,2019,0.8,0.8,0.0,0.01,0.29
Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,1984.0,31,2745.0,89.0,89.7,30.5,31,89.0,30.0,0,,0,1.19,41.0,48.0,-7.0,-0.23,0.06,2019,42.2,53.3,-11.1,-0.36,-0.24
Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,1990.0,17,1530.0,90.0,44.7,17.0,17,90.0,17.0,0,,19,0.47,12.0,34.0,-22.0,-1.29,-0.44,2019,18.4,21.0,-2.6,-0.15,0.22
Aleksandar Jovanović,rs SRB,GK,Huesca,es La Liga,1992.0,12,1080.0,90.0,31.6,12.0,12,90.0,12.0,0,,20,0.58,11.0,19.0,-8.0,-0.67,-0.13,2019,15.6,16.2,-0.6,-0.05,0.35
Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,1996.0,0,,,,,0,,0.0,0,,31,,,,,,,2019,,,,,
Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,1994.0,1,45.0,45.0,1.5,0.5,0,,0.0,1,45.0,16,3.0,2.0,1.0,1.0,2.0,1.76,2019,0.9,0.4,0.6,1.11,1.25
Loris Karius,de GER,GK,Liverpool,eng Premier League,1993.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Orestis Karnezis,gr GRE,GK,Napoli,it Serie A,1985.0,9,810.0,90.0,23.7,9.0,9,90.0,9.0,0,,29,2.22,21.0,7.0,14.0,1.56,0.73,2019,16.8,8.5,8.3,0.92,0.04
Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,1983.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,6,3.0,1.0,0.0,1.0,1.0,0.76,2019,0.9,1.5,-0.6,-0.56,-0.38
Thorsten Kirschbaum,de GER,GK,Leverkusen,de Bundesliga,1987.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Patric Klandt,de GER,GK,Nürnberg,de Bundesliga,1983.0,0,,,,,0,,0.0,0,,6,,,,,,,2019,,,,,
Jonathan Klinsmann,us USA,GK,Hertha BSC,de Bundesliga,1997.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Gregor Kobel,ch SUI,GK,Hoffenheim,de Bundesliga,1997.0,1,90.0,90.0,2.9,1.0,1,90.0,1.0,0,,12,3.0,3.0,1.0,2.0,2.0,1.52,2019,1.9,1.7,0.2,0.22,-0.41
Gregor Kobel,ch SUI,GK,Augsburg,de Bundesliga,1997.0,16,1389.0,87.0,45.4,15.4,16,87.0,15.0,0,,0,0.88,18.0,42.0,-24.0,-1.56,-1.77,2019,13.6,27.0,-13.4,-0.87,-0.82
Hervé Koffi,bf BFA,GK,Lille,fr Ligue 1,1996.0,0,,,,,0,,0.0,0,,4,,,,,,,2019,,,,,
Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,1992.0,33,2925.0,89.0,85.5,32.5,32,90.0,32.0,1,45.0,5,1.24,47.0,48.0,-1.0,-0.03,-0.76,2019,42.4,44.1,-1.6,-0.05,-0.94
Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,1988.0,4,315.0,79.0,10.3,3.5,3,90.0,3.0,1,45.0,26,1.5,8.0,9.0,-1.0,-0.29,-0.06,2019,5.8,6.2,-0.4,-0.12,0.24
Titas Krapikas,lt LTU,GK,Sampdoria,it Serie A,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Tomasz Kucz,pl POL,GK,Leverkusen,de Bundesliga,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,2019,,,,,
Alban Lafont,fr FRA,GK,Fiorentina,it Serie A,1999.0,34,3015.0,89.0,88.2,33.5,34,89.0,33.0,0,,3,1.15,43.0,40.0,3.0,0.09,0.31,2019,48.7,38.0,10.7,0.32,0.47
Michael Langer,at AUT,GK,Schalke 04,de Bundesliga,1985.0,0,,,,,0,,0.0,0,,10,,,,,,,2019,,,,,
Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,1991.0,37,3330.0,90.0,97.4,37.0,37,90.0,37.0,0,,0,1.57,53.0,42.0,11.0,0.3,0.3,2019,44.8,42.5,2.3,0.06,0.7
Nicolas Lemaître,fr FRA,GK,Reims,fr Ligue 1,1997.0,0,,,,,0,,0.0,0,,13,,,,,,,2019,,,,,
Benjamin Leneis,de GER,GK,Augsburg,de Bundesliga,1999.0,0,,,,,0,,0.0,0,,9,,,,,,,2019,,,,,
Bernd Leno,de GER,GK,Arsenal,eng Premier League,1992.0,32,2836.0,89.0,82.9,31.5,31,90.0,31.0,1,45.0,6,1.81,61.0,42.0,19.0,0.6,0.14,2019,49.3,46.0,3.3,0.11,0.23
Jonathan Ligali,fr FRA,GK,Montpellier,fr Ligue 1,1991.0,0,,,,,0,,0.0,0,,8,,,,,,,2019,,,,,
Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,1986.0,33,2970.0,90.0,86.8,33.0,33,90.0,33.0,0,,0,1.97,61.0,33.0,28.0,0.85,0.85,2019,48.6,39.2,9.4,0.28,0.12
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,1990.0,34,3060.0,90.0,89.5,34.0,34,90.0,34.0,0,,0,1.85,62.0,42.0,20.0,0.59,-0.16,2019,66.5,39.0,27.5,0.81,-0.17
Diego López,es ESP,GK,Espanyol,es La Liga,1981.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.39,48.0,50.0,-2.0,-0.05,,2019,48.8,50.8,-2.0,-0.05,
Pau López,es ESP,GK,Betis,es La Liga,1994.0,33,2970.0,90.0,86.8,33.0,33,90.0,33.0,0,,5,1.3,40.0,47.0,-7.0,-0.21,-0.01,2019,40.4,40.6,-0.2,-0.01,-0.4
Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,1989.0,31,2778.0,90.0,81.2,30.9,30,90.0,30.0,1,77.0,3,0.48,18.0,54.0,-36.0,-1.17,1.36,2019,22.5,47.1,-24.7,-0.8,0.58
