,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Ignazio Abate\Ignazio-Abate,it ITA,DF,it Milan,31,1986,3,195,65,36.1,2.2,2,91,2,1,14,1,1.33,2,3,-1,-0.46,-1.51,3.5,3.8,-0.3,-0.12,-0.93,Matches
2,Araz Abdullayev\Araz-Abdullayev,az AZE,FWMF,az Qarabağ Ağdam,26,1992,6,316,53,58.5,3.5,3,81,1,3,25,0,0.50,2,9,-7,-1.99,-0.39,2.3,5.1,-2.8,-0.80,-0.03,Matches
3,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,gr Olympiacos,22,1995,7,630,90,87.5,7.0,7,90,7,0,,0,1.38,13,9,+4,+0.57,+0.57,12.7,8.9,+3.8,+0.54,+0.42,Matches
4,David Abraham\David-Abraham,ar ARG,DF,de Eint Frankfurt,32,1986,8,727,91,56.4,8.1,8,91,7,0,,0,2.00,17,10,+7,+0.87,-0.57,12.3,10.4,+1.8,+0.23,-0.83,Matches
5,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,it Lazio,30,1988,8,720,90,100.0,8.0,8,90,8,0,,0,1.13,9,14,-5,-0.62,,9.2,9.3,-0.1,-0.01,,Matches
6,Acorán\Acoran,es ESP,FWMF,cy AÉK Lárnaka,35,1983,6,446,74,82.6,5.0,5,86,3,1,18,0,1.58,4,11,-7,-1.41,-2.37,3.2,7.1,-3.9,-0.78,-1.13,Matches
7,Rafael Acosta\Rafael-Acosta,uy URU,FWMF,cz Jablonec,27,1990,2,25,13,4.6,0.3,0,,0,2,12,2,2.00,0,0,0,0.00,+0.35,0.1,1.0,-0.9,-3.29,-3.24,Matches
8,Marcos Acuña\Marcos-Acuna,ar ARG,DFMF,pt Sporting CP,26,1991,6,526,88,73.1,5.8,6,88,5,0,,0,1.67,7,3,+4,+0.68,-1.64,7.1,4.2,+3.0,+0.51,-0.38,Matches
9,Denis Adamov\Denis-Adamov,ru RUS,GK,ru Krasnodar,20,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
10,Samuel Adegbenro\Samuel-Adegbenro,ng NGA,FW,no Rosenborg,22,1995,4,266,67,49.3,3.0,3,81,1,1,24,0,0.25,3,7,-4,-1.35,+0.62,1.8,6.9,-5.0,-1.70,+0.06,Matches
11,Arijan Ademi\Arijan-Ademi,mk MKD,MF,hr Dinamo Zagreb,27,1991,6,540,90,58.1,6.0,6,90,6,0,,0,2.17,11,4,+7,+1.17,+0.94,7.3,4.1,+3.2,+0.63,+0.14,Matches
12,Andrea Adorante\Andrea-Adorante,it ITA,FW,it Inter,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
13,Adriano\Adriano,br BRA,DFMF,tr Beşiktaş,33,1984,2,167,84,30.9,1.9,2,84,1,0,,0,1.86,2,3,-1,-0.54,-0.30,4.0,4.8,-0.8,-0.42,-0.04,Matches
14,Luiz Adriano\Luiz-Adriano,br BRA,FW,ru Spartak Moscow,31,1987,3,243,81,45.0,2.7,3,81,1,0,,0,1.00,5,7,-2,-0.74,-0.13,3.2,4.2,-1.0,-0.36,-0.33,Matches
15,Mikkel Agger\Mikkel-Agger,dk DEN,FW,no Sarpsborg 08,25,1992,0,,,,,0,,0,0,,3,1.50,,,,,,,,,,,Matches
16,Ansi Agolli\Ansi-Agolli,al ALB,DF,az Qarabağ Ağdam,35,1982,1,90,90,16.7,1.0,1,90,1,0,,3,0.00,0,3,-3,-3.00,-1.40,0.9,2.5,-1.7,-1.66,-1.05,Matches
