,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
298,Emmanuel Culio\Emmanuel-Culio,ar ARG,MF,ro CFR Cluj,35,1983,6,401,67,55.7,4.5,4,90,4,2,21,0,2.00,4,2,+2,+0.45,+0.45,4.8,4.1,+0.7,+0.15,+0.86,Matches
299,Luke Cundle\Luke-Cundle,eng ENG,MF,eng Wolves,17,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
300,Olivier Custodio\Olivier-Custodio,ch SUI,MF,ch Lugano,24,1995,6,470,78,87.0,5.2,5,90,5,1,20,0,0.50,2,5,-3,-0.57,-0.57,3.8,8.1,-4.4,-0.84,-0.66,Matches
301,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,eng Wolves,21,1998,6,270,45,27.3,3.0,3,75,2,3,15,0,2.50,6,2,+4,+1.33,+0.71,6.1,1.0,+5.1,+1.68,+1.29,Matches
302,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,it Inter,30,1988,6,463,77,85.7,5.1,6,77,1,0,,0,2.50,14,5,+9,+1.75,+0.58,9.2,3.7,+5.6,+1.08,-0.46,Matches
303,David Da Costa\David-Da-Costa,ch SUI,GK,ch Lugano,33,1986,1,90,90,16.7,1.0,1,90,1,0,,4,1.00,1,1,0,0.00,+0.60,0.5,3.6,-3.1,-3.10,-2.82,Matches
304,Lucas Da Cunha\Lucas-Da-Cunha,fr FRA,FWMF,fr Rennes,18,2001,2,102,51,18.9,1.1,1,76,0,1,26,0,1.50,2,1,+1,+0.88,+1.70,1.0,0.6,+0.4,+0.37,-0.08,Matches
305,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,fr Rennes,31,1988,3,270,90,50.0,3.0,3,90,3,0,,3,0.33,2,4,-2,-0.67,-0.33,3.1,2.3,+0.8,+0.25,-0.36,Matches
306,Moanes Dabour\Moanes-Dabour,il ISR,FW,es Sevilla,27,1992,6,332,55,30.7,3.7,3,90,3,3,21,0,2.50,10,3,+7,+1.90,+0.81,10.5,1.8,+8.6,+2.34,+1.96,Matches
307,Johan Dahlin\Johan-Dahlin,se SWE,GK,se Malmö,32,1986,8,720,90,100.0,8.0,8,90,8,0,,0,1.71,9,11,-2,-0.25,,7.5,8.4,-0.9,-0.12,,Matches
308,Patson Daka\Patson-Daka,zm ZAM,FW,at RB Salzburg,20,1998,2,135,68,75.0,1.5,2,68,1,0,,0,0.50,2,4,-2,-1.33,+0.67,1.7,2.5,-0.7,-0.49,-0.32,Matches
309,Nicola Dalmonte\Nicola-Dalmonte,it ITA,MFFW,ch Lugano,21,1997,4,128,32,23.7,1.4,1,63,0,3,22,2,0.50,1,0,+1,+0.70,+1.58,1.2,3.8,-2.7,-1.88,-1.48,Matches
310,Diogo Dalot\Diogo-Dalot,pt POR,DF,eng Manchester Utd,20,1999,3,260,87,23.4,2.9,3,87,2,0,,0,1.67,2,1,+1,+0.35,-1.56,3.7,2.2,+1.5,+0.53,-0.99,Matches
311,Damyan Damyanov\Damyan-Damyanov,bg BUL,GK,bg Ludogorets,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
