,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Rocco Ascone\Rocco-Ascone,fr FRA,FW,fr Lille,17-211,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
2,Niklas Hedl\Niklas-Hedl,at AUT,GK,at Rapid Wien,20-025,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
3,Ivaylo Iliev\Ivaylo-Iliev,bg BUL,GK,bg CSKA Sofia,17-163,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
4,Brenden Aaronson\Brenden-Aaronson,us USA,MF,at RB Salzburg,20-171,2000,2,119,60,66.1,1.3,2,60,0,0,,0,0.00,1,2,-1,-0.76,+2.19,2.1,1.8,+0.3,+0.22,+0.99,Matches
5,Hatem Abd Elhamed\Hatem-Abd-Elhamed,il ISR,DF,sco Celtic,30-024,1991,3,212,71,39.3,2.4,2,90,2,1,32,0,0.75,4,10,-6,-2.55,-1.72,3.3,4.6,-1.3,-0.53,-0.18,Matches
6,Shehu Abdullahi\Shehu-Abdullahi,ng NGA,MFDF,cy AC Omonia,28-030,1993,4,262,66,48.5,2.9,2,74,1,2,58,2,0.75,1,7,-6,-2.06,-1.74,3.8,6.0,-2.3,-0.78,-0.11,Matches
7,Anicet Abel\Anicet-Abel,mg MAD,MF,bg Ludogorets,31-029,1990,6,327,55,60.6,3.6,4,76,2,2,11,0,0.00,5,12,-7,-1.93,+0.19,3.8,9.5,-5.7,-1.57,+1.06,Matches
8,Zakaria Aboukhlal\Zakaria-Aboukhlal,ma MAR,MFFW,nl AZ Alkmaar,21-052,2000,5,175,35,32.4,1.9,1,81,0,4,24,0,1.00,1,3,-2,-1.03,-2.01,3.9,3.4,+0.5,+0.24,+0.79,Matches
9,Joel Abu Hanna\Joel-Abu-Hanna,il ISR,DF,ua Zorya Luhansk,23-079,1998,5,364,73,67.4,4.0,4,90,4,1,4,1,1.20,6,6,0,0.00,+2.56,4.5,6.0,-1.5,-0.37,+0.26,Matches
10,Elton Acolatse\Elton-Acolatse,nl NED,FWMF,il Be'er Sheva,25-260,1995,3,263,88,48.7,2.9,3,88,0,0,,1,2.14,5,6,-1,-0.34,+1.28,2.5,4.2,-1.7,-0.58,+0.62,Matches
11,Denis Adamov\Denis-Adamov,ru RUS,GK,ru Krasnodar,23-050,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
12,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,de Hoffenheim,27-323,1993,4,103,26,14.3,1.1,0,,0,4,26,1,1.75,4,4,0,0.00,-1.90,4.3,3.3,+1.0,+0.87,-0.70,Matches
13,Arijan Ademi\Arijan-Ademi,mk MKD,MF,hr Dinamo Zagreb,29-317,1991,11,959,87,94.0,10.7,11,87,7,0,,0,2.17,13,5,+8,+0.75,-2.20,11.0,12.0,-1.0,-0.09,-0.44,Matches
14,Karim Adeyemi\Karim-Adeyemi,de GER,MFFW,at RB Salzburg,19-083,2002,2,61,31,33.9,0.7,0,,0,2,31,0,0.00,0,2,-2,-2.95,-2.19,0.7,1.2,-0.5,-0.78,-0.99,Matches
15,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,24-095,1997,9,576,64,64.0,6.4,6,83,3,3,27,0,1.78,10,11,-1,-0.16,-0.43,8.8,11.8,-3.0,-0.49,-0.21,Matches
16,Stanislav Agkatsev\Stanislav-Agkatsev,ru RUS,GK,ru Krasnodar,19-092,2002,1,90,90,50.0,1.0,1,90,1,0,,0,0.00,0,1,-1,-1.00,0.00,0.8,0.5,+0.3,+0.32,+0.14,Matches
17,Jonathan Agudelo\Jonathan-Agudelo,co COL,FW,il Be'er Sheva,28-115,1992,4,192,48,35.6,2.1,2,66,0,2,30,0,1.71,3,4,-1,-0.47,+0.82,1.8,3.6,-1.8,-0.85,+0.07,Matches
18,Maksym Ahapov\Maksym-Ahapov,ua UKR,MF,ua Zorya Luhansk,21-042,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
19,Ahmed Ahmedov\Ahmed-Ahmedov,bg BUL,MFFW,bg CSKA Sofia,26-038,1995,5,58,12,10.7,0.6,0,,0,5,12,1,1.43,0,1,-1,-1.55,-0.99,0.2,1.3,-1.1,-2.23,-1.88,Matches
20,Kristoffer Ajer\Kristoffer-Ajer,no NOR,DF,sco Celtic,22-359,1998,5,408,82,75.6,4.5,5,82,3,0,,0,1.43,9,13,-4,-0.88,+2.53,5.0,6.2,-1.2,-0.26,+0.68,Matches
21,Albian Ajeti\Albian-Ajeti,ch SUI,FWMF,sco Celtic,24-044,1997,4,163,41,30.2,1.8,2,70,0,2,12,2,1.40,3,3,0,0.00,+2.15,1.1,2.2,-1.1,-0.62,-0.29,Matches
22,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MFFW,ru CSKA Moscow,23-101,1997,5,178,36,33.0,2.0,2,63,0,3,18,0,0.60,0,3,-3,-1.52,-1.02,2.0,2.7,-0.6,-0.31,-0.10,Matches
23,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,35-003,1986,6,540,90,100.0,6.0,6,90,6,0,,0,0.50,3,8,-5,-0.83,,6.6,8.0,-1.5,-0.24,,Matches
24,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,de Hoffenheim,25-357,1995,4,330,83,45.8,3.7,4,83,3,0,,1,3.00,13,2,+11,+3.00,+2.54,8.6,4.9,+3.7,+1.00,-0.86,Matches
25,Deni Alar\Deni-Alar,at AUT,FW,at Rapid Wien,31-083,1990,1,76,76,14.1,0.8,1,76,0,0,,5,0.00,1,4,-3,-3.55,-3.75,1.0,3.4,-2.4,-2.90,-1.90,Matches
26,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,28-185,1992,5,214,43,29.7,2.4,3,54,0,2,26,1,1.80,7,4,+3,+1.26,+0.02,2.9,1.5,+1.4,+0.58,-0.39,Matches
27,Raúl Albiol\Raul-Albiol,es ESP,DF,es Villarreal,35-219,1985,7,630,90,70.0,7.0,7,90,7,0,,2,3.00,18,4,+14,+2.00,0.00,14.0,5.2,+8.9,+1.27,-0.04,Matches
28,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,eng Leicester City,31-144,1989,5,364,73,50.6,4.0,5,73,2,0,,3,1.60,7,5,+2,+0.49,-0.77,6.3,4.1,+2.2,+0.54,-0.58,Matches
29,Paco Alcácer\Paco-Alcacer,es ESP,FW,es Villarreal,27-224,1993,6,268,45,29.8,3.0,3,62,0,3,28,2,3.00,9,2,+7,+2.35,+0.50,7.9,3.3,+4.6,+1.55,+0.39,Matches
30,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,32-040,1989,3,270,90,29.0,3.0,3,90,3,0,,5,3.00,11,2,+9,+3.00,+2.05,8.7,3.1,+5.6,+1.86,+0.31,Matches
31,Daniil Alefirenko\Daniil-Alefirenko,ua UKR,MF,ua Zorya Luhansk,20-357,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
32,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,eng Arsenal,26-052,1995,4,360,90,36.4,4.0,4,90,4,0,,2,3.00,14,3,+11,+2.75,+1.89,10.4,2.4,+8.0,+2.01,+1.12,Matches
33,Almoatasembellah Ali\Almoatasembellah-Ali,ly LBY,MF,pt Braga,25-005,1996,7,339,48,47.1,3.8,4,77,2,3,11,1,1.86,7,10,-3,-0.80,-1.51,4.4,8.3,-3.9,-1.02,-1.06,Matches
34,Denis Alijagič\Denis-Alijagic,ba BIH,FW,cz Slavia Prague,18-001,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
35,Dele Alli\Dele-Alli,eng ENG,MF,eng Tottenham,25-000,1996,8,451,56,48.5,5.0,6,69,0,2,19,2,2.20,13,5,+8,+1.60,+0.09,10.9,3.7,+7.3,+1.45,-0.37,Matches
