,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1190,Roberto Soldado\Roberto-Soldado,es ESP,FW,es Villarreal,31,1985,1,66,66,9.2,0.7,1,,0,0,,0,3.00,1,0,+1,+1.36,+1.78,Matches
1191,Yann Sommer\Yann-Sommer,ch SUI,GK,de M'Gladbach,27,1988,4,360,90,100.0,4.0,4,,4,0,,0,1.25,7,6,+1,+0.25,,Matches
1192,Mario Sonnleitner\Mario-Sonnleitner,at AUT,DF,at Rapid Wien,29,1986,3,270,90,50.0,3.0,3,,3,0,,0,0.67,3,4,-1,-0.33,-0.33,Matches
1193,Bruno Soriano\Bruno-Soriano,es ESP,MF,es Villarreal,32,1984,8,707,88,98.2,7.9,8,,7,0,,0,1.50,10,12,-2,-0.25,-0.25,Matches
1194,Jonathan Soriano\Jonathan-Soriano,es ESP,FW,at RB Salzburg,30,1985,4,270,68,50.0,3.0,3,,2,1,,0,0.75,1,5,-4,-1.33,-2.67,Matches
1195,Roberto Soriano\Roberto-Soriano,it ITA,MF,es Villarreal,25,1991,5,226,45,31.4,2.5,2,,2,3,,0,2.20,4,1,+3,+1.19,+2.11,Matches
1196,Pieros Sotiriou\Pieros-Sotiriou,cy CYP,FW,cy APOEL FC,23,1993,9,755,84,83.9,8.4,9,,5,0,,0,1.67,10,10,0,0.00,-0.62,Matches
1197,Rayan Souici\Rayan-Souici,fr FRA,MF,fr Saint-Étienne,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
1198,Arnaud Souquet\Arnaud-Souquet,fr FRA,DF,fr Nice,24,1992,3,254,85,47.0,2.8,3,,2,0,,3,1.00,1,5,-4,-1.42,-0.79,Matches
1199,Mauro Sousa\Mauro-Sousa,br BRA,MF,pt Braga,25,1990,4,308,77,57.0,3.4,4,,3,0,,0,1.25,3,5,-2,-0.58,-0.58,Matches
1200,Josef de Souza\Josef-de-Souza,br BRA,MF,tr Fenerbahçe,27,1989,8,720,90,100.0,8.0,8,,8,0,,0,1.75,9,8,+1,+0.12,,Matches
1201,Djibril Sow\Djibril-Sow,ch SUI,MF,de M'Gladbach,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
1202,Moussa Sow\Moussa-Sow,sn SEN,FW,tr Fenerbahçe,30,1986,7,585,84,81.3,6.5,7,,3,0,,0,2.00,8,3,+5,+0.77,+3.44,Matches
1203,Emmanuel Sowah\Emmanuel-Sowah,gh GHA,DFMF,be Anderlecht,18,1998,4,352,88,31.7,3.9,4,,3,0,,4,2.00,12,6,+6,+1.53,+1.18,Matches
1204,Uroš Spajić\Uros-Spajic,rs SRB,DF,be Anderlecht,23,1993,9,840,93,75.7,9.3,9,,9,0,,1,1.78,15,11,+4,+0.43,-1.24,Matches
1205,Marco Sportiello\Marco-Sportiello,it ITA,GK,it Fiorentina,24,1992,0,,,,,0,,0,0,,2,,,,,,,Matches
1206,Yuval Spungin\Yuval-Spungin,il ISR,DF,il Maccabi Tel Aviv,29,1987,0,,,,,0,,0,0,,1,,,,,,,Matches
1207,Darijo Srna\Darijo-Srna,hr CRO,DF,ua Shakhtar,34,1982,5,480,96,64.0,5.3,5,,5,0,,0,2.57,15,5,+10,+1.87,+0.21,Matches
1208,Paschalis Staikos\Paschalis-Staikos,gr GRE,MF,gr Panathinaikos,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
1209,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,MF,de Schalke 04,25,1990,11,659,60,59.4,7.3,8,,5,3,,0,2.09,10,3,+7,+0.96,+0.76,Matches
1210,Alexandru Stan\Alexandru-Stan,ro ROU,DFMF,ro Astra Giurgiu,27,1989,5,450,90,62.5,5.0,5,,5,0,,2,1.50,5,5,0,0.00,+1.33,Matches
1211,Eduard Stăncioiu\Eduard-Stancioiu,ro ROU,GK,ro Steaua,35,1981,0,,,,,0,,0,0,,6,,,,,,,Matches
1212,Nicolae Stanciu\Nicolae-Stanciu,ro ROU,MF,be Anderlecht,23,1993,12,871,73,78.5,9.7,11,,2,1,,0,1.75,13,11,+2,+0.21,-2.43,Matches
1213,Stefan Stangl\Stefan-Stangl,at AUT,DF,at RB Salzburg,24,1991,0,,,,,0,,0,0,,1,,,,,,,Matches
1214,Cican Stankovic\Cican-Stankovic,at AUT,GK,at RB Salzburg,23,1992,1,90,90,16.7,1.0,1,,1,0,,5,3.00,2,0,+2,+2.00,+2.40,Matches
1215,Vojislav Stanković\Vojislav-Stankovic,rs SRB,DF,az Gabala FK,28,1987,5,450,90,83.3,5.0,5,,5,0,,1,1.23,4,11,-7,-1.40,+0.60,Matches
1216,Luke Steele\Luke-Steele,eng ENG,GK,gr Panathinaikos,31,1984,6,540,90,100.0,6.0,6,,6,0,,0,1.10,3,13,-10,-1.67,,Matches
1217,Taras Stepanenko\Taras-Stepanenko,ua UKR,MF,ua Shakhtar,26,1989,6,400,67,53.3,4.4,4,,3,2,,0,2.63,12,3,+9,+2.03,+0.48,Matches
1218,Jack Stephens\Jack-Stephens,eng ENG,DF,eng Southampton,22,1994,0,,,,,0,,0,0,,3,,,,,,,Matches
1219,Nicolas Stettler\Nicolas-Stettler,ch SUI,DF,ch Zürich,,,0,,,,,0,,0,0,,2,,,,,,,Matches
1220,Lars Stindl\Lars-Stindl,de GER,FW,de M'Gladbach,27,1988,3,270,90,75.0,3.0,3,,3,0,,0,1.33,5,4,+1,+0.33,+0.33,Matches
1221,Miroslav Stoch\Miroslav-Stoch,sk SVK,MFFW,tr Fenerbahçe,26,1989,2,102,51,14.2,1.1,1,,0,1,,3,2.50,2,1,+1,+0.88,+0.88,Matches
1222,Nikola Stojiljković\Nikola-Stojiljkovic,rs SRB,FW,pt Braga,23,1992,5,221,44,40.9,2.5,2,,1,3,,1,0.60,3,6,-3,-1.22,-1.50,Matches
1223,Vladislav Stoyanov\Vladislav-Stoyanov,bg BUL,GK,bg Ludogorets,29,1987,2,180,90,100.0,2.0,2,,2,0,,0,0.50,1,2,-1,-0.50,,Matches
1224,Richard Strebinger\Richard-Strebinger,at AUT,GK,at Rapid Wien,23,1993,4,360,90,66.7,4.0,4,,4,0,,2,1.25,6,6,0,0.00,+0.50,Matches
1225,Tobias Strobl\Tobias-Strobl,de GER,MF,de M'Gladbach,26,1990,3,144,48,40.0,1.6,1,,1,2,,1,1.67,1,3,-2,-1.25,-2.50,Matches
1226,Patrizio Stronati\Patrizio-Stronati,cz CZE,DF,at Austria Wien,21,1994,2,180,90,33.3,2.0,2,,2,0,,4,1.00,3,3,0,0.00,+0.75,Matches
1227,Kevin Strootman\Kevin-Strootman,nl NED,MF,it Roma,26,1990,7,588,84,65.3,6.5,7,,4,0,,2,2.29,20,8,+12,+1.84,+2.13,Matches
1228,Jens Stryger Larsen\Jens-Stryger-Larsen,dk DEN,DF,at Austria Wien,25,1991,6,503,84,93.1,5.6,5,,5,1,,0,1.67,9,13,-4,-0.72,-3.15,Matches
1229,Leonardo Suárez\Leonardo-Suarez,ar ARG,FWMF,es Villarreal,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
1230,Jan Suchan\Jan-Suchan,cz CZE,MF,cz Viktoria Plzeň,20,1996,0,,,,,0,,0,0,,2,,,,,,,Matches
1231,Igor Sukenník\Igor-Sukennik,cz CZE,DF,cz Slovan Liberec,26,1989,2,105,53,19.4,1.2,1,,1,1,,4,1.75,0,4,-4,-3.43,-3.22,Matches
1232,Artem Sukhotskyi\Artem-Sukhotskyi,ua UKR,DF,ua Zorya Luhansk,23,1992,1,90,90,16.7,1.0,1,,1,0,,4,0.00,0,2,-2,-2.00,-1.20,Matches
1233,Miralem Sulejmani\Miralem-Sulejmani,rs SRB,MF,ch Young Boys,27,1988,3,230,77,42.6,2.6,3,,1,0,,1,0.67,1,2,-1,-0.39,-1.55,Matches
1234,Josef Šural\Josef-Sural,cz CZE,MFFW,cz Sparta Prague,26,1990,2,125,63,17.4,1.4,1,,0,1,,0,1.25,1,2,-1,-0.72,-0.57,Matches
1235,Markel Susaeta\Markel-Susaeta,es ESP,MF,es Athletic Club,28,1987,7,265,38,36.8,2.9,3,,0,4,,1,1.43,6,9,-3,-1.02,-1.22,Matches
1236,Tino-Sven Sušić\Tino-Sven-Susic,ba BIH,MF,be Genk,24,1992,5,340,68,31.5,3.8,4,,1,1,,0,1.80,9,6,+3,+0.79,+0.31,Matches
1237,Scott Sutter\Scott-Sutter,ch SUI,DF,ch Young Boys,30,1986,6,540,90,100.0,6.0,6,,6,0,,0,1.33,7,4,+3,+0.50,,Matches
1238,Dominik Sváček\Dominik-Svacek,cz CZE,GK,cz Viktoria Plzeň,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
1239,Mile Svilar\Mile-Svilar,be BEL,GK,be Anderlecht,16,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
1240,Jan Sýkora\Jan-Sykora,cz CZE,MFDF,cz Slovan Liberec,22,1993,5,348,70,64.4,3.9,4,,1,1,,0,1.44,4,9,-5,-1.29,-1.29,Matches
1241,Tamás Szántó\Tamas-Szanto,hu HUN,MF,at Rapid Wien,20,1996,3,86,29,15.9,1.0,1,,0,2,,2,1.75,5,1,+4,+4.19,+5.18,Matches
1242,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Roma,26,1990,0,,,,,0,,0,0,,10,,,,,,,Matches
1243,Łukasz Szukała\Lukasz-Szukala,pl POL,DF,tr Osmanlıspor,32,1984,0,,,,,0,,0,0,,2,,,,,,,Matches
1244,Sebastian Szymański\Sebastian-Szymanski,pl POL,MF,pl Legia Warsaw,17,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
1245,Alexander Søderlund\Alexander-Soderlund,no NOR,MF,fr Saint-Étienne,28,1987,4,128,32,17.8,1.4,1,,0,3,,1,2.00,5,2,+3,+2.11,+2.72,Matches
1246,Asger Sørensen\Asger-Sorensen,dk DEN,DF,at RB Salzburg,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
1247,Dušan Tadić\Dusan-Tadic,rs SRB,MFFW,eng Southampton,27,1988,5,306,61,56.7,3.4,3,,0,2,,0,1.60,5,3,+2,+0.59,+0.59,Matches
1248,Askhat Tagybergen\Askhat-Tagybergen,kz KAZ,MF,kz FC Astana,25,1990,3,81,27,15.0,0.9,1,,0,2,,0,1.00,1,4,-3,-3.33,-2.75,Matches
1249,Loai Taha\Loai-Taha,il ISR,DF,il Be'er Sheva,26,1989,4,306,77,42.5,3.4,4,,3,0,,3,1.75,2,4,-2,-0.59,-0.37,Matches
1250,Taison\Taison,br BRA,MF,ua Shakhtar,28,1988,8,447,56,59.6,5.0,5,,1,3,,0,2.70,14,3,+11,+2.21,+1.03,Matches
1251,Ismael Tajouri-Shradi\Ismael-Tajouri-Shradi,ly LBY,FW,at Austria Wien,22,1994,6,132,22,24.4,1.5,1,,1,5,,0,1.40,6,3,+3,+2.05,+3.37,Matches
1252,Talisca\Talisca,br BRA,MF,tr Beşiktaş,22,1994,6,496,83,87.0,5.5,5,,3,1,,0,2.17,11,6,+5,+0.91,-0.31,Matches
1253,Gabriel Tamaș\Gabriel-Tamas,ro ROU,DF,ro Steaua,32,1983,6,529,88,98.0,5.9,6,,5,0,,0,1.00,5,6,-1,-0.17,+8.01,Matches
1254,Florin Tănase\Florin-Tanase,ro ROU,FWMF,ro Steaua,21,1994,2,42,21,7.8,0.5,0,,0,2,,0,0.50,0,2,-2,-4.29,-4.29,Matches
1255,Muamer Tanković\Muamer-Tankovic,se SWE,FW,nl AZ Alkmaar,21,1995,3,213,71,29.6,2.4,3,,0,0,,1,2.00,4,4,0,0.00,+2.31,Matches
1256,Vyacheslav Tankovskyi\Vyacheslav-Tankovskyi,ua UKR,MF,ua Shakhtar,20,1995,2,105,53,14.0,1.2,1,,0,1,,0,3.00,4,1,+3,+2.57,+0.90,Matches
1257,Oussama Tannane\Oussama-Tannane,ma MAR,FWMF,fr Saint-Étienne,22,1994,6,296,49,41.1,3.3,3,,1,3,,0,2.00,4,1,+3,+0.91,+1.76,Matches
1258,Renato Tapia\Renato-Tapia,pe PER,MFDF,nl Feyenoord,21,1995,3,270,90,50.0,3.0,3,,3,0,,3,1.33,2,5,-3,-1.00,-0.67,Matches
1259,Kaya Tarakcı\Kaya-Tarakci,tr TUR,GK,tr Konyaspor,35,1981,0,,,,,0,,0,0,,6,,,,,,,Matches
1260,Jérémy Taravel\Jeremy-Taravel,fr FRA,DF,be Gent,29,1987,0,,,,,0,,0,0,,2,,,,,,,Matches
1261,Matt Targett\Matt-Targett,eng ENG,DF,eng Southampton,20,1995,2,180,90,33.3,2.0,2,,2,0,,0,2.00,3,0,+3,+1.50,+1.75,Matches
1262,Ertuğrul Taşkıran\Ertugrul-Taskiran,tr TUR,GK,tr Fenerbahçe,26,1989,0,,,,,0,,0,0,,1,,,,,,,Matches
1263,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,it Fiorentina,30,1986,7,630,90,87.5,7.0,7,,7,0,,1,2.29,16,7,+9,+1.29,+2.29,Matches
1264,Aleksei Tatayev\Aleksei-Tatayev,ru RUS,DF,ru Krasnodar,17,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
1265,Filipe Teixeira\Filipe-Teixeira,pt POR,MFFW,ro Astra Giurgiu,35,1980,7,628,90,87.2,7.0,7,,6,0,,0,1.11,7,12,-5,-0.72,-1.69,Matches
1266,Bernard Tekpetey\Bernard-Tekpetey,gh GHA,FW,de Schalke 04,18,1997,1,90,90,8.1,1.0,1,,0,0,,2,3.00,2,0,+2,+2.00,+1.47,Matches
1267,Cristian Tello\Cristian-Tello,es ESP,MF,it Fiorentina,24,1991,5,310,62,43.1,3.4,3,,1,2,,2,2.00,9,4,+5,+1.45,+0.79,Matches
1268,Łukasz Teodorczyk\Lukasz-Teodorczyk,pl POL,FW,be Anderlecht,25,1991,11,674,61,60.7,7.5,8,,2,3,,0,2.08,18,8,+10,+1.34,+1.54,Matches
1269,Denis Terentyev\Denis-Terentyev,ru RUS,DF,ru Rostov,23,1992,3,182,61,50.6,2.0,1,,1,2,,1,0.67,1,3,-2,-0.99,-3.52,Matches
1270,Kenny Tete\Kenny-Tete,nl NED,DF,nl Ajax,20,1995,8,578,72,41.9,6.4,5,,4,3,,5,1.38,12,6,+6,+0.93,+0.82,Matches
1271,Kévin Théophile-Catherine\Kevin-Theophile-Catherine,fr FRA,DF,fr Saint-Étienne,26,1989,6,540,90,75.0,6.0,6,,6,0,,1,1.60,5,7,-2,-0.33,-0.83,Matches
1272,Yannick Thoelen\Yannick-Thoelen,be BEL,GK,be Gent,26,1990,1,90,90,10.0,1.0,1,,1,0,,5,1.00,2,2,0,0.00,+0.67,Matches
1273,Manuel Thurnwald\Manuel-Thurnwald,at AUT,MFDF,at Rapid Wien,18,1998,2,162,81,30.0,1.8,2,,1,0,,1,0.50,2,3,-1,-0.56,-0.56,Matches
1274,Pedro Tiba\Pedro-Tiba,pt POR,MF,pt Braga,27,1988,4,317,79,58.7,3.5,3,,3,1,,1,1.25,7,7,0,0.00,+0.81,Matches
1275,Eitan Tibi\Eitan-Tibi,il ISR,DF,il Maccabi Tel Aviv,28,1987,5,450,90,83.3,5.0,5,,5,0,,0,2.08,4,5,-1,-0.20,+0.80,Matches
1276,Youri Tielemans\Youri-Tielemans,be BEL,MF,be Anderlecht,19,1997,11,947,86,85.3,10.5,11,,9,0,,0,2.08,17,10,+7,+0.67,-0.44,Matches
1277,Guus Til\Guus-Til,nl NED,MF,nl AZ Alkmaar,18,1997,1,33,33,4.6,0.4,0,,0,1,,2,2.00,1,1,0,0.00,+1.70,Matches
1278,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,fr Lyon,21,1994,8,669,84,89.2,7.4,7,,7,1,,0,1.88,18,13,+5,+0.67,-3.77,Matches
1279,Nenad Tomović\Nenad-Tomovic,rs SRB,DF,it Fiorentina,28,1987,7,544,78,75.6,6.0,6,,6,1,,1,2.29,15,6,+9,+1.49,+2.00,Matches
1280,Jens Toornstra\Jens-Toornstra,nl NED,FWMF,nl Feyenoord,27,1989,6,475,79,88.0,5.3,6,,3,0,,0,1.17,3,6,-3,-0.57,+0.82,Matches
1281,Mehmet Topal\Mehmet-Topal,tr TUR,MF,tr Fenerbahçe,30,1986,8,716,90,99.4,8.0,8,,7,0,,0,2.00,9,8,+1,+0.13,+0.13,Matches
1282,Dmitri Torbinski\Dmitri-Torbinski,ru RUS,DFMF,ru Krasnodar,32,1984,4,252,63,28.0,2.8,3,,2,1,,2,1.75,7,5,+2,+0.71,+1.27,Matches
1283,Alin Toșca\Alin-Tosca,ro ROU,DF,ro Steaua,24,1992,6,540,90,100.0,6.0,6,,6,0,,0,1.00,5,7,-2,-0.33,,Matches
1284,Duško Tošić\Dusko-Tosic,rs SRB,DF,tr Beşiktaş,31,1985,6,570,95,100.0,6.3,6,,6,0,,0,2.17,13,7,+6,+0.95,,Matches
1285,Cenk Tosun\Cenk-Tosun,tr TUR,FW,tr Beşiktaş,25,1991,6,322,54,56.5,3.6,3,,1,3,,0,2.17,7,4,+3,+0.84,-0.25,Matches
1286,Francesco Totti\Francesco-Totti,it ITA,FWMF,it Roma,39,1976,6,384,64,42.7,4.3,4,,4,2,,2,1.50,7,4,+3,+0.70,-0.69,Matches
1287,Lucas Tousart\Lucas-Tousart,fr FRA,MF,fr Lyon,19,1997,7,596,85,79.5,6.6,7,,4,0,,1,1.71,16,11,+5,+0.76,-1.58,Matches
1288,Youssef Toutouh\Youssef-Toutouh,dk DEN,MF,dk FC Copenhagen,23,1992,4,347,87,96.4,3.9,4,,2,0,,0,1.75,4,4,0,0.00,0.00,Matches
1289,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,nl Ajax,20,1995,13,1106,85,80.1,12.3,13,,8,0,,1,1.77,19,15,+4,+0.33,-0.66,Matches
1290,Adrien Trebel\Adrien-Trebel,fr FRA,MF,be Standard Liège,25,1991,6,540,90,100.0,6.0,6,,6,0,,0,1.17,8,6,+2,+0.33,,Matches
1291,Manu Trigueros\Manu-Trigueros,es ESP,MF,es Villarreal,24,1991,3,270,90,37.5,3.0,3,,3,0,,2,1.33,3,6,-3,-1.00,-1.20,Matches
1292,Kieran Trippier\Kieran-Trippier,eng ENG,DFMF,eng Tottenham,25,1990,0,,,,,0,,0,0,,2,,,,,,,Matches
1293,Leandro Trossard\Leandro-Trossard,be BEL,MFFW,be Genk,21,1994,12,503,42,46.6,5.6,5,,3,7,,0,1.94,10,7,+3,+0.54,-0.09,Matches
1294,Ibragim Tsallagov\Ibragim-Tsallagov,ru RUS,DFMF,ru Zenit,25,1990,0,,,,,0,,0,0,,1,,,,,,,Matches
1295,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,gr Olympiacos,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
1296,Alexandru Tudorie\Alexandru-Tudorie,ro ROU,FW,ro Steaua,20,1996,2,16,8,3.0,0.2,0,,0,2,,3,1.00,0,1,-1,-5.63,-5.45,Matches
1297,Ozan Tufan\Ozan-Tufan,tr TUR,MF,tr Fenerbahçe,21,1995,3,152,51,21.1,1.7,1,,1,2,,3,2.00,2,1,+1,+0.59,+0.59,Matches
1298,Ali Turan\Ali-Turan,tr TUR,DF,tr Konyaspor,32,1983,4,316,79,58.5,3.5,4,,3,0,,1,0.25,2,6,-4,-1.14,+1.27,Matches
1299,Ben Turjeman\Ben-Turjeman,il ISR,DF,il Be'er Sheva,27,1989,3,185,62,25.7,2.1,2,,2,1,,3,1.00,2,5,-3,-1.46,-1.46,Matches
1300,Patrick Twumasi\Patrick-Twumasi,gh GHA,MF,kz FC Astana,22,1994,4,303,76,56.1,3.4,3,,2,1,,1,0.83,2,10,-8,-2.38,-3.14,Matches
1301,Georgios Tzavellas\Georgios-Tzavellas,gr GRE,DF,gr PAOK,28,1987,3,270,90,37.5,3.0,3,,3,0,,0,2.00,2,2,0,0.00,+0.40,Matches
1302,Shir Tzedek\Shir-Tzedek,il ISR,DF,il Be'er Sheva,26,1989,8,720,90,100.0,8.0,8,,8,0,,0,1.00,8,11,-3,-0.37,,Matches
1303,Salih Uçan\Salih-Ucan,tr TUR,MF,tr Fenerbahçe,22,1994,2,50,25,6.9,0.6,1,,0,1,,1,2.50,0,0,0,0.00,-0.13,Matches
1304,Atsuto Uchida\Atsuto-Uchida,jp JPN,DF,de Schalke 04,28,1988,1,7,7,0.6,0.1,0,,0,1,,0,0.00,0,1,-1,-12.86,-13.59,Matches
1305,Andreas Ulmer\Andreas-Ulmer,at AUT,DF,at RB Salzburg,30,1985,5,450,90,83.3,5.0,5,,5,0,,0,0.80,4,6,-2,-0.40,-2.40,Matches
1306,Aminu Umar\Aminu-Umar,ng NGA,MFFW,tr Osmanlıspor,21,1995,5,294,59,40.8,3.3,3,,2,2,,0,2.30,8,4,+4,+1.22,+2.07,Matches
1307,Dayot Upamecano\Dayot-Upamecano,fr FRA,MFDF,at RB Salzburg,17,1998,4,360,90,66.7,4.0,4,,4,0,,1,1.00,4,5,-1,-0.25,-0.75,Matches
1308,Jere Uronen\Jere-Uronen,fi FIN,DF,be Genk,22,1994,7,621,89,57.5,6.9,7,,6,0,,0,1.77,14,11,+3,+0.43,-0.35,Matches
1309,Mehmet Uslu\Mehmet-Uslu,tr TUR,DF,tr Konyaspor,28,1988,2,180,90,33.3,2.0,2,,2,0,,2,0.00,1,7,-6,-3.00,-2.00,Matches
1310,Necip Uysal\Necip-Uysal,tr TUR,MF,tr Beşiktaş,25,1991,5,244,49,42.8,2.7,2,,1,3,,0,2.40,6,4,+2,+0.74,-0.37,Matches
1311,Lukáš Vácha\Lukas-Vacha,cz CZE,MF,cz Sparta Prague,27,1989,2,144,72,20.0,1.6,2,,0,0,,1,1.00,0,6,-6,-3.75,-4.37,Matches
1312,Mathieu Valbuena\Mathieu-Valbuena,fr FRA,MFFW,fr Lyon,31,1984,6,557,93,74.3,6.2,6,,4,0,,0,1.50,11,12,-1,-0.16,-4.82,Matches
1313,Robert Vâlceanu\Robert-Valceanu,ro ROU,MF,ro Steaua,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
1314,Antonio Valencia\Antonio-Valencia,ec ECU,DF,eng Manchester Utd,30,1985,9,750,83,54.3,8.3,8,,8,1,,1,2.33,15,3,+12,+1.44,+0.73,Matches
1315,Borja Valero\Borja-Valero,es ESP,MF,it Fiorentina,31,1985,6,468,78,65.0,5.2,5,,4,1,,1,2.17,10,6,+4,+0.77,-0.66,Matches
1316,Hannes Van der Bruggen\Hannes-Van-der-Bruggen,be BEL,MF,be Gent,23,1993,3,244,81,27.1,2.7,3,,2,0,,3,2.00,3,3,0,0.00,+0.82,Matches
1317,Jorn Vancamp\Jorn-Vancamp,be BEL,FW,be Anderlecht,17,1998,1,60,60,5.4,0.7,1,,0,0,,0,0.00,2,0,+2,+3.00,+2.40,Matches
1318,Andris Vaņins\Andris-Vanins,lv LVA,GK,ch Zürich,36,1980,6,540,90,100.0,6.0,6,,6,0,,0,1.00,5,7,-2,-0.33,,Matches
1319,Fernando Varela\Fernando-Varela,cv CPV,DF,gr PAOK,28,1987,7,630,90,87.5,7.0,7,,7,0,,0,1.63,7,9,-2,-0.29,-0.29,Matches
1320,Bogdan Vătăjelu\Bogdan-Vatajelu,ro ROU,DF,cz Sparta Prague,23,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
1321,Matías Vecino\Matias-Vecino,uy URU,MF,it Fiorentina,24,1991,7,515,74,71.5,5.7,5,,5,2,,0,2.14,13,10,+3,+0.52,-1.67,Matches
1322,Marko Vejinović\Marko-Vejinovic,nl NED,MF,nl Feyenoord,26,1990,1,90,90,16.7,1.0,1,,1,0,,4,1.00,1,1,0,0.00,+0.80,Matches
1323,Emiliano Velázquez\Emiliano-Velazquez,uy URU,DF,pt Braga,22,1994,2,163,82,30.2,1.8,2,,1,0,,1,2.00,3,2,+1,+0.55,+1.27,Matches
1324,Joël Veltman\Joel-Veltman,nl NED,DF,nl Ajax,24,1992,10,794,79,57.5,8.8,10,,7,0,,2,1.90,12,11,+1,+0.11,-0.81,Matches
1325,Lucas Venuto\Lucas-Venuto,br BRA,MFFW,at Austria Wien,21,1995,6,444,74,82.2,4.9,5,,0,1,,0,1.67,5,13,-8,-1.62,-6.31,Matches
1326,Benjamin Verbič\Benjamin-Verbic,si SVN,FWMF,dk FC Copenhagen,22,1993,1,33,33,9.2,0.4,0,,0,1,,0,0.00,0,0,0,0.00,0.00,Matches
1327,Julien Vercauteren\Julien-Vercauteren,be BEL,MF,fr Nice,23,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
1328,Jordan Veretout\Jordan-Veretout,fr FRA,MF,fr Saint-Étienne,23,1993,7,541,77,75.1,6.0,6,,4,1,,1,1.29,5,6,-1,-0.17,-0.17,Matches
1329,Thomas Vermaelen\Thomas-Vermaelen,be BEL,DF,it Roma,30,1985,2,180,90,20.0,2.0,2,,2,0,,2,0.50,0,1,-1,-0.50,-2.00,Matches
1330,Vitaliy Vernydub\Vitaliy-Vernydub,ua UKR,DFMF,az Gabala FK,28,1987,6,505,84,93.5,5.6,6,,4,0,,0,1.14,5,13,-8,-1.43,+1.15,Matches
1331,Louis Verstraete\Louis-Verstraete,be BEL,MF,be Gent,17,1999,3,108,36,12.0,1.2,1,,0,2,,1,0.67,3,5,-2,-1.67,-1.21,Matches
1332,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,eng Tottenham,29,1987,1,90,90,50.0,1.0,1,,1,0,,0,1.00,2,2,0,0.00,+1.00,Matches
1333,Mikel Vesga\Mikel-Vesga,es ESP,MF,es Athletic Club,23,1993,1,90,90,12.5,1.0,1,,1,0,,3,1.00,1,1,0,0.00,+0.29,Matches
1334,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,de M'Gladbach,23,1992,4,360,90,100.0,4.0,4,,4,0,,0,1.25,7,6,+1,+0.25,,Matches
1335,Bruno Viana\Bruno-Viana,br BRA,DF,gr Olympiacos,21,1995,3,254,85,28.2,2.8,3,,2,0,,4,0.67,1,3,-2,-0.71,-1.13,Matches
1336,Vander Vieira\Vander-Vieira,br BRA,MF,cy APOEL FC,27,1988,7,242,35,26.9,2.7,2,,0,5,,2,1.29,3,3,0,0.00,-0.14,Matches
1337,Nick Viergever\Nick-Viergever,nl NED,DF,nl Ajax,26,1989,10,924,92,67.0,10.3,10,,9,0,,2,1.70,14,11,+3,+0.29,-0.50,Matches
1338,Tonny Vilhena\Tonny-Vilhena,nl NED,MF,nl Feyenoord,21,1995,5,435,87,80.6,4.8,5,,4,0,,0,1.20,2,6,-4,-0.83,-0.83,Matches
1339,Lucas Villafáñez\Lucas-Villafanez,ar ARG,MFFW,gr Panathinaikos,24,1991,5,334,67,61.9,3.7,4,,2,1,,0,1.22,2,7,-5,-1.35,+0.84,Matches
1340,Asier Villalibre\Asier-Villalibre,es ESP,FW,es Athletic Club,18,1997,2,46,23,6.4,0.5,0,,0,2,,1,0.50,1,0,+1,+1.96,+2.36,Matches
1341,Iván Villar\Ivan-Villar,es ESP,GK,es Celta Vigo,19,1997,0,,,,,0,,0,0,,7,,,,,,,Matches
1342,Vinicius\Vinicius,br BRA,MF,cy APOEL FC,30,1986,8,706,88,78.4,7.8,8,,7,0,,0,1.88,12,9,+3,+0.38,+1.31,Matches
1343,Miguel Vítor\Miguel-Vitor,pt POR,DF,il Be'er Sheva,27,1989,6,496,83,68.9,5.5,6,,5,0,,0,1.33,6,6,0,0.00,+1.21,Matches
