,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1100,Kenny Saief\Kenny-Saief,us USA,MF,be Gent,22,1993,9,725,81,80.6,8.1,8,,5,1,,0,1.69,13,16,-3,-0.37,+1.17,Matches
1101,Henri Saivet\Henri-Saivet,sn SEN,MFFW,fr Saint-Étienne,25,1990,7,540,77,75.0,6.0,7,,2,0,,0,1.57,4,8,-4,-0.67,-2.17,Matches
1102,Mohamed Salah\Mohamed-Salah,eg EGY,MFFW,it Roma,24,1992,6,372,62,41.3,4.1,4,,2,2,,3,2.17,15,8,+7,+1.69,+1.01,Matches
1103,Thomas Salamon\Thomas-Salamon,at AUT,DF,at Austria Wien,27,1989,1,90,90,16.7,1.0,1,,1,0,,5,3.00,3,2,+1,+1.00,+1.80,Matches
1104,Carlos Salcedo\Carlos-Salcedo,mx MEX,MFDF,it Fiorentina,22,1993,2,164,82,22.8,1.8,2,,1,0,,3,2.00,5,1,+4,+2.20,+1.55,Matches
1105,Sidney Sam\Sidney-Sam,de GER,FWMF,de Schalke 04,28,1988,1,15,15,1.4,0.2,0,,0,1,,0,0.00,0,1,-1,-6.00,-6.74,Matches
1106,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,at RB Salzburg,20,1996,3,193,64,35.7,2.1,2,,1,1,,2,1.33,2,2,0,0.00,0.00,Matches
1107,Mbwana Samatta\Mbwana-Samatta,tz TAN,FWMF,be Genk,23,1992,12,846,71,78.3,9.4,9,,7,3,,0,1.94,19,16,+3,+0.32,-1.22,Matches
1108,Christopher Samba\Christopher-Samba,cg CGO,DF,gr Panathinaikos,32,1984,4,210,53,38.9,2.3,3,,1,1,,0,0.25,2,5,-3,-1.29,+0.62,Matches
1109,Jairo Samperio\Jairo-Samperio,es ESP,FW,de Mainz 05,23,1993,4,134,34,24.8,1.5,1,,1,3,,0,1.25,2,3,-1,-0.67,-0.45,Matches
1110,Mikel San José\Mikel-San-Jose,es ESP,MF,es Athletic Club,27,1989,6,414,69,57.5,4.6,4,,3,2,,0,1.50,5,9,-4,-0.87,-1.46,Matches
1111,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,it Fiorentina,30,1986,8,385,48,53.5,4.3,4,,3,4,,0,2.00,9,5,+4,+0.94,-0.14,Matches
1112,Davinson Sánchez\Davinson-Sanchez,co COL,DF,nl Ajax,20,1996,12,1110,93,80.4,12.3,12,,12,0,,0,1.92,20,14,+6,+0.49,+0.15,Matches
1113,Sékou Sanogo\Sekou-Sanogo,ci CIV,MF,ch Young Boys,27,1989,4,347,87,64.3,3.9,4,,,0,,0,,,,,,,Matches
1114,Nicola Sansone\Nicola-Sansone,it ITA,FW,es Villarreal,24,1991,6,214,36,29.7,2.4,2,,0,4,,0,1.33,1,5,-4,-1.68,-2.04,Matches
1115,Federico Santander\Federico-Santander,py PAR,FW,dk FC Copenhagen,25,1991,4,304,76,84.4,3.4,4,,1,0,,0,1.75,4,3,+1,+0.30,+1.90,Matches
1116,Davide Santon\Davide-Santon,it ITA,DF,it Inter,25,1991,1,90,90,16.7,1.0,1,,1,0,,3,3.00,1,0,+1,+1.00,+2.00,Matches
1117,Pedro Santos\Pedro-Santos,pt POR,MFFW,pt Braga,28,1988,5,254,51,47.0,2.8,3,,1,2,,0,1.20,3,4,-1,-0.35,-0.04,Matches
1118,Rafael Santos\Rafael-Santos,br BRA,GK,az Gabala FK,27,1989,3,270,90,50.0,3.0,3,,,0,,0,,,,,,,Matches
1119,Rafael Santos\Rafael-Santos,br BRA,DF,az Gabala FK,31,1984,0,,,,,0,,0,0,,2,,,,,,,Matches
1120,Riccardo Saponara\Riccardo-Saponara,it ITA,MF,it Fiorentina,24,1991,0,,,,,0,,0,0,,1,,,,,,,Matches
1121,Cristian Săpunaru\Cristian-Sapunaru,ro ROU,DFMF,ro Astra Giurgiu,32,1984,8,720,90,100.0,8.0,8,,8,0,,0,1.30,9,13,-4,-0.50,,Matches
1122,Bojan Šaranov\Bojan-Saranov,rs SRB,GK,az Qarabağ FK,28,1987,0,,,,,0,,0,0,,3,,,,,,,Matches
1123,Malang Sarr\Malang-Sarr,fr FRA,DFMF,fr Nice,17,1999,4,360,90,66.7,4.0,4,,4,0,,1,0.75,3,8,-5,-1.25,-0.75,Matches
1124,Sangoné Sarr\Sangone-Sarr,sn SEN,MF,ch Zürich,24,1992,6,496,83,91.9,5.5,6,,4,0,,0,1.00,4,7,-3,-0.54,-2.59,Matches
1125,Lucas Sasha\Lucas-Sasha,br BRA,MF,bg Ludogorets,26,1990,0,,,,,0,,0,0,,2,,,,,,,Matches
1126,Gabriel Sava\Gabriel-Sava,ro ROU,GK,ie Dundalk FC,29,1986,1,90,90,16.7,1.0,1,,1,0,,5,0.00,1,2,-1,-1.00,-0.60,Matches
1127,Ezequiel Scarione\Ezequiel-Scarione,ar ARG,FWMF,il Maccabi Tel Aviv,31,1985,4,310,78,57.4,3.4,4,,2,0,,1,1.57,2,3,-1,-0.29,+0.10,Matches
1128,Louis Schaub\Louis-Schaub,at AUT,MF,at Rapid Wien,21,1994,6,465,78,86.1,5.2,5,,4,1,,0,1.30,7,8,-1,-0.19,-0.19,Matches
1129,Thorsten Schick\Thorsten-Schick,at AUT,MF,ch Young Boys,26,1990,6,368,61,68.1,4.1,4,,2,2,,0,1.33,6,3,+3,+0.73,+0.73,Matches
1130,Xaver Schlager\Xaver-Schlager,at AUT,MF,at RB Salzburg,18,1997,2,88,44,16.3,1.0,1,,0,1,,0,2.00,1,0,+1,+1.02,+1.22,Matches
1131,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,eng Manchester Utd,26,1989,2,136,68,9.9,1.5,2,,1,0,,1,0.00,0,2,-2,-1.32,-2.70,Matches
1132,Philipp Schobesberger\Philipp-Schobesberger,at AUT,MF,at Rapid Wien,22,1993,1,27,27,5.0,0.3,0,,0,1,,0,1.75,0,0,0,0.00,+0.18,Matches
1133,Alexander Scholz\Alexander-Scholz,dk DEN,DF,be Standard Liège,23,1992,6,540,90,100.0,6.0,6,,6,0,,0,1.17,8,6,+2,+0.33,,Matches
1134,Marco Schönbächler\Marco-Schonbachler,ch SUI,MFFW,ch Zürich,26,1990,6,240,40,44.4,2.7,2,,1,4,,0,1.00,3,3,0,0.00,+0.60,Matches
1135,Lasse Schöne\Lasse-Schone,dk DEN,MF,nl Ajax,30,1986,12,854,71,61.9,9.5,11,,5,1,,0,1.83,15,11,+4,+0.42,-0.09,Matches
1136,Alessandro Schöpf\Alessandro-Schopf,at AUT,MFFW,de Schalke 04,22,1994,10,487,49,43.9,5.4,6,,2,4,,2,1.80,6,6,0,0.00,-1.16,Matches
1137,Christoph Schösswendter\Christoph-Schosswendter,at AUT,DF,at Rapid Wien,28,1988,4,360,90,66.7,4.0,4,,4,0,,1,1.57,4,5,-1,-0.25,-0.25,Matches
1138,Thomas Schrammel\Thomas-Schrammel,at AUT,DFMF,at Rapid Wien,28,1987,6,540,90,100.0,6.0,6,,6,0,,0,1.30,7,8,-1,-0.17,,Matches
1139,Siebe Schrijvers\Siebe-Schrijvers,be BEL,MFFW,be Genk,20,1996,6,327,55,30.3,3.6,3,,1,3,,0,1.50,8,5,+3,+0.83,+0.35,Matches
