,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
633,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,fr Monaco,24,1992,9,810,90,75.0,9.0,9,,9,0,,0,1.67,16,14,+2,+0.22,+0.89,Matches
634,Leonardo Sigali\Leonardo-Sigali,ar ARG,DF,hr Dinamo Zagreb,29,1987,5,450,90,83.3,5.0,5,,5,0,,1,1.45,0,12,-12,-2.40,+0.60,Matches
635,Adrien Silva\Adrien-Silva,pt POR,MF,pt Sporting CP,27,1989,5,375,75,69.4,4.2,4,,3,1,,0,0.60,4,3,+1,+0.24,+2.42,Matches
636,André Silva\Andre-Silva,pt POR,FWMF,pt Porto,20,1995,8,604,76,83.9,6.7,8,,5,0,,0,1.50,9,4,+5,+0.75,+2.30,Matches
637,Bernardo Silva\Bernardo-Silva,pt POR,MFFW,fr Monaco,21,1994,11,921,84,85.3,10.2,11,,5,0,,0,1.93,20,16,+4,+0.39,+2.66,Matches
638,Caio Henrique Oliveira Silva\Caio-Henrique-Oliveira-Silva,br BRA,DFMF,es Atlético Madrid,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
639,Danilo da Silva\Danilo-da-Silva,br BRA,DF,ua Dynamo Kyiv,29,1986,1,90,90,16.7,1.0,1,,1,0,,0,0.00,0,2,-2,-2.00,-2.80,Matches
640,David Silva\David-Silva,es ESP,MF,eng Manchester City,30,1986,6,540,90,75.0,6.0,6,,6,0,,0,1.57,13,15,-2,-0.33,-3.33,Matches
641,Rafa Silva\Rafa-Silva,pt POR,FW,pt Benfica,23,1993,3,126,42,17.5,1.4,1,,0,2,,0,1.33,2,4,-2,-1.43,-1.28,Matches
642,Thiago Silva\Thiago-Silva,br BRA,DF,fr Paris S-G,31,1984,7,586,84,81.4,6.5,7,,6,0,,0,1.71,13,12,+1,+0.15,-2.53,Matches
643,Timmy Simons\Timmy-Simons,be BEL,MFDF,be Club Brugge,39,1976,4,360,90,66.7,4.0,4,,4,0,,1,0.00,2,11,-9,-2.25,-0.75,Matches
644,Danny Simpson\Danny-Simpson,eng ENG,DF,eng Leicester City,29,1987,6,540,90,60.0,6.0,6,,6,0,,3,1.67,7,5,+2,+0.33,+0.58,Matches
645,Jozo Šimunović\Jozo-Simunovic,hr CRO,DF,sco Celtic,21,1994,2,180,90,33.3,2.0,2,,2,0,,2,0.50,1,3,-2,-1.00,+1.25,Matches
646,Scott Sinclair\Scott-Sinclair,eng ENG,MFFW,sco Celtic,27,1989,5,406,81,75.2,4.5,5,,4,0,,0,0.71,4,14,-10,-2.22,-1.55,Matches
647,Tobias Sippel\Tobias-Sippel,de GER,GK,de M'Gladbach,28,1988,0,,,,,0,,0,0,,6,,,,,,,Matches
