,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
274,Valon Behrami\Valon-Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,20,1398,70,40.9,15.5,18,,6,2,,4,1.45,20,22,-2,-0.13,+0.45,18.9,18.4,+0.5,+0.03,+0.37,Matches
275,Efkan Bekiroglu\Efkan-Bekiroglu,tr TUR,MF,Augsburg,de Bundesliga,21,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
276,Youcef Belaïli\Youcef-Belaili,dz ALG,FW,Angers,fr Ligue 1,25,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
277,Vid Belec\Vid-Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2,180,90,5.3,2.0,2,,2,0,,11,0.00,1,5,-4,-2.00,-2.00,1.1,3.4,-2.4,-1.18,-0.91,Matches
278,Vid Belec\Vid-Belec,si SVN,GK,Benevento,it Serie A,27,1990,13,1113,86,32.5,12.4,13,,12,0,,8,0.46,7,27,-20,-1.62,-0.41,14.5,26.3,-11.8,-0.95,-0.02,Matches
279,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,26,1350,52,44.1,15.0,13,,5,13,,4,1.08,14,19,-5,-0.33,-0.44,21.0,20.3,+0.7,+0.04,+0.53,Matches
280,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,25,2177,87,71.1,24.2,24,,24,1,,2,1.20,26,33,-7,-0.29,+0.42,24.1,35.6,-11.5,-0.48,+0.01,Matches
281,Raoul Bellanova\Raoul-Bellanova,it ITA,MF,Milan,it Serie A,17,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
282,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,27,1990,24,1146,48,37.5,12.7,13,,6,11,,10,1.29,17,24,-7,-0.55,-1.54,23.1,16.7,+6.4,+0.50,-0.24,Matches
283,Alessandro Bellemo\Alessandro-Bellemo,it ITA,MF,SPAL,it Serie A,21,1995,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
284,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,eng Premier League,22,1995,35,3051,87,89.2,33.9,34,,33,1,,0,1.71,67,44,+23,+0.68,+0.68,56.4,43.9,+12.5,+0.37,+0.16,Matches
