,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
351,Albano Bizzarri\Albano-Bizzarri,ar ARG,GK,Udinese,it Serie A,39,1977,32,2880,90,84.2,32.0,32,,31,0,,5,1.16,41,52,-11,-0.34,+0.32,37.2,42.6,-5.4,-0.17,+0.11,Matches
352,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,22,1995,22,1941,88,56.8,21.6,22,,21,0,,12,1.55,37,31,+6,+0.28,+0.70,28.4,29.2,-0.8,-0.04,-0.10,Matches
353,Ludovic Blas\Ludovic-Blas,fr FRA,MF,Guingamp,fr Ligue 1,19,1997,31,1792,58,52.4,19.9,17,,13,14,,3,1.26,26,32,-6,-0.30,-0.02,22.9,29.7,-6.7,-0.34,-0.26,Matches
354,Pablo de Blasis\Pablo-de-Blasis,ar ARG,FWMF,Mainz 05,de Bundesliga,29,1988,25,1652,66,54.0,18.4,20,,11,5,,7,1.24,22,25,-3,-0.16,+0.54,20.6,25.1,-4.5,-0.24,+0.51,Matches
355,Jérémy Blayac\Jeremy-Blayac,fr FRA,FWMF,Strasbourg,fr Ligue 1,34,1983,25,916,37,26.8,10.2,7,,1,18,,12,0.84,12,15,-3,-0.29,+0.42,16.3,12.2,+4.1,+0.40,+0.93,Matches
356,Alexis Blin\Alexis-Blin,fr FRA,MF,Toulouse,fr Ligue 1,20,1996,26,1886,73,55.1,21.0,20,,16,6,,9,0.85,20,34,-14,-0.67,-0.55,23.1,32.6,-9.5,-0.45,-0.59,Matches
357,Daley Blind\Daley-Blind,nl NED,DFMF,Manchester Utd,eng Premier League,27,1990,7,362,52,10.6,4.0,4,,3,3,,11,3.00,11,0,+11,+2.73,+1.88,8.1,2.2,+5.9,+1.46,+1.12,Matches
358,Danny Blum\Danny-Blum,de GER,FWDF,Eint Frankfurt,de Bundesliga,26,1991,2,29,15,0.9,0.3,0,,0,2,,5,0.50,1,1,0,0.00,0.00,0.8,0.3,+0.4,+1.38,+1.35,Matches
359,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FW,Levante,es La Liga,21,1996,25,1281,51,37.5,14.2,10,,5,15,,3,1.28,24,21,+3,+0.21,+0.93,20.6,21.3,-0.7,-0.05,+0.68,Matches
360,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,de Bundesliga,28,1988,19,1640,86,53.6,18.2,19,,15,0,,7,2.79,58,12,+46,+2.52,+1.38,43.6,14.6,+29.0,+1.59,+0.62,Matches
361,Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,MFFW,Eint Frankfurt,de Bundesliga,30,1987,31,2357,76,77.0,26.2,27,,19,4,,0,1.58,41,30,+11,+0.42,+1.83,35.0,30.4,+4.5,+0.17,+0.60,Matches
362,Raúl Bobadilla\Raul-Bobadilla,py PAR,FWMF,M'Gladbach,de Bundesliga,30,1987,13,449,35,14.7,5.0,5,,1,8,,4,1.15,5,6,-1,-0.20,-0.06,7.9,7.7,+0.1,+0.03,+0.04,Matches
363,Giacomo Boccafoglia\Giacomo-Boccafoglia,it ITA,DF,SPAL,it Serie A,18,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
364,Paweł Bochniewicz\Pawel-Bochniewicz,pl POL,DF,Udinese,it Serie A,21,1996,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
365,Yann Bodiger\Yann-Bodiger,fr FRA,MFFW,Toulouse,fr Ligue 1,22,1995,7,227,32,6.6,2.5,2,,1,5,,8,0.57,3,4,-1,-0.40,+0.03,4.5,4.0,+0.5,+0.22,+0.43,Matches
366,Mathieu Bodmer\Mathieu-Bodmer,fr FRA,DFMF,Amiens,fr Ligue 1,34,1982,13,397,31,11.6,4.4,3,,2,10,,0,0.69,3,8,-5,-1.13,-1.13,3.3,10.6,-7.3,-1.69,-1.30,Matches
367,Jeremie Boga\Jeremie-Boga,ci CIV,MF,Chelsea,eng Premier League,20,1997,1,17,17,0.5,0.2,1,,0,0,,0,0.00,0,0,0,0.00,-0.63,0.0,0.0,0.0,-0.03,-0.63,Matches
368,Quentin Boisgard\Quentin-Boisgard,fr FRA,MFFW,Toulouse,fr Ligue 1,20,1997,6,179,30,5.2,2.0,1,,0,5,,9,0.67,2,2,0,0.00,+0.44,2.9,1.7,+1.1,+0.58,+0.81,Matches
369,Yannick Bolasie\Yannick-Bolasie,cd COD,FWMF,Everton,eng Premier League,28,1989,16,851,53,24.9,9.5,11,,2,5,,4,0.88,9,14,-5,-0.53,-0.21,9.0,12.3,-3.3,-0.35,-0.10,Matches
370,Deian Boldor\Deian-Boldor,ro ROU,DF,Hellas Verona,it Serie A,22,1995,1,90,90,2.6,1.0,1,,1,0,,8,1.50,1,2,-1,-1.00,+0.27,0.3,3.0,-2.7,-2.69,-1.64,Matches
371,Thomas Bolis\Thomas-Bolis,it ITA,MF,Atalanta,it Serie A,18,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
372,Giacomo Bonaventura\Giacomo-Bonaventura,it ITA,MF,Milan,it Serie A,27,1989,33,2541,77,74.3,28.2,30,,15,3,,0,1.58,40,29,+11,+0.39,+0.08,38.3,29.1,+9.2,+0.33,-0.25,Matches
373,Federico Bonazzoli\Federico-Bonazzoli,it ITA,FW,SPAL,it Serie A,20,1997,11,176,16,5.1,2.0,2,,0,9,,25,0.45,2,3,-1,-0.51,+0.02,1.9,3.3,-1.4,-0.76,-0.19,Matches
374,Federico Bonazzoli\Federico-Bonazzoli,it ITA,FW,Sampdoria,it Serie A,20,1997,1,28,28,0.8,0.3,0,,0,1,,0,3.00,0,0,0,0.00,+0.11,0.6,0.5,+0.1,+0.17,+0.49,Matches
375,Daniele Bonera\Daniele-Bonera,it ITA,DF,Villarreal,es La Liga,36,1981,15,1192,79,34.9,13.2,14,,12,1,,12,1.73,21,14,+7,+0.53,+0.53,18.9,18.7,+0.3,+0.02,+0.16,Matches
376,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,eng Premier League,29,1988,25,2236,89,65.4,24.8,25,,23,0,,2,1.08,25,36,-11,-0.44,+0.24,25.2,31.3,-6.1,-0.24,+0.31,Matches
377,Adrien Bongiovanni\Adrien-Bongiovanni,be BEL,DF,Monaco,fr Ligue 1,17,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
378,Kevin Bonifazi\Kevin-Bonifazi,it ITA,DFFW,Torino,it Serie A,21,1996,6,408,68,11.9,4.5,4,,3,2,,20,1.83,13,6,+7,+1.54,+1.51,6.2,7.3,-1.0,-0.23,-0.10,Matches
379,Landry Bonnefoi\Landry-Bonnefoi,fr FRA,GK,Strasbourg,fr Ligue 1,33,1983,4,272,68,8.0,3.0,3,,3,1,,5,1.50,5,6,-1,-0.33,+0.30,5.6,4.6,+1.0,+0.33,+0.67,Matches
380,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Milan,it Serie A,30,1987,35,3085,88,90.2,34.3,35,,34,0,,0,1.71,52,39,+13,+0.38,+0.11,50.3,36.3,+14.0,+0.41,+0.19,Matches
381,Wilfried Bony\Wilfried-Bony,ci CIV,FW,Swansea City,eng Premier League,28,1988,15,707,47,20.7,7.9,8,,4,7,,0,0.87,3,8,-5,-0.64,+0.13,5.0,10.0,-4.9,-0.63,+0.14,Matches
382,Giuseppe Borello\Giuseppe-Borello,it ITA,MF,Crotone,it Serie A,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
383,Celso Borges\Celso-Borges,cr CRC,MF,La Coruña,es La Liga,29,1988,32,2295,72,67.1,25.5,26,,16,6,,2,0.88,26,43,-17,-0.67,+1.01,33.0,38.2,-5.2,-0.20,+0.07,Matches
384,Nicola Borghetto\Nicola-Borghetto,it ITA,GK,Hellas Verona,it Serie A,17,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
385,Fabio Borini\Fabio-Borini,it ITA,FWDF,Milan,it Serie A,26,1991,29,1610,56,47.1,17.9,19,,9,10,,7,1.59,24,29,-5,-0.28,-1.22,22.4,22.0,+0.4,+0.02,-0.69,Matches
386,Marco Borriello\Marco-Borriello,it ITA,FW,SPAL,it Serie A,35,1982,15,773,52,22.6,8.6,9,,4,6,,2,0.73,8,15,-7,-0.82,-0.37,8.6,12.9,-4.2,-0.49,+0.11,Matches
387,Davide Borsellini\Davide-Borsellini,it ITA,GK,Udinese,it Serie A,18,1999,0,,,,,0,,0,0,,32,,,,,,,,,,,,Matches
388,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,eng Premier League,37,1980,0,,,,,0,,0,0,,37,,,,,,,,,,,,Matches
389,Olivier Boscagli\Olivier-Boscagli,fr FRA,DF,Nice,fr Ligue 1,19,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
390,Gabriel Boschilia\Gabriel-Boschilia,br BRA,FWMF,Monaco,fr Ligue 1,21,1996,5,85,17,2.5,0.9,1,,0,4,,12,1.60,0,1,-1,-1.06,-2.17,0.8,1.2,-0.4,-0.50,-0.90,Matches
391,Devid Bouah\Devid-Bouah,it ITA,DF,Roma,it Serie A,15,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
392,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Betis,es La Liga,27,1990,27,1364,51,39.9,15.2,15,,3,12,,3,1.63,27,22,+5,+0.33,+0.59,18.2,18.6,-0.4,-0.03,+0.37,Matches
393,Jean-Christophe Bouet\Jean-Christophe-Bouet,fr FRA,GK,Amiens,fr Ligue 1,34,1983,1,90,90,2.6,1.0,1,,1,0,,36,0.00,0,1,-1,-1.00,-0.89,0.5,1.4,-0.9,-0.90,-0.37,Matches
394,Sofiane Boufal\Sofiane-Boufal,ma MAR,FWMF,Southampton,eng Premier League,23,1993,26,1219,47,35.6,13.5,11,,3,15,,6,0.81,18,24,-6,-0.44,+0.09,14.4,17.1,-2.7,-0.20,-0.09,Matches
395,Arnold Bouka Moutou\Arnold-Bouka-Moutou,cg CGO,DF,Dijon,fr Ligue 1,28,1988,6,336,56,9.8,3.7,3,,2,3,,9,1.17,4,11,-7,-1.87,-1.55,4.7,8.0,-3.4,-0.90,-0.24,Matches
396,Farid Boulaya\Farid-Boulaya,dz ALG,FWMF,Metz,fr Ligue 1,24,1993,7,179,26,5.2,2.0,0,,0,7,,7,0.57,3,5,-2,-1.01,+0.11,2.1,3.9,-1.8,-0.94,-0.18,Matches
397,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Girona,es La Liga,26,1991,30,2655,89,77.6,29.5,30,,29,0,,8,1.50,42,46,-4,-0.14,+0.45,37.3,38.2,-0.9,-0.03,-0.38,Matches
398,Emmanuel Bourgaud\Emmanuel-Bourgaud,fr FRA,MFFW,Amiens,fr Ligue 1,29,1987,17,543,32,15.9,6.0,4,,0,13,,15,1.00,4,10,-6,-0.99,-1.03,6.6,10.2,-3.5,-0.59,-0.07,Matches
399,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MFFW,Rennes,fr Ligue 1,23,1994,37,3102,84,90.7,34.5,35,,30,2,,0,1.57,46,41,+5,+0.15,-0.14,45.0,49.1,-4.0,-0.12,-0.09,Matches
400,Eneko Bóveda\Eneko-Boveda,es ESP,DF,Athletic Club,es La Liga,28,1988,6,521,87,15.2,5.8,6,,5,0,,12,0.67,4,9,-5,-0.86,-0.77,5.7,7.8,-2.1,-0.36,-0.37,Matches
401,Eneko Bóveda\Eneko-Boveda,es ESP,DF,La Coruña,es La Liga,28,1988,8,667,83,19.5,7.4,7,,5,1,,0,0.38,2,15,-13,-1.75,-0.94,7.5,9.0,-1.6,-0.21,+0.02,Matches
402,Lucas Boyé\Lucas-Boye,ar ARG,FWMF,Torino,it Serie A,21,1996,11,155,14,4.5,1.7,0,,0,11,,8,1.18,2,3,-1,-0.58,-0.83,2.0,4.1,-2.1,-1.31,-1.22,Matches
403,Lucas Boyé\Lucas-Boye,ar ARG,FWMF,Celta Vigo,es La Liga,21,1996,13,287,22,8.4,3.2,2,,0,11,,2,1.08,0,8,-8,-2.51,-2.71,3.5,4.4,-0.9,-0.31,-0.34,Matches
404,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,eng Premier League,25,1992,15,1277,85,37.3,14.2,15,,13,0,,0,1.67,14,12,+2,+0.14,+0.35,11.9,18.0,-6.1,-0.43,-0.11,Matches
405,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Bordeaux,fr Ligue 1,26,1991,14,916,65,26.8,10.2,11,,7,3,,0,1.64,20,11,+9,+0.88,+1.03,15.6,12.9,+2.8,+0.27,-0.06,Matches
406,Federico Brancolini\Federico-Brancolini,it ITA,GK,Fiorentina,it Serie A,16,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
407,Brandon\Brandon,es ESP,MFFW,Rennes,fr Ligue 1,22,1995,11,358,33,10.5,4.0,3,,1,8,,8,1.82,7,5,+2,+0.50,+0.39,5.4,6.2,-0.7,-0.19,-0.09,Matches
408,Julian Brandt\Julian-Brandt,de GER,FWMF,Leverkusen,de Bundesliga,21,1996,34,2326,68,76.0,25.8,26,,12,8,,0,1.62,51,34,+17,+0.66,+1.03,44.3,29.4,+14.9,+0.57,-0.34,Matches
409,Darko Brašanac\Darko-Brasanac,rs SRB,MFFW,Leganés,es La Liga,25,1992,23,1204,52,35.2,13.4,13,,5,10,,3,1.00,15,18,-3,-0.22,+0.34,12.0,17.7,-5.7,-0.43,-0.38,Matches
410,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,eng Premier League,34,1983,3,226,75,6.6,2.5,2,,2,1,,35,3.00,8,1,+7,+2.79,+0.76,4.2,1.4,+2.9,+1.14,-0.39,Matches
411,Josip Brekalo\Josip-Brekalo,hr CRO,MFFW,Stuttgart,de Bundesliga,19,1998,14,726,52,23.7,8.1,7,,3,7,,2,1.00,5,9,-4,-0.50,-0.65,12.5,11.4,+1.1,+0.14,+0.41,Matches
412,Josip Brekalo\Josip-Brekalo,hr CRO,FWMF,Wolfsburg,de Bundesliga,19,1998,13,869,67,28.4,9.7,10,,2,3,,3,0.77,10,13,-3,-0.31,+0.06,12.1,12.5,-0.4,-0.04,+0.36,Matches
413,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Guingamp,fr Ligue 1,31,1985,37,3209,87,93.8,35.7,36,,32,1,,0,1.24,46,51,-5,-0.14,+2.42,43.1,47.9,-4.8,-0.13,+1.33,Matches
414,Fabrizio Brignani\Fabrizio-Brignani,it ITA,DF,Bologna,it Serie A,19,1998,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
415,Enrico Brignola\Enrico-Brignola,it ITA,FWMF,Benevento,it Serie A,18,1999,18,1347,75,39.4,15.0,16,,8,2,,9,1.17,22,26,-4,-0.27,+1.77,18.7,22.7,-4.0,-0.26,+1.11,Matches
416,Alberto Brignoli\Alberto-Brignoli,it ITA,GK,Benevento,it Serie A,25,1991,13,1126,87,32.9,12.5,11,,11,2,,25,0.38,14,31,-17,-1.36,-0.02,13.3,25.5,-12.2,-0.97,-0.06,Matches
417,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,eng Premier League,32,1985,12,797,66,23.3,8.9,10,,7,2,,7,1.42,15,16,-1,-0.11,+0.54,12.4,14.3,-1.9,-0.22,+0.08,Matches
418,Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,eng Premier League,34,1982,5,302,60,8.8,3.4,4,,0,1,,2,0.80,2,1,+1,+0.30,+1.14,4.0,2.8,+1.3,+0.38,+1.23,Matches
419,Petar Brlek\Petar-Brlek,hr CRO,MF,Genoa,it Serie A,23,1994,5,232,46,6.8,2.6,3,,0,2,,11,1.60,2,2,0,0.00,+0.28,1.4,4.5,-3.1,-1.20,-1.22,Matches
420,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,24,1993,9,727,81,23.8,8.1,9,,7,0,,2,1.44,16,9,+7,+0.87,+1.60,13.8,9.8,+4.1,+0.50,+1.06,Matches
421,Daniel Brosinski\Daniel-Brosinski,de GER,DFMF,Mainz 05,de Bundesliga,29,1988,29,2500,86,81.7,27.8,28,,25,1,,3,1.10,34,42,-8,-0.29,+0.68,28.7,41.8,-13.1,-0.47,+0.04,Matches
422,Izzy Brown\Izzy-Brown,eng ENG,MFFW,Brighton,eng Premier League,20,1997,13,311,24,9.1,3.5,4,,0,9,,2,0.92,1,8,-7,-2.03,-1.65,2.5,6.8,-4.3,-1.24,-0.97,Matches
423,Marcus Browne\Marcus-Browne,eng ENG,FWMF,West Ham,eng Premier League,19,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
424,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,24,1992,31,1926,62,56.3,21.4,21,,14,10,,3,1.84,42,15,+27,+1.26,+0.72,36.4,18.1,+18.3,+0.86,+0.41,Matches
425,Bruma\Bruma,pt POR,MFFW,RB Leipzig,de Bundesliga,22,1994,28,1611,58,52.6,17.9,16,,5,12,,5,1.43,23,26,-3,-0.17,-0.60,28.7,23.8,+5.0,+0.28,+0.05,Matches
426,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,de Bundesliga,25,1991,11,990,90,32.4,11.0,11,,11,0,,4,0.55,7,18,-11,-1.00,-0.96,9.9,15.4,-5.5,-0.50,-0.29,Matches
427,Bruno\Bruno,es ESP,DF,Brighton,eng Premier League,36,1980,25,2016,81,58.9,22.4,23,,19,2,,10,1.24,16,23,-7,-0.31,+0.52,16.5,26.1,-9.6,-0.43,-0.18,Matches
428,Chris Brunt\Chris-Brunt,nir NIR,MFDF,West Brom,eng Premier League,32,1984,26,1920,74,56.1,21.3,22,,15,4,,9,1.04,22,23,-1,-0.05,+1.39,22.4,25.9,-3.5,-0.16,+0.43,Matches
429,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,MFDF,Stuttgart,de Bundesliga,18,1998,4,107,27,3.5,1.2,1,,0,3,,6,1.00,0,3,-3,-2.52,-2.61,0.6,2.4,-1.8,-1.60,-1.47,Matches
430,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,DF,Dortmund,de Bundesliga,18,1998,1,7,7,0.2,0.1,0,,0,1,,1,3.00,0,0,0,0.00,-0.50,0.1,0.1,0.0,-0.13,-0.69,Matches
431,Lorenzo Bruzzi\Lorenzo-Bruzzi,it ITA,GK,Bologna,it Serie A,17,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
432,Marcel Büchel\Marcel-Buchel,li LIE,MF,Hellas Verona,it Serie A,26,1991,23,1696,74,49.6,18.8,20,,13,3,,6,0.78,17,35,-18,-0.96,+0.61,16.0,40.4,-24.4,-1.29,-0.40,Matches
433,Ante Budimir\Ante-Budimir,hr CRO,FW,Crotone,it Serie A,26,1991,22,1588,72,46.4,17.6,17,,11,5,,2,0.73,11,31,-20,-1.13,-0.84,15.8,27.5,-11.7,-0.66,-0.12,Matches
434,Alberto Bueno\Alberto-Bueno,es ESP,FWMF,Málaga,es La Liga,29,1988,11,233,21,6.8,2.6,1,,0,10,,9,0.27,1,4,-3,-1.16,-0.20,2.1,3.4,-1.2,-0.52,-0.01,Matches
435,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,39,1978,21,1862,89,54.4,20.7,21,,20,0,,11,2.52,55,14,+41,+1.98,+0.77,31.4,17.0,+14.5,+0.70,-0.26,Matches
436,Onur Bulut\Onur-Bulut,tr TUR,MF,Freiburg,de Bundesliga,23,1994,1,39,39,1.3,0.4,0,,0,1,,0,0.00,0,3,-3,-6.92,-6.30,0.1,1.2,-1.1,-2.61,-2.36,Matches
437,Niko Bungert\Niko-Bungert,de GER,DF,Mainz 05,de Bundesliga,30,1986,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
438,Alessandro Buongiorno\Alessandro-Buongiorno,it ITA,DF,Torino,it Serie A,18,1999,1,9,9,0.3,0.1,0,,0,1,,2,3.00,0,3,-3,-30.00,-30.29,0.0,0.6,-0.6,-6.27,-6.14,Matches
439,Nicolás Burdisso\Nicolas-Burdisso,ar ARG,DF,Torino,it Serie A,36,1981,24,2069,86,60.5,23.0,23,,22,1,,11,1.46,31,21,+10,+0.43,+0.57,27.1,29.3,-2.2,-0.10,+0.12,Matches
440,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,28,1989,32,2324,73,75.9,25.8,24,,14,8,,0,1.78,41,33,+8,+0.31,-0.67,36.4,34.3,+2.0,+0.08,-0.35,Matches
441,Burgui\Burgui,es ESP,FWMF,Alavés,es La Liga,23,1993,23,1037,45,30.3,11.5,12,,1,11,,4,0.83,15,12,+3,+0.26,+0.75,14.2,14.6,-0.4,-0.03,+0.49,Matches
442,Oliver Burke\Oliver-Burke,sco SCO,FWMF,West Brom,eng Premier League,20,1997,15,367,24,10.7,4.1,2,,0,13,,10,0.20,6,11,-5,-1.23,-0.64,4.7,5.6,-0.9,-0.22,+0.15,Matches
443,Reece Burke\Reece-Burke,eng ENG,DF,West Ham,eng Premier League,20,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
444,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,26,1990,33,2969,90,97.0,33.0,33,,32,0,,0,1.64,60,43,+17,+0.52,+0.52,61.8,42.8,+19.1,+0.58,+0.59,Matches
445,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,21,1996,13,897,69,26.2,10.0,10,,9,3,,18,1.69,11,11,0,0.00,-0.04,10.8,11.9,-1.1,-0.11,-0.28,Matches
446,Dženis Burnić\Dzenis-Burnic,de GER,MFDF,Stuttgart,de Bundesliga,19,1998,6,305,51,10.0,3.4,3,,1,3,,11,0.50,4,3,+1,+0.30,+0.33,4.5,5.7,-1.2,-0.36,-0.20,Matches
447,Oriol Busquets\Oriol-Busquets,es ESP,MF,Barcelona,es La Liga,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
448,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,29,1988,31,2588,83,75.7,28.8,30,,22,1,,2,2.45,72,23,+49,+1.70,-0.57,55.5,30.2,+25.2,+0.87,-0.44,Matches
449,Gaëtan Bussmann\Gaetan-Bussmann,fr FRA,DF,Mainz 05,de Bundesliga,26,1991,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
450,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,es La Liga,25,1992,20,1638,82,47.9,18.2,18,,17,2,,10,1.15,18,30,-12,-0.66,-0.41,19.9,22.0,-2.0,-0.11,+0.13,Matches
451,Matt Butcher\Matt-Butcher,eng ENG,MF,Bournemouth,eng Premier League,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
452,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,34,1983,19,1652,87,48.3,18.4,19,,18,0,,0,1.21,21,22,-1,-0.05,+0.40,23.0,18.3,+4.7,+0.26,+0.42,Matches
453,Karlo Butić\Karlo-Butic,hr CRO,FW,Torino,it Serie A,18,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
454,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,eng Premier League,24,1993,35,3150,90,92.1,35.0,35,,35,0,,0,0.91,32,61,-29,-0.83,+0.50,34.0,55.3,-21.2,-0.61,-0.14,Matches
455,Sam Byram\Sam-Byram,eng ENG,DF,West Ham,eng Premier League,23,1993,5,248,50,7.3,2.8,2,,1,3,,7,1.00,4,7,-3,-1.09,-0.61,2.9,4.3,-1.4,-0.51,+0.03,Matches
456,Jakub Błaszczykowski\Jakub-Blaszczykowski,pl POL,FWMF,Wolfsburg,de Bundesliga,31,1985,9,520,58,17.0,5.8,6,,2,3,,2,1.00,7,9,-2,-0.35,+0.01,6.6,9.9,-3.3,-0.56,-0.32,Matches
457,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,es La Liga,22,1995,14,1039,74,30.4,11.5,12,,10,2,,6,1.43,11,17,-6,-0.52,-0.22,11.6,18.8,-7.2,-0.62,-0.21,Matches
458,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,35,1981,3,270,90,7.9,3.0,3,,3,0,,35,1.33,6,4,+2,+0.67,+0.04,4.9,2.8,+2.1,+0.70,+0.11,Matches
459,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,eng Premier League,31,1986,31,2376,77,69.5,26.4,28,,13,3,,2,1.29,32,36,-4,-0.15,+0.37,38.2,30.0,+8.2,+0.31,+0.56,Matches
460,Rémy Cabella\Remy-Cabella,fr FRA,MF,Marseille,fr Ligue 1,27,1990,3,64,21,1.9,0.7,0,,0,3,,1,1.33,2,2,0,0.00,-0.88,2.3,2.3,0.0,-0.07,-0.88,Matches
461,Rémy Cabella\Remy-Cabella,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,27,1990,26,2259,87,66.1,25.1,25,,22,1,,0,1.54,31,28,+3,+0.12,+0.58,34.8,35.4,-0.6,-0.02,-0.12,Matches
462,Gustavo Cabral\Gustavo-Cabral,ar ARG,DF,Celta Vigo,es La Liga,31,1985,25,1875,75,54.8,20.8,20,,15,5,,11,1.27,32,30,+2,+0.10,+0.27,27.3,32.9,-5.6,-0.27,-0.62,Matches
463,Rafael Cabral\Rafael-Cabral,br BRA,GK,Napoli,it Serie A,27,1990,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
464,Nicolò Cabras\Nicolo-Cabras,it ITA,GK,Cagliari,it Serie A,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
465,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Crotone,it Serie A,26,1991,5,365,73,10.7,4.1,4,,3,1,,14,0.20,1,10,-9,-2.22,-1.72,3.0,6.4,-3.4,-0.83,-0.26,Matches
466,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,es La Liga,26,1991,9,720,80,21.1,8.0,8,,7,1,,5,1.78,9,6,+3,+0.37,+0.17,9.2,6.0,+3.1,+0.39,+0.18,Matches
467,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Chievo,it Serie A,30,1986,33,2871,87,83.9,31.9,32,,30,1,,1,1.03,31,51,-20,-0.63,-0.14,28.6,44.5,-15.8,-0.50,+0.52,Matches
468,Martín Cáceres\Martin-Caceres,uy URU,DF,Lazio,it Serie A,30,1987,6,441,74,12.9,4.9,4,,4,2,,11,1.83,12,7,+5,+1.02,-0.04,8.5,5.6,+2.9,+0.60,+0.11,Matches
469,Martín Cáceres\Martin-Caceres,uy URU,DF,Hellas Verona,it Serie A,30,1987,14,1165,83,34.1,12.9,14,,11,0,,3,0.86,15,27,-12,-0.93,+0.51,14.2,27.3,-13.0,-1.01,+0.13,Matches
470,Anthony Caci\Anthony-Caci,fr FRA,DFMF,Strasbourg,fr Ligue 1,20,1997,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
471,Cafú\Cafu,pt POR,MF,Metz,fr Ligue 1,24,1993,10,679,68,19.9,7.5,8,,5,2,,3,0.40,2,12,-10,-1.33,-0.27,7.0,13.5,-6.5,-0.86,-0.12,Matches
