Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Scott Arfield,ca CAN,MF,Burnley,eng Premier League,1988.0,31,2102.0,68.0,61.5,23.4,23,,10.0,8,,3,1.06,21.0,36.0,-15.0,-0.64,-0.57,2017,,,,,
Fernando Aristeguieta,ve VEN,FW,Nantes,fr Ligue 1,1992.0,5,52.0,10.0,1.5,0.6,0,,0.0,5,,10,0.2,0.0,1.0,-1.0,-1.73,-1.38,2017,,,,,
Sylvain Armand,fr FRA,DF,Rennes,fr Ligue 1,1980.0,1,66.0,66.0,1.9,0.7,0,,0.0,1,,5,3.0,2.0,1.0,1.0,1.36,1.55,2017,,,,,
Panos Armenakas,au AUS,MF,Udinese,it Serie A,1998.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Pablo Armero,co COL,DF,Udinese,it Serie A,1986.0,2,180.0,90.0,5.3,2.0,2,,2.0,0,,5,1.5,2.0,2.0,0.0,0.0,0.25,2017,,,,,
Marko Arnautović,at AUT,MFFW,Stoke City,eng Premier League,1989.0,32,2714.0,85.0,79.4,30.2,32,,20.0,0,,0,1.19,33.0,43.0,-10.0,-0.33,0.31,2017,,,,,
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,1994.0,32,2423.0,76.0,79.2,26.9,28,,23.0,4,,0,1.06,28.0,41.0,-13.0,-0.48,0.22,2017,,,,,
Davide Arras,it ITA,FW,Cagliari,it Serie A,1998.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Alejandro Arribas,es ESP,DF,La Coruña,es La Liga,1989.0,23,1914.0,83.0,56.0,21.3,20,,20.0,3,,13,0.91,21.0,31.0,-10.0,-0.47,0.01,2017,,,,,
Sergio Arribas,es ESP,MF,Leganés,es La Liga,1995.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Harry Arter,ie IRL,MF,Bournemouth,eng Premier League,1989.0,35,2957.0,84.0,86.5,32.9,33,,28.0,2,,1,1.17,49.0,61.0,-12.0,-0.37,-0.37,2017,,,,,
Aythami Artiles,es ESP,DF,Las Palmas,es La Liga,1986.0,11,836.0,76.0,24.4,9.3,8,,5.0,3,,8,0.42,8.0,21.0,-13.0,-1.4,-1.12,2017,,,,,
Kwadwo Asamoah,gh GHA,DFMF,Juventus,it Serie A,1988.0,18,1472.0,82.0,43.0,16.4,16,,16.0,2,,16,2.44,33.0,11.0,22.0,1.35,0.05,2017,,,,,
Carlos Ascues,pe PER,DFMF,Wolfsburg,de Bundesliga,1992.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Raúl Asencio,es ESP,FW,Genoa,it Serie A,1998.0,0,,,,,0,,0.0,0,,3,,,,,,,2017,,,,,
Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,1996.0,23,1083.0,47.0,31.7,12.0,11,,5.0,12,,10,2.61,37.0,15.0,22.0,1.83,0.17,2017,,,,,
Joel Asoro,se SWE,FW,Sunderland,eng Premier League,1999.0,1,10.0,10.0,0.3,0.1,0,,0.0,1,,8,0.0,0.0,0.0,0.0,0.0,1.06,2017,,,,,
Iago Aspas,es ESP,FWMF,Celta Vigo,es La Liga,1987.0,32,2317.0,72.0,67.7,25.7,25,,15.0,7,,3,1.22,44.0,44.0,0.0,0.0,1.31,2017,,,,,
