Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Jordan Henderson,eng ENG,MF,Liverpool,eng Premier League,1990.0,24,2116.0,88.0,61.9,23.5,24,,22.0,0,,0,2.0,52.0,28.0,24.0,1.02,0.19,2017,,,,,
Jeff Hendrick,ie IRL,MF,Burnley,eng Premier League,1992.0,32,2692.0,84.0,78.7,29.9,31,,26.0,1,,0,1.0,27.0,45.0,-18.0,-0.6,-0.85,2017,,,,,
Benjamin Henrichs,de GER,DF,Leverkusen,de Bundesliga,1997.0,29,2427.0,84.0,79.3,27.0,27,,25.0,2,,3,1.28,46.0,48.0,-2.0,-0.07,-0.07,2017,,,,,
Markus Henriksen,no NOR,MF,Hull City,eng Premier League,1992.0,15,638.0,43.0,18.7,7.1,6,,2.0,9,,8,0.8,5.0,13.0,-8.0,-1.13,0.0,2017,,,,,
Bruno Henrique,br BRA,MF,Wolfsburg,de Bundesliga,1990.0,7,183.0,26.0,6.0,2.0,1,,0.0,6,,2,0.86,2.0,5.0,-3.0,-1.48,-1.01,2017,,,,,
Bruno Henrique,br BRA,MF,Palermo,it Serie A,1989.0,33,2213.0,67.0,64.7,24.6,24,,14.0,9,,1,0.76,22.0,49.0,-27.0,-1.1,0.17,2017,,,,,
Dalbert Henrique,br BRA,DFMF,Nice,fr Ligue 1,1993.0,33,2867.0,87.0,83.8,31.9,33,,29.0,0,,0,2.06,49.0,29.0,20.0,0.63,-0.51,2017,,,,,
Pedro Henrique,br BRA,MF,Rennes,fr Ligue 1,1990.0,13,331.0,25.0,9.7,3.7,4,,0.0,9,,5,1.62,5.0,8.0,-3.0,-0.82,-0.73,2017,,,,,
Uche Henry Agbo,ng NGA,MF,Granada,es La Liga,1995.0,31,2377.0,77.0,69.5,26.4,28,,17.0,3,,0,0.58,20.0,57.0,-37.0,-1.4,-0.11,2017,,,,,
Hernán,es ESP,MF,Las Palmas,es La Liga,1990.0,10,296.0,30.0,8.7,3.3,3,,0.0,7,,6,0.3,0.0,10.0,-10.0,-3.04,-2.72,2017,,,,,
Abel Hernández,uy URU,FW,Hull City,eng Premier League,1990.0,24,1425.0,59.0,41.7,15.8,16,,6.0,8,,2,1.25,19.0,23.0,-4.0,-0.25,1.51,2017,,,,,
Héctor Hernández,es ESP,DF,Real Sociedad,es La Liga,1991.0,4,254.0,64.0,7.4,2.8,2,,2.0,2,,4,2.25,3.0,3.0,0.0,0.0,-0.17,2017,,,,,
Héctor Hernández,es ESP,DFMF,Granada,es La Liga,1991.0,13,907.0,70.0,26.5,10.1,11,,5.0,2,,1,0.77,10.0,17.0,-7.0,-0.69,0.92,2017,,,,,
Javier Hernández,mx MEX,FW,Leverkusen,de Bundesliga,1988.0,26,1813.0,70.0,59.2,20.1,20,,13.0,6,,2,1.35,36.0,31.0,5.0,0.25,0.75,2017,,,,,
Lucas Hernández,fr FRA,DF,Atlético Madrid,es La Liga,1996.0,15,1257.0,84.0,36.8,14.0,13,,13.0,2,,19,2.67,33.0,9.0,24.0,1.72,0.93,2017,,,,,
Luis Hernández,es ESP,DF,Leicester City,eng Premier League,1989.0,4,327.0,82.0,9.6,3.6,3,,3.0,1,,11,0.0,2.0,8.0,-6.0,-1.65,-1.39,2017,,,,,
Luis Hernández,es ESP,DF,Málaga,es La Liga,1989.0,19,1678.0,88.0,49.1,18.6,19,,18.0,0,,0,1.32,22.0,21.0,1.0,0.05,0.42,2017,,,,,
Pablo Hernández,cl CHI,MF,Celta Vigo,es La Liga,1986.0,26,1905.0,73.0,55.7,21.2,20,,18.0,6,,1,1.12,35.0,41.0,-6.0,-0.28,0.31,2017,,,,,
Theo Hernández,fr FRA,DF,Alavés,es La Liga,1997.0,32,2725.0,85.0,79.7,30.3,30,,27.0,2,,1,1.44,30.0,33.0,-3.0,-0.1,-0.23,2017,,,,,
Hernanes,br BRA,MF,Juventus,it Serie A,1985.0,10,721.0,72.0,21.1,8.0,8,,6.0,2,,11,2.4,17.0,7.0,10.0,1.25,-0.09,2017,,,,,
Ander Herrera,es ESP,MF,Manchester Utd,eng Premier League,1989.0,31,2464.0,79.0,72.0,27.4,27,,21.0,4,,3,1.77,39.0,18.0,21.0,0.77,0.39,2017,,,,,
Patrick Herrmann,de GER,MF,M'Gladbach,de Bundesliga,1991.0,18,696.0,39.0,22.7,7.7,9,,0.0,9,,6,1.06,10.0,12.0,-2.0,-0.26,-0.18,2017,,,,,
Jake Hesketh,eng ENG,FWMF,Southampton,eng Premier League,1996.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Përparim Hetemaj,fi FIN,MF,Chievo,it Serie A,1986.0,23,1872.0,81.0,54.7,20.8,21,,17.0,2,,0,1.26,24.0,25.0,-1.0,-0.05,0.94,2017,,,,,
Son Heung-min,kr KOR,MFFW,Tottenham,eng Premier League,1992.0,34,2062.0,61.0,60.3,22.9,23,,8.0,11,,2,2.29,56.0,18.0,38.0,1.66,0.2,2017,,,,,
Thomas Heurtaux,fr FRA,DF,Udinese,it Serie A,1988.0,12,528.0,44.0,15.4,5.9,6,,4.0,6,,21,1.17,5.0,13.0,-8.0,-1.36,-1.33,2017,,,,,
Gonzalo Higuaín,ar ARG,FW,Juventus,it Serie A,1987.0,38,2966.0,78.0,86.7,33.0,32,,25.0,6,,0,2.39,72.0,21.0,51.0,1.55,1.75,2017,,,,,
Mattia El Hilali,it ITA,MF,Milan,it Serie A,1998.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Roberto Hilbert,de GER,DF,Leverkusen,de Bundesliga,1984.0,7,585.0,84.0,19.1,6.5,7,,6.0,0,,6,0.71,6.0,10.0,-4.0,-0.62,-0.69,2017,,,,,
Oscar Hiljemark,se SWE,MF,Genoa,it Serie A,1992.0,14,802.0,57.0,23.5,8.9,10,,4.0,4,,3,0.43,5.0,19.0,-14.0,-1.57,-1.16,2017,,,,,
Oscar Hiljemark,se SWE,MF,Palermo,it Serie A,1992.0,15,1065.0,71.0,31.1,11.8,12,,8.0,3,,4,0.6,9.0,23.0,-14.0,-1.18,-0.04,2017,,,,,
Vitorino Hilton,br BRA,DF,Montpellier,fr Ligue 1,1977.0,32,2803.0,88.0,82.0,31.1,32,,28.0,0,,0,1.09,41.0,53.0,-12.0,-0.39,0.49,2017,,,,,
Martin Hinteregger,at AUT,DF,Augsburg,de Bundesliga,1992.0,31,2773.0,89.0,90.6,30.8,31,,30.0,0,,0,1.23,35.0,41.0,-6.0,-0.19,2.94,2017,,,,,
Lukas Hinterseer,at AUT,FWMF,Ingolstadt 04,de Bundesliga,1991.0,28,967.0,35.0,31.6,10.7,8,,4.0,20,,6,1.0,10.0,27.0,-17.0,-1.58,-1.41,2017,,,,,
Andrew Hjulsager,dk DEN,MF,Celta Vigo,es La Liga,1995.0,7,262.0,37.0,7.7,2.9,3,,0.0,4,,5,1.0,5.0,7.0,-2.0,-0.69,-0.29,2017,,,,,
Tommie Hoban,ie IRL,DF,Watford,eng Premier League,1994.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Wesley Hoedt,nl NED,DF,Lazio,it Serie A,1994.0,23,1882.0,82.0,55.0,20.9,21,,19.0,2,,14,2.04,51.0,29.0,22.0,1.05,0.99,2017,,,,,
Nicolas Höfler,de GER,MFDF,Freiburg,de Bundesliga,1990.0,28,2366.0,85.0,77.3,26.3,26,,23.0,2,,1,1.43,36.0,47.0,-11.0,-0.42,0.49,2017,,,,,
Jonas Hofmann,de GER,MFFW,M'Gladbach,de Bundesliga,1992.0,21,1380.0,66.0,45.1,15.3,16,,8.0,5,,11,1.29,23.0,26.0,-3.0,-0.2,-0.14,2017,,,,,
Marco Höger,de GER,MF,Köln,de Bundesliga,1989.0,30,2058.0,69.0,67.3,22.9,24,,13.0,6,,1,1.47,32.0,27.0,5.0,0.22,-0.14,2017,,,,,
Immanuel Höhn,de GER,DF,Darmstadt 98,de Bundesliga,1991.0,12,1068.0,89.0,34.9,11.9,12,,11.0,0,,8,0.67,11.0,24.0,-13.0,-1.1,-0.1,2017,,,,,
Rob Holding,eng ENG,DF,Arsenal,eng Premier League,1995.0,9,810.0,90.0,23.7,9.0,9,,9.0,0,,12,2.44,21.0,8.0,13.0,1.44,0.75,2017,,,,,
José Holebas,gr GRE,DFMF,Watford,eng Premier League,1984.0,33,2905.0,88.0,84.9,32.3,33,,28.0,0,,1,1.03,35.0,61.0,-26.0,-0.81,-0.46,2017,,,,,
Mason Holgate,eng ENG,DF,Everton,eng Premier League,1996.0,18,1372.0,76.0,40.1,15.2,16,,13.0,2,,20,1.78,26.0,18.0,8.0,0.52,0.09,2017,,,,,
Fabian Holland,de GER,DF,Darmstadt 98,de Bundesliga,1990.0,26,2255.0,87.0,73.7,25.1,25,,21.0,1,,6,0.77,19.0,45.0,-26.0,-1.04,-0.03,2017,,,,,
Nathan Holland,eng ENG,MF,West Ham,eng Premier League,1998.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Lewis Holtby,de GER,MF,Hamburger SV,de Bundesliga,1990.0,29,2413.0,83.0,78.9,26.8,29,,19.0,0,,3,1.17,22.0,47.0,-25.0,-0.93,-0.52,2017,,,,,
Gerrit Holtmann,de GER,MF,Mainz 05,de Bundesliga,1995.0,5,128.0,26.0,4.2,1.4,1,,1.0,4,,5,0.6,2.0,3.0,-1.0,-0.7,-0.4,2017,,,,,
Keisuke Honda,jp JPN,FW,Milan,it Serie A,1986.0,8,227.0,28.0,6.6,2.5,2,,1.0,6,,28,1.13,5.0,4.0,1.0,0.4,0.09,2017,,,,,
George Honeyman,eng ENG,MF,Sunderland,eng Premier League,1994.0,5,235.0,47.0,6.9,2.6,2,,1.0,3,,10,0.8,1.0,4.0,-3.0,-1.15,-0.1,2017,,,,,
Martin Hongla,cm CMR,DFMF,Granada,es La Liga,1998.0,10,793.0,79.0,23.2,8.8,8,,6.0,2,,5,0.6,9.0,18.0,-9.0,-1.02,0.45,2017,,,,,
Jannes Horn,de GER,DFMF,Wolfsburg,de Bundesliga,1997.0,13,976.0,75.0,31.9,10.8,10,,9.0,3,,11,0.77,10.0,24.0,-14.0,-1.29,-1.12,2017,,,,,
Lyes Houri,fr FRA,MF,Bastia,fr Ligue 1,1996.0,0,,,,,0,,0.0,0,,4,,,,,,,2017,,,,,
Benedikt Höwedes,de GER,DF,Schalke 04,de Bundesliga,1988.0,31,2790.0,90.0,91.2,31.0,31,,31.0,0,,0,1.35,43.0,36.0,7.0,0.23,0.89,2017,,,,,
Branimir Hrgota,se SWE,FW,Eint Frankfurt,de Bundesliga,1993.0,28,1735.0,62.0,56.7,19.3,22,,4.0,6,,6,1.25,20.0,24.0,-4.0,-0.21,0.0,2017,,,,,
Benjamin Hübner,de GER,DF,Hoffenheim,de Bundesliga,1989.0,25,2143.0,86.0,70.0,23.8,25,,19.0,0,,0,1.88,43.0,24.0,19.0,0.8,0.01,2017,,,,,
Tomáš Hubočan,sk SVK,DF,Marseille,fr Ligue 1,1985.0,13,997.0,77.0,29.2,11.1,11,,11.0,2,,10,1.69,15.0,10.0,5.0,0.45,0.04,2017,,,,,
Tom Huddlestone,eng ENG,MF,Hull City,eng Premier League,1986.0,31,2026.0,65.0,59.2,22.5,23,,15.0,8,,4,0.87,20.0,44.0,-24.0,-1.07,0.16,2017,,,,,
Lucas Hufnagel,ge GEO,MF,Freiburg,de Bundesliga,1994.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Mats Hummels,de GER,DF,Bayern Munich,de Bundesliga,1988.0,27,2181.0,81.0,71.3,24.2,24,,21.0,3,,2,2.33,56.0,15.0,41.0,1.69,-0.97,2017,,,,,
Adrien Hunou,fr FRA,MF,Rennes,fr Ligue 1,1994.0,22,1139.0,52.0,33.3,12.7,11,,6.0,11,,10,1.41,13.0,14.0,-1.0,-0.08,0.12,2017,,,,,
Aaron Hunt,de GER,MF,Hamburger SV,de Bundesliga,1986.0,22,1302.0,59.0,42.5,14.5,14,,7.0,8,,6,1.09,14.0,24.0,-10.0,-0.69,0.23,2017,,,,,
Klaas-Jan Huntelaar,nl NED,FW,Schalke 04,de Bundesliga,1983.0,16,758.0,47.0,24.8,8.4,7,,4.0,9,,5,0.88,6.0,13.0,-7.0,-0.83,-1.3,2017,,,,,
James Husband,eng ENG,DF,Middlesbrough,eng Premier League,1994.0,1,58.0,58.0,1.7,0.6,1,,0.0,0,,0,0.0,2.0,3.0,-1.0,-1.55,-0.88,2017,,,,,
Noor Husin,af AFG,MF,Crystal Palace,eng Premier League,1997.0,0,,,,,0,,0.0,0,,4,,,,,,,2017,,,,,
Szabolcs Huszti,hu HUN,MF,Eint Frankfurt,de Bundesliga,1983.0,15,1039.0,69.0,34.0,11.5,14,,4.0,1,,0,1.73,12.0,12.0,0.0,0.0,0.31,2017,,,,,
Robert Huth,de GER,DF,Leicester City,eng Premier League,1984.0,33,2926.0,89.0,85.6,32.5,33,,30.0,0,,0,1.3,44.0,49.0,-5.0,-0.15,1.67,2017,,,,,
Elseid Hysaj,al ALB,DF,Napoli,it Serie A,1994.0,35,3031.0,87.0,88.6,33.7,34,,32.0,1,,2,2.2,86.0,39.0,47.0,1.4,-0.46,2017,,,,,
Pierre Højbjerg,dk DEN,MF,Southampton,eng Premier League,1995.0,22,1301.0,59.0,38.0,14.5,14,,8.0,8,,12,1.45,17.0,16.0,1.0,0.07,0.41,2017,,,,,
Robert Ibáñez,es ESP,FWMF,Valencia,es La Liga,1993.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Robert Ibáñez,es ESP,MF,Leganés,es La Liga,1993.0,5,174.0,35.0,5.1,1.9,1,,0.0,4,,1,1.2,4.0,2.0,2.0,1.03,1.62,2017,,,,,
Víctor Ibarbo,co COL,FWMF,Cagliari,it Serie A,1990.0,3,39.0,13.0,1.1,0.4,0,,0.0,3,,1,0.33,0.0,1.0,-1.0,-2.31,-1.78,2017,,,,,
Jordon Ibe,eng ENG,MFFW,Bournemouth,eng Premier League,1995.0,25,1055.0,42.0,30.8,11.7,13,,0.0,12,,9,1.0,18.0,22.0,-4.0,-0.34,-0.04,2017,,,,,
Vedad Ibišević,ba BIH,FW,Hertha BSC,de Bundesliga,1984.0,32,2709.0,85.0,88.5,30.1,32,,17.0,0,,0,1.44,37.0,37.0,0.0,0.0,1.03,2017,,,,,
Vicente Iborra,es ESP,MF,Sevilla,es La Liga,1988.0,31,1495.0,48.0,43.7,16.6,12,,8.0,19,,4,1.74,28.0,22.0,6.0,0.36,-0.29,2017,,,,,
Didier Ibrahim Ndong,ga GAB,MF,Sunderland,eng Premier League,1994.0,31,2520.0,81.0,73.7,28.0,27,,24.0,4,,0,0.74,23.0,48.0,-25.0,-0.89,0.61,2017,,,,,
Didier Ibrahim Ndong,ga GAB,MF,Lorient,fr Ligue 1,1994.0,2,120.0,60.0,3.5,1.3,2,,1.0,0,,0,0.0,2.0,4.0,-2.0,-1.5,-0.85,2017,,,,,
Zlatan Ibrahimović,se SWE,FW,Manchester Utd,eng Premier League,1981.0,28,2438.0,87.0,71.3,27.1,27,,27.0,1,,0,1.96,42.0,22.0,20.0,0.74,0.28,2017,,,,,
Mauro Icardi,ar ARG,FW,Inter,it Serie A,1993.0,34,3026.0,89.0,88.5,33.6,34,,32.0,0,,0,1.47,61.0,46.0,15.0,0.45,-1.38,2017,,,,,
Pietro Iemmello,it ITA,FW,Sassuolo,it Serie A,1992.0,17,512.0,30.0,15.0,5.7,3,,0.0,14,,17,1.06,14.0,6.0,8.0,1.41,1.81,2017,,,,,
Odion Ighalo,ng NGA,FW,Watford,eng Premier League,1989.0,18,1291.0,72.0,37.7,14.3,14,,10.0,4,,4,0.78,14.0,28.0,-14.0,-0.98,-0.38,2017,,,,,
Aleksandar Ignjovski,rs SRB,DFMF,Freiburg,de Bundesliga,1991.0,19,1053.0,55.0,34.4,11.7,12,,8.0,7,,8,1.16,10.0,19.0,-9.0,-0.77,-0.37,2017,,,,,
Kelechi Iheanacho,ng NGA,FW,Manchester City,eng Premier League,1996.0,20,537.0,27.0,15.7,6.0,5,,1.0,15,,8,1.85,14.0,9.0,5.0,0.84,-0.29,2017,,,,,
Jordan Ikoko,cd COD,DF,Guingamp,fr Ligue 1,1994.0,27,2324.0,86.0,68.0,25.8,25,,24.0,2,,4,1.56,36.0,31.0,5.0,0.19,1.18,2017,,,,,
Jonathan Ikone,fr FRA,MFFW,Paris S-G,fr Ligue 1,1998.0,4,138.0,35.0,4.0,1.5,2,,0.0,2,,1,3.0,3.0,1.0,2.0,1.3,-0.18,2017,,,,,
Jonathan Ikone,fr FRA,MFFW,Montpellier,fr Ligue 1,1998.0,14,669.0,48.0,19.6,7.4,7,,2.0,7,,0,0.64,9.0,20.0,-11.0,-1.48,-1.25,2017,,,,,
Chris Ikonomidis,au AUS,FWMF,Lazio,it Serie A,1995.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Josip Iličić,si SVN,MFFW,Fiorentina,it Serie A,1988.0,29,1870.0,64.0,54.7,20.8,23,,6.0,6,,6,1.55,33.0,30.0,3.0,0.14,-0.03,2017,,,,,
Asier Illarramendi,es ESP,MF,Real Sociedad,es La Liga,1990.0,34,3006.0,88.0,87.9,33.4,33,,33.0,1,,0,1.76,56.0,50.0,6.0,0.18,0.18,2017,,,,,
Jules Iloki,fr FRA,MFFW,Nantes,fr Ligue 1,1992.0,23,1215.0,53.0,35.5,13.5,15,,2.0,8,,2,1.52,14.0,16.0,-2.0,-0.15,0.34,2017,,,,,
Stefan Ilsanker,at AUT,MFDF,RB Leipzig,de Bundesliga,1989.0,33,2648.0,80.0,86.5,29.4,29,,28.0,4,,0,2.03,58.0,35.0,23.0,0.78,-0.09,2017,,,,,
Giannelli Imbula,cd COD,MF,Stoke City,eng Premier League,1992.0,12,796.0,66.0,23.3,8.8,9,,6.0,3,,15,0.83,10.0,20.0,-10.0,-1.13,-0.96,2017,,,,,
Ciro Immobile,it ITA,FW,Lazio,it Serie A,1990.0,36,3118.0,87.0,91.2,34.6,35,,29.0,1,,0,1.86,69.0,47.0,22.0,0.64,0.34,2017,,,,,
Emmanuel Imorou,bj BEN,DF,Caen,fr Ligue 1,1988.0,9,699.0,78.0,20.4,7.8,8,,6.0,1,,11,0.89,9.0,15.0,-6.0,-0.77,-0.01,2017,,,,,
Sverrir Ingi Ingason,is ISL,DF,Granada,es La Liga,1993.0,17,1471.0,87.0,43.0,16.3,17,,16.0,0,,2,0.53,13.0,36.0,-23.0,-1.41,-0.07,2017,,,,,
Roberto Inglese,it ITA,FW,Chievo,it Serie A,1991.0,34,1964.0,58.0,57.4,21.8,22,,7.0,12,,3,1.18,25.0,35.0,-10.0,-0.46,0.04,2017,,,,,
Andrés Iniesta,es ESP,MF,Barcelona,es La Liga,1984.0,23,1335.0,58.0,39.0,14.8,13,,10.0,10,,5,2.22,45.0,16.0,29.0,1.96,-0.2,2017,,,,,
Lorenzo Insigne,it ITA,FW,Napoli,it Serie A,1991.0,37,2922.0,79.0,85.4,32.5,35,,19.0,2,,1,2.24,85.0,31.0,54.0,1.66,1.48,2017,,,,,
Roberto Insigne,it ITA,FWMF,Napoli,it Serie A,1994.0,0,,,,,0,,0.0,0,,6,,,,,,,2017,,,,,
Pablo Insua,es ESP,DF,Leganés,es La Liga,1993.0,29,1916.0,66.0,56.0,21.3,20,,19.0,9,,7,0.86,15.0,34.0,-19.0,-0.89,-0.89,2017,,,,,
Takashi Inui,jp JPN,MF,Eibar,es La Liga,1988.0,28,2051.0,73.0,60.0,22.8,26,,7.0,2,,4,1.21,32.0,28.0,4.0,0.18,0.11,2017,,,,,
Ivan Inzoudine,fr FRA,DF,Guingamp,fr Ligue 1,1996.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Artur Ioniță,md MDA,MF,Cagliari,it Serie A,1990.0,18,1304.0,72.0,38.1,14.5,14,,11.0,4,,1,1.17,21.0,26.0,-5.0,-0.35,0.34,2017,,,,,
Alexander Isak,se SWE,FW,Dortmund,de Bundesliga,1999.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Isco,es ESP,MFFW,Real Madrid,es La Liga,1992.0,30,1636.0,55.0,47.8,18.2,18,,5.0,12,,5,2.67,52.0,19.0,33.0,1.82,0.2,2017,,,,,
Lloyd Isgrove,wal WAL,MF,Southampton,eng Premier League,1993.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Mauricio Isla,cl CHI,DFMF,Cagliari,it Serie A,1988.0,34,2874.0,85.0,84.0,31.9,32,,29.0,2,,0,1.12,47.0,64.0,-17.0,-0.53,0.13,2017,,,,,
Andrea Isufaj,it ITA,FW,Chievo,it Serie A,1999.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Gian-Luca Itter,de GER,DF,Wolfsburg,de Bundesliga,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Juan Iturbe,py PAR,FWMF,Roma,it Serie A,1993.0,5,43.0,9.0,1.3,0.5,0,,0.0,5,,13,1.8,2.0,1.0,1.0,2.09,0.73,2017,,,,,
Juan Iturbe,py PAR,MFFW,Torino,it Serie A,1993.0,16,549.0,34.0,16.1,6.1,4,,0.0,12,,2,1.06,11.0,17.0,-6.0,-0.98,-1.33,2017,,,,,
Ander Iturraspe,es ESP,MF,Athletic Club,es La Liga,1989.0,24,1164.0,49.0,34.0,12.9,12,,6.0,12,,9,1.83,19.0,18.0,1.0,0.08,-0.28,2017,,,,,
Dávid Ivan,sk SVK,MF,Sampdoria,it Serie A,1995.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Branislav Ivanović,rs SRB,DF,Chelsea,eng Premier League,1984.0,13,589.0,45.0,17.2,6.5,6,,6.0,7,,6,2.38,11.0,9.0,2.0,0.31,-1.28,2017,,,,,
Alex Iwobi,ng NGA,MF,Arsenal,eng Premier League,1996.0,26,1456.0,56.0,42.6,16.2,18,,4.0,8,,9,1.88,28.0,20.0,8.0,0.49,-0.65,2017,,,,,
Armando Izzo,it ITA,DF,Genoa,it Serie A,1992.0,29,2586.0,89.0,75.6,28.7,29,,27.0,0,,0,1.0,30.0,46.0,-16.0,-0.56,0.52,2017,,,,,
Koo Ja-cheol,kr KOR,MF,Augsburg,de Bundesliga,1989.0,23,1809.0,79.0,59.1,20.1,22,,12.0,1,,0,1.22,24.0,29.0,-5.0,-0.25,0.54,2017,,,,,
Phil Jagielka,eng ENG,DF,Everton,eng Premier League,1982.0,27,2250.0,83.0,65.8,25.0,25,,22.0,2,,10,1.59,35.0,32.0,3.0,0.12,-1.03,2017,,,,,
Mato Jajalo,ba BIH,MF,Palermo,it Serie A,1988.0,26,1851.0,71.0,54.1,20.6,22,,11.0,4,,11,0.77,16.0,38.0,-22.0,-1.07,0.19,2017,,,,,
Arnel Jakupović,at AUT,FW,Empoli,it Serie A,1998.0,1,3.0,3.0,0.1,0.0,0,,0.0,1,,2,3.0,0.0,0.0,0.0,0.0,0.84,2017,,,,,
Christophe Jallet,fr FRA,DF,Lyon,fr Ligue 1,1983.0,13,1094.0,84.0,32.0,12.2,12,,12.0,1,,9,2.15,33.0,15.0,18.0,1.48,1.06,2017,,,,,
Lamin Jallow,gm GAM,FW,Chievo,it Serie A,1994.0,2,17.0,9.0,0.5,0.2,0,,0.0,2,,3,0.0,1.0,0.0,1.0,5.29,5.8,2017,,,,,
Daniel James,wal WAL,FWMF,Swansea City,eng Premier League,1997.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Matty James,eng ENG,MF,Leicester City,eng Premier League,1991.0,1,1.0,1.0,0.0,0.0,0,,0.0,1,,1,3.0,0.0,0.0,0.0,0.0,0.39,2017,,,,,
Vasilije Janjicic,ch SUI,MF,Hamburger SV,de Bundesliga,1998.0,4,176.0,44.0,5.8,2.0,2,,1.0,2,,5,1.25,0.0,2.0,-2.0,-1.02,-0.21,2017,,,,,
Christoph Janker,de GER,DF,Augsburg,de Bundesliga,1985.0,15,1088.0,73.0,35.6,12.1,12,,12.0,3,,13,0.93,7.0,21.0,-14.0,-1.16,-1.07,2017,,,,,
Jakub Jankto,cz CZE,MF,Udinese,it Serie A,1996.0,29,1898.0,65.0,55.5,21.1,24,,11.0,5,,7,1.07,24.0,30.0,-6.0,-0.28,-0.11,2017,,,,,
Daryl Janmaat,nl NED,MFDF,Watford,eng Premier League,1989.0,27,1617.0,60.0,47.3,18.0,18,,12.0,9,,0,1.22,21.0,33.0,-12.0,-0.67,0.13,2017,,,,,
Vincent Janssen,nl NED,FW,Tottenham,eng Premier League,1994.0,27,845.0,31.0,24.7,9.4,7,,3.0,20,,4,2.15,22.0,8.0,14.0,1.49,-0.12,2017,,,,,
Tony Jantschke,de GER,DFMF,M'Gladbach,de Bundesliga,1990.0,22,1488.0,68.0,48.6,16.5,17,,14.0,5,,2,1.45,23.0,20.0,3.0,0.18,0.58,2017,,,,,
Adnan Januzaj,be BEL,MFFW,Sunderland,eng Premier League,1995.0,25,1629.0,65.0,47.6,18.1,18,,9.0,7,,6,0.4,15.0,38.0,-23.0,-1.27,-0.42,2017,,,,,
Nicolas Janvier,fr FRA,MF,Rennes,fr Ligue 1,1998.0,4,93.0,23.0,2.7,1.0,1,,0.0,3,,5,0.75,1.0,2.0,-1.0,-0.97,-0.83,2017,,,,,
Bakery Jatta,gm GAM,MF,Hamburger SV,de Bundesliga,1998.0,6,183.0,31.0,6.0,2.0,1,,0.0,5,,7,0.83,2.0,3.0,-1.0,-0.49,0.35,2017,,,,,
Duje Javorčić,hr CRO,MF,Lazio,it Serie A,1999.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Corentin Jean,fr FRA,FW,Monaco,fr Ligue 1,1995.0,2,101.0,51.0,3.0,1.1,1,,1.0,1,,6,3.0,4.0,0.0,4.0,3.56,1.61,2017,,,,,
Corentin Jean,fr FRA,MF,Toulouse,fr Ligue 1,1995.0,16,1258.0,79.0,36.8,14.0,16,,6.0,0,,0,1.13,12.0,14.0,-2.0,-0.14,-0.06,2017,,,,,
Benjamin Jeannot,fr FRA,FW,Lorient,fr Ligue 1,1992.0,17,520.0,31.0,15.2,5.8,4,,0.0,13,,2,0.71,7.0,16.0,-9.0,-1.56,-1.03,2017,,,,,
Mile Jedinak,au AUS,MF,Crystal Palace,eng Premier League,1984.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,0,0.0,0.0,1.0,-1.0,-1.0,-0.68,2017,,,,,
Tin Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,1995.0,18,1422.0,79.0,46.5,15.8,16,,13.0,2,,10,1.22,28.0,28.0,0.0,0.0,0.11,2017,,,,,
Jemerson,br BRA,DF,Monaco,fr Ligue 1,1992.0,34,3058.0,90.0,89.4,34.0,34,,33.0,0,,0,2.5,98.0,29.0,69.0,2.03,0.29,2017,,,,,
Carl Jenkinson,eng ENG,DF,Arsenal,eng Premier League,1992.0,1,82.0,82.0,2.4,0.9,1,,0.0,0,,1,1.0,0.0,1.0,-1.0,-1.1,-2.01,2017,,,,,
Jesé,es ESP,FW,Paris S-G,fr Ligue 1,1993.0,9,268.0,30.0,7.8,3.0,1,,0.0,8,,5,2.22,7.0,1.0,6.0,2.01,0.59,2017,,,,,
