Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Ignazio Abate,it ITA,DF,,Milan,Europa League,2019,1986,2.2,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,99,125,79.2,2320,793,26,31,83.9,49,53,92.5,24,36,66.7,0,0.1,-0.1,2,10,1,1,9,,106,19,3,0,23,4,2,0,0,0,0,88,19,18,7,99,2,16,0,1,4,0,7,,2,0.92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2,1,2,2,2,5,40,3,15,6,40,3,8,4,3,2,0,1,2,7,4,0,,140,7,52,64,30,1,121,0,1,0,0,0,90,297,110,1,1,0,0,0,90,87,96.7,2,,2,0,0,4,0,0,2,2,2,0,1,0,19,2,4,33.3
Araz Abdullayev,az AZE,FW,MF,Qarabağ Ağdam,Europa League,2019,1992,3.5,,1,0,0,,0,0,,,,0,1,1,0.8,0,,0.2,0,,71,110,64.5,1097,168,47,62,75.8,12,22,54.5,9,18,50,0,0.2,-0.2,3,1,0,0,1,,95,15,0,0,20,4,9,7,0,0,0,70,24,16,72,32,4,1,0,1,2,4,8,,3,0.85,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,1,1,1,3,33.3,2,90,13,14.4,6,50,34,2,0,0,2,0,2,0,0,,145,0,7,72,74,15,129,7,10,70,7,0,107,431,151,12,3,4,9,10,192,107,55.7,43,,0,0,0,5,3,4,9,0,0,0,0,0,12,1,5,16.7
Pape Abou Cisse,sn SEN,DF,,Olympiacos,Europa League,2019,1995,7,,1,6,3,50,0.86,0.43,0.17,0.33,7.1,0,0,0,0.7,0.7,0.12,0.3,0.3,,263,319,82.4,6396,2637,65,72,90.3,126,142,88.7,70,103,68,0,0.2,-0.2,1,16,2,0,22,,304,15,15,2,44,21,0,0,0,0,0,225,27,67,110,178,23,0,1,1,10,0,2,,4,0.57,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,10,6,8,2,0,2,6,33.3,4,62,16,25.8,39,16,7,6,4,0,2,16,26,43,0,,406,53,210,199,18,10,392,1,1,100,1,0,244,1496,662,20,2,0,4,2,245,241,98.4,8,,3,0,0,13,2,0,0,16,6,0,0,0,66,13,5,72.2
David Abraham,ar ARG,DF,,Eint Frankfurt,Europa League,2019,1986,8.1,,0,5,0,0,0.62,0,0,,7.5,0,0,0,0.6,0.6,0.12,-0.6,-0.6,,202,255,79.2,4455,1560,55,66,83.3,100,108,92.6,44,76,57.9,0,0.2,-0.2,1,24,2,1,30,,247,8,6,0,27,7,2,0,0,0,0,176,24,55,30,197,20,2,1,0,9,6,3,,3,0.37,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,16,8,11,5,0,8,17,47.1,9,105,32,30.5,62,37,6,17,3,0,14,7,23,36,0,,340,27,150,182,26,5,334,1,2,50,1,0,190,1187,624,26,4,0,3,2,189,184,97.4,4,,3,0,0,12,8,0,2,7,8,0,0,0,69,11,4,73.3
Francesco Acerbi,it ITA,DF,,Lazio,Europa League,2019,1988,8,,0,5,3,60,0.62,0.37,0,0,16.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,,390,461,84.6,8326,2870,126,139,90.6,179,200,89.5,77,112,68.8,0,0,0,0,22,3,0,28,,443,18,13,0,54,21,2,0,0,0,0,317,57,87,326,85,35,5,3,1,11,3,4,,3,0.37,2,0,0,0,0,1,1,0.12,1,0,0,0,0,0,0,,15,8,12,3,0,5,9,55.6,4,75,22,29.3,55,18,2,22,12,1,10,13,28,38,0,,559,77,304,276,39,4,543,2,3,66.7,2,0,325,2544,1456,30,11,0,1,2,350,340,97.1,6,,3,0,0,9,8,0,2,13,8,0,0,0,109,9,7,56.3
Acorán,es ESP,FW,MF,AÉK Lárnaka,Europa League,2019,1983,5,,0,6,2,33.3,1.21,0.4,0,0,19.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,,143,186,76.9,2586,839,63,81,77.8,64,84,76.2,16,20,80,1,0.8,0.2,13,11,9,2,23,,176,10,4,0,28,4,8,0,0,0,0,134,37,15,47,119,13,6,0,3,4,8,4,,23,4.64,16,0,4,1,1,1,2,0.4,2,0,0,0,0,0,0,,10,7,6,4,0,1,5,20,4,52,16,30.8,21,14,17,0,0,0,0,6,16,3,0,,256,1,41,129,117,22,249,16,27,59.3,20,1,211,1115,683,38,14,4,11,7,234,184,78.6,47,,1,0,0,8,19,1,8,6,7,0,0,0,36,2,3,40
Rafael Acosta,uy URU,FW,MF,Jablonec,Europa League,2019,1990,0.3,,0,1,0,0,3.6,0,0,,8.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1,,6,10,60,96,65,3,3,100,2,4,50,1,3,33.3,0,0,0,0,0,0,0,1,,9,1,0,0,3,0,1,1,0,0,0,6,1,3,3,6,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,11,3,27.3,4,7,0,1,0,0,1,0,0,0,0,,13,0,3,6,6,1,12,1,1,100,1,0,7,78,41,3,2,0,0,0,15,7,46.7,1,,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0
Marcos Acuña,ar ARG,DF,MF,Sporting CP,Europa League,2019,1991,5.8,,0,4,1,25,0.68,0.17,0,0,31.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1,,242,314,77.1,4933,2022,86,99,86.9,114,131,87,40,75,53.3,0,0.3,-0.3,8,25,10,3,35,,241,73,11,0,24,13,18,17,0,0,0,157,61,96,217,35,11,45,0,0,6,6,10,,10,1.71,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,,21,14,10,8,3,7,14,50,7,85,32,37.6,43,31,11,14,0,0,14,1,22,4,0,,377,10,85,199,120,4,306,10,13,76.9,11,1,238,1156,650,27,10,2,7,10,215,191,88.8,12,,4,1,1,13,8,0,18,1,14,0,0,0,71,7,2,77.8
Samuel Adegbenro,ng NGA,FW,,Rosenborg,Europa League,2019,1995,3,,1,6,3,50,2.03,1.02,0.17,0.33,14.7,0,0,0,0.7,0.7,0.12,0.3,0.3,,39,52,75,597,143,21,25,84,12,15,80,3,6,50,0,0,0,0,1,2,2,3,,48,4,0,0,15,2,5,0,0,0,0,38,10,4,10,37,0,4,0,0,2,0,4,,4,1.35,0,0,2,1,1,0,1,0.34,0,0,1,0,0,0,0,,2,1,0,1,1,1,4,25,3,28,7,25,6,15,7,3,0,0,3,0,2,0,0,,107,0,9,57,57,8,103,16,22,72.7,16,0,102,435,236,10,5,1,14,13,129,83,64.3,20,,0,0,0,4,6,4,5,0,1,0,0,0,12,3,3,50
Arijan Ademi,mk MKD,MF,,Dinamo Zagreb,Europa League,2019,1991,6,,0,6,3,50,1,0.5,0,0,15.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,,101,129,78.3,1666,477,44,58,75.9,51,56,91.1,4,8,50,0,0.5,-0.5,2,9,1,0,8,,126,3,3,0,19,1,0,0,0,0,0,93,11,25,20,87,18,0,0,1,2,2,6,,4,0.8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,11,9,5,6,0,2,9,22.2,7,100,19,19,47,46,7,4,1,0,3,8,19,7,0,,164,9,42,108,28,6,161,4,4,100,4,0,95,552,291,9,2,1,2,2,95,79,83.2,9,,3,0,0,10,6,1,0,8,9,0,0,0,48,7,5,58.3
