Player,Nation,Born
Enrico Alfonso,it ITA,1988
Lorenzo Andrenacci,it ITA,1995
Stefan Bajic,fr FRA,2001
Federico Brancolini,it ITA,2001
Marcin Bułka,pl POL,1999
Matis Carvalho,pt POR,1999
Churripi,es ESP,1994
Yannis Clementia,fr FRA,1997
Simone Colombi,it ITA,1991
Lucas Dias,fr FRA,1999
Aarón Escandell,es ESP,1995
Wladimiro Falcone,it ITA,1995
Daniel Fuzato,br BRA,1997
Dean Henderson,eng ENG,1997
Sergio Herrera,es ESP,1993
Jesse Joronen,fi FIN,1993
Lovre Kalinić,hr CRO,1990
Florian Kastenmeier,de GER,1997
Tim Krul,nl NED,1988
Gautier Larsonneur,fr FRA,1997
Nicolas Lemaître,fr FRA,1997
Donovan Léon,gf GUF,1992
Karlo Letica,hr CRO,1997
Daniel Martín,es ESP,1998
David Martin,eng ENG,1986
Michael McGovern,nir NIR,1984
Simon Moore,eng ENG,1990
Moritz Nicolas,de GER,1997
Miquel Parera,es ESP,1996
Philipp Pentke,de GER,1985
Juan Pérez,es ESP,1996
Samu Pérez,es ESP,1997
Danijel Petković,me MNE,1993
Boris Radunović,rs SRB,1996
Predrag Rajković,rs SRB,1995
Aaron Ramsdale,eng ENG,1998
Manolo Reina,es ESP,1985
Álex Remiro,es ESP,1995
Antonio Rosati,it ITA,1983
Markus Schubert,de GER,1998
Rui Silva,pt POR,1994
Dennis Smarsch,de GER,1999
Jed Steer,eng ENG,1992
Zack Steffen,us USA,1995
Demba Thiam,sn SEN,1998
Niclas Thiede,de GER,1999
Stefano Turati,it ITA,2001
Samir Ujkani,xk KVX,1988
Mauro Vigorito,it ITA,1990
Leopold Zingerle,de GER,1994
Saturnin Allagbé,bj BEN,1993
Ángel,es ESP,2002
Édgar Badía,es ESP,1992
Cárdenas,es ESP,1997
Sébastien Cibois,fr FRA,1998
Alberto Cifuentes,es ESP,1979
Finn Dahmen,de GER,1998
Yehvann Diouf,fr FRA,1999
Wuilker Faríñez,ve VEN,1998
David Gil,es ESP,1994
Lennart Grill,de GER,1999
Sam Johnstone,eng ENG,1993
Caoimhín Kelleher,ie IRL,1998
Michael Langer,at AUT,1985
Jeremías Ledesma,ar ARG,1993
Niklas Lomb,de GER,1993
Radosław Majecki,pl POL,1999
Illan Meslier,fr FRA,2000
Lorenzo Montipò,it ITA,1996
Paul Nardi,fr FRA,1994
Jonas Omlin,ch SUI,1994
Stefan Ortega,de GER,1992
Alberto Paleari,it ITA,1992
Bailey Peacock-Farrell,nir NIR,1996
Anthony Racioppi,ch SUI,1998
Federico Ravaglia,it ITA,1999
Marek Rodák,sk SVK,1996
Robert Sánchez,es ESP,1997
João Virgínia,pt POR,1999
Rubén Yáñez,es ESP,1993
Jeroen Zoet,nl NED,1991
Igor Akinfeev,ru RUS,1986
Milan Borjan,ca CAN,1987
Iker Casillas,es ESP,1981
Radosław Cierzniak,pl POL,1983
Soslan Dzhanayev,ru RUS,1987
Craig Gordon,sco SCO,1982
Dominik Livaković,hr CRO,1995
Arkadiusz Malarz,pl POL,1980
Remko Pasveer,nl NED,1983
Artur Rudko,ua UKR,1992
Oleksandr Shovkovskiy,ua UKR,1975
Vladislav Stoyanov,bg BUL,1987
Dorus de Vries,nl NED,1980
Tolga Zengin,tr TUR,1983
Frank Boeckx,be BEL,1986
Júlio César,br BRA,1979
Raúl Gudiño,mx MEX,1996
Jasmin Handanović,si SVN,1978
Brad Jones,au AUS,1982
Andriy Pyatov,ua UKR,1984
Artyom Rebrov,ru RUS,1984
José Sá,pt POR,1993
Ibrahim Šehić,ba BIH,1988
Aleksandr Selikhov,ru RUS,1994
Mile Svilar,be BEL,1999
Bruno Varela,pt POR,1994
Kenneth Vermeer,nl NED,1986
Boy Waterman,nl NED,1984
David von Ballmoos,ch SUI,1994
Vasilios Barkas,gr GRE,1994
Ethan Horvath,us USA,1995
Aleš Hruška,cz CZE,1985
Matúš Kozáčik,sk SVK,1983
Georgii Kyrnats,ru RUS,1998
Guilherme Marinato,ru RUS,1985
Fernando Muslera,uy URU,1986
André Onana,cm CMR,1996
Ilya Pomazun,ru RUS,1996
Odisseas Vlachodimos,gr GRE,1994
Marco Wölfli,ch SUI,1982
Leonardo César Jardim,br BRA,1995
Carlos Coronel,br BRA,1996
Gaëtan Coucke,be BEL,1998
Mikhail Kerzhakov,ru RUS,1987
Anton Kochenkov,ru RUS,1987
Ondřej Kolář,cz CZE,1994
Andrey Lunyov,ru RUS,1991
Cican Stankovic,at AUT,1992
Maarten Vandevoordt,be BEL,2002
Kyle Walker,eng ENG,1990
Mikkel Andersen,dk DEN,1988
Heorhiy Bushchan,ua UKR,1994
Diogo Costa,pt POR,1999
Dénes Dibusz,hu HUN,1990
Yevgeni Gorodov,ru RUS,1985
Mert Günok,tr TUR,1989
Jesper Hansen,dk DEN,1985
Agustín Marchesín,ar ARG,1988
Ruslan Neshcheret,ua UKR,2002
Alfonso Pastor,es ESP,2000
Matvei Safonov,ru RUS,1999
Anatolii Trubin,ua UKR,2001
