Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Ismael Aaneba,fr FRA,FW,DF,Strasbourg,fr Ligue 1,2021,1999,0.1,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,2,2,100,57,15,0,0,,1,1,100,1,1,100,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,2,0,,4,2,4,1,0,0,4,0,0,,0,0,2,10,4,0,0,0,0,0,3,1,33.3,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Patrick van Aanholt,nl NED,DF,,Crystal Palace,eng Premier League,2021,1990,16.7,,0,16,6,37.5,0.96,0.36,0,0,19.9,3,0,0,1.2,1.2,0.07,-1.2,-1.2,,756,956,79.1,12718,5952,386,437,88.3,287,356,80.6,69,128,53.9,1,0.8,0.2,11,55,24,4,92,,793,163,29,2,89,18,31,2,0,2,0,605,190,161,625,169,22,132,3,11,16,26,25,,23,1.38,19,3,1,0,0,0,3,0.18,2,1,0,0,0,0,0,,28,16,18,9,1,12,33,36.4,21,168,51,30.4,104,48,16,25,3,0,22,28,56,31,1,,1116,58,335,530,308,34,951,9,19,47.4,9,0,627,3014,1642,104,28,8,11,11,708,656,92.7,42,,2,0,0,11,4,3,31,28,16,0,0,0,155,8,11,42.1
Issah Abbas,gh GHA,DF,FW,Mainz 05,de Bundesliga,2021,1998,0.2,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,13,15,86.7,260,106,6,7,85.7,5,6,83.3,2,2,100,0,0,0,0,1,0,0,1,,12,3,0,0,0,0,0,0,0,0,0,10,4,1,0,12,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,,18,0,5,6,8,1,15,1,2,50,2,0,11,47,40,2,1,0,0,1,12,11,91.7,2,,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,
Yunis Abdelhamid,ma MAR,DF,,Reims,fr Ligue 1,2021,1987,27,,3,12,5,41.7,0.44,0.19,0.25,0.6,9.6,0,0,0,1.5,1.5,0.12,1.5,1.5,,1255,1429,87.8,28158,9439,272,307,88.6,748,801,93.4,227,306,74.2,0,0.2,-0.2,2,63,1,0,76,,1383,46,46,0,134,34,0,0,0,0,0,1133,105,191,930,404,52,0,3,3,23,16,9,,8,0.3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,56,34,42,14,0,12,31,38.7,19,301,115,38.2,213,82,6,43,16,1,27,43,99,155,0,,1744,230,998,831,33,17,1701,7,14,50,8,1,1106,6078,3267,51,5,1,5,13,1165,1131,97.1,5,,4,0,0,30,18,0,0,43,34,0,0,0,248,81,40,66.9
Sabit Abdulai,gh GHA,MF,,Getafe,es La Liga,2021,1999,0.1,,0,0,0,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,0,,,,
Mehdi Abeid,dz ALG,MF,,Nantes,fr Ligue 1,2021,1992,14.7,,0,20,0,0,1.36,0,0,,22.9,1,0,0,1,1,0.05,-1,-1,,616,725,85,12193,2951,247,263,93.9,250,284,88,103,154,66.9,0,0.8,-0.8,12,60,7,4,42,,676,49,32,1,83,33,21,14,7,4,3,544,70,111,100,589,19,3,4,5,15,10,7,,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0,0,,37,24,16,18,3,11,25,44,14,245,85,34.7,75,133,37,18,2,0,16,23,60,14,1,,871,26,223,551,174,13,825,23,32,71.9,23,0,595,3486,1689,60,22,1,6,18,628,565,90,14,,5,0,0,30,22,1,21,23,24,0,0,0,146,12,19,38.7
Laurent Abergel,fr FRA,MF,,Lorient,fr Ligue 1,2021,1993,24.9,,2,21,8,38.1,0.84,0.32,0.1,0.25,27.6,0,0,0,0.6,0.6,0.03,1.4,1.4,,1024,1218,84.1,19903,5107,395,453,87.2,457,499,91.6,151,218,69.3,1,1.1,-0.1,16,92,8,2,86,,1186,32,25,2,224,40,10,1,1,0,0,893,157,168,94,1074,35,5,5,2,23,35,23,,38,1.52,28,1,0,2,2,5,5,0.2,3,0,0,0,1,1,0,,128,85,51,63,14,41,129,31.8,88,677,199,29.4,228,379,70,28,4,0,24,35,163,9,0,,1501,29,408,959,226,11,1474,12,21,57.1,12,0,1035,4379,2222,81,24,2,29,35,1081,996,92.1,34,,4,0,0,30,31,0,10,35,85,1,0,0,246,6,16,27.3
Charles Abi,fr FRA,FW,,Saint-Étienne,fr Ligue 1,2021,2000,7.8,,3,17,4,23.5,2.19,0.52,0.18,0.75,11.9,0,0,0,1.8,1.8,0.11,1.2,1.2,,104,160,65,1407,260,62,83,74.7,25,38,65.8,6,16,37.5,1,0.2,0.8,6,5,5,0,9,,146,14,0,1,56,2,4,0,0,0,0,96,29,35,97,22,14,0,3,0,7,1,9,,9,1.16,6,1,1,0,1,0,1,0.13,1,0,0,0,0,0,0,,5,3,4,1,0,4,10,40,6,162,40,24.7,13,80,69,6,0,0,6,4,9,6,0,,263,6,30,123,125,38,249,10,21,47.6,12,0,148,675,339,18,8,3,29,17,385,192,49.9,56,,1,0,0,15,7,6,4,4,3,0,0,0,29,33,50,39.8
Pape Abou Cisse,sn SEN,DF,,Saint-Étienne,fr Ligue 1,2021,1995,8,,0,8,2,25,1,0.25,0,0,12.4,0,0,0,0.9,0.9,0.11,-0.9,-0.9,,305,365,83.6,7223,2597,77,83,92.8,149,165,90.3,77,110,70,0,0,0,2,14,2,0,13,,353,12,10,0,38,21,0,0,0,0,0,268,30,67,107,233,16,2,0,0,9,1,3,,4,0.5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,14,7,12,2,0,5,10,50,5,63,28,44.4,43,18,2,8,1,0,7,16,30,95,2,,511,73,320,206,15,8,499,1,2,50,1,0,269,1724,963,8,0,0,1,0,283,273,96.5,0,,1,0,0,4,5,1,0,16,7,0,0,0,77,40,11,78.4
David Abraham,ar ARG,DF,,Eint Frankfurt,de Bundesliga,2021,1986,13.6,,1,9,2,22.2,0.66,0.15,0.11,0.5,16,0,0,0,0.7,0.7,0.07,0.3,0.3,,564,689,81.9,12077,4254,177,204,86.8,277,310,89.4,106,161,65.8,0,0.5,-0.5,2,50,3,2,43,,632,57,17,1,75,23,8,0,0,0,0,433,93,163,68,500,54,40,1,3,7,5,10,,2,0.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13,10,5,2,8,20,40,12,144,64,44.4,81,47,16,26,5,1,21,15,32,33,0,,793,55,322,422,100,8,738,3,6,50,4,0,435,2311,1261,44,9,0,3,0,473,454,96,8,,5,1,1,11,8,1,8,15,13,0,0,0,176,39,26,60
