Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Afriyie Acquah,gh GHA,MF,,Empoli,it Serie A,2019,1992,16.8,,2,23,7,30.4,1.37,0.42,0.09,0.29,20.8,0,0,0,1.5,1.5,0.07,0.5,0.5,,591,735,80.4,10181,2575,279,311,89.7,266,316,84.2,43,84,51.2,0,0.6,-0.6,11,64,14,3,60,,722,13,5,3,146,20,22,0,0,0,0,566,72,97,32,660,23,8,0,1,16,10,27,,34,2.03,26,0,5,2,1,0,0,0,0,0,0,0,0,0,0,,26,13,10,12,4,3,15,20,12,308,65,21.1,101,153,54,17,1,0,16,7,33,13,0,,921,26,151,508,360,33,911,37,48,77.1,39,1,786,5004,2913,131,53,6,26,28,807,699,86.6,62,,4,0,0,28,32,1,22,7,13,0,0,0,130,14,20,41.2
Tyler Adams,us USA,MF,,RB Leipzig,de Bundesliga,2019,1999,8,,0,3,1,33.3,0.37,0.12,0,0,19.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,,416,516,80.6,6997,2224,208,249,83.5,162,193,83.9,40,56,71.4,2,0.7,1.3,5,49,4,0,52,,500,16,14,4,89,6,2,0,0,0,0,364,70,82,79,373,48,2,2,1,8,3,14,,13,1.62,11,0,1,0,1,0,4,0.5,3,0,1,0,0,0,0,,27,21,12,11,4,11,22,50,11,210,81,38.6,65,112,33,13,1,0,12,11,38,11,0,,617,17,116,421,127,7,605,11,14,78.6,11,1,411,2285,1352,53,17,1,13,9,438,404,92.2,25,,0,0,0,12,11,0,2,11,21,0,0,0,127,16,13,55.2
Aday,es ESP,DF,MF,Girona,es La Liga,2019,1987,7.2,,0,9,3,33.3,1.26,0.42,0,0,28.4,2,0,0,0.2,0.2,0.02,-0.2,-0.2,,230,325,70.8,4875,1724,81,91,89,97,126,77,46,94,48.9,2,0.8,1.2,14,8,10,10,12,,258,67,15,0,65,25,41,7,1,0,0,170,45,110,37,228,14,45,1,2,3,7,12,,25,3.49,14,5,3,2,1,0,2,0.28,2,0,0,0,0,0,0,,13,7,5,7,1,9,17,52.9,8,87,21,24.1,33,37,17,9,1,0,8,8,21,10,0,,386,19,94,196,138,7,321,11,15,73.3,11,0,258,1892,1057,52,22,4,4,5,267,236,88.4,20,,2,0,0,6,8,0,41,8,7,0,0,0,38,0,4,0
Khaled Adénon,bj BEN,DF,,Amiens,fr Ligue 1,2019,1985,22.2,,0,11,0,0,0.5,0,0,,9.1,0,0,0,0.9,0.9,0.08,-0.9,-0.9,,842,967,87.1,19080,6527,203,230,88.3,453,486,93.2,179,239,74.9,0,0.1,-0.1,3,62,4,0,63,,939,28,27,0,106,45,0,0,0,0,0,674,97,196,145,707,86,1,8,1,23,6,7,,7,0.32,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,31,24,20,11,0,13,31,41.9,18,158,68,43,85,67,6,36,11,0,25,19,50,118,0,,1192,125,667,579,24,15,1164,2,2,100,2,0,722,4085,2362,47,3,0,2,9,708,695,98.2,15,,7,1,1,33,21,2,0,19,24,0,0,1,249,42,37,53.2
Claud Adjapong,it ITA,MF,DF,Sassuolo,it Serie A,2019,1998,3,,1,3,1,33.3,1,0.33,0.33,1,19.3,0,0,0,0.5,0.5,0.17,0.5,0.5,,77,101,76.2,1199,378,41,50,82,28,33,84.8,6,8,75,0,0.1,-0.1,2,2,3,0,4,,78,23,0,0,11,1,3,0,0,0,0,65,24,12,10,66,1,23,0,2,1,3,7,,2,0.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,3,3,2,2,1,2,50,1,47,13,27.7,24,14,9,3,1,0,2,3,10,3,0,,146,5,38,59,61,9,124,8,13,61.5,8,0,109,323,166,7,1,2,13,7,104,85,81.7,11,,1,0,0,3,6,2,3,3,3,0,0,0,21,2,3,40
Yacine Adli,fr FRA,MF,FW,Bordeaux,fr Ligue 1,2019,2000,2.4,,0,1,0,0,0.42,0,0,,47.3,0,0,0,0,0,0.02,0,0,,111,151,73.5,1935,591,48,60,80,49,63,77.8,11,23,47.8,0,0.9,-0.9,6,13,3,1,16,,145,6,2,1,32,5,7,2,1,0,0,111,22,18,14,132,2,2,0,1,3,2,5,,7,2.92,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,0,2,1,2,4,50,2,57,16,28.1,13,29,15,3,0,0,3,1,4,1,0,,187,0,16,109,85,8,181,11,16,68.8,13,1,154,879,466,25,12,1,13,6,170,149,87.6,15,,1,0,0,4,1,0,7,1,1,0,0,0,21,2,1,66.7
Ali Adnan Kadhim,iq IRQ,MF,DF,Atalanta,it Serie A,2019,1993,1.8,,0,3,0,0,1.63,0,0,,17.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,,78,123,63.4,1504,612,35,48,72.9,32,46,69.6,10,23,43.5,0,0.2,-0.2,3,6,2,1,10,,99,24,4,0,24,4,5,6,0,0,0,69,27,27,78,22,5,14,1,2,4,4,5,,6,3.25,4,1,1,0,0,0,1,0.54,1,0,0,0,0,0,0,,3,2,3,0,0,1,5,20,4,21,6,28.6,10,9,2,2,1,0,1,3,6,4,0,,138,8,37,54,53,4,114,4,5,80,4,0,88,380,246,8,3,0,0,0,87,79,90.8,5,,0,0,0,2,2,0,5,3,2,0,0,0,20,4,1,80
Aritz Aduriz,es ESP,FW,,Athletic Club,es La Liga,2019,1981,10.5,,2,14,7,50,1.34,0.67,0,0,12.1,0,2,2,3.3,1.8,0.13,-1.3,-1.8,,149,237,62.9,2052,331,92,135,68.1,44,74,59.5,7,17,41.2,0,0.4,-0.4,5,10,3,1,8,,227,10,0,0,66,1,9,1,0,0,0,115,67,55,24,123,46,1,11,1,6,10,7,,15,1.43,13,0,0,1,1,0,1,0.1,1,0,0,0,0,0,0,,5,3,2,3,0,0,5,0,5,121,27,22.3,7,63,51,4,1,0,3,1,6,4,0,,326,3,19,161,158,44,314,7,12,58.3,7,1,183,613,222,14,7,1,28,7,477,262,54.9,99,,5,0,0,28,8,12,9,1,3,0,1,0,25,38,44,46.3
Luis Advíncula,pe PER,DF,,Rayo Vallecano,es La Liga,2019,1990,26.5,,1,17,5,29.4,0.64,0.19,0.06,0.2,21.7,0,0,0,0.9,0.9,0.06,0.1,0.1,,980,1204,81.4,17749,6575,464,506,91.7,413,487,84.8,96,172,55.8,3,1.9,1.1,15,55,24,13,70,,979,225,28,0,186,50,49,2,0,1,0,694,241,269,296,633,61,195,3,2,22,17,37,,41,1.54,28,3,2,1,7,0,7,0.26,4,0,0,0,3,0,0,,54,34,38,11,5,16,38,42.1,22,371,116,31.3,199,134,38,41,3,0,38,16,70,50,1,,1470,82,453,704,415,31,1257,41,66,62.1,45,1,987,4455,2438,92,30,5,32,32,1007,867,86.1,68,,6,2,2,48,46,0,49,16,34,2,0,0,217,19,22,46.3
Martin Agirregabiria,es ESP,DF,,Alavés,es La Liga,2019,1996,22.6,,0,2,0,0,0.09,0,0,,18.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,,673,968,69.5,11708,5682,311,366,85,301,410,73.4,56,159,35.2,0,0.4,-0.4,8,63,14,5,92,,750,218,17,0,118,18,30,3,3,0,0,470,212,286,51,633,80,196,1,4,30,23,41,,22,0.97,20,0,1,0,0,1,1,0.04,1,0,0,0,0,0,0,,46,28,30,12,4,28,52,53.8,24,222,52,23.4,129,63,30,40,8,1,32,28,74,85,0,,1208,88,392,634,253,8,997,28,39,71.8,29,1,642,3211,2053,80,27,4,18,14,635,570,89.8,28,,4,0,0,24,28,0,30,28,28,0,0,0,208,19,23,45.2
