Player,Nation,Born,Season,Squad,Comp,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes
Ruben Aguilar,fr FRA,1993.0,2018.0,Montpellier,fr Ligue 1,1114.0,1478.0,75.4,18488.0,8970.0,558.0,631.0,88.4,428.0,564.0,75.9,99.0,215.0,46.0,3.0,2.6,0.4,31.0,90.0,30.0,20.0,125.0
Matías Aguirregaray,uy URU,1989.0,2018.0,Las Palmas,es La Liga,489.0,668.0,73.2,8715.0,3823.0,228.0,258.0,88.4,203.0,276.0,73.6,54.0,120.0,45.0,0.0,0.6,-0.6,7.0,39.0,18.0,5.0,54.0
Jean-Eudes Aholou,ci CIV,1994.0,2018.0,Strasbourg,fr Ligue 1,1147.0,1346.0,85.2,22056.0,4826.0,440.0,498.0,88.4,500.0,552.0,90.6,178.0,239.0,74.5,0.0,0.6,-0.6,11.0,97.0,9.0,0.0,91.0
Ailton,br BRA,1995.0,2018.0,Stuttgart,de Bundesliga,45.0,62.0,72.6,884.0,297.0,20.0,26.0,76.9,16.0,18.0,88.9,8.0,15.0,53.3,0.0,0.2,-0.2,2.0,3.0,2.0,2.0,3.0
Youssef Aït Bennasser,ma MAR,1996.0,2018.0,Caen,fr Ligue 1,938.0,1145.0,81.9,20285.0,5737.0,303.0,337.0,89.9,420.0,491.0,85.5,198.0,279.0,71.0,0.0,1.1,-1.1,16.0,135.0,6.0,1.0,129.0
Arlind Ajeti,al ALB,1993.0,2018.0,Crotone,it Serie A,286.0,365.0,78.4,6321.0,2365.0,75.0,90.0,83.3,152.0,178.0,85.4,56.0,87.0,64.4,1.0,1.1,-0.1,5.0,19.0,2.0,0.0,26.0
Manuel Akanji,ch SUI,1995.0,2018.0,Dortmund,de Bundesliga,521.0,604.0,86.3,11385.0,3396.0,141.0,161.0,87.6,290.0,314.0,92.4,88.0,122.0,72.1,0.0,0.1,-0.1,1.0,39.0,3.0,0.0,39.0
Nathan Aké,nl NED,1995.0,2018.0,Bournemouth,eng Premier League,1325.0,1615.0,82.0,27857.0,10035.0,390.0,447.0,87.2,698.0,816.0,85.5,226.0,320.0,70.6,3.0,1.8,1.2,7.0,79.0,3.0,0.0,73.0
Ager Aketxe,es ESP,1993.0,2018.0,Athletic Club,es La Liga,32.0,41.0,78.0,490.0,90.0,21.0,22.0,95.5,8.0,9.0,88.9,3.0,9.0,33.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
Chadrac Akolo,cd COD,1995.0,2018.0,Stuttgart,de Bundesliga,242.0,316.0,76.6,3879.0,930.0,122.0,148.0,82.4,97.0,122.0,79.5,20.0,38.0,52.6,0.0,1.7,-1.7,13.0,13.0,13.0,7.0,27.0
Kevin Akpoguma,ng NGA,1995.0,2018.0,Hoffenheim,de Bundesliga,866.0,1010.0,85.7,16641.0,5402.0,296.0,323.0,91.6,467.0,495.0,94.3,97.0,173.0,56.1,1.0,1.5,-0.5,7.0,72.0,4.0,0.0,67.0
David Alaba,at AUT,1992.0,2018.0,Bayern Munich,de Bundesliga,1120.0,1320.0,84.8,18467.0,5870.0,574.0,631.0,91.0,459.0,522.0,87.9,73.0,124.0,58.9,2.0,2.2,-0.2,20.0,73.0,25.0,13.0,75.0
Lucas Alario,ar ARG,1992.0,2018.0,Leverkusen,de Bundesliga,302.0,400.0,75.5,3999.0,726.0,185.0,230.0,80.4,84.0,112.0,75.0,13.0,21.0,61.9,4.0,1.7,2.3,11.0,19.0,6.0,0.0,25.0
David Alba,es ESP,1999.0,2018.0,Getafe,es La Liga,6.0,11.0,54.5,171.0,97.0,0.0,3.0,0.0,3.0,5.0,60.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Jordi Alba,es ESP,1989.0,2018.0,Barcelona,es La Liga,1985.0,2323.0,85.4,31666.0,10815.0,1041.0,1132.0,92.0,805.0,934.0,86.2,113.0,183.0,61.7,6.0,4.1,1.9,38.0,106.0,40.0,10.0,160.0
Raúl Albentosa,es ESP,1988.0,2018.0,La Coruña,es La Liga,600.0,782.0,76.7,14853.0,5216.0,109.0,138.0,79.0,318.0,373.0,85.3,171.0,260.0,65.8,0.0,0.1,-0.1,3.0,34.0,3.0,0.0,33.0
Luis Alberto,es ESP,1992.0,2018.0,Lazio,it Serie A,1339.0,1824.0,73.4,25102.0,9173.0,592.0,697.0,84.9,517.0,636.0,81.3,203.0,421.0,48.2,14.0,10.1,3.9,91.0,184.0,79.0,4.0,242.0
Raúl Albiol,es ESP,1985.0,2018.0,Napoli,it Serie A,2223.0,2510.0,88.6,51015.0,16364.0,631.0,684.0,92.3,978.0,1075.0,91.0,576.0,696.0,82.8,1.0,1.2,-0.2,7.0,221.0,3.0,0.0,171.0
Miiko Albornoz,cl CHI,1990.0,2018.0,Hannover 96,de Bundesliga,324.0,423.0,76.6,5925.0,2939.0,143.0,158.0,90.5,124.0,154.0,80.5,48.0,90.0,53.3,0.0,1.2,-1.2,7.0,18.0,11.0,6.0,28.0
Marc Albrighton,eng ENG,1989.0,2018.0,Leicester City,eng Premier League,747.0,1260.0,59.3,15729.0,6874.0,287.0,361.0,79.5,288.0,412.0,69.9,156.0,411.0,38.0,7.0,4.8,2.2,42.0,105.0,38.0,16.0,103.0
Paco Alcácer,es ESP,1993.0,2018.0,Barcelona,es La Liga,193.0,236.0,81.8,2770.0,580.0,111.0,128.0,86.7,65.0,80.0,81.3,10.0,16.0,62.5,2.0,2.3,-0.3,10.0,4.0,9.0,2.0,16.0
Pedro Alcalá,es ESP,1989.0,2018.0,Girona,es La Liga,208.0,307.0,67.8,5175.0,1606.0,42.0,57.0,73.7,111.0,135.0,82.2,54.0,112.0,48.2,0.0,0.2,-0.2,1.0,23.0,1.0,0.0,16.0
