Player,Nation,Born,Season,Squad,Comp,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes
Neymar,br BRA,1992.0,2018.0,Paris S-G,fr Ligue 1,1072.0,1411.0,76.0,16916.0,6315.0,604.0,699.0,86.4,339.0,451.0,75.2,95.0,192.0,49.5,13.0,11.8,1.2,74.0,130.0,83.0,4.0,198.0
Yeni Ngbakoto,cd COD,1992.0,2018.0,Guingamp,fr Ligue 1,143.0,209.0,68.4,2123.0,688.0,88.0,103.0,85.4,38.0,59.0,64.4,14.0,38.0,36.8,1.0,0.4,0.6,4.0,13.0,8.0,5.0,15.0
Santy Ngom,sn SEN,1993.0,2018.0,Nantes,fr Ligue 1,111.0,149.0,74.5,1560.0,395.0,77.0,92.0,83.7,25.0,33.0,75.8,8.0,17.0,47.1,0.0,0.5,-0.5,7.0,10.0,3.0,1.0,9.0
Guy Ngosso,cm CMR,1985.0,2018.0,Amiens,fr Ligue 1,279.0,334.0,83.5,6077.0,1971.0,84.0,106.0,79.2,132.0,145.0,91.0,57.0,77.0,74.0,0.0,0.1,-0.1,3.0,34.0,3.0,0.0,33.0
Julien Ngoy,be BEL,1997.0,2018.0,Stoke City,eng Premier League,4.0,5.0,80.0,73.0,0.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Opa Nguette,sn SEN,1994.0,2018.0,Metz,fr Ligue 1,192.0,256.0,75.0,2984.0,916.0,100.0,122.0,82.0,72.0,92.0,78.3,12.0,19.0,63.2,0.0,1.0,-1.0,10.0,22.0,7.0,0.0,25.0
Moussa Niakhate,fr FRA,1996.0,2018.0,Metz,fr Ligue 1,1105.0,1417.0,78.0,25695.0,10294.0,273.0,325.0,84.0,552.0,643.0,85.8,271.0,423.0,64.1,1.0,0.3,0.7,3.0,107.0,6.0,1.0,94.0
Adama Niane,ml MLI,1993.0,2018.0,Troyes,fr Ligue 1,352.0,539.0,65.3,4819.0,740.0,206.0,292.0,70.5,100.0,158.0,63.3,18.0,36.0,50.0,2.0,0.9,1.1,16.0,13.0,7.0,2.0,19.0
Ibrahima Niane,sn SEN,1999.0,2018.0,Metz,fr Ligue 1,193.0,267.0,72.3,2811.0,699.0,108.0,133.0,81.2,64.0,87.0,73.6,10.0,27.0,37.0,0.0,1.5,-1.5,11.0,6.0,4.0,3.0,15.0
M'Baye Niang,sn SEN,1994.0,2018.0,Torino,it Serie A,366.0,512.0,71.5,5480.0,1160.0,214.0,248.0,86.3,108.0,152.0,71.1,29.0,67.0,43.3,2.0,1.1,0.9,19.0,13.0,8.0,2.0,25.0
Oumar Niasse,sn SEN,1990.0,2018.0,Everton,eng Premier League,162.0,260.0,62.3,2247.0,451.0,95.0,136.0,69.9,48.0,79.0,60.8,8.0,16.0,50.0,2.0,1.9,0.1,13.0,7.0,8.0,3.0,14.0
Florian Niederlechner,de GER,1990.0,2018.0,Freiburg,de Bundesliga,92.0,127.0,72.4,1591.0,310.0,43.0,57.0,75.4,39.0,46.0,84.8,7.0,15.0,46.7,0.0,0.4,-0.4,5.0,6.0,3.0,1.0,10.0
Saúl Ñíguez,es ESP,1994.0,2018.0,Atlético Madrid,es La Liga,1413.0,1747.0,80.9,24097.0,7374.0,679.0,785.0,86.5,588.0,718.0,81.9,125.0,199.0,62.8,4.0,2.9,1.1,21.0,151.0,22.0,2.0,165.0
Casimir Ninga,td CHA,1993.0,2018.0,Montpellier,fr Ligue 1,196.0,284.0,69.0,3111.0,587.0,112.0,137.0,81.8,58.0,92.0,63.0,17.0,33.0,51.5,0.0,1.2,-1.2,16.0,11.0,5.0,1.0,16.0
Benjamin Nivet,fr FRA,1977.0,2018.0,Troyes,fr Ligue 1,543.0,704.0,77.1,8775.0,2821.0,286.0,347.0,82.4,179.0,215.0,83.3,58.0,94.0,61.7,2.0,3.0,-1.0,29.0,62.0,22.0,2.0,70.0
Eddie Nketiah,eng ENG,1999.0,2018.0,Arsenal,eng Premier League,7.0,8.0,87.5,94.0,8.0,5.0,6.0,83.3,2.0,2.0,100.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jordan Nkololo,cd COD,1992.0,2018.0,Caen,fr Ligue 1,86.0,125.0,68.8,1624.0,552.0,36.0,46.0,78.3,33.0,42.0,78.6,13.0,27.0,48.1,0.0,0.8,-0.8,11.0,8.0,8.0,6.0,13.0
Nicolas Nkoulou,cm CMR,1990.0,2018.0,Torino,it Serie A,1483.0,1672.0,88.7,32609.0,8887.0,386.0,420.0,91.9,810.0,857.0,94.5,278.0,373.0,74.5,0.0,0.1,-0.1,4.0,75.0,4.0,0.0,72.0
Christopher Nkunku,fr FRA,1997.0,2018.0,Paris S-G,fr Ligue 1,323.0,359.0,90.0,5099.0,1036.0,162.0,176.0,92.0,133.0,138.0,96.4,17.0,29.0,58.6,0.0,0.6,-0.6,4.0,26.0,6.0,0.0,24.0
Lukas Nmecha,de GER,1998.0,2018.0,Manchester City,eng Premier League,5.0,5.0,100.0,64.0,6.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Noble,eng ENG,1987.0,2018.0,West Ham,eng Premier League,1082.0,1317.0,82.2,21926.0,6242.0,426.0,480.0,88.8,437.0,507.0,86.2,202.0,293.0,68.9,0.0,1.6,-1.6,20.0,99.0,24.0,2.0,113.0
Vincent Nogueira,fr FRA,1988.0,2018.0,Strasbourg,fr Ligue 1,35.0,43.0,81.4,717.0,123.0,9.0,11.0,81.8,19.0,19.0,100.0,6.0,12.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Nolito,es ESP,1986.0,2018.0,Sevilla,es La Liga,462.0,654.0,70.6,7969.0,2959.0,234.0,302.0,77.5,181.0,242.0,74.8,43.0,86.0,50.0,5.0,3.9,1.1,33.0,34.0,38.0,4.0,87.0
Håvard Nordtveit,no NOR,1990.0,2018.0,Hoffenheim,de Bundesliga,498.0,571.0,87.2,10846.0,4090.0,136.0,148.0,91.9,288.0,303.0,95.0,72.0,114.0,63.2,0.0,0.1,-0.1,2.0,51.0,3.0,0.0,65.0
Paul-Georges Ntep,cm CMR,1992.0,2018.0,Saint-Étienne,fr Ligue 1,133.0,200.0,66.5,2550.0,632.0,53.0,70.0,75.7,58.0,80.0,72.5,17.0,35.0,48.6,1.0,0.4,0.6,6.0,8.0,14.0,1.0,21.0
Paul-Georges Ntep,cm CMR,1992.0,2018.0,Wolfsburg,de Bundesliga,44.0,72.0,61.1,787.0,181.0,22.0,34.0,64.7,15.0,22.0,68.2,7.0,13.0,53.8,0.0,0.4,-0.4,2.0,1.0,3.0,1.0,5.0
Unai Núñez,es ESP,1997.0,2018.0,Athletic Club,es La Liga,1208.0,1501.0,80.5,28467.0,9383.0,262.0,336.0,78.0,646.0,711.0,90.9,291.0,434.0,67.1,0.0,0.3,-0.3,4.0,109.0,1.0,0.0,109.0
Bram Nuytinck,nl NED,1990.0,2018.0,Udinese,it Serie A,1054.0,1231.0,85.6,23086.0,7273.0,282.0,319.0,88.4,560.0,602.0,93.0,207.0,292.0,70.9,1.0,0.5,0.5,2.0,69.0,1.0,0.0,71.0
Simeon Nwankwo,ng NGA,1992.0,2018.0,Crotone,it Serie A,211.0,311.0,67.8,2916.0,390.0,117.0,162.0,72.2,71.0,99.0,71.7,8.0,14.0,57.1,1.0,0.6,0.4,13.0,13.0,4.0,0.0,13.0
Gerzino Nyamsi,fr FRA,1997.0,2018.0,Rennes,fr Ligue 1,66.0,91.0,72.5,1525.0,619.0,18.0,22.0,81.8,29.0,39.0,74.4,18.0,28.0,64.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0
Allan Nyom,cm CMR,1988.0,2018.0,West Brom,eng Premier League,769.0,1074.0,71.6,14092.0,5873.0,328.0,378.0,86.8,348.0,441.0,78.9,86.0,210.0,41.0,1.0,0.9,0.1,15.0,37.0,24.0,19.0,44.0
Steven Nzonzi,fr FRA,1988.0,2018.0,Sevilla,es La Liga,1601.0,1839.0,87.1,28536.0,7989.0,696.0,785.0,88.7,747.0,832.0,89.8,146.0,194.0,75.3,1.0,1.6,-0.6,14.0,168.0,7.0,2.0,133.0
Aiden O'Neill,au AUS,1998.0,2018.0,Burnley,eng Premier League,,,,,,,,,,,,,,,0.0,,,,,,,
Michael Obafemi,ie IRL,2000.0,2018.0,Southampton,eng Premier League,1.0,1.0,100.0,9.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Obi,ng NGA,1991.0,2018.0,Torino,it Serie A,479.0,606.0,79.0,7604.0,2288.0,267.0,307.0,87.0,166.0,206.0,80.6,32.0,62.0,51.6,1.0,0.3,0.7,6.0,54.0,8.0,4.0,55.0
Johann Obiang,ga GAB,1993.0,2018.0,Troyes,fr Ligue 1,163.0,250.0,65.2,3008.0,1527.0,65.0,85.0,76.5,80.0,103.0,77.7,14.0,45.0,31.1,0.0,0.1,-0.1,2.0,17.0,3.0,2.0,25.0
Pedro Obiang,gq EQG,1992.0,2018.0,West Ham,eng Premier League,602.0,764.0,78.8,11776.0,2962.0,232.0,268.0,86.6,267.0,327.0,81.7,89.0,138.0,64.5,0.0,0.4,-0.4,7.0,72.0,6.0,2.0,61.0
Lucas Ocampos,ar ARG,1994.0,2018.0,Marseille,fr Ligue 1,496.0,656.0,75.6,7621.0,2024.0,277.0,334.0,82.9,164.0,217.0,75.6,41.0,64.0,64.1,2.0,2.4,-0.4,23.0,38.0,17.0,6.0,47.0
Philipp Ochs,de GER,1997.0,2018.0,Hoffenheim,de Bundesliga,14.0,23.0,60.9,263.0,40.0,5.0,9.0,55.6,7.0,12.0,58.3,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bastian Oczipka,de GER,1989.0,2018.0,Schalke 04,de Bundesliga,1033.0,1422.0,72.6,19005.0,8372.0,427.0,494.0,86.4,471.0,610.0,77.2,119.0,260.0,45.8,2.0,3.6,-1.6,57.0,73.0,30.0,14.0,132.0
Álvaro Odriozola,es ESP,1995.0,2018.0,Real Sociedad,es La Liga,1412.0,1743.0,81.0,24024.0,7671.0,674.0,765.0,88.1,596.0,716.0,83.2,124.0,200.0,62.0,4.0,3.8,0.2,46.0,64.0,48.0,28.0,96.0
Ebenezer Ofori,gh GHA,1995.0,2018.0,Stuttgart,de Bundesliga,6.0,9.0,66.7,126.0,3.0,2.0,3.0,66.7,3.0,4.0,75.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Angelo Ogbonna,it ITA,1988.0,2018.0,West Ham,eng Premier League,830.0,1074.0,77.3,19114.0,6353.0,221.0,267.0,82.8,419.0,490.0,85.5,183.0,297.0,61.6,0.0,0.5,-0.5,9.0,59.0,9.0,2.0,48.0
Marios Oikonomou,gr GRE,1992.0,2018.0,SPAL,it Serie A,56.0,69.0,81.2,1140.0,489.0,17.0,18.0,94.4,32.0,36.0,88.9,7.0,14.0,50.0,0.0,0.1,-0.1,1.0,7.0,0.0,0.0,8.0
Stefano Okaka,it ITA,1989.0,2018.0,Watford,eng Premier League,109.0,160.0,68.1,1578.0,263.0,63.0,81.0,77.8,28.0,43.0,65.1,9.0,13.0,69.2,1.0,0.4,0.6,7.0,7.0,3.0,0.0,8.0
Shinji Okazaki,jp JPN,1986.0,2018.0,Leicester City,eng Premier League,266.0,370.0,71.9,3635.0,970.0,171.0,224.0,76.3,71.0,100.0,71.0,11.0,22.0,50.0,2.0,1.9,0.1,15.0,19.0,5.0,0.0,28.0
Orji Okwonkwo,ng NGA,1998.0,2018.0,Bologna,it Serie A,61.0,79.0,77.2,967.0,216.0,34.0,44.0,77.3,23.0,24.0,95.8,3.0,10.0,30.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0
Kwasi Okyere Wriedt,gh GHA,1994.0,2018.0,Bayern Munich,de Bundesliga,3.0,6.0,50.0,54.0,8.0,1.0,3.0,33.3,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Paulo Oliveira,pt POR,1992.0,2018.0,Eibar,es La Liga,681.0,960.0,70.9,16587.0,5385.0,131.0,188.0,69.7,356.0,440.0,80.9,190.0,319.0,59.6,0.0,0.2,-0.2,5.0,73.0,3.0,1.0,72.0
Mathías Olivera,uy URU,1997.0,2018.0,Getafe,es La Liga,11.0,33.0,33.3,126.0,47.0,7.0,18.0,38.9,3.0,6.0,50.0,0.0,4.0,0.0,0.0,0.1,-0.1,1.0,1.0,1.0,1.0,1.0
Maximiliano Olivera,uy URU,1992.0,2018.0,Fiorentina,it Serie A,220.0,278.0,79.1,4589.0,1588.0,70.0,81.0,86.4,117.0,137.0,85.4,33.0,56.0,58.9,0.0,0.2,-0.2,4.0,8.0,5.0,1.0,20.0
Paweł Olkowski,pl POL,1990.0,2018.0,Köln,de Bundesliga,71.0,143.0,49.7,1537.0,834.0,23.0,35.0,65.7,32.0,53.0,60.4,15.0,47.0,31.9,0.0,0.1,-0.1,1.0,5.0,1.0,1.0,12.0
Martin Olsson,se SWE,1988.0,2018.0,Swansea City,eng Premier League,1073.0,1547.0,69.4,18168.0,7182.0,540.0,620.0,87.1,391.0,538.0,72.7,113.0,306.0,36.9,1.0,1.0,0.0,13.0,58.0,27.0,20.0,78.0
Michael Olunga,ke KEN,1994.0,2018.0,Girona,es La Liga,75.0,110.0,68.2,1063.0,140.0,49.0,68.0,72.1,25.0,35.0,71.4,1.0,4.0,25.0,0.0,0.7,-0.7,6.0,6.0,1.0,0.0,6.0
Stephane Omeonga,be BEL,1996.0,2018.0,Genoa,it Serie A,288.0,354.0,81.4,5190.0,1111.0,131.0,158.0,82.9,121.0,133.0,91.0,32.0,44.0,72.7,0.0,0.4,-0.4,8.0,24.0,5.0,1.0,25.0
Prince Oniangué,cg CGO,1988.0,2018.0,Angers,fr Ligue 1,270.0,350.0,77.1,4421.0,1227.0,134.0,157.0,85.4,112.0,149.0,75.2,18.0,29.0,62.1,0.0,0.4,-0.4,8.0,19.0,5.0,2.0,32.0
Karim Onisiwo,at AUT,1992.0,2018.0,Mainz 05,de Bundesliga,57.0,91.0,62.6,766.0,271.0,41.0,49.0,83.7,12.0,28.0,42.9,2.0,7.0,28.6,0.0,0.8,-0.8,3.0,3.0,1.0,0.0,7.0
Javier Ontiveros,es ESP,1997.0,2018.0,Málaga,es La Liga,122.0,183.0,66.7,2067.0,773.0,64.0,82.0,78.0,43.0,67.0,64.2,12.0,26.0,46.2,1.0,0.7,0.3,8.0,13.0,8.0,4.0,19.0
Daniel Opare,gh GHA,1990.0,2018.0,Augsburg,de Bundesliga,367.0,612.0,60.0,8153.0,4256.0,110.0,137.0,80.3,167.0,244.0,68.4,86.0,212.0,40.6,0.0,0.6,-0.6,6.0,35.0,14.0,7.0,61.0
Willi Orban,hu HUN,1992.0,2018.0,RB Leipzig,de Bundesliga,1116.0,1333.0,83.7,23006.0,8723.0,342.0,388.0,88.1,587.0,661.0,88.8,175.0,261.0,67.0,0.0,1.3,-1.3,7.0,80.0,1.0,0.0,84.0
Fabián Orellana,cl CHI,1986.0,2018.0,Eibar,es La Liga,367.0,524.0,70.0,6601.0,1505.0,194.0,247.0,78.5,118.0,173.0,68.2,51.0,84.0,60.7,2.0,3.6,-1.6,29.0,23.0,19.0,8.0,33.0
Divock Origi,be BEL,1995.0,2018.0,Liverpool,eng Premier League,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divock Origi,be BEL,1995.0,2018.0,Wolfsburg,de Bundesliga,311.0,414.0,75.1,4526.0,758.0,181.0,220.0,82.3,103.0,136.0,75.7,15.0,27.0,55.6,2.0,2.3,-0.3,14.0,16.0,6.0,3.0,16.0
Riccardo Orsolini,it ITA,1997.0,2018.0,Atalanta,it Serie A,38.0,52.0,73.1,667.0,136.0,16.0,21.0,76.2,17.0,20.0,85.0,5.0,9.0,55.6,0.0,0.5,-0.5,4.0,1.0,2.0,1.0,2.0
Riccardo Orsolini,it ITA,1997.0,2018.0,Bologna,it Serie A,79.0,116.0,68.1,1415.0,438.0,38.0,52.0,73.1,29.0,39.0,74.4,11.0,23.0,47.8,1.0,1.1,-0.1,5.0,5.0,2.0,1.0,8.0
Yuya Osako,jp JPN,1990.0,2018.0,Köln,de Bundesliga,435.0,618.0,70.4,7210.0,1935.0,232.0,300.0,77.3,145.0,200.0,72.5,48.0,88.0,54.5,2.0,2.1,-0.1,22.0,48.0,24.0,6.0,56.0
Victor Osimhen,ng NGA,1998.0,2018.0,Wolfsburg,de Bundesliga,61.0,90.0,67.8,906.0,157.0,39.0,53.0,73.6,16.0,22.0,72.7,5.0,9.0,55.6,0.0,0.3,-0.3,2.0,6.0,0.0,0.0,5.0
Matthias Ostrzolek,de GER,1990.0,2018.0,Hannover 96,de Bundesliga,863.0,1245.0,69.3,16416.0,8870.0,321.0,398.0,80.7,415.0,548.0,75.7,114.0,246.0,46.3,1.0,1.9,-0.9,21.0,66.0,29.0,16.0,121.0
Nicolás Otamendi,ar ARG,1988.0,2018.0,Manchester City,eng Premier League,2770.0,3033.0,91.3,58084.0,16161.0,807.0,856.0,94.3,1500.0,1612.0,93.1,439.0,525.0,83.6,0.0,0.4,-0.4,10.0,255.0,7.0,0.0,170.0
Otávio,br BRA,1994.0,2018.0,Bordeaux,fr Ligue 1,771.0,871.0,88.5,16264.0,3840.0,269.0,283.0,95.1,341.0,371.0,91.9,153.0,197.0,77.7,0.0,0.6,-0.6,11.0,55.0,7.0,1.0,61.0
Anas Ouahim,de GER,1997.0,2018.0,Köln,de Bundesliga,7.0,8.0,87.5,126.0,47.0,3.0,3.0,100.0,4.0,5.0,80.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Adam Ounas,dz ALG,1996.0,2018.0,Napoli,it Serie A,42.0,55.0,76.4,689.0,172.0,20.0,25.0,80.0,16.0,19.0,84.2,5.0,8.0,62.5,0.0,0.3,-0.3,5.0,2.0,2.0,2.0,3.0
Reece Oxford,eng ENG,1998.0,2018.0,West Ham,eng Premier League,1.0,1.0,100.0,19.0,17.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Reece Oxford,eng ENG,1998.0,2018.0,M'Gladbach,de Bundesliga,209.0,278.0,75.2,4051.0,1480.0,85.0,103.0,82.5,87.0,109.0,79.8,34.0,56.0,60.7,0.0,0.1,-0.1,2.0,11.0,2.0,1.0,27.0
Alex Oxlade-Chamberlain,eng ENG,1993.0,2018.0,Liverpool,eng Premier League,603.0,789.0,76.4,12300.0,3611.0,221.0,268.0,82.5,276.0,332.0,83.1,96.0,167.0,57.5,7.0,3.6,3.4,32.0,82.0,39.0,6.0,102.0
Alex Oxlade-Chamberlain,eng ENG,1993.0,2018.0,Arsenal,eng Premier League,116.0,151.0,76.8,2507.0,811.0,37.0,44.0,84.1,55.0,62.0,88.7,23.0,39.0,59.0,0.0,0.4,-0.4,6.0,8.0,9.0,3.0,16.0
Mikel Oyarzabal,es ESP,1997.0,2018.0,Real Sociedad,es La Liga,735.0,979.0,75.1,12396.0,2930.0,395.0,485.0,81.4,255.0,320.0,79.7,74.0,131.0,56.5,5.0,3.7,1.3,40.0,42.0,26.0,9.0,54.0
Ambroise Oyongo,cm CMR,1991.0,2018.0,Montpellier,fr Ligue 1,67.0,100.0,67.0,1336.0,535.0,29.0,31.0,93.5,25.0,39.0,64.1,12.0,25.0,48.0,0.0,0.1,-0.1,2.0,5.0,2.0,2.0,4.0
Berkay Özcan,tr TUR,1998.0,2018.0,Stuttgart,de Bundesliga,337.0,455.0,74.1,5442.0,1290.0,177.0,198.0,89.4,117.0,147.0,79.6,35.0,82.0,42.7,2.0,1.3,0.7,16.0,17.0,10.0,1.0,31.0
Salih Özcan,de GER,1998.0,2018.0,Köln,de Bundesliga,726.0,928.0,78.2,12712.0,3294.0,321.0,402.0,79.9,324.0,392.0,82.7,68.0,101.0,67.3,1.0,1.9,-0.9,20.0,73.0,16.0,0.0,85.0
Mesut Özil,de GER,1988.0,2018.0,Arsenal,eng Premier League,1597.0,1914.0,83.4,27878.0,8390.0,772.0,848.0,91.0,602.0,701.0,85.9,185.0,270.0,68.5,8.0,7.0,1.0,80.0,177.0,80.0,6.0,229.0
Levin Öztunalı,de GER,1996.0,2018.0,Mainz 05,de Bundesliga,350.0,525.0,66.7,5453.0,1493.0,201.0,256.0,78.5,104.0,164.0,63.4,34.0,78.0,43.6,4.0,2.2,1.8,23.0,17.0,17.0,3.0,36.0
Pablo,br BRA,1991.0,2018.0,Bordeaux,fr Ligue 1,542.0,647.0,83.8,13627.0,3767.0,120.0,139.0,86.3,259.0,290.0,89.3,160.0,207.0,77.3,2.0,0.6,1.4,2.0,21.0,1.0,0.0,19.0
Daniel Pacheco,es ESP,1991.0,2018.0,Getafe,es La Liga,62.0,101.0,61.4,1331.0,429.0,23.0,36.0,63.9,25.0,40.0,62.5,14.0,22.0,63.6,0.0,0.8,-0.8,6.0,4.0,6.0,1.0,10.0
Simone Padoin,it ITA,1984.0,2018.0,Cagliari,it Serie A,987.0,1343.0,73.5,17683.0,6731.0,432.0,498.0,86.7,434.0,579.0,75.0,111.0,226.0,49.1,0.0,3.9,-3.9,37.0,73.0,38.0,26.0,96.0
Vincent Pajot,fr FRA,1990.0,2018.0,Saint-Étienne,fr Ligue 1,424.0,556.0,76.3,7809.0,1714.0,164.0,214.0,76.6,205.0,251.0,81.7,45.0,66.0,68.2,2.0,1.1,0.9,11.0,21.0,7.0,0.0,35.0
Rodrigo Palacio,ar ARG,1982.0,2018.0,Bologna,it Serie A,499.0,706.0,70.7,7959.0,1217.0,257.0,317.0,81.1,171.0,240.0,71.3,45.0,82.0,54.9,2.0,3.6,-1.6,34.0,22.0,23.0,11.0,26.0
Raffaele Palladino,it ITA,1984.0,2018.0,Genoa,it Serie A,68.0,91.0,74.7,1108.0,303.0,36.0,41.0,87.8,25.0,32.0,78.1,6.0,16.0,37.5,0.0,0.8,-0.8,8.0,4.0,5.0,4.0,2.0
Nicolas Pallois,fr FRA,1987.0,2018.0,Nantes,fr Ligue 1,595.0,829.0,71.8,14231.0,5718.0,149.0,183.0,81.4,279.0,345.0,80.9,157.0,277.0,56.7,1.0,0.5,0.5,7.0,60.0,2.0,0.0,52.0
Kasey Palmer,jm JAM,1996.0,2018.0,Huddersfield,eng Premier League,43.0,59.0,72.9,702.0,217.0,28.0,33.0,84.8,11.0,16.0,68.8,4.0,6.0,66.7,0.0,0.0,0.0,1.0,4.0,2.0,1.0,5.0
Emerson Palmieri,it ITA,1994.0,2018.0,Chelsea,eng Premier League,125.0,163.0,76.7,1881.0,458.0,74.0,84.0,88.1,38.0,50.0,76.0,7.0,19.0,36.8,1.0,0.1,0.9,1.0,6.0,3.0,1.0,6.0
Emerson Palmieri,it ITA,1994.0,2018.0,Roma,it Serie A,15.0,17.0,88.2,210.0,42.0,11.0,12.0,91.7,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Julian Palmieri,fr FRA,1986.0,2018.0,Metz,fr Ligue 1,402.0,530.0,75.8,7026.0,3385.0,168.0,194.0,86.6,195.0,250.0,78.0,32.0,63.0,50.8,0.0,0.3,-0.3,7.0,42.0,10.0,5.0,54.0
Simone Palombi,it ITA,1996.0,2018.0,Lazio,it Serie A,14.0,15.0,93.3,231.0,47.0,9.0,10.0,90.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.1,-0.1,1.0,0.0,1.0,1.0,1.0
Alberto Paloschi,it ITA,1990.0,2018.0,SPAL,it Serie A,292.0,407.0,71.7,4195.0,495.0,166.0,213.0,77.9,93.0,129.0,72.1,18.0,33.0,54.5,0.0,0.9,-0.9,12.0,11.0,4.0,1.0,14.0
Goran Pandev,mk MKD,1983.0,2018.0,Genoa,it Serie A,445.0,610.0,73.0,7739.0,2075.0,225.0,289.0,77.9,164.0,220.0,74.5,49.0,69.0,71.0,1.0,2.7,-1.7,29.0,50.0,33.0,1.0,74.0
Kyriakos Papadopoulos,gr GRE,1992.0,2018.0,Hamburger SV,de Bundesliga,892.0,1183.0,75.4,20268.0,8226.0,222.0,266.0,83.5,465.0,559.0,83.2,199.0,331.0,60.1,1.0,0.5,0.5,5.0,80.0,5.0,0.0,107.0
Sokratis Papastathopoulos,gr GRE,1988.0,2018.0,Dortmund,de Bundesliga,1650.0,1879.0,87.8,36202.0,10937.0,446.0,478.0,93.3,871.0,935.0,93.2,324.0,453.0,71.5,0.0,0.5,-0.5,5.0,128.0,9.0,1.0,94.0
Rubén Pardo,es ESP,1992.0,2018.0,Real Sociedad,es La Liga,109.0,139.0,78.4,2141.0,614.0,39.0,42.0,92.9,53.0,63.0,84.1,16.0,29.0,55.2,1.0,0.5,0.5,4.0,6.0,4.0,0.0,16.0
Nicolás Pareja,ar ARG,1984.0,2018.0,Sevilla,es La Liga,192.0,229.0,83.8,4525.0,1700.0,53.0,56.0,94.6,98.0,114.0,86.0,41.0,59.0,69.5,0.0,0.0,0.0,1.0,16.0,0.0,0.0,12.0
Daniel Parejo,es ESP,1989.0,2018.0,Valencia,es La Liga,2003.0,2450.0,81.8,42781.0,15663.0,660.0,766.0,86.2,963.0,1078.0,89.3,362.0,572.0,63.3,8.0,4.9,3.1,67.0,285.0,35.0,2.0,300.0
Vittorio Parigini,it ITA,1996.0,2018.0,Benevento,it Serie A,235.0,334.0,70.4,3593.0,753.0,140.0,166.0,84.3,75.0,113.0,66.4,16.0,38.0,42.1,0.0,1.4,-1.4,16.0,11.0,9.0,5.0,20.0
Shawn Parker,de GER,1993.0,2018.0,Augsburg,de Bundesliga,6.0,9.0,66.7,122.0,30.0,2.0,4.0,50.0,4.0,5.0,80.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Marco Parolo,it ITA,1985.0,2018.0,Lazio,it Serie A,995.0,1237.0,80.4,18620.0,4298.0,418.0,493.0,84.8,445.0,523.0,85.1,117.0,176.0,66.5,3.0,2.1,0.9,27.0,85.0,23.0,3.0,108.0
Thomas Partey,gh GHA,1993.0,2018.0,Atlético Madrid,es La Liga,1190.0,1448.0,82.2,22438.0,6658.0,520.0,602.0,86.4,489.0,581.0,84.2,169.0,239.0,70.7,0.0,0.5,-0.5,12.0,124.0,19.0,2.0,116.0
Felix Passlack,de GER,1998.0,2018.0,Dortmund,de Bundesliga,8.0,9.0,88.9,124.0,60.0,3.0,3.0,100.0,4.0,5.0,80.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Felix Passlack,de GER,1998.0,2018.0,Hoffenheim,de Bundesliga,37.0,41.0,90.2,734.0,268.0,13.0,14.0,92.9,19.0,19.0,100.0,5.0,8.0,62.5,0.0,0.1,-0.1,1.0,5.0,2.0,0.0,5.0
Javier Pastore,ar ARG,1989.0,2018.0,Paris S-G,fr Ligue 1,810.0,989.0,81.9,13268.0,3673.0,403.0,467.0,86.3,307.0,354.0,86.7,75.0,115.0,65.2,4.0,3.8,0.2,25.0,98.0,35.0,4.0,96.0
