Player,Nation,Born,Season,Squad,Comp,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Sergio Benito,es ESP,1999.0,2021.0,Valladolid,es La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bilal Benkhedim,fr FRA,2001.0,2021.0,Saint-Étienne,fr Ligue 1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0
Djamel Benlamri,dz ALG,1989.0,2021.0,Lyon,fr Ligue 1,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,100.0
Ismaël Bennacer,dz ALG,1997.0,2021.0,Milan,it Serie A,2.0,0.0,0.0,15.0,19.0,0.0,1.0,1.0,0.0,113.0,12.0,11.0,52.2
Saïd Benrahma,dz ALG,1995.0,2021.0,West Ham,eng Premier League,0.0,0.0,0.0,12.0,12.0,2.0,0.0,1.0,0.0,100.0,3.0,12.0,20.0
Yassine Benrahou,fr FRA,1999.0,2021.0,Nîmes,fr Ligue 1,2.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,93.0,4.0,22.0,15.4
Ramy Bensebaini,dz ALG,1995.0,2021.0,M'Gladbach,de Bundesliga,5.0,0.0,0.0,28.0,17.0,2.0,0.0,2.0,0.0,120.0,39.0,20.0,66.1
Josh Benson,eng ENG,1999.0,2021.0,Burnley,eng Premier League,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,24.0,1.0,4.0,20.0
Nabil Bentaleb,dz ALG,1994.0,2021.0,Schalke 04,de Bundesliga,2.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,53.0,6.0,6.0,50.0
Rodrigo Bentancur,uy URU,1997.0,2021.0,Juventus,it Serie A,6.0,0.0,0.0,29.0,23.0,1.0,0.0,0.0,0.0,216.0,24.0,20.0,54.5
Christian Benteke,be BEL,1990.0,2021.0,Crystal Palace,eng Premier League,2.0,1.0,1.0,27.0,15.0,10.0,0.0,0.0,0.0,46.0,134.0,91.0,59.6
Karim Benzema,fr FRA,1987.0,2021.0,Real Madrid,es La Liga,2.0,0.0,0.0,15.0,22.0,21.0,0.0,0.0,0.0,80.0,20.0,22.0,47.6
Yassine Benzia,dz ALG,1994.0,2021.0,Dijon,fr Ligue 1,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,25.0
Domenico Berardi,it ITA,1994.0,2021.0,Sassuolo,it Serie A,4.0,0.0,0.0,32.0,44.0,3.0,0.0,0.0,0.0,133.0,9.0,21.0,30.0
Yuri Berchiche,es ESP,1990.0,2021.0,Athletic Club,es La Liga,3.0,0.0,0.0,18.0,30.0,1.0,1.0,0.0,0.0,172.0,23.0,14.0,62.2
Álex Berenguer,es ESP,1995.0,2021.0,Torino,it Serie A,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
Álex Berenguer,es ESP,1995.0,2021.0,Athletic Club,es La Liga,3.0,0.0,0.0,32.0,27.0,13.0,1.0,0.0,0.0,97.0,16.0,25.0,39.0
Bartosz Bereszyński,pl POL,1992.0,2021.0,Sampdoria,it Serie A,2.0,0.0,0.0,19.0,22.0,0.0,0.0,0.0,0.0,218.0,27.0,24.0,52.9
Jóhann Berg Guðmundsson,is ISL,1990.0,2021.0,Burnley,eng Premier League,1.0,0.0,0.0,5.0,8.0,2.0,0.0,0.0,0.0,73.0,13.0,22.0,37.1
Sander Berge,no NOR,1998.0,2021.0,Sheffield Utd,eng Premier League,4.0,0.0,0.0,12.0,4.0,2.0,0.0,0.0,0.0,92.0,14.0,14.0,50.0
Steven Bergwijn,nl NED,1997.0,2021.0,Tottenham,eng Premier League,2.0,0.0,0.0,19.0,16.0,0.0,1.0,0.0,0.0,71.0,2.0,13.0,13.3
Valon Berisha,xk KVX,1993.0,2021.0,Reims,fr Ligue 1,2.0,0.0,0.0,16.0,16.0,1.0,0.0,0.0,0.0,145.0,14.0,13.0,51.9
Bernard,br BRA,1992.0,2021.0,Everton,eng Premier League,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,
Federico Bernardeschi,it ITA,1994.0,2021.0,Juventus,it Serie A,3.0,0.0,0.0,12.0,14.0,2.0,0.0,0.0,0.0,71.0,8.0,8.0,50.0
Bernardo,br BRA,1995.0,2021.0,Brighton,eng Premier League,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,5.0,6.0,45.5
Juan Bernat,es ESP,1993.0,2021.0,Paris S-G,fr Ligue 1,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0
Ryan Bertrand,eng ENG,1989.0,2021.0,Southampton,eng Premier League,5.0,0.0,0.0,29.0,31.0,3.0,0.0,1.0,0.0,198.0,33.0,51.0,39.3
Daniel Bessa,it ITA,1993.0,2021.0,Hellas Verona,it Serie A,1.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,15.0,2.0,6.0,25.0
Louis Beyer,de GER,2000.0,2021.0,M'Gladbach,de Bundesliga,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,21.0,11.0,4.0,73.3
Bartosz Bialek,pl POL,2001.0,2021.0,Wolfsburg,de Bundesliga,1.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,20.0,5.0,24.0,17.2
