Player,Nation,Born,Season,Squad,Comp,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,nl NED,1990.0,2018.0,Crystal Palace,eng Premier League,7.0,0.0,0.0,18.0,10.0,3.0,0.0,0.0,0.0,225.0,2.0,6.0,25.0
Rolando Aarons,eng ENG,1995.0,2018.0,Newcastle Utd,eng Premier League,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,12.0,2.0,2.0,50.0
Rolando Aarons,eng ENG,1995.0,2018.0,Hellas Verona,it Serie A,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,22.0,7.0,15.0,31.8
Ignazio Abate,it ITA,1986.0,2018.0,Milan,it Serie A,3.0,0.0,0.0,11.0,8.0,3.0,0.0,0.0,0.0,106.0,5.0,4.0,55.6
Aymen Abdennour,tn TUN,1989.0,2018.0,Marseille,fr Ligue 1,3.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,57.0,3.0,0.0,100.0
Aly Abeid,mr MTN,1997.0,2018.0,Levante,es La Liga,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
Mehdi Abeid,dz ALG,1992.0,2018.0,Dijon,fr Ligue 1,2.0,0.0,0.0,27.0,17.0,2.0,0.0,0.0,0.0,142.0,3.0,5.0,37.5
David Abraham,ar ARG,1986.0,2018.0,Eint Frankfurt,de Bundesliga,3.0,0.0,0.0,11.0,20.0,0.0,0.0,0.0,1.0,378.0,62.0,26.0,70.5
Tammy Abraham,eng ENG,1997.0,2018.0,Swansea City,eng Premier League,0.0,0.0,0.0,15.0,27.0,9.0,0.0,0.0,0.0,61.0,30.0,30.0,50.0
Amir Abrashi,al ALB,1990.0,2018.0,Freiburg,de Bundesliga,2.0,0.0,0.0,20.0,27.0,0.0,0.0,0.0,0.0,137.0,21.0,19.0,52.5
Francesco Acerbi,it ITA,1988.0,2018.0,Sassuolo,it Serie A,4.0,0.0,0.0,29.0,31.0,0.0,0.0,1.0,1.0,520.0,103.0,32.0,76.3
Afriyie Acquah,gh GHA,1992.0,2018.0,Torino,it Serie A,4.0,2.0,1.0,13.0,14.0,0.0,0.0,0.0,0.0,105.0,12.0,13.0,48.0
Charlie Adam,sco SCO,1985.0,2018.0,Stoke City,eng Premier League,2.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,61.0,5.0,1.0,83.3
Aday,es ESP,1987.0,2018.0,Girona,es La Liga,10.0,0.0,0.0,38.0,15.0,6.0,0.0,0.0,1.0,187.0,19.0,11.0,63.3
Khaled Adénon,bj BEN,1985.0,2018.0,Amiens,fr Ligue 1,9.0,0.0,0.0,51.0,40.0,1.0,0.0,1.0,0.0,394.0,23.0,22.0,51.1
Claud Adjapong,it ITA,1998.0,2018.0,Sassuolo,it Serie A,5.0,1.0,0.0,22.0,19.0,2.0,0.0,0.0,0.0,134.0,15.0,11.0,57.7
Ali Adnan Kadhim,iq IRQ,1993.0,2018.0,Udinese,it Serie A,4.0,0.0,0.0,20.0,22.0,1.0,0.0,0.0,1.0,174.0,49.0,32.0,60.5
Aritz Aduriz,es ESP,1981.0,2018.0,Athletic Club,es La Liga,5.0,0.0,0.0,40.0,40.0,35.0,0.0,0.0,0.0,72.0,63.0,45.0,58.3
Ibrahim Afellay,nl NED,1986.0,2018.0,Stoke City,eng Premier League,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,
Benik Afobe,cd COD,1993.0,2018.0,Bournemouth,eng Premier League,0.0,0.0,0.0,9.0,13.0,4.0,1.0,0.0,0.0,24.0,17.0,24.0,41.5
Martin Agirregabiria,es ESP,1996.0,2018.0,Alavés,es La Liga,4.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,244.0,7.0,7.0,50.0
Imanol Agirretxe,es ESP,1987.0,2018.0,Real Sociedad,es La Liga,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,10.0,6.0,2.0,75.0
Sergio Agüero,ar ARG,1988.0,2018.0,Manchester City,eng Premier League,2.0,0.0,0.0,10.0,17.0,16.0,0.0,0.0,0.0,90.0,6.0,15.0,28.6
Ruben Aguilar,fr FRA,1993.0,2018.0,Montpellier,fr Ligue 1,2.0,0.0,0.0,28.0,49.0,3.0,0.0,0.0,0.0,211.0,9.0,14.0,39.1
Matías Aguirregaray,uy URU,1989.0,2018.0,Las Palmas,es La Liga,3.0,0.0,0.0,16.0,22.0,1.0,0.0,0.0,0.0,108.0,5.0,10.0,33.3
Jean-Eudes Aholou,ci CIV,1994.0,2018.0,Strasbourg,fr Ligue 1,4.0,0.0,0.0,43.0,49.0,1.0,0.0,0.0,0.0,405.0,20.0,14.0,58.8
Ailton,br BRA,1995.0,2018.0,Stuttgart,de Bundesliga,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,40.0
Youssef Aït Bennasser,ma MAR,1996.0,2018.0,Caen,fr Ligue 1,4.0,0.0,0.0,24.0,26.0,0.0,0.0,0.0,0.0,298.0,6.0,13.0,31.6
Arlind Ajeti,al ALB,1993.0,2018.0,Crotone,it Serie A,7.0,0.0,0.0,19.0,6.0,0.0,0.0,1.0,0.0,147.0,23.0,24.0,48.9
Manuel Akanji,ch SUI,1995.0,2018.0,Dortmund,de Bundesliga,2.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,105.0,17.0,17.0,50.0
Nathan Aké,nl NED,1995.0,2018.0,Bournemouth,eng Premier League,5.0,0.0,0.0,27.0,19.0,2.0,0.0,0.0,0.0,465.0,61.0,54.0,53.0
Ager Aketxe,es ESP,1993.0,2018.0,Athletic Club,es La Liga,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Chadrac Akolo,cd COD,1995.0,2018.0,Stuttgart,de Bundesliga,2.0,0.0,0.0,13.0,13.0,9.0,0.0,0.0,0.0,67.0,9.0,21.0,30.0
Kevin Akpoguma,ng NGA,1995.0,2018.0,Hoffenheim,de Bundesliga,1.0,0.0,0.0,22.0,19.0,1.0,0.0,0.0,1.0,172.0,31.0,28.0,52.5
David Alaba,at AUT,1992.0,2018.0,Bayern Munich,de Bundesliga,1.0,0.0,0.0,9.0,6.0,2.0,0.0,0.0,0.0,170.0,15.0,15.0,50.0
Lucas Alario,ar ARG,1992.0,2018.0,Leverkusen,de Bundesliga,4.0,1.0,0.0,40.0,42.0,14.0,1.0,0.0,0.0,67.0,48.0,79.0,37.8
David Alba,es ESP,1999.0,2018.0,Getafe,es La Liga,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Jordi Alba,es ESP,1989.0,2018.0,Barcelona,es La Liga,7.0,0.0,0.0,28.0,22.0,16.0,0.0,0.0,0.0,278.0,8.0,10.0,44.4
Raúl Albentosa,es ESP,1988.0,2018.0,La Coruña,es La Liga,5.0,0.0,0.0,15.0,15.0,1.0,0.0,1.0,0.0,226.0,22.0,11.0,66.7
Luis Alberto,es ESP,1992.0,2018.0,Lazio,it Serie A,5.0,0.0,0.0,20.0,36.0,3.0,1.0,0.0,0.0,205.0,10.0,29.0,25.6
Raúl Albiol,es ESP,1985.0,2018.0,Napoli,it Serie A,7.0,0.0,0.0,30.0,19.0,2.0,0.0,0.0,0.0,455.0,73.0,51.0,58.9
Miiko Albornoz,cl CHI,1990.0,2018.0,Hannover 96,de Bundesliga,1.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,73.0,14.0,18.0,43.8
Marc Albrighton,eng ENG,1989.0,2018.0,Leicester City,eng Premier League,5.0,1.0,0.0,20.0,25.0,1.0,0.0,1.0,0.0,243.0,6.0,11.0,35.3
Paco Alcácer,es ESP,1993.0,2018.0,Barcelona,es La Liga,0.0,0.0,0.0,1.0,9.0,7.0,0.0,0.0,0.0,45.0,3.0,11.0,21.4
Pedro Alcalá,es ESP,1989.0,2018.0,Girona,es La Liga,4.0,0.0,0.0,11.0,3.0,2.0,0.0,0.0,0.0,101.0,6.0,9.0,40.0
Thiago Alcántara,es ESP,1991.0,2018.0,Bayern Munich,de Bundesliga,3.0,0.0,0.0,24.0,15.0,1.0,1.0,0.0,0.0,139.0,17.0,19.0,47.2
David Alcibiade,fr FRA,1991.0,2018.0,Nantes,fr Ligue 1,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,25.0,1.0,1.0,50.0
Toby Alderweireld,be BEL,1989.0,2018.0,Tottenham,eng Premier League,3.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,144.0,6.0,9.0,40.0
Steve Aldo One,cm CMR,1995.0,2018.0,La Coruña,es La Liga,0.0,0.0,,1.0,,,0.0,0.0,,5.0,1.0,0.0,100.0
Álex Alegría,es ESP,1992.0,2018.0,Levante,es La Liga,1.0,0.0,0.0,9.0,18.0,5.0,0.0,0.0,0.0,14.0,16.0,17.0,48.5
Iván Alejo,es ESP,1995.0,2018.0,Eibar,es La Liga,5.0,0.0,0.0,25.0,45.0,3.0,0.0,0.0,0.0,94.0,4.0,11.0,26.7
Alexander,ar ARG,1988.0,2018.0,Leganés,es La Liga,1.0,0.0,0.0,18.0,18.0,8.0,1.0,0.0,0.0,63.0,1.0,4.0,20.0
Trent Alexander-Arnold,eng ENG,1998.0,2018.0,Liverpool,eng Premier League,3.0,0.0,0.0,12.0,1.0,3.0,0.0,0.0,0.0,194.0,4.0,10.0,28.6
Alexis,es ESP,1985.0,2018.0,Alavés,es La Liga,6.0,0.0,0.0,20.0,15.0,2.0,0.0,0.0,1.0,215.0,16.0,7.0,69.6
Allan,br BRA,1991.0,2018.0,Napoli,it Serie A,2.0,0.0,0.0,38.0,48.0,0.0,0.0,0.0,0.0,296.0,9.0,32.0,22.0
Joe Allen,wal WAL,1990.0,2018.0,Stoke City,eng Premier League,8.0,0.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,437.0,16.0,35.0,31.4
Dele Alli,eng ENG,1996.0,2018.0,Tottenham,eng Premier League,7.0,0.0,0.0,45.0,85.0,5.0,1.0,0.0,0.0,248.0,20.0,34.0,37.0
José Alonso Lara,es ESP,2000.0,2018.0,Sevilla,es La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Júnior Alonso,py PAR,1993.0,2018.0,Lille,fr Ligue 1,3.0,0.0,0.0,29.0,10.0,0.0,0.0,0.0,1.0,420.0,49.0,17.0,74.2
Marcos Alonso,es ESP,1990.0,2018.0,Chelsea,eng Premier League,6.0,0.0,0.0,26.0,31.0,8.0,0.0,0.0,0.0,282.0,46.0,39.0,54.1
Ricky Álvarez,ar ARG,1988.0,2018.0,Sampdoria,it Serie A,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,26.0,4.0,11.0,26.7
Yeray Álvarez,es ESP,1995.0,2018.0,Athletic Club,es La Liga,2.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,95.0,10.0,7.0,58.8
Dani Alves,br BRA,1983.0,2018.0,Paris S-G,fr Ligue 1,7.0,1.0,0.0,40.0,35.0,4.0,0.0,0.0,0.0,231.0,9.0,8.0,52.9
Ibrahim Amadou,fr FRA,1993.0,2018.0,Lille,fr Ligue 1,3.0,0.0,0.0,23.0,19.0,0.0,0.0,1.0,0.0,263.0,16.0,13.0,55.2
Eloi Amagat,es ESP,1985.0,2018.0,Girona,es La Liga,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Morgan Amalfitano,fr FRA,1985.0,2018.0,Rennes,fr Ligue 1,2.0,3.0,1.0,8.0,14.0,0.0,0.0,0.0,0.0,57.0,0.0,3.0,0.0
Romain Amalfitano,fr FRA,1989.0,2018.0,Dijon,fr Ligue 1,5.0,0.0,0.0,35.0,52.0,0.0,0.0,0.0,0.0,308.0,6.0,12.0,33.3
Daniel Amartey,gh GHA,1994.0,2018.0,Leicester City,eng Premier League,1.0,2.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,66.0,3.0,3.0,50.0
Jordi Amat,es ESP,1992.0,2018.0,Betis,es La Liga,7.0,3.0,1.0,34.0,11.0,0.0,0.0,1.0,1.0,238.0,15.0,24.0,38.5
Amath,sn SEN,1996.0,2018.0,Getafe,es La Liga,9.0,0.0,0.0,70.0,62.0,10.0,0.0,0.0,0.0,226.0,13.0,26.0,33.3
Jordan Amavi,fr FRA,1994.0,2018.0,Marseille,fr Ligue 1,7.0,0.0,0.0,33.0,22.0,1.0,0.0,1.0,0.0,288.0,19.0,9.0,67.9
Stephan Ambrosius,de GER,1998.0,2018.0,Hamburger SV,de Bundesliga,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
Kelvin Amian,fr FRA,1998.0,2018.0,Toulouse,fr Ligue 1,3.0,1.0,0.0,30.0,17.0,0.0,0.0,0.0,0.0,298.0,14.0,18.0,43.8
Nadiem Amiri,de GER,1996.0,2018.0,Hoffenheim,de Bundesliga,4.0,0.0,0.0,42.0,38.0,3.0,0.0,0.0,0.0,194.0,9.0,13.0,40.9
Ethan Ampadu,wal WAL,2000.0,2018.0,Chelsea,eng Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
Nordin Amrabat,ma MAR,1987.0,2018.0,Watford,eng Premier League,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0
Nordin Amrabat,ma MAR,1987.0,2018.0,Leganés,es La Liga,6.0,2.0,1.0,51.0,36.0,25.0,0.0,1.0,0.0,85.0,7.0,11.0,38.9
Joachim Andersen,dk DEN,1996.0,2018.0,Sampdoria,it Serie A,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,72.0,15.0,4.0,78.9
Felipe Anderson,br BRA,1993.0,2018.0,Lazio,it Serie A,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,110.0,3.0,8.0,27.3
Florin Andone,ro ROU,1993.0,2018.0,La Coruña,es La Liga,6.0,0.0,0.0,54.0,21.0,18.0,0.0,0.0,0.0,63.0,14.0,47.0,23.0
Benjamin André,fr FRA,1990.0,2018.0,Rennes,fr Ligue 1,11.0,2.0,1.0,67.0,51.0,1.0,0.0,0.0,0.0,448.0,80.0,87.0,47.9
Marco Andreolli,it ITA,1986.0,2018.0,Cagliari,it Serie A,5.0,0.0,0.0,25.0,9.0,0.0,0.0,0.0,0.0,176.0,49.0,29.0,62.8
Yoann Andreu,fr FRA,1989.0,2018.0,Angers,fr Ligue 1,4.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,236.0,9.0,16.0,36.0
Miguel Ángel Guerrero,es ESP,1990.0,2018.0,Leganés,es La Liga,3.0,0.0,0.0,35.0,23.0,14.0,0.0,0.0,0.0,70.0,22.0,26.0,45.8
Miguel Ángel Rubio,es ESP,1998.0,2018.0,Getafe,es La Liga,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,100.0
José Ángel,es ESP,1989.0,2018.0,Eibar,es La Liga,4.0,0.0,0.0,18.0,18.0,1.0,0.0,0.0,0.0,358.0,22.0,15.0,59.5
Gabriele Angella,it ITA,1989.0,2018.0,Udinese,it Serie A,3.0,0.0,0.0,17.0,4.0,0.0,0.0,3.0,0.0,116.0,32.0,10.0,76.2
Cristian Ansaldi,ar ARG,1986.0,2018.0,Torino,it Serie A,6.0,2.0,1.0,24.0,35.0,0.0,1.0,1.0,0.0,175.0,7.0,17.0,29.2
Luca Antei,it ITA,1992.0,2018.0,Benevento,it Serie A,1.0,1.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,55.0,9.0,7.0,56.3
Mirco Antenucci,it ITA,1984.0,2018.0,SPAL,it Serie A,1.0,0.0,0.0,36.0,71.0,33.0,1.0,0.0,0.0,123.0,21.0,46.0,31.3
Waldemar Anton,de GER,1996.0,2018.0,Hannover 96,de Bundesliga,1.0,0.0,0.0,20.0,30.0,0.0,0.0,1.0,0.0,347.0,64.0,38.0,62.7
Luca Antonelli,it ITA,1987.0,2018.0,Milan,it Serie A,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,18.0,1.0,1.0,50.0
Michail Antonio,eng ENG,1990.0,2018.0,West Ham,eng Premier League,1.0,0.0,0.0,17.0,30.0,7.0,1.0,0.0,0.0,93.0,31.0,35.0,47.0
Mirko Antonucci,it ITA,1999.0,2018.0,Roma,it Serie A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
Vitorino Antunes,pt POR,1987.0,2018.0,Getafe,es La Liga,14.0,0.0,0.0,49.0,36.0,1.0,0.0,0.0,0.0,306.0,13.0,11.0,54.2
Dennis Aogo,de GER,1987.0,2018.0,Stuttgart,de Bundesliga,5.0,0.0,0.0,33.0,12.0,0.0,0.0,1.0,0.0,203.0,10.0,13.0,43.5
Houssem Aouar,fr FRA,1998.0,2018.0,Lyon,fr Ligue 1,1.0,0.0,0.0,21.0,47.0,6.0,0.0,0.0,0.0,229.0,12.0,16.0,42.9
Alberto Aquilani,it ITA,1984.0,2018.0,Las Palmas,es La Liga,4.0,0.0,0.0,21.0,14.0,1.0,0.0,0.0,0.0,119.0,4.0,5.0,44.4
Mauro Arambarri,uy URU,1995.0,2018.0,Getafe,es La Liga,9.0,2.0,1.0,51.0,43.0,0.0,0.0,0.0,0.0,290.0,11.0,21.0,34.4
Guilherme Arana,br BRA,1997.0,2018.0,Sevilla,es La Liga,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,26.0,0.0,1.0,0.0
Charles Aránguiz,cl CHI,1989.0,2018.0,Leverkusen,de Bundesliga,4.0,0.0,0.0,42.0,52.0,1.0,0.0,1.0,0.0,340.0,23.0,27.0,46.0
Luiz Araújo,br BRA,1996.0,2018.0,Lille,fr Ligue 1,5.0,0.0,0.0,28.0,26.0,6.0,0.0,0.0,0.0,140.0,1.0,5.0,16.7
Sergio Araujo,ar ARG,1992.0,2018.0,Las Palmas,es La Liga,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
Anaitz Arbilla,es ESP,1987.0,2018.0,Eibar,es La Liga,8.0,0.0,0.0,25.0,12.0,0.0,0.0,2.0,1.0,465.0,26.0,24.0,52.0
Scott Arfield,ca CAN,1988.0,2018.0,Burnley,eng Premier League,3.0,0.0,0.0,21.0,14.0,2.0,0.0,0.0,0.0,130.0,5.0,19.0,20.8
Samuel Armenteros,se SWE,1990.0,2018.0,Benevento,it Serie A,1.0,0.0,0.0,9.0,3.0,8.0,0.0,0.0,0.0,9.0,8.0,17.0,32.0
Yoël Armougom,fr FRA,1998.0,2018.0,Caen,fr Ligue 1,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,100.0
José Arnaiz,es ESP,1995.0,2018.0,Barcelona,es La Liga,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
Marko Arnautović,at AUT,1989.0,2018.0,West Ham,eng Premier League,5.0,1.0,0.0,35.0,29.0,43.0,0.0,0.0,0.0,147.0,7.0,22.0,24.1
Maximilian Arnold,de GER,1994.0,2018.0,Wolfsburg,de Bundesliga,9.0,1.0,0.0,51.0,79.0,3.0,0.0,1.0,0.0,275.0,21.0,30.0,41.2
Jann-Fiete Arp,de GER,2000.0,2018.0,Hamburger SV,de Bundesliga,1.0,0.0,0.0,22.0,18.0,3.0,0.0,0.0,0.0,31.0,10.0,52.0,16.1
Alejandro Arribas,es ESP,1989.0,2018.0,La Coruña,es La Liga,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0,31.0,1.0,0.0,100.0
Sergio Arribas,es ESP,1995.0,2018.0,Leganés,es La Liga,0.0,0.0,,0.0,,,,,,,,,
Harry Arter,ie IRL,1989.0,2018.0,Bournemouth,eng Premier League,4.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,102.0,1.0,1.0,50.0
Aythami Artiles,es ESP,1986.0,2018.0,Las Palmas,es La Liga,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,100.0
Kwadwo Asamoah,gh GHA,1988.0,2018.0,Juventus,it Serie A,4.0,0.0,0.0,11.0,30.0,1.0,0.0,0.0,0.0,139.0,13.0,10.0,56.5
Takuma Asano,jp JPN,1994.0,2018.0,Stuttgart,de Bundesliga,1.0,0.0,0.0,11.0,8.0,13.0,0.0,0.0,0.0,35.0,5.0,24.0,17.2
Santiago Ascacíbar,ar ARG,1997.0,2018.0,Stuttgart,de Bundesliga,11.0,1.0,1.0,34.0,59.0,0.0,1.0,0.0,0.0,411.0,29.0,37.0,43.9
Marco Asensio,es ESP,1996.0,2018.0,Real Madrid,es La Liga,2.0,0.0,0.0,7.0,27.0,3.0,0.0,0.0,0.0,98.0,0.0,0.0,
Iago Aspas,es ESP,1987.0,2018.0,Celta Vigo,es La Liga,9.0,0.0,0.0,21.0,62.0,12.0,1.0,0.0,0.0,175.0,8.0,21.0,27.6
Benoît Assou-Ekotto,cm CMR,1984.0,2018.0,Metz,fr Ligue 1,2.0,3.0,1.0,10.0,9.0,1.0,0.0,0.0,0.0,124.0,0.0,4.0,0.0
Simon Asta,de GER,2001.0,2018.0,Augsburg,de Bundesliga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
Davide Astori,it ITA,1987.0,2018.0,Fiorentina,it Serie A,5.0,0.0,0.0,22.0,22.0,1.0,0.0,1.0,0.0,320.0,53.0,28.0,65.4
Christian Atsu,gh GHA,1992.0,2018.0,Newcastle Utd,eng Premier League,1.0,0.0,0.0,10.0,26.0,6.0,0.0,0.0,0.0,150.0,6.0,45.0,11.8
Pierre-Emerick Aubameyang,ga GAB,1989.0,2018.0,Arsenal,eng Premier League,0.0,0.0,0.0,1.0,8.0,10.0,0.0,0.0,0.0,52.0,4.0,13.0,23.5
Pierre-Emerick Aubameyang,ga GAB,1989.0,2018.0,Dortmund,de Bundesliga,1.0,1.0,1.0,17.0,8.0,15.0,1.0,0.0,0.0,49.0,11.0,16.0,40.7
Jean-Kévin Augustin,fr FRA,1997.0,2018.0,RB Leipzig,de Bundesliga,1.0,0.0,0.0,21.0,42.0,13.0,2.0,0.0,0.0,65.0,15.0,40.0,27.3
Ludwig Augustinsson,se SWE,1994.0,2018.0,Werder Bremen,de Bundesliga,3.0,0.0,0.0,29.0,14.0,4.0,0.0,0.0,0.0,237.0,36.0,33.0,52.2
Yann Aurel Bisseck,de GER,2000.0,2018.0,Köln,de Bundesliga,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,4.0,1.0,80.0
Serge Aurier,ci CIV,1992.0,2018.0,Tottenham,eng Premier League,2.0,2.0,1.0,21.0,16.0,2.0,0.0,1.0,0.0,196.0,36.0,21.0,63.2
Charlie Austin,eng ENG,1989.0,2018.0,Southampton,eng Premier League,2.0,0.0,0.0,16.0,16.0,14.0,0.0,0.0,0.0,45.0,24.0,42.0,36.4
Danilo Avelar,br BRA,1989.0,2018.0,Amiens,fr Ligue 1,2.0,0.0,0.0,23.0,19.0,1.0,1.0,0.0,0.0,189.0,24.0,14.0,63.2
Felipe Avenatti,uy URU,1993.0,2018.0,Bologna,it Serie A,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,20.0,23.0,24.0,48.9
Durel Avounou,cg CGO,1997.0,2018.0,Caen,fr Ligue 1,1.0,0.0,0.0,9.0,5.0,2.0,0.0,0.0,0.0,79.0,1.0,4.0,20.0
Chidozie Awaziem,ng NGA,1997.0,2018.0,Nantes,fr Ligue 1,2.0,1.0,0.0,19.0,11.0,0.0,0.0,0.0,0.0,193.0,14.0,9.0,60.9
André Ayew,gh GHA,1989.0,2018.0,Swansea City,eng Premier League,3.0,0.0,0.0,17.0,19.0,3.0,1.0,0.0,0.0,46.0,15.0,28.0,34.9
André Ayew,gh GHA,1989.0,2018.0,West Ham,eng Premier League,2.0,0.0,0.0,7.0,17.0,3.0,0.0,0.0,0.0,58.0,20.0,29.0,40.8
Jordan Ayew,gh GHA,1991.0,2018.0,Swansea City,eng Premier League,2.0,1.0,0.0,63.0,88.0,8.0,0.0,0.0,0.0,188.0,33.0,74.0,30.8
Karim Azamoum,fr FRA,1990.0,2018.0,Troyes,fr Ligue 1,5.0,1.0,0.0,55.0,17.0,0.0,0.0,1.0,0.0,269.0,37.0,26.0,58.7
César Azpilicueta,es ESP,1989.0,2018.0,Chelsea,eng Premier League,1.0,0.0,0.0,25.0,13.0,1.0,0.0,0.0,1.0,517.0,40.0,32.0,55.6
Ludovic Baal,gf GUF,1986.0,2018.0,Rennes,fr Ligue 1,0.0,0.0,0.0,11.0,15.0,1.0,0.0,0.0,0.0,150.0,11.0,4.0,73.3
Khouma Babacar,sn SEN,1993.0,2018.0,Fiorentina,it Serie A,1.0,0.0,0.0,8.0,12.0,8.0,1.0,0.0,0.0,26.0,4.0,8.0,33.3
Khouma Babacar,sn SEN,1993.0,2018.0,Sassuolo,it Serie A,0.0,0.0,0.0,14.0,16.0,5.0,0.0,0.0,0.0,40.0,8.0,28.0,22.2
Carlos Bacca,co COL,1986.0,2018.0,Villarreal,es La Liga,9.0,0.0,0.0,24.0,22.0,41.0,0.0,0.0,0.0,74.0,11.0,27.0,28.9
Milan Badelj,hr CRO,1989.0,2018.0,Fiorentina,it Serie A,9.0,2.0,1.0,47.0,26.0,0.0,0.0,0.0,0.0,348.0,27.0,40.0,40.3
Holger Badstuber,de GER,1989.0,2018.0,Stuttgart,de Bundesliga,2.0,0.0,0.0,22.0,18.0,0.0,0.0,0.0,0.0,316.0,48.0,27.0,64.0
Dylan Bahamboula,cg CGO,1995.0,2018.0,Dijon,fr Ligue 1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Farès Bahlouli,fr FRA,1995.0,2018.0,Lille,fr Ligue 1,2.0,0.0,0.0,8.0,9.0,3.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0
Stéphane Bahoken,cm CMR,1992.0,2018.0,Strasbourg,fr Ligue 1,5.0,0.0,0.0,39.0,21.0,20.0,0.0,1.0,0.0,70.0,13.0,19.0,40.6
Daniel Baier,de GER,1984.0,2018.0,Augsburg,de Bundesliga,6.0,0.0,0.0,45.0,58.0,0.0,0.0,0.0,0.0,519.0,28.0,38.0,42.4
Leon Bailey,jm JAM,1997.0,2018.0,Leverkusen,de Bundesliga,2.0,0.0,0.0,26.0,31.0,6.0,0.0,0.0,0.0,189.0,19.0,32.0,37.3
Eric Bailly,ci CIV,1994.0,2018.0,Manchester Utd,eng Premier League,2.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,1.0,112.0,11.0,7.0,61.1
Leighton Baines,eng ENG,1984.0,2018.0,Everton,eng Premier League,1.0,0.0,0.0,7.0,17.0,1.0,0.0,0.0,0.0,156.0,7.0,12.0,36.8
Riad Bajić,ba BIH,1994.0,2018.0,Udinese,it Serie A,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,33.3
Marvin Bakalorz,de GER,1989.0,2018.0,Hannover 96,de Bundesliga,4.0,0.0,0.0,33.0,55.0,2.0,0.0,0.0,0.0,205.0,30.0,21.0,58.8
