Player,Nation,Born,Season,Squad,Comp,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG
Patrick van Aanholt,nl NED,1990.0,2018.0,Crystal Palace,eng Premier League,5.0,33.0,12.0,36.4,1.36,0.49,0.15,0.42,22.7,4.0,0.0,0.0,3.1,3.1,0.09,1.9,1.9
Rolando Aarons,eng ENG,1995.0,2018.0,Newcastle Utd,eng Premier League,0.0,2.0,0.0,0.0,1.29,0.0,0.0,,20.6,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2
Rolando Aarons,eng ENG,1995.0,2018.0,Hellas Verona,it Serie A,0.0,3.0,0.0,0.0,0.52,0.0,0.0,,15.7,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2
Ignazio Abate,it ITA,1986.0,2018.0,Milan,it Serie A,1.0,4.0,2.0,50.0,0.34,0.17,0.25,0.5,17.9,0.0,0.0,0.0,0.3,0.3,0.07,0.7,0.7
Aymen Abdennour,tn TUN,1989.0,2018.0,Marseille,fr Ligue 1,0.0,2.0,1.0,50.0,0.36,0.18,0.0,0.0,11.3,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Aly Abeid,mr MTN,1997.0,2018.0,Levante,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Mehdi Abeid,dz ALG,1992.0,2018.0,Dijon,fr Ligue 1,0.0,21.0,6.0,28.6,1.61,0.46,0.0,0.0,24.7,2.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0
David Abraham,ar ARG,1986.0,2018.0,Eint Frankfurt,de Bundesliga,0.0,12.0,1.0,8.3,0.47,0.04,0.0,0.0,13.6,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5
Tammy Abraham,eng ENG,1997.0,2018.0,Swansea City,eng Premier League,5.0,43.0,14.0,32.6,2.24,0.73,0.12,0.36,12.4,0.0,0.0,0.0,6.3,6.3,0.15,-1.3,-1.3
Amir Abrashi,al ALB,1990.0,2018.0,Freiburg,de Bundesliga,0.0,5.0,0.0,0.0,0.53,0.0,0.0,,20.9,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
Francesco Acerbi,it ITA,1988.0,2018.0,Sassuolo,it Serie A,0.0,15.0,2.0,13.3,0.39,0.05,0.0,0.0,15.6,0.0,0.0,0.0,1.5,1.5,0.1,-1.5,-1.5
Afriyie Acquah,gh GHA,1992.0,2018.0,Torino,it Serie A,1.0,9.0,3.0,33.3,0.85,0.28,0.11,0.33,22.9,0.0,0.0,0.0,0.6,0.6,0.07,0.4,0.4
Charlie Adam,sco SCO,1985.0,2018.0,Stoke City,eng Premier League,0.0,9.0,2.0,22.2,1.97,0.44,0.0,0.0,34.6,2.0,0.0,1.0,1.4,0.7,0.07,-1.4,-0.7
Aday,es ESP,1987.0,2018.0,Girona,es La Liga,2.0,32.0,14.0,43.8,1.57,0.68,0.03,0.07,23.0,6.0,1.0,2.0,2.6,1.1,0.03,-0.6,-0.1
Khaled Adénon,bj BEN,1985.0,2018.0,Amiens,fr Ligue 1,0.0,5.0,1.0,20.0,0.15,0.03,0.0,0.0,6.3,0.0,0.0,0.0,0.5,0.5,0.1,-0.5,-0.5
Claud Adjapong,it ITA,1998.0,2018.0,Sassuolo,it Serie A,0.0,15.0,3.0,20.0,1.11,0.22,0.0,0.0,21.1,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6
Ali Adnan Kadhim,iq IRQ,1993.0,2018.0,Udinese,it Serie A,0.0,11.0,3.0,27.3,0.59,0.16,0.0,0.0,28.0,4.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6
Aritz Aduriz,es ESP,1981.0,2018.0,Athletic Club,es La Liga,9.0,54.0,25.0,46.3,2.26,1.04,0.11,0.24,12.6,0.0,3.0,5.0,10.6,7.1,0.13,-1.6,-1.1
Ibrahim Afellay,nl NED,1986.0,2018.0,Stoke City,eng Premier League,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Benik Afobe,cd COD,1993.0,2018.0,Bournemouth,eng Premier League,0.0,8.0,3.0,37.5,1.18,0.44,0.0,0.0,8.1,0.0,0.0,0.0,1.4,1.4,0.18,-1.4,-1.4
Martin Agirregabiria,es ESP,1996.0,2018.0,Alavés,es La Liga,0.0,3.0,1.0,33.3,0.15,0.05,0.0,0.0,34.5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Imanol Agirretxe,es ESP,1987.0,2018.0,Real Sociedad,es La Liga,0.0,5.0,2.0,40.0,1.89,0.76,0.0,0.0,9.9,0.0,0.0,0.0,1.2,1.2,0.24,-1.2,-1.2
Sergio Agüero,ar ARG,1988.0,2018.0,Manchester City,eng Premier League,21.0,92.0,38.0,41.3,4.22,1.74,0.18,0.45,13.5,1.0,4.0,4.0,16.6,13.6,0.15,4.4,3.4
Ruben Aguilar,fr FRA,1993.0,2018.0,Montpellier,fr Ligue 1,0.0,15.0,5.0,33.3,0.55,0.18,0.0,0.0,17.9,0.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7
Matías Aguirregaray,uy URU,1989.0,2018.0,Las Palmas,es La Liga,0.0,9.0,0.0,0.0,0.7,0.0,0.0,,21.0,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5
Jean-Eudes Aholou,ci CIV,1994.0,2018.0,Strasbourg,fr Ligue 1,5.0,44.0,7.0,15.9,1.32,0.21,0.11,0.71,21.4,0.0,0.0,0.0,2.9,2.9,0.07,2.1,2.1
