Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Che Adams,sco SCO,FW,,Southampton,eng Premier League,,1996,12.3,,4,37,9,24.3,3,0.73,0.11,0.44,15.2,0,0,0,4,4,0.11,0,0,,184,265,69.4,2931,631,96,124,77.4,66,91,72.5,12,24,50,2,1.2,0.8,11,12,3,0,19,,257,8,0,3,73,8,12,0,0,0,0,160,67,38,18,211,11,0,5,1,9,8,20,,25,2.03,15,0,3,2,4,1,5,0.41,2,0,1,0,2,0,0,,8,6,2,4,2,0,5,0,5,231,58,25.1,9,97,125,10,1,0,9,3,11,10,0,,441,10,35,204,235,68,433,15,27,55.6,15,1,308,1348,640,37,15,11,44,29,657,315,47.9,147,,0,0,0,17,16,10,12,3,6,1,0,0,73,29,86,25.2
Tyler Adams,us USA,DF,MF,RB Leipzig,de Bundesliga,,1999,10.6,,0,7,1,14.3,0.66,0.09,0,0,17.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,,595,699,85.1,9793,2653,292,325,89.8,242,276,87.7,49,69,71,0,0.5,-0.5,6,30,8,2,38,,620,79,21,1,80,4,9,0,0,0,0,479,126,94,73,524,33,58,2,1,8,19,18,,18,1.7,14,1,0,2,1,0,2,0.19,1,0,0,0,1,0,0,,23,12,13,8,2,9,30,30,21,194,60,30.9,79,88,27,22,1,0,21,7,30,16,0,,813,20,206,453,196,13,737,6,11,54.5,6,0,501,2365,1076,41,10,1,9,13,602,554,92,31,,0,0,0,9,16,0,9,7,12,0,0,0,106,10,16,38.5
Sargis Adamyan,am ARM,FW,MF,Hoffenheim,de Bundesliga,,1993,8.3,,5,20,10,50,2.41,1.21,0.25,0.5,11.3,0,0,0,4.1,4.1,0.2,0.9,0.9,,140,191,73.3,2008,429,90,110,81.8,40,54,74.1,6,11,54.5,1,0.9,0.1,7,5,4,2,13,,179,12,0,0,42,3,6,0,0,0,0,109,49,33,28,132,10,6,5,0,1,2,14,,20,2.41,16,0,1,1,2,0,4,0.48,3,0,0,0,1,0,0,,10,4,2,5,3,4,24,16.7,20,209,45,21.5,33,93,83,5,1,0,4,3,13,5,0,,309,7,29,134,164,46,297,11,24,45.8,13,0,206,1165,603,28,7,8,25,20,404,212,52.5,95,,1,0,0,12,7,7,6,3,4,1,0,0,47,14,40,25.9
Bobby Adekanye,nl NED,FW,,Lazio,it Serie A,,1999,2.1,,1,5,4,80,2.39,1.91,0.2,0.25,10.7,0,0,0,1.7,1.7,0.34,-0.7,-0.7,,41,46,89.1,546,68,26,31,83.9,12,12,100,1,1,100,0,0.1,-0.1,2,1,0,0,1,,44,2,0,0,6,0,1,0,0,0,0,38,5,3,39,4,1,1,0,0,0,1,0,,6,2.87,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,4,3,0,4,0,1,5,20,4,60,10,16.7,4,37,19,0,0,0,0,2,6,1,0,,70,0,9,35,30,13,68,4,4,100,4,0,54,352,202,9,2,6,5,4,82,50,61,17,,1,0,0,2,3,1,1,2,3,0,0,0,10,1,6,14.3
Claud Adjapong,it ITA,DF,,Hellas Verona,it Serie A,,1998,2.6,,0,3,1,33.3,1.17,0.39,0,0,13.9,0,0,0,0.6,0.6,0.18,-0.6,-0.6,,61,80,76.3,1113,358,27,33,81.8,25,30,83.3,7,14,50,0,0,0,0,6,0,0,5,,65,15,1,0,18,1,2,0,0,0,0,40,23,17,10,49,5,14,0,0,1,2,1,,1,0.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,5,3,2,2,1,0,2,0,2,50,12,24,28,11,11,5,3,0,2,3,8,9,0,,112,14,35,52,37,7,98,1,3,33.3,2,0,66,322,145,6,1,1,5,1,76,63,82.9,13,,0,0,0,3,2,1,2,3,3,0,0,0,12,4,2,66.7
Amine Adli,fr FRA,MF,FW,Toulouse,fr Ligue 1,2020,2000,0.5,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,21,27,77.8,336,127,12,12,100,7,9,77.8,2,6,33.3,0,0.1,-0.1,2,4,1,0,4,,22,5,1,0,4,3,1,3,2,0,0,14,8,5,22,2,1,1,0,0,1,0,0,,3,5.87,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,3,17,4,23.5,6,10,1,0,0,0,0,1,1,0,0,,33,0,3,20,14,1,28,3,4,75,3,0,25,176,107,6,0,0,3,1,26,23,88.5,3,,1,0,0,2,0,0,1,1,0,0,0,0,4,1,1,50
Yacine Adli,fr FRA,MF,FW,Bordeaux,fr Ligue 1,2020,2000,11.3,,3,18,6,33.3,1.59,0.53,0.17,0.5,23.1,1,0,0,0.9,0.9,0.05,2.1,2.1,,460,581,79.2,8420,1964,216,250,86.4,178,215,82.8,59,99,59.6,3,2,1,18,50,8,0,55,,540,41,18,1,144,22,11,19,8,7,3,441,76,64,62,498,8,3,1,3,9,22,7,,38,3.35,25,5,4,2,1,1,7,0.62,3,1,2,1,0,0,0,,27,18,6,15,6,10,31,32.3,21,328,86,26.2,72,166,90,11,0,0,11,9,36,4,0,,735,13,73,512,210,13,695,24,42,57.1,28,3,554,2685,1602,91,34,3,27,32,612,549,89.7,58,,3,0,0,13,18,0,11,9,18,0,0,0,85,9,14,39.1
Aritz Aduriz,es ESP,FW,,Athletic Club,es La Liga,,1981,2.3,,1,6,3,50,2.6,1.3,0.17,0.33,13.9,0,0,1,1.3,0.6,0.1,-0.3,0.4,,33,57,57.9,428,88,26,34,76.5,6,16,37.5,1,6,16.7,0,0,0,0,3,0,0,3,,57,0,0,0,22,2,1,0,0,0,0,21,16,20,3,26,8,0,3,0,5,0,1,,2,0.87,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,,0,16,4,25,4,5,7,0,0,0,0,0,1,3,0,,82,2,7,39,39,11,81,2,2,100,2,0,33,115,31,1,1,0,4,2,117,64,54.7,22,,3,0,0,7,1,0,1,0,1,0,0,0,7,20,6,76.9
Lumor Agbenyenu,gh GHA,DF,,Mallorca,es La Liga,,1996,20.1,,1,14,2,14.3,0.7,0.1,0.07,0.5,29.9,0,0,0,0.3,0.3,0.02,0.7,0.7,,709,969,73.2,12417,6167,327,373,87.7,304,410,74.1,67,137,48.9,0,1.9,-1.9,16,47,21,12,70,,747,222,11,1,164,24,54,0,0,0,0,497,248,224,646,63,42,211,2,7,37,18,45,,33,1.65,23,4,2,1,3,0,0,0,0,0,0,0,0,0,0,,35,23,24,9,2,18,35,51.4,17,225,66,29.3,129,70,26,37,1,0,36,11,46,62,0,,1182,82,387,538,332,14,964,26,45,57.8,30,0,701,4232,2216,101,34,5,22,18,665,599,90.1,22,,5,1,1,13,10,0,54,11,23,0,0,0,205,14,15,48.3
Martin Agirregabiria,es ESP,DF,,Alavés,es La Liga,,1996,23.3,,1,3,1,33.3,0.13,0.04,0.33,1,24.3,0,0,0,0.9,0.9,0.3,0.1,0.1,,722,1014,71.2,12629,6069,329,385,85.5,314,408,77,70,172,40.7,1,1,0,12,36,14,5,60,,765,249,9,1,161,22,30,2,0,1,0,484,234,296,39,661,61,238,3,3,31,17,44,,23,0.99,18,1,2,0,2,0,3,0.13,3,0,0,0,0,0,0,,50,22,24,21,5,25,50,50,25,248,60,24.2,118,106,24,39,8,0,31,9,59,68,1,,1231,83,395,675,223,9,986,14,26,53.8,16,3,636,2937,1695,63,17,2,20,17,677,608,89.8,21,,5,1,0,32,19,1,30,9,22,0,1,0,207,23,20,53.5
