,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
834,Aleksei Miranchuk\Aleksei-Miranchuk,ru RUS,MFFW,ru Loko Moscow,21,1995,9,784,87,87.1,8.7,9,,5,0,,0,1.78,13,13,0,0.00,0.00,Matches
835,Anton Miranchuk\Anton-Miranchuk,ru RUS,MF,ru Loko Moscow,21,1995,10,689,69,76.6,7.7,8,,4,2,,0,1.70,9,13,-4,-0.52,-2.23,Matches
836,Paulo Miranda\Paulo-Miranda,br BRA,DF,at RB Salzburg,28,1988,5,450,90,34.9,5.0,5,,5,0,,0,2.00,4,1,+3,+0.60,-0.04,Matches
837,Rafael Miranda\Rafael-Miranda,br BRA,MF,pt Vitória,32,1984,2,90,45,16.7,1.0,1,,0,1,,2,0.50,1,2,-1,-1.00,-0.40,Matches
838,Josip Mišić\Josip-Misic,hr CRO,MF,hr Rijeka,23,1994,4,320,80,59.3,3.6,4,,1,0,,0,0.75,6,7,-1,-0.28,-0.28,Matches
839,Virgil Misidjan\Virgil-Misidjan,nl NED,FWMF,bg Ludogorets,24,1993,5,430,86,59.7,4.8,5,,3,0,,0,0.86,3,8,-5,-1.05,-1.98,Matches
840,Kostas Mitroglou\Kostas-Mitroglou,gr GRE,FW,fr Marseille,29,1988,7,384,55,27.8,4.3,4,,3,3,,3,1.29,9,5,+4,+0.94,+0.94,Matches
841,Milan Mitrović\Milan-Mitrovic,rs SRB,DF,rs Partizan,29,1988,5,445,89,61.8,4.9,5,,4,0,,2,1.60,6,6,0,0.00,+0.98,Matches
842,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DFMF,de Hertha BSC,20,1997,3,270,90,50.0,3.0,3,,3,0,,1,1.33,5,4,+1,+0.33,+1.00,Matches
843,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,MF,eng Arsenal,28,1989,6,416,69,33.0,4.6,5,,2,1,,0,2.00,11,4,+7,+1.51,+0.34,Matches
844,Wilfred Moke\Wilfred-Moke,cd COD,DFMF,tr Konyaspor,29,1988,4,360,90,66.7,4.0,4,,4,0,,2,0.75,2,3,-1,-0.25,+0.25,Matches
845,Aleksandr Mokin\Aleksandr-Mokin,kz KAZ,GK,kz FC Astana,36,1981,0,,,,,0,,0,0,,8,,,,,,,Matches
846,Marko Momčilović\Marko-Momcilovic,rs SRB,DF,ro FCSB,30,1987,2,119,60,16.5,1.3,1,,1,1,,4,1.50,2,1,+1,+0.76,+1.06,Matches
847,Nacho Monreal\Nacho-Monreal,es ESP,DF,eng Arsenal,31,1986,7,613,88,48.7,6.8,7,,6,0,,1,2.00,16,7,+9,+1.32,+0.07,Matches
848,Christoph Monschein\Christoph-Monschein,at AUT,FWMF,at Austria Wien,24,1992,6,373,62,69.1,4.1,4,,3,2,,0,1.20,7,14,-7,-1.69,-1.69,Matches
849,Fredy Montero\Fredy-Montero,co COL,FW,pt Sporting CP,30,1987,5,256,51,46.1,2.8,2,,2,3,,0,1.80,4,0,+4,+1.41,+2.31,Matches
850,Genís Montolio\Genis-Montolio,es ESP,DF,es Villarreal,21,1996,1,90,90,12.5,1.0,1,,1,0,,0,0.00,0,1,-1,-1.00,-1.29,Matches
851,Riccardo Montolivo\Riccardo-Montolivo,it ITA,MF,it Milan,32,1985,3,270,90,30.0,3.0,3,,3,0,,6,2.00,2,3,-1,-0.33,-1.48,Matches
852,Antonio Montoro\Antonio-Montoro,es ESP,DF,es Atlético Madrid,20,1997,0,,,,,0,,0,0,,3,,,,,,,Matches
