,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
925,Michael Ohana\Michael-Ohana,il ISR,MF,il Be'er Sheva,21,1995,4,153,38,28.3,1.7,1,,1,3,,1,0.25,0,3,-3,-1.76,-1.30,Matches
926,Yagil Ohana\Yagil-Ohana,il ISR,FW,il Be'er Sheva,18,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
927,Peter Olayinka\Peter-Olayinka,ng NGA,FWMF,be Zulte Waregem,21,1995,4,314,79,58.1,3.5,3,,3,1,,0,1.00,4,7,-3,-0.86,-0.06,Matches
928,Fredrik Oldrup Jensen\Fredrik-Oldrup-Jensen,no NOR,MF,be Zulte Waregem,24,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
929,Miguel Oliveira\Miguel-Oliveira,pt POR,GK,pt Vitória,23,1994,0,,,,,0,,0,0,,3,,,,,,,Matches
930,Victor Oliveira\Victor-Oliveira,br BRA,DF,md Sheriff Tiraspol,23,1994,1,3,3,0.6,0.0,0,,0,1,,5,2.00,0,0,0,0.00,0.00,Matches
931,Paweł Olkowski\Pawel-Olkowski,pl POL,DFMF,de Köln,27,1990,5,272,54,50.4,3.0,3,,1,2,,0,1.20,2,3,-1,-0.33,-0.33,Matches
932,Robin Olsen\Robin-Olsen,se SWE,GK,dk FC Copenhagen,27,1990,6,540,90,75.0,6.0,6,,6,0,,1,1.33,7,6,+1,+0.17,+0.67,Matches
933,Jerome Onguene\Jerome-Onguene,cm CMR,DF,at RB Salzburg,19,1997,1,90,90,7.0,1.0,1,,1,0,,10,3.00,2,1,+1,+1.00,+0.40,Matches
934,Yevhen Opanasenko\Yevhen-Opanasenko,ua UKR,DF,ua Zorya Luhansk,26,1990,4,360,90,66.7,4.0,4,,4,0,,1,1.50,3,5,-2,-0.50,+1.50,Matches
935,Willi Orban\Willi-Orban,hu HUN,DF,de RB Leipzig,24,1992,3,226,75,41.9,2.5,3,,2,0,,1,2.33,6,3,+3,+1.19,+2.34,Matches
936,Viðar Örn Kjartansson\Vidar-Orn-Kjartansson,is ISL,FW,il Maccabi Tel Aviv,27,1990,5,432,86,80.0,4.8,5,,3,0,,1,1.67,0,8,-8,-1.67,-2.50,Matches
937,Riccardo Orsolini\Riccardo-Orsolini,it ITA,FWMF,it Atalanta,20,1997,1,36,36,5.0,0.4,0,,0,1,,3,1.00,0,1,-1,-2.50,-3.82,Matches
938,Yuya Osako\Yuya-Osako,jp JPN,FW,de Köln,27,1990,6,355,59,65.7,3.9,3,,2,3,,0,1.00,5,3,+2,+0.51,+1.97,Matches
939,Jordi Osei-Tutu\Jordi-Osei-Tutu,eng ENG,DF,eng Arsenal,18,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
940,Tefik Osmani\Tefik-Osmani,al ALB,MFDF,al Skënderbeu Korçë,32,1985,4,148,37,27.4,1.6,2,,0,2,,1,1.58,4,4,0,0.00,+0.92,Matches
941,David Ospina\David-Ospina,co COL,GK,eng Arsenal,28,1988,10,900,90,71.4,10.0,10,,10,0,,0,1.90,23,9,+14,+1.40,+0.40,Matches
942,Bojan Ostojić\Bojan-Ostojic,rs SRB,DF,rs Partizan,33,1984,4,271,68,37.6,3.0,3,,3,1,,3,1.33,3,6,-3,-1.00,-1.00,Matches
943,David Otto\David-Otto,de GER,FW,de Hoffenheim,18,1999,1,14,14,2.6,0.2,0,,0,1,,0,1.00,0,0,0,0.00,+0.34,Matches
944,Anas Ouahim\Anas-Ouahim,de GER,MF,de Köln,19,1997,1,19,19,3.5,0.2,0,,0,1,,0,0.00,0,0,0,0.00,+0.17,Matches
945,Thomas Oude Kotte\Thomas-Oude-Kotte,nl NED,DF,nl Vitesse,21,1996,1,90,90,16.7,1.0,1,,1,0,,1,3.00,1,0,+1,+1.00,+2.20,Matches
946,Adam Ounas\Adam-Ounas,dz ALG,FW,it Napoli,20,1996,1,60,60,33.3,0.7,1,,0,0,,1,0.00,1,1,0,0.00,0.00,Matches
947,Elisha Owusu\Elisha-Owusu,fr FRA,MF,fr Lyon,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
948,Mikel Oyarzabal\Mikel-Oyarzabal,es ESP,FWMF,es Real Sociedad,20,1997,6,455,76,63.2,5.1,6,,3,0,,1,1.67,11,5,+6,+1.19,+0.17,Matches
949,Salih Özcan\Salih-Ozcan,de GER,MF,de Köln,19,1998,5,450,90,83.3,5.0,5,,5,0,,0,1.20,6,5,+1,+0.20,+2.20,Matches
950,Ognjen Ožegović\Ognjen-Ozegovic,rs SRB,FW,rs Partizan,23,1994,7,369,53,51.3,4.1,4,,0,3,,0,1.14,7,7,0,0.00,+0.77,Matches
951,Mesut Özil\Mesut-Ozil,de GER,MF,eng Arsenal,28,1988,7,609,87,48.3,6.8,7,,5,0,,0,2.00,14,6,+8,+1.18,-0.20,Matches
952,Ferhat Öztorun\Ferhat-Oztorun,tr TUR,DF,tr Konyaspor,30,1987,5,406,81,75.2,4.5,5,,4,0,,0,0.60,2,4,-2,-0.44,-0.44,Matches
953,Marco Padalino\Marco-Padalino,ch SUI,DFMF,ch Lugano,33,1983,1,5,5,0.9,0.1,0,,0,1,,2,3.00,1,1,0,0.00,+0.34,Matches
954,Gabriel Paletta\Gabriel-Paletta,it ITA,DF,it Milan,31,1986,1,90,90,10.0,1.0,1,,1,0,,2,0.00,0,2,-2,-2.00,-3.00,Matches
955,João Palhinha\Joao-Palhinha,pt POR,MF,pt Sporting CP,22,1995,1,74,74,13.3,0.8,1,,0,0,,4,1.00,3,1,+2,+2.43,+2.62,Matches
956,Simone Palombi\Simone-Palombi,it ITA,FW,it Lazio,21,1996,2,180,90,16.7,2.0,2,,2,0,,1,0.50,3,4,-1,-0.50,-1.50,Matches
957,Dzyanis Palyakow\Dzyanis-Palyakow,by BLR,DF,by BATE Borisov,26,1991,6,475,79,88.0,5.3,6,,5,0,,0,1.14,4,14,-10,-1.89,-1.89,Matches
958,Aleksandar Pantić\Aleksandar-Pantic,rs SRB,DF,ua Dynamo Kyiv,25,1992,1,11,11,1.2,0.1,0,,0,1,,2,1.00,0,0,0,0.00,-0.40,Matches
959,Danilo Pantić\Danilo-Pantic,rs SRB,MF,rs Partizan,20,1996,7,376,54,52.2,4.2,4,,3,3,,1,1.38,4,9,-5,-1.20,-1.72,Matches
960,Sotirios Papagiannopoulos\Sotirios-Papagiannopoulos,se SWE,DF,se Östersund,26,1990,8,720,90,100.0,8.0,8,,8,0,,0,1.93,10,8,+2,+0.25,,Matches
961,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,de Dortmund,29,1988,4,360,90,100.0,4.0,4,,4,0,,0,1.25,5,5,0,0.00,,Matches
962,Fotios Papoulis\Fotios-Papoulis,cy CYP,MFFW,cy Apollon Limassol,32,1985,2,148,74,27.4,1.6,2,,1,0,,1,0.50,0,4,-4,-2.43,-1.28,Matches
963,Rubén Pardo\Ruben-Pardo,es ESP,MF,es Real Sociedad,24,1992,2,100,50,13.9,1.1,1,,0,1,,2,1.50,2,3,-1,-0.90,-2.35,Matches
964,Leandro Paredes\Leandro-Paredes,ar ARG,MF,ru Zenit,23,1994,7,545,78,60.6,6.1,6,,4,1,,1,2.00,12,4,+8,+1.32,+0.05,Matches
965,Marco Parolo\Marco-Parolo,it ITA,MF,it Lazio,32,1985,8,572,72,53.0,6.4,6,,6,2,,1,2.38,18,10,+8,+1.26,+1.08,Matches
966,Thomas Partey\Thomas-Partey,gh GHA,MFDF,es Atlético Madrid,24,1993,8,477,60,58.9,5.3,5,,4,3,,1,2.75,15,3,+12,+2.26,+1.18,Matches
967,Mario Pašalić\Mario-Pasalic,hr CRO,MF,ru Spartak Moscow,22,1995,1,74,74,41.1,0.8,1,,0,0,,1,3.00,1,1,0,0.00,+0.85,Matches
968,Felix Passlack\Felix-Passlack,de GER,MF,de Hoffenheim,19,1998,2,106,53,19.6,1.2,1,,1,1,,2,0.50,1,1,0,0.00,+0.41,Matches
969,Remko Pasveer\Remko-Pasveer,nl NED,GK,nl Vitesse,33,1983,6,540,90,100.0,6.0,6,,6,0,,0,0.83,5,10,-5,-0.83,,Matches
970,Patric\Patric,es ESP,DFMF,it Lazio,24,1993,9,653,73,60.5,7.3,7,,6,2,,2,2.22,17,8,+9,+1.24,+1.24,Matches
971,Rui Patrício\Rui-Patricio,pt POR,GK,pt Sporting CP,29,1988,6,570,95,102.7,6.3,6,,6,0,,0,1.67,10,8,+2,+0.32,-5.68,Matches
972,David de Paula\David-de-Paula,es ESP,MFDF,at Austria Wien,33,1984,4,255,64,47.2,2.8,3,,1,1,,1,1.00,3,9,-6,-2.12,-1.80,Matches
973,Paulinho\Paulinho,pt POR,FWMF,pt Braga,24,1992,7,520,74,72.2,5.8,6,,3,1,,0,2.11,6,6,0,0.00,+0.45,Matches
974,Domagoj Pavičić\Domagoj-Pavicic,hr CRO,MFFW,hr Rijeka,23,1994,5,354,71,65.6,3.9,4,,2,1,,1,1.40,6,9,-3,-0.76,-1.73,Matches
975,Andrija Pavlović\Andrija-Pavlovic,rs SRB,FW,dk FC Copenhagen,23,1993,6,290,48,40.3,3.2,3,,1,3,,0,1.33,2,3,-1,-0.31,-0.52,Matches
976,Dimitri Payet\Dimitri-Payet,fr FRA,MFFW,fr Marseille,30,1987,12,812,68,58.8,9.0,9,,4,3,,1,1.71,17,9,+8,+0.89,+1.52,Matches
977,Pedrão\Pedrao,br BRA,DF,pt Vitória,24,1992,4,286,72,53.0,3.2,4,,2,0,,0,0.50,2,5,-3,-0.94,-0.59,Matches
978,Pedrito\Pedrito,es ESP,MF,es Villarreal,21,1996,1,28,28,3.9,0.3,0,,0,1,,0,0.00,0,0,0,0.00,-0.13,Matches
979,Nemanja Pejčinović\Nemanja-Pejcinovic,rs SRB,DF,ru Loko Moscow,29,1987,10,745,75,82.8,8.3,8,,8,2,,0,1.70,11,9,+2,+0.24,+1.40,Matches
980,Marko Pejić\Marko-Pejic,hr CRO,DF,at Austria Wien,22,1995,0,,,,,0,,0,0,,2,,,,,,,Matches
981,Peter Pekarík\Peter-Pekarik,sk SVK,DF,de Hertha BSC,30,1986,5,450,90,83.3,5.0,5,,5,0,,1,1.00,4,4,0,0.00,+1.00,Matches
982,Tomáš Pekhart\Tomas-Pekhart,cz CZE,FW,il Be'er Sheva,28,1989,5,312,62,57.8,3.5,3,,2,2,,1,0.60,4,9,-5,-1.44,-1.44,Matches
983,Yohann Pelé\Yohann-Pele,fr FRA,GK,fr Marseille,34,1982,8,750,94,54.3,8.3,8,,8,0,,7,1.50,12,7,+5,+0.60,+0.74,Matches
984,Jorgo Pellumbi\Jorgo-Pellumbi,al ALB,MF,al Skënderbeu Korçë,17,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
985,Andy Pelmard\Andy-Pelmard,fr FRA,DF,fr Nice,17,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
986,Patrick Pentz\Patrick-Pentz,at AUT,GK,at Austria Wien,20,1997,5,450,90,83.3,5.0,5,,5,0,,1,1.00,8,11,-3,-0.60,+3.40,Matches
987,Dor Peretz\Dor-Peretz,il ISR,MF,il Maccabi Tel Aviv,22,1995,4,253,63,46.9,2.8,3,,2,1,,1,2.11,1,4,-3,-1.07,+0.19,Matches
988,Romain Perraud\Romain-Perraud,fr FRA,DF,fr Nice,19,1997,2,92,46,12.8,1.0,1,,1,1,,0,0.00,0,1,-1,-0.98,-1.55,Matches
989,Aleksandar Pešić\Aleksandar-Pesic,rs SRB,FW,rs Red Star,25,1992,8,277,35,38.5,3.1,2,,1,6,,0,1.69,0,2,-2,-0.65,-1.06,Matches
990,Andrea Petagna\Andrea-Petagna,it ITA,FW,it Atalanta,22,1995,8,489,61,67.9,5.4,6,,3,2,,0,1.88,14,5,+9,+1.66,+1.66,Matches
991,Petar Petkovski\Petar-Petkovski,mk MKD,FW,mk FK Vardar,20,1997,1,1,1,0.2,0.0,0,,0,1,,3,0.00,1,0,+1,+90.00,+93.01,Matches
992,Radosav Petrović\Radosav-Petrovic,rs SRB,MF,pt Sporting CP,28,1989,2,131,66,23.6,1.5,1,,0,1,,1,1.50,1,2,-1,-0.69,-1.11,Matches
993,Milan Petržela\Milan-Petrzela,cz CZE,MF,cz Viktoria Plzeň,34,1983,10,595,60,65.0,6.6,8,,1,2,,0,1.82,9,8,+1,+0.15,-1.54,Matches
994,Tom Pettersson\Tom-Pettersson,se SWE,DF,se Östersund,27,1990,8,720,90,100.0,8.0,8,,8,0,,0,1.93,10,8,+2,+0.25,,Matches
995,Maximilian Philipp\Maximilian-Philipp,de GER,FWMF,de Dortmund,23,1994,2,73,37,20.3,0.8,0,,0,2,,0,0.50,1,0,+1,+1.23,+1.55,Matches
996,Cristiano Piccini\Cristiano-Piccini,it ITA,DF,pt Sporting CP,24,1992,3,233,78,42.0,2.6,2,,2,1,,0,1.00,4,3,+1,+0.39,+0.39,Matches
997,Mario Piccinocchi\Mario-Piccinocchi,it ITA,MF,ch Lugano,22,1995,4,311,78,57.6,3.5,4,,2,0,,1,2.25,7,4,+3,+0.87,+2.83,Matches
998,Jordan Pickford\Jordan-Pickford,eng ENG,GK,eng Everton,23,1994,3,270,90,50.0,3.0,3,,3,0,,2,1.33,3,7,-4,-1.33,0.00,Matches
999,Václav Pilař\Vaclav-Pilar,cz CZE,MF,cz Viktoria Plzeň,28,1988,3,117,39,12.8,1.3,1,,0,2,,0,2.25,1,2,-1,-0.77,-1.67,Matches
1000,Mihai Pintilii\Mihai-Pintilii,ro ROU,MF,ro FCSB,32,1984,4,316,79,43.9,3.5,4,,3,0,,1,2.50,7,2,+5,+1.42,+2.76,Matches
1001,Felipe Pires\Felipe-Pires,br BRA,MFFW,at Austria Wien,22,1995,6,528,88,97.8,5.9,6,,5,0,,0,1.20,9,15,-6,-1.02,+6.48,Matches
1002,Łukasz Piszczek\Lukasz-Piszczek,pl POL,DF,de Dortmund,32,1985,3,270,90,75.0,3.0,3,,3,0,,0,1.67,4,3,+1,+0.33,+1.33,Matches
1003,Andrei Pițian\Andrei-Pitian,ro ROU,DF,cy Apollon Limassol,21,1995,2,180,90,33.3,2.0,2,,2,0,,1,0.00,1,6,-5,-2.50,-1.50,Matches
1004,Ioannis Pittas\Ioannis-Pittas,cy CYP,FW,cy Apollon Limassol,21,1996,1,15,15,2.8,0.2,0,,0,1,,1,1.75,0,1,-1,-6.00,-4.63,Matches
1005,Josip Pivarić\Josip-Pivaric,hr CRO,DF,ua Dynamo Kyiv,28,1989,8,720,90,80.0,8.0,8,,8,0,,0,1.75,17,13,+4,+0.50,+0.50,Matches
1006,Bogdan Planić\Bogdan-Planic,rs SRB,DF,ro FCSB,25,1992,6,540,90,75.0,6.0,6,,6,0,,0,2.00,9,9,0,0.00,+0.50,Matches
1007,Ihor Plastun\Ihor-Plastun,ua UKR,DF,bg Ludogorets,26,1990,7,630,90,87.5,7.0,7,,7,0,,1,1.44,7,8,-1,-0.14,+0.86,Matches
1008,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,de Hertha BSC,25,1992,3,270,90,50.0,3.0,3,,3,0,,0,0.33,3,5,-2,-0.67,-1.00,Matches
1009,Alassane Pléa\Alassane-Plea,fr FRA,FW,fr Nice,24,1993,8,581,73,80.7,6.5,7,,3,1,,0,1.13,13,7,+6,+0.93,+2.87,Matches
1010,Dmitri Pletnyov\Dmitri-Pletnyov,ru RUS,MF,ru Zenit,19,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
1011,Eugen Polanski\Eugen-Polanski,pl POL,MF,de Hoffenheim,31,1986,4,232,58,43.0,2.6,2,,2,2,,1,1.00,3,4,-1,-0.39,-0.10,Matches
1012,Dmitry Poloz\Dmitry-Poloz,ru RUS,FWMF,ru Zenit,26,1991,7,285,41,31.7,3.2,3,,2,4,,3,2.00,10,3,+7,+2.21,+1.33,Matches
1013,Ilya Pomazun\Ilya-Pomazun,ru RUS,GK,ru CSKA Moscow,20,1996,0,,,,,0,,0,0,,6,,,,,,,Matches
1014,Marin Pongračić\Marin-Pongracic,hr CRO,DF,at RB Salzburg,19,1997,3,133,44,10.3,1.5,1,,1,2,,3,2.50,4,2,+2,+1.35,+0.81,Matches
1015,Ovidiu Popescu\Ovidiu-Popescu,ro ROU,MF,ro FCSB,23,1994,5,349,70,48.5,3.9,4,,3,1,,3,1.80,4,6,-2,-0.52,-0.76,Matches
1016,Stefan Posch\Stefan-Posch,at AUT,DF,de Hoffenheim,20,1997,4,316,79,58.5,3.5,3,,2,1,,0,1.00,5,6,-1,-0.28,+0.12,Matches
1017,Veaceslav Posmac\Veaceslav-Posmac,md MDA,DF,md Sheriff Tiraspol,26,1990,6,540,90,100.0,6.0,6,,6,0,,0,1.38,4,4,0,0.00,,Matches
1018,Yevgeny Postnikov\Yevgeny-Postnikov,kz KAZ,DF,kz FC Astana,31,1986,5,450,90,62.5,5.0,5,,5,0,,3,1.00,8,10,-2,-0.40,-1.40,Matches
1019,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,de RB Leipzig,23,1994,5,214,43,39.6,2.4,2,,0,3,,1,1.40,2,6,-4,-1.68,-2.51,Matches
1020,Darío Poveda\Dario-Poveda,es ESP,FW,es Villarreal,20,1997,1,90,90,12.5,1.0,1,,1,0,,0,0.00,0,1,-1,-1.00,-1.29,Matches
1021,Xabi Prieto\Xabi-Prieto,es ESP,MF,es Real Sociedad,33,1983,6,483,81,67.1,5.4,6,,4,0,,1,1.67,14,8,+6,+1.12,-0.02,Matches
1022,Dominik Prokop\Dominik-Prokop,at AUT,MF,at Austria Wien,20,1997,6,404,67,74.8,4.5,4,,3,2,,0,1.00,7,13,-6,-1.34,-0.67,Matches
1023,Vladislav Prokopenko\Vladislav-Prokopenko,kz KAZ,FW,kz FC Astana,17,2000,0,,,,,0,,0,0,,2,,,,,,,Matches
1024,Quincy Promes\Quincy-Promes,nl NED,MF,ru Spartak Moscow,25,1992,2,180,90,100.0,2.0,2,,2,0,,0,1.50,3,4,-1,-0.50,,Matches
1025,Andrej Prskalo\Andrej-Prskalo,hr CRO,GK,hr Rijeka,30,1987,3,270,90,50.0,3.0,3,,3,0,,3,0.33,4,8,-4,-1.33,-2.33,Matches
1026,Vasyl Pryima\Vasyl-Pryima,ua UKR,DF,ua Zorya Luhansk,26,1991,1,22,22,4.1,0.2,1,,0,0,,0,3.00,0,0,0,0.00,+1.04,Matches
1027,Christian Pulisic\Christian-Pulisic,us USA,MF,de Dortmund,18,1998,3,172,57,47.8,1.9,2,,0,1,,0,1.33,3,3,0,0.00,0.00,Matches
1028,Jakov Puljić\Jakov-Puljic,hr CRO,MFFW,hr Rijeka,23,1993,4,185,46,34.3,2.1,2,,1,2,,1,1.00,2,2,0,0.00,+0.25,Matches
1029,Roberto Punčec\Roberto-Puncec,hr CRO,DF,hr Rijeka,25,1991,3,124,41,23.0,1.4,1,,1,2,,2,2.00,2,5,-3,-2.18,-2.61,Matches
1030,Martin Pušić\Martin-Pusic,at AUT,FW,dk FC Copenhagen,29,1987,3,74,25,10.3,0.8,1,,0,2,,1,0.67,0,0,0,0.00,0.00,Matches
1031,Dani Raba\Dani-Raba,es ESP,MF,es Villarreal,21,1995,4,101,25,14.0,1.1,1,,0,3,,0,0.75,2,2,0,0.00,-0.15,Matches
1032,Uroš Račić\Uros-Racic,rs SRB,MF,rs Red Star,19,1998,6,24,4,3.3,0.3,0,,0,6,,1,1.70,0,0,0,0.00,0.00,Matches
1033,Petru Racu\Petru-Racu,md MDA,DF,md Sheriff Tiraspol,30,1987,6,431,72,79.8,4.8,5,,4,1,,0,1.50,3,3,0,0.00,0.00,Matches
1034,Marko Radaš\Marko-Radas,hr CRO,DF,al Skënderbeu Korçë,33,1983,4,303,76,56.1,3.4,4,,3,0,,0,1.58,4,7,-3,-0.89,-0.51,Matches
1035,Maharan Radi\Maharan-Radi,il ISR,MF,il Be'er Sheva,35,1982,6,510,85,94.4,5.7,5,,5,1,,0,0.67,5,10,-5,-0.88,-0.88,Matches
1036,Milan Radin\Milan-Radin,rs SRB,MF,rs Partizan,26,1991,3,117,39,16.3,1.3,1,,1,2,,5,2.00,2,3,-1,-0.77,-0.47,Matches
1037,Nemanja Radonjić\Nemanja-Radonjic,rs SRB,MFFW,rs Red Star,21,1996,6,490,82,68.1,5.4,6,,1,0,,0,1.50,2,3,-1,-0.18,-0.57,Matches
1038,Ștefan Radu\Stefan-Radu,ro ROU,DF,it Lazio,30,1986,6,540,90,50.0,6.0,6,,6,0,,3,2.17,14,9,+5,+0.83,+0.17,Matches
1039,Rafael\Rafael,br BRA,DF,fr Lyon,27,1990,6,534,89,59.3,5.9,6,,5,0,,3,2.17,12,3,+9,+1.52,+1.27,Matches
1040,Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,il Maccabi Tel Aviv,21,1995,6,540,90,100.0,6.0,6,,6,0,,0,1.86,1,8,-7,-1.17,,Matches
1041,André Ramalho\Andre-Ramalho,br BRA,DF,at RB Salzburg,25,1992,8,731,91,56.7,8.1,8,,7,0,,0,1.75,13,11,+2,+0.25,-0.88,Matches
1042,Adil Rami\Adil-Rami,fr FRA,DF,fr Marseille,31,1985,14,1262,90,91.4,14.0,13,,13,1,,0,1.72,18,13,+5,+0.36,+1.12,Matches
1043,Sandro Ramírez\Sandro-Ramirez,es ESP,FW,eng Everton,22,1995,4,203,51,37.6,2.3,2,,1,2,,0,1.17,4,7,-3,-1.33,+0.01,Matches
1044,Toño Ramírez\Tono-Ramirez,es ESP,GK,es Real Sociedad,30,1986,1,14,14,1.9,0.2,0,,0,1,,7,0.00,0,0,0,0.00,-1.15,Matches
1045,Francisco Ramos\Francisco-Ramos,pt POR,MF,pt Vitória,22,1995,5,363,73,67.2,4.0,4,,2,1,,0,0.80,3,6,-3,-0.74,-0.24,Matches
1046,Héldon Ramos\Heldon-Ramos,cv CPV,MFFW,pt Vitória,28,1988,6,413,69,76.5,4.6,4,,4,2,,0,0.83,4,6,-2,-0.44,+0.98,Matches
1047,Aaron Ramsey\Aaron-Ramsey,wal WAL,MF,eng Arsenal,26,1990,6,540,90,42.9,6.0,6,,6,0,,0,1.83,12,6,+6,+1.00,-0.50,Matches
1048,Milot Rashica\Milot-Rashica,xk KVX,FWMF,nl Vitesse,21,1996,6,451,75,83.5,5.0,5,,4,1,,0,0.83,5,10,-5,-1.00,-1.00,Matches
1049,Jacob Rasmussen\Jacob-Rasmussen,dk DEN,MFDF,no Rosenborg,20,1997,5,352,70,65.2,3.9,4,,3,1,,1,1.00,3,6,-3,-0.77,+0.19,Matches
1050,Nikolai Rasskazov\Nikolai-Rasskazov,ru RUS,DF,ru Spartak Moscow,19,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
1051,Konstantin Rausch\Konstantin-Rausch,ru RUS,DFMF,de Köln,27,1990,6,502,84,93.0,5.6,5,,5,1,,0,1.00,7,8,-1,-0.18,-0.18,Matches
1052,Artyom Rebrov\Artyom-Rebrov,ru RUS,GK,ru Spartak Moscow,33,1984,1,90,90,50.0,1.0,1,,1,0,,1,0.00,1,3,-2,-2.00,-3.00,Matches
1053,Tore Reginiussen\Tore-Reginiussen,no NOR,DF,no Rosenborg,31,1986,6,540,90,100.0,6.0,6,,6,0,,0,0.83,6,11,-5,-0.83,,Matches
1054,Pepe Reina\Pepe-Reina,es ESP,GK,it Napoli,34,1982,2,180,90,100.0,2.0,2,,2,0,,0,1.50,3,3,0,0.00,,Matches
1055,Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,fr FRA,FWMF,eng Arsenal,19,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
1056,Karim Rekik\Karim-Rekik,nl NED,DF,de Hertha BSC,22,1994,3,270,90,50.0,3.0,3,,3,0,,1,0.33,3,5,-2,-0.67,-1.00,Matches
1057,Marco Reus\Marco-Reus,de GER,MF,de Dortmund,28,1989,4,229,57,63.6,2.5,3,,1,1,,0,1.25,3,4,-1,-0.39,-1.08,Matches
1058,Jakub Řezníček\Jakub-Reznicek,cz CZE,FW,cz Viktoria Plzeň,29,1988,3,152,51,16.6,1.7,2,,0,1,,2,2.00,1,2,-1,-0.59,-1.54,Matches
1059,Radim Řezník\Radim-Reznik,cz CZE,DF,cz Viktoria Plzeň,28,1989,10,916,92,100.1,10.2,10,,9,0,,0,1.92,18,11,+7,+0.69,+0.69,Matches
1060,Jander Ribeiro Santana\Jander-Ribeiro-Santana,br BRA,DF,cy Apollon Limassol,29,1988,5,373,75,69.1,4.1,4,,4,1,,0,1.36,3,11,-8,-1.93,-1.39,Matches
1061,Juan Felipe Alves Ribeiro\Juan-Felipe-Alves-Ribeiro,br BRA,MFFW,mk FK Vardar,29,1987,6,540,90,100.0,6.0,6,,6,0,,0,0.88,3,20,-17,-2.83,,Matches
1062,Rúben Tiago Rodrigues Ribeiro\Ruben-Tiago-Rodrigues-Ribeiro,pt POR,MF,pt Sporting CP,29,1987,6,108,18,19.5,1.2,1,,0,5,,0,1.67,2,1,+1,+0.83,+0.83,Matches
1063,Ricardinho\Ricardinho,br BRA,MF,rs Red Star,27,1989,1,18,18,2.5,0.2,0,,0,1,,0,2.00,0,0,0,0.00,0.00,Matches
1064,Mikel Rico\Mikel-Rico,es ESP,MF,es Athletic Club,32,1984,6,364,61,40.4,4.0,5,,3,1,,1,2.00,8,4,+4,+0.99,+1.49,Matches
1065,Emiliano Rigoni\Emiliano-Rigoni,ar ARG,FWMF,ru Zenit,24,1993,10,775,78,86.1,8.6,9,,4,1,,0,2.00,18,8,+10,+1.16,-1.00,Matches
1066,Avi Rikan\Avi-Rikan,il ISR,MFFW,il Maccabi Tel Aviv,28,1988,5,295,59,54.6,3.3,3,,1,2,,1,1.83,1,5,-4,-1.22,-0.12,Matches
1067,Sebastián Rincón\Sebastian-Rincon,co COL,FW,pt Vitória,23,1994,1,67,67,12.4,0.7,1,,0,0,,2,1.00,1,1,0,0.00,+0.76,Matches
1068,Alexei Rios\Alexei-Rios,by BLR,DF,by BATE Borisov,30,1987,6,540,90,100.0,6.0,6,,6,0,,0,1.14,6,16,-10,-1.67,,Matches
1069,Birk Risa\Birk-Risa,no NOR,DFFW,de Köln,19,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
1070,Marcel Risse\Marcel-Risse,de GER,DFFW,de Köln,27,1989,1,25,25,4.6,0.3,0,,0,1,,0,0.00,0,2,-2,-7.20,-7.37,Matches
1071,Stefan Ristovski\Stefan-Ristovski,mk MKD,DFMF,pt Sporting CP,25,1992,3,259,86,46.7,2.9,3,,2,0,,3,2.33,6,3,+3,+1.04,+1.65,Matches
1072,Valentin Roberge\Valentin-Roberge,fr FRA,DF,cy Apollon Limassol,30,1987,4,356,89,65.9,4.0,4,,3,0,,0,1.50,2,10,-8,-2.02,-1.53,Matches
1073,Joel Robles\Joel-Robles,es ESP,GK,eng Everton,27,1990,2,180,90,33.3,2.0,2,,2,0,,1,1.50,4,5,-1,-0.50,+1.25,Matches
1074,Christopher Rocchia\Christopher-Rocchia,fr FRA,DF,fr Marseille,19,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
1075,Pedro Rocha Neves\Pedro-Rocha-Neves,br BRA,FWMF,ru Spartak Moscow,22,1994,0,,,,,0,,0,0,,1,,,,,,,Matches
1076,Milan Rodić\Milan-Rodic,rs SRB,DF,rs Red Star,26,1991,6,530,88,73.6,5.9,6,,5,0,,0,1.67,2,2,0,0.00,0.00,Matches
