Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Pape Abou Cisse,sn SEN,DF,,Olympiacos,UCL,2021,1995,5,,0,5,0,0,1,0,0,,20.5,1,0,0,0.4,0.4,0.07,-0.4,-0.4,,190,260,73.1,4402,1595,46,53,86.8,88,103,85.4,50,90,55.6,0,0.1,-0.1,1,8,0,0,11,,253,7,7,0,19,11,0,0,0,0,0,156,24,80,100,133,16,0,1,5,7,8,5,,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,1,3,4,0,2,2,100,0,41,15,36.6,25,16,0,13,6,0,7,9,16,23,0,,319,50,191,139,7,4,313,2,3,66.7,3,0,199,1173,564,9,0,1,2,1,212,200,94.3,2,,0,0,0,5,2,1,0,9,1,0,1,0,55,15,11,57.7
Tammy Abraham,eng ENG,FW,,Chelsea,UCL,2021,1997,2.6,,1,6,2,33.3,2.35,0.78,0.17,0.5,11.3,0,0,0,0.9,0.9,0.15,0.1,0.1,,40,48,83.3,508,81,23,29,79.3,12,13,92.3,1,1,100,1,0.1,0.9,1,2,1,1,2,,46,2,0,0,15,0,1,0,0,0,0,33,13,2,7,33,2,0,3,0,1,3,0,,5,1.96,2,0,1,1,1,0,4,1.57,1,0,1,1,1,0,0,,0,0,0,0,0,0,0,,0,32,14,43.8,1,10,21,3,2,0,1,1,1,2,0,,78,4,6,30,42,14,76,1,3,33.3,1,0,48,152,59,2,0,1,7,3,115,58,50.4,17,,0,0,0,4,4,2,1,1,0,1,0,0,8,6,4,60
Francesco Acerbi,it ITA,DF,,Lazio,UCL,2021,1988,8,,0,5,1,20,0.62,0.12,0,0,11.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,,393,468,84,7963,2836,148,160,92.5,171,195,87.7,65,98,66.3,1,1.1,-0.1,9,14,10,5,22,,432,36,18,2,51,18,15,0,0,0,0,309,47,112,367,68,15,8,0,1,7,9,6,,15,1.87,13,0,1,1,0,0,1,0.12,1,0,0,0,0,0,0,,14,8,8,6,0,4,11,36.4,7,79,32,40.5,45,28,6,18,5,0,13,13,27,28,0,,546,72,274,231,92,8,511,7,7,100,7,0,308,2036,1227,38,20,0,1,1,382,359,94,13,,2,0,0,8,6,1,15,13,8,0,0,1,70,17,10,63
Marcos Acuña,ar ARG,DF,,Sevilla,UCL,2021,1991,3.6,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,242,298,81.2,4674,1788,86,92,93.5,128,135,94.8,27,64,42.2,1,1,0,11,27,7,7,19,,256,42,6,0,20,16,22,4,0,4,0,169,46,83,228,28,7,32,0,0,4,3,8,,18,4.95,12,4,1,0,1,0,3,0.83,3,0,0,0,0,0,0,,9,8,6,2,1,4,7,57.1,3,52,11,21.2,12,26,14,10,0,0,10,6,15,12,0,,349,12,83,176,109,3,309,7,12,58.3,8,1,236,998,617,24,7,0,4,7,246,228,92.7,10,,3,0,0,5,4,0,22,6,8,0,0,0,41,8,6,57.1
Tyler Adams,us USA,DF,MF,RB Leipzig,UCL,2021,1999,3.2,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,139,172,80.8,2125,819,80,87,92,47,59,79.7,9,19,47.4,0,0.8,-0.8,3,8,2,1,7,,141,31,4,1,12,0,1,0,0,0,0,96,42,34,17,116,8,27,1,2,0,4,4,,4,1.25,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,7,7,4,2,1,3,12,25,9,77,29,37.7,32,37,8,8,0,0,8,4,11,4,0,,192,5,53,115,33,0,161,0,1,0,0,0,102,473,202,10,1,0,0,1,135,107,79.3,4,,1,0,0,6,2,1,1,4,7,0,0,0,27,4,6,40
Karim Adeyemi,de GER,FW,,RB Salzburg,UCL,2021,2002,0.6,,1,2,1,50,3.46,1.73,0.5,1,15.9,0,0,0,0.6,0.6,0.28,0.4,0.4,,5,7,71.4,98,35,3,4,75,1,1,100,1,2,50,0,0,0,0,1,0,0,1,,6,1,0,0,1,1,1,1,0,0,0,3,2,2,4,2,0,0,0,0,1,0,0,,1,1.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,12,2,16.7,1,8,3,1,0,0,1,0,0,0,0,,19,0,0,5,15,4,18,0,1,0,0,0,12,63,60,2,1,1,6,2,28,14,50,6,,0,0,0,2,1,1,1,0,0,0,0,0,3,1,1,50
Nayef Aguerd,ma MAR,DF,,Rennes,UCL,2021,1996,3.1,,0,3,0,0,0.98,0,0,,18.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,178,200,89,3864,1381,61,66,92.4,81,86,94.2,35,46,76.1,0,0,0,0,9,0,0,5,,195,5,5,0,15,8,0,0,0,0,0,163,9,28,168,21,5,0,0,0,3,0,1,,3,0.98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,1,0,0,2,0,2,19,9,47.4,11,8,0,5,1,0,4,1,3,18,1,,230,33,120,112,7,3,226,0,0,,0,0,135,479,218,8,1,0,1,0,167,166,99.4,0,,0,0,0,2,1,0,0,1,1,0,0,0,32,9,9,50
Sergio Agüero,ar ARG,FW,,Manchester City,UCL,2021,1988,1.5,,2,1,1,100,0.68,0.68,1,1,15,0,1,1,1.4,0.7,0.66,0.6,0.3,,12,18,66.7,125,39,8,11,72.7,2,4,50,0,0,,0,0,0,0,1,0,0,0,,17,1,0,1,2,0,0,0,0,0,0,13,2,3,2,15,1,0,0,0,0,0,0,,1,0.68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,15,4,26.7,1,5,9,2,0,0,2,0,0,0,0,,30,0,1,13,19,5,28,0,0,,0,0,19,66,39,2,1,0,3,3,50,22,44,9,,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0
Manuel Akanji,ch SUI,DF,,Dortmund,UCL,2021,1995,5,,0,2,1,50,0.4,0.2,0,0,20.1,1,0,0,0.1,0.1,0.07,-0.1,-0.1,,383,411,93.2,7358,2530,159,166,95.8,169,177,95.5,50,61,82,0,0,0,2,44,1,0,19,,405,6,5,0,31,10,0,0,0,0,0,363,18,30,112,284,10,1,1,0,4,6,2,,8,1.6,5,0,0,2,0,1,2,0.4,2,0,0,0,0,0,0,,7,5,4,3,0,2,5,40,3,33,15,45.5,18,15,0,2,1,0,1,7,14,15,0,,454,46,181,288,18,1,447,2,4,50,2,0,336,2134,1291,53,10,0,3,2,372,371,99.7,0,,0,0,0,0,3,0,0,7,5,0,0,0,40,5,10,33.3
Marley Aké,fr FRA,FW,MF,Marseille,UCL,2021,2001,0.4,,0,1,0,0,2.31,0,0,,4.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,,12,14,85.7,196,24,6,7,85.7,4,5,80,1,1,100,0,0,0,0,1,0,0,0,,13,1,0,0,4,1,0,0,0,0,0,10,2,2,2,12,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,7,3,42.9,1,2,4,1,0,0,1,0,0,0,0,,22,0,3,13,9,1,21,0,1,0,0,0,14,55,9,1,0,0,1,1,22,17,77.3,5,,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,33.3
