Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Toby Alderweireld,be BEL,DF,,Tottenham,UCL,2020,1989,6,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,287,332,86.4,6679,2079,60,63,95.2,175,186,94.1,51,82,62.2,0,0.1,-0.1,1,15,0,0,10,,325,7,6,1,40,7,0,0,0,0,0,253,13,66,66,249,13,1,0,0,4,1,1,,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,2,4,2,0,5,6,83.3,1,38,10,26.3,22,15,1,12,2,0,10,2,8,40,0,,392,71,224,176,4,0,386,0,0,,0,0,265,1190,471,10,0,0,0,0,283,280,98.9,1,,1,0,0,5,0,0,0,2,2,0,0,0,45,8,10,44.4
Carles Aleñá,es ESP,MF,,Barcelona,UCL,2020,1998,1,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,84,99,84.8,1464,452,39,48,81.3,32,36,88.9,9,10,90,0,0.2,-0.2,4,7,1,0,7,,93,6,3,1,26,2,0,3,0,3,0,74,20,5,88,8,2,0,0,0,2,4,5,,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,1,2,0,0,2,0,2,20,9,45,5,12,3,1,1,0,0,0,3,0,0,,107,0,18,72,24,0,102,1,1,100,1,0,94,369,192,10,1,0,4,1,101,93,92.1,3,,0,0,0,1,2,0,0,0,3,0,0,0,5,1,1,50
Trent Alexander-Arnold,eng ENG,DF,,Liverpool,UCL,2020,1998,6.5,,0,6,1,16.7,0.93,0.15,0,0,22.9,1,0,0,0.2,0.2,0.03,-0.2,-0.2,,549,736,74.6,12142,4309,172,191,90.1,274,320,85.6,98,199,49.2,1,1.6,-0.6,14,59,15,7,66,,595,141,16,1,88,52,39,35,5,20,0,361,147,228,82,548,10,90,4,3,13,11,25,,22,3.4,12,8,0,2,0,0,1,0.15,1,0,0,0,0,0,0,,16,5,8,7,1,7,12,58.3,5,75,16,21.3,38,24,13,4,1,0,3,4,20,14,0,,792,18,169,397,267,7,650,6,12,50,6,1,497,1959,1100,42,14,2,5,2,564,538,95.4,20,,1,0,0,4,2,0,39,4,5,0,0,0,70,3,14,17.6
Allan,br BRA,MF,,Napoli,UCL,2020,1991,4.9,,0,2,0,0,0.4,0,0,,23.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,234,274,85.4,4752,1323,87,94,92.6,104,119,87.4,39,53,73.6,0,0,0,0,28,4,0,25,,265,9,9,2,51,10,0,0,0,0,0,180,42,52,26,237,9,0,0,0,6,5,3,,7,1.42,7,0,0,0,0,0,4,0.81,4,0,0,0,0,0,0,,24,16,16,6,2,10,26,38.5,16,178,60,33.7,77,93,8,14,2,0,12,7,31,8,0,,349,17,115,220,36,0,343,7,10,70,8,1,251,976,439,14,2,0,4,13,242,229,94.6,1,,1,0,0,7,8,0,0,7,16,0,0,0,55,2,3,40
Dele Alli,eng ENG,MF,FW,Tottenham,UCL,2020,1996,5.7,,1,7,4,57.1,1.22,0.7,0.14,0.25,12.7,0,0,0,1.1,1.1,0.15,-0.1,-0.1,,182,223,81.6,2631,470,110,122,90.2,56,68,82.4,9,22,40.9,1,1.2,-0.2,7,7,9,1,18,,204,19,7,3,74,3,6,1,0,0,0,177,25,21,17,194,7,2,0,0,4,12,3,,18,3.14,12,1,2,1,2,0,6,1.05,4,0,1,0,1,0,0,,8,6,3,4,1,1,9,11.1,8,159,45,28.3,29,61,69,7,2,0,5,3,11,1,0,,299,6,28,160,132,22,284,10,27,37,12,2,236,1042,496,24,8,1,10,14,314,222,70.7,46,,1,0,0,10,13,2,6,3,6,0,0,0,38,5,9,35.7
André Almeida,pt POR,DF,,Benfica,UCL,2020,1990,1,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,34,45,75.6,506,256,19,20,95,13,16,81.3,1,7,14.3,0,0,0,1,1,1,0,2,,37,8,0,0,6,0,0,0,0,0,0,21,8,16,2,32,3,8,0,0,0,2,1,,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,0,,0,15,2,13.3,10,1,4,5,0,0,5,0,2,4,0,,65,8,28,24,16,1,57,0,4,0,0,0,30,98,69,1,0,0,0,1,36,30,83.3,4,,0,0,0,3,2,0,0,0,0,0,0,0,10,2,3,40
Marcos Alonso,es ESP,DF,,Chelsea,UCL,2020,1990,4.4,,0,12,5,41.7,2.72,1.13,0,0,15.5,3,0,0,0.7,0.7,0.06,-0.7,-0.7,,227,284,79.9,3900,1242,106,118,89.8,102,124,82.3,17,29,58.6,0,0.2,-0.2,3,9,4,3,14,,239,45,5,0,65,6,12,0,0,0,0,180,50,54,208,21,9,40,0,0,6,6,11,,9,2.04,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,10,8,7,0,3,4,6,66.7,2,84,33,39.3,35,33,16,5,0,0,5,1,11,22,0,,347,13,109,153,111,18,301,5,10,50,6,1,217,1104,622,21,7,2,3,4,224,209,93.3,31,,0,1,0,10,6,0,12,1,8,0,0,0,52,18,2,90
Éder Álvarez Balanta,co COL,MF,,Club Brugge,UCL,2020,1993,3.2,,0,2,0,0,0.63,0,0,,22,0,0,0,0.1,0.1,0.04,-0.1,-0.1,,129,151,85.4,2576,636,47,51,92.2,56,59,94.9,22,34,64.7,0,0.4,-0.4,4,23,2,0,18,,150,1,1,2,29,5,0,0,0,0,0,103,23,25,118,23,6,0,2,0,5,2,3,,8,2.52,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9,1,9,0,1,12,8.3,11,118,29,24.6,38,66,14,10,1,0,9,5,15,4,0,,187,2,45,124,31,2,186,2,3,66.7,2,0,126,660,360,21,6,0,3,3,132,121,91.7,9,,2,0,0,7,1,2,0,5,9,0,0,0,32,3,4,42.9
Edson Álvarez,mx MEX,MF,,Ajax,UCL,2020,1997,4.2,,1,6,2,33.3,1.43,0.48,0.17,0.5,11.9,0,0,0,0.5,0.5,0.08,0.5,0.5,,216,238,90.8,3903,1019,95,104,91.3,90,97,92.8,25,29,86.2,0,0.3,-0.3,2,20,2,0,14,,233,5,5,1,61,2,1,0,0,0,0,191,24,23,14,208,9,0,1,0,1,3,3,,3,0.72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7,5,3,3,7,14,50,7,56,11,19.6,18,30,8,10,4,0,6,2,13,7,0,,289,17,87,171,52,13,284,0,1,0,1,0,206,1173,572,16,4,1,5,3,240,216,90,10,,1,0,0,8,6,0,1,2,7,0,1,0,32,10,5,66.7
Nadiem Amiri,de GER,FW,MF,Leverkusen,UCL,2020,1996,2.6,,0,7,2,28.6,2.65,0.76,0,0,23.1,1,0,0,0.4,0.4,0.06,-0.4,-0.4,,116,147,78.9,1931,453,62,69,89.9,41,49,83.7,11,19,57.9,0,0.5,-0.5,5,12,2,0,16,,133,14,2,0,46,5,2,8,3,5,0,97,32,18,13,127,0,4,2,0,1,3,9,,15,5.67,10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,,11,8,3,5,3,2,7,28.6,5,43,14,32.6,13,18,12,4,0,0,4,1,12,0,0,,189,2,31,104,65,5,175,6,10,60,7,0,135,632,302,19,4,1,6,5,169,131,77.5,18,,0,1,0,2,7,0,2,1,8,0,0,0,24,1,2,33.3
