Łukasz Skorupski,pl POL,1991,2020,Bologna,it Serie A,64,6,2,6,1,57.8,0.3,-5.2,197,445,44.3,855,216,37.7,35.3,292,42.1,34.8,320,46,14.4,15,12.9
Dennis Smarsch,de GER,1999,2020,Hertha BSC,de Bundesliga,4,0,0,1,0,3.7,0.34,-0.3,13,31,41.9,54,9,37,35.9,16,68.8,50.6,13,2,15.4,2,16.1
Yann Sommer,ch SUI,1988,2020,M'Gladbach,de Bundesliga,40,1,1,3,0,44.3,0.28,4.3,230,486,47.3,1260,167,30.2,33.1,285,37.2,36.4,286,14,4.9,31,14.3
David Soria,es ESP,1993,2020,Getafe,es La Liga,37,5,0,2,1,38.1,0.33,2.1,369,987,37.4,871,41,86.3,58.8,259,90.7,61.4,262,30,11.5,49,17
Juan Soriano,es ESP,1997,2020,Leganés,es La Liga,18,5,1,0,1,15.6,0.33,-1.4,49,175,28,222,59,52.3,45.8,75,78.7,63.1,70,7,10,7,18.3
Marco Sportiello,it ITA,1992,2020,Atalanta,it Serie A,5,0,0,0,0,4.6,0.24,-0.4,11,32,34.4,125,30,17.6,27.7,27,37,37.1,31,4,12.9,7,19.3
Jed Steer,eng ENG,1992,2020,Aston Villa,eng Premier League,0,0,0,0,0,0,,0,0,1,0,1,0,0,26,1,100,70,0,0,,0,
Zack Steffen,us USA,1995,2020,Düsseldorf,de Bundesliga,36,1,1,6,1,31.9,0.32,-3.1,156,327,47.7,477,101,48.6,41.9,143,66.4,55.3,145,9,6.2,11,13.6
Thomas Strakosha,al ALB,1995,2020,Lazio,it Serie A,42,7,1,8,1,45.6,0.27,4.6,202,453,44.6,931,149,40.7,34.5,292,25.3,27.2,282,15,5.3,17,13.9
Wojciech Szczęsny,pl POL,1990,2020,Juventus,it Serie A,33,8,1,4,0,34.6,0.22,1.6,108,200,54,565,156,28.5,32.5,196,19.9,26.8,219,11,5,22,15
Ciprian Tătărușanu,ro ROU,1986,2020,Lyon,fr Ligue 1,2,0,0,0,0,1.9,0.18,-0.1,14,18,77.8,53,15,26.4,30,6,66.7,44.5,7,2,28.6,2,15
Marc-André ter Stegen,de GER,1992,2020,Barcelona,es La Liga,36,6,2,1,0,34.8,0.27,-1.2,205,338,60.7,1200,177,22.8,28.8,219,29.7,31,266,13,4.9,27,15.1
Pietro Terracciano,it ITA,1990,2020,Fiorentina,it Serie A,5,3,0,0,0,6.2,0.19,1.2,27,91,29.7,151,36,45,39,59,39,35.9,86,6,7,5,13.2
Demba Thiam,sn SEN,1998,2020,SPAL,it Serie A,4,1,0,2,0,3.4,0.18,-0.6,10,25,40,44,13,36.4,36.1,27,33.3,29.6,19,1,5.3,1,15.2
Niclas Thiede,de GER,1999,2020,Freiburg,de Bundesliga,1,0,0,0,0,1,0.24,0,1,9,11.1,34,11,26.5,32.1,7,0,20.4,8,1,12.5,1,14.9
Kevin Trapp,de GER,1990,2020,Eint Frankfurt,de Bundesliga,38,1,1,3,2,32,0.3,-4,181,403,44.9,794,90,42.3,37.1,145,46.2,41.2,168,17,10.1,21,15.1
Mark Travers,ie IRL,1999,2020,Bournemouth,eng Premier League,3,0,0,0,0,2.6,0.52,-0.4,7,13,53.8,24,5,33.3,34.5,8,62.5,45.4,7,0,0,0,14.9
Stefano Turati,it ITA,2001,2020,Sassuolo,it Serie A,4,1,0,0,0,3.8,0.26,-0.2,4,12,33.3,37,9,24.3,26.9,14,21.4,25.6,20,2,10,2,18.2
Samir Ujkani,xk KVX,1988,2020,Torino,it Serie A,3,1,0,1,0,2.7,0.35,-0.3,8,14,57.1,43,2,30.2,33.4,9,11.1,25.4,9,0,0,1,18
Sven Ulreich,de GER,1988,2020,Bayern Munich,de Bundesliga,1,0,0,0,0,1.4,0.5,0.4,7,13,53.8,42,5,26.2,28.1,10,20,25.7,10,1,10,1,12
Tomáš Vaclík,cz CZE,1989,2020,Sevilla,es La Liga,31,2,3,3,1,25.4,0.24,-4.6,178,417,42.7,686,155,40.1,37.3,235,60.4,48.1,260,20,7.7,16,14
Koke Vegas,es ESP,1995,2020,Levante,es La Liga,2,0,0,1,0,1.7,0.17,-0.3,7,26,26.9,43,16,46.5,40.6,20,30,30.6,30,2,6.7,2,15.6
Mauro Vigorito,it ITA,1990,2020,Lecce,it Serie A,9,1,0,1,0,9.4,0.33,0.4,24,64,37.5,104,27,43.3,36.3,49,38.8,32.2,61,4,6.6,1,11.6
Iván Villar,es ESP,1997,2020,Celta Vigo,es La Liga,5,0,0,0,0,4.7,0.42,-0.3,15,43,34.9,61,6,39.3,35.5,28,67.9,55.3,34,3,8.8,3,16
Felix Wiedwald,de GER,1990,2020,Eint Frankfurt,de Bundesliga,8,0,0,2,0,6.7,0.32,-1.3,26,52,50,79,14,49.4,38,24,54.2,41.8,28,2,7.1,3,16.1
Yoel,es ESP,1988,2020,Eibar,es La Liga,5,0,0,0,0,3.8,0.21,-1.2,38,80,47.5,69,6,82.6,59.1,24,95.8,72.4,29,1,3.4,3,13.3
Robin Zentner,de GER,1994,2020,Mainz 05,de Bundesliga,40,1,0,6,1,37,0.32,-2,135,409,33,604,144,47.4,40.8,196,62.8,51.6,226,23,10.2,20,16.2
Leopold Zingerle,de GER,1994,2020,Paderborn 07,de Bundesliga,57,3,3,7,2,56.8,0.38,1.8,192,380,50.5,982,187,31.1,32.3,235,31.9,32.5,259,10,3.9,17,14
Adrián,es ESP,1987,2021,Liverpool,eng Premier League,9,0,0,2,0,7.9,0.42,-1.1,12,32,37.5,77,20,31.2,34.9,22,36.4,32.6,29,2,6.9,1,13.2
Rúnar Alex Rúnarsson,is ISL,1995,2021,Arsenal,eng Premier League,0,0,0,0,0,0.1,0.04,0.1,0,3,0,10,2,30,31.8,1,0,30,4,0,0,0,17.5
Alisson,br BRA,1992,2021,Liverpool,eng Premier League,26,4,1,3,0,29.8,0.33,3.8,90,197,45.7,734,118,21.5,30.4,119,32.8,35.6,145,13,9,35,19.2
Saturnin Allagbé,bj BEN,1993,2021,Dijon,fr Ligue 1,10,0,1,0,0,6.1,0.3,-1.9,20,53,37.7,103,20,40.8,35.1,27,40.7,34.9,35,0,0,5,16.4
Nícolas Andrade,br BRA,1988,2021,Udinese,it Serie A,5,0,0,0,0,4,0.58,-1,6,13,46.2,31,5,25.8,32.1,9,55.6,47.4,16,0,0,0,15.2
Ángel,es ESP,2002,2021,Granada,es La Liga,2,1,0,1,0,2.7,0.22,0.7,10,24,41.7,13,0,76.9,50.1,17,82.4,55,10,0,0,1,14.3
Alphonse Areola,fr FRA,1993,2021,Fulham,eng Premier League,38,6,0,2,1,40.9,0.29,6.9,139,355,39.2,583,122,40.8,35,195,60,44.5,285,31,10.9,16,13.7
Kepa Arrizabalaga,es ESP,1994,2021,Chelsea,eng Premier League,6,0,0,0,0,5.3,0.29,-0.7,29,57,50.9,105,20,38.1,33.7,33,51.5,40.4,33,4,12.1,0,14.4
