Player,Nation,Born,Season,Squad,Comp,Pos,Secondary_Pos,90s
Dan-Axel Zagadou,fr FRA,1999.0,2018.0,Dortmund,de Bundesliga,DF,,7.3
Wilfried Zaha,ci CIV,1992.0,2018.0,Crystal Palace,eng Premier League,FW,,28.3
Denis Zakaria,ch SUI,1996.0,2018.0,M'Gladbach,de Bundesliga,MF,,25.5
Joseba Zaldúa,es ESP,1992.0,2018.0,Leganés,es La Liga,DF,,28.4
Andre-Frank Zambo Anguissa,cm CMR,1995.0,2018.0,Marseille,fr Ligue 1,MF,,27.1
Francesco Zampano,it ITA,1993.0,2018.0,Udinese,it Serie A,DF,MF,4.6
Niccolò Zanellato,it ITA,1998.0,2018.0,Crotone,it Serie A,MF,,0.8
Cristián Zapata,co COL,1986.0,2018.0,Milan,it Serie A,DF,,11.0
Duván Zapata,co COL,1991.0,2018.0,Sampdoria,it Serie A,FW,,23.4
Davide Zappacosta,it ITA,1992.0,2018.0,Chelsea,eng Premier League,DF,MF,12.2
Davide Zappacosta,it ITA,1992.0,2018.0,Torino,it Serie A,DF,,1.1
Simone Zaza,it ITA,1991.0,2018.0,Valencia,es La Liga,FW,,23.0
Marvin Zeegelaar,nl NED,1990.0,2018.0,Watford,eng Premier League,DF,MF,11.0
Mehdi Zeffane,dz ALG,1992.0,2018.0,Rennes,fr Ligue 1,DF,FW,11.0
Rafik Zekhnini,no NOR,1998.0,2018.0,Fiorentina,it Serie A,MF,,0.1
Nabil El Zhar,ma MAR,1986.0,2018.0,Leganés,es La Liga,FW,MF,22.3
Piotr Zieliński,pl POL,1994.0,2018.0,Napoli,it Serie A,MF,FW,18.5
Matthias Zimmermann,de GER,1992.0,2018.0,Stuttgart,de Bundesliga,DF,,0.9
Oleksandr Zinchenko,ua UKR,1996.0,2018.0,Manchester City,eng Premier League,DF,,5.9
Kévin Zohi,ml MLI,1996.0,2018.0,Strasbourg,fr Ligue 1,MF,,0.0
Simon Zoller,de GER,1991.0,2018.0,Köln,de Bundesliga,MF,FW,10.7
Kurt Zouma,fr FRA,1994.0,2018.0,Stoke City,eng Premier League,DF,,32.1
Igor Zubeldia,es ESP,1997.0,2018.0,Real Sociedad,es La Liga,MF,,17.7
Steven Zuber,ch SUI,1991.0,2018.0,Hoffenheim,de Bundesliga,DF,MF,15.9
Bruno Zuculini,ar ARG,1993.0,2018.0,Hellas Verona,it Serie A,MF,,13.5
Franco Zuculini,ar ARG,1990.0,2018.0,Hellas Verona,it Serie A,MF,,3.7
Ervin Zukanović,ba BIH,1987.0,2018.0,Genoa,it Serie A,DF,,31.9
Robert Žulj,at AUT,1992.0,2018.0,Hoffenheim,de Bundesliga,MF,DF,2.3
Bongani Zungu,za RSA,1992.0,2018.0,Amiens,fr Ligue 1,MF,,23.2
David Zurutuza,es ESP,1986.0,2018.0,Real Sociedad,es La Liga,MF,,24.8
Filip Đuričić,rs SRB,1992.0,2018.0,Sampdoria,it Serie A,FW,,0.1
Filip Đuričić,rs SRB,1992.0,2018.0,Benevento,it Serie A,FW,MF,10.8
Christian Rutjens,,,2018.0,Benevento,it Serie A,,,0.0
Ismael Aaneba,fr FRA,1999.0,2019.0,Strasbourg,fr Ligue 1,DF,,2.3
Patrick van Aanholt,nl NED,1990.0,2019.0,Crystal Palace,eng Premier League,DF,,35.5
Ignazio Abate,it ITA,1986.0,2019.0,Milan,it Serie A,DF,,14.5
Issah Abbas,gh GHA,1998.0,2019.0,Mainz 05,de Bundesliga,FW,,0.1
Yunis Abdelhamid,ma MAR,1987.0,2019.0,Reims,fr Ligue 1,DF,,38.0
Mehdi Abeid,dz ALG,1992.0,2019.0,Dijon,fr Ligue 1,MF,,22.5
Charles Abi,fr FRA,2000.0,2019.0,Saint-Étienne,fr Ligue 1,FW,MF,0.4
David Abraham,ar ARG,1986.0,2019.0,Eint Frankfurt,de Bundesliga,DF,,15.8
Amir Abrashi,al ALB,1990.0,2019.0,Freiburg,de Bundesliga,MF,,8.8
Francesco Acerbi,it ITA,1988.0,2019.0,Lazio,it Serie A,DF,,36.8
Afriyie Acquah,gh GHA,1992.0,2019.0,Empoli,it Serie A,MF,,16.8
Tyler Adams,us USA,1999.0,2019.0,RB Leipzig,de Bundesliga,MF,,8.0
Aday,es ESP,1987.0,2019.0,Girona,es La Liga,DF,MF,7.2
Khaled Adénon,bj BEN,1985.0,2019.0,Amiens,fr Ligue 1,DF,,22.2
Claud Adjapong,it ITA,1998.0,2019.0,Sassuolo,it Serie A,MF,DF,3.0
Yacine Adli,fr FRA,2000.0,2019.0,Bordeaux,fr Ligue 1,MF,FW,2.4
Ali Adnan Kadhim,iq IRQ,1993.0,2019.0,Atalanta,it Serie A,MF,DF,1.8
Aritz Aduriz,es ESP,1981.0,2019.0,Athletic Club,es La Liga,FW,,10.5
Luis Advíncula,pe PER,1990.0,2019.0,Rayo Vallecano,es La Liga,DF,,26.5
Martin Agirregabiria,es ESP,1996.0,2019.0,Alavés,es La Liga,DF,,22.6
Nayef Aguerd,ma MAR,1996.0,2019.0,Dijon,fr Ligue 1,DF,,11.7
Sergio Agüero,ar ARG,1988.0,2019.0,Manchester City,eng Premier League,FW,,27.3
Ruben Aguilar,fr FRA,1993.0,2019.0,Montpellier,fr Ligue 1,DF,MF,28.1
Juan Aguilera,es ESP,1985.0,2019.0,Huesca,es La Liga,MF,,3.8
Emmanuel Agyemang-Badu,gh GHA,1990.0,2019.0,Udinese,it Serie A,MF,,1.8
Jean-Eudes Aholou,ci CIV,1994.0,2019.0,Monaco,fr Ligue 1,MF,,11.9
Antonis Aidonis,de GER,2001.0,2019.0,Stuttgart,de Bundesliga,DF,,0.9
Ola Aina,ng NGA,1996.0,2019.0,Torino,it Serie A,DF,MF,24.0
Youssef Aït Bennasser,ma MAR,1996.0,2019.0,Saint-Étienne,fr Ligue 1,MF,,10.4
Youssef Aït Bennasser,ma MAR,1996.0,2019.0,Monaco,fr Ligue 1,MF,,11.9
Rayan Aït Nouri,fr FRA,2001.0,2019.0,Angers,fr Ligue 1,DF,,0.6
Ludovic Ajorque,re REU,1994.0,2019.0,Strasbourg,fr Ligue 1,FW,,17.0
Manuel Akanji,ch SUI,1995.0,2019.0,Dortmund,de Bundesliga,DF,,24.5
Carlos Akapo,gq EQG,1993.0,2019.0,Huesca,es La Liga,DF,,11.4
Nathan Aké,nl NED,1995.0,2019.0,Bournemouth,eng Premier League,DF,,37.9
Sergio Akieme,es ESP,1997.0,2019.0,Rayo Vallecano,es La Liga,DF,,2.0
Chadrac Akolo,cd COD,1995.0,2019.0,Stuttgart,de Bundesliga,MF,FW,5.8
Kevin Akpoguma,ng NGA,1995.0,2019.0,Hannover 96,de Bundesliga,DF,,3.5
Kevin Akpoguma,ng NGA,1995.0,2019.0,Hoffenheim,de Bundesliga,DF,,5.5
David Alaba,at AUT,1992.0,2019.0,Bayern Munich,de Bundesliga,DF,,28.1
Sofiane Alakouch,fr FRA,1998.0,2019.0,Nîmes,fr Ligue 1,DF,,21.1
Lucas Alario,ar ARG,1992.0,2019.0,Leverkusen,de Bundesliga,FW,,14.1
Jordi Alba,es ESP,1989.0,2019.0,Barcelona,es La Liga,DF,,33.2
Luis Alberto,es ESP,1992.0,2019.0,Lazio,it Serie A,MF,FW,22.1
Raúl Albiol,es ESP,1985.0,2019.0,Napoli,it Serie A,DF,,19.0
Miiko Albornoz,cl CHI,1990.0,2019.0,Hannover 96,de Bundesliga,DF,MF,18.4
Marc Albrighton,eng ENG,1989.0,2019.0,Leicester City,eng Premier League,FW,MF,18.1
Paco Alcácer,es ESP,1993.0,2019.0,Dortmund,de Bundesliga,FW,,13.5
Pedro Alcalá,es ESP,1989.0,2019.0,Girona,es La Liga,DF,,20.8
Thiago Alcántara,es ESP,1991.0,2019.0,Bayern Munich,de Bundesliga,MF,,26.8
Rubén Alcaraz,es ESP,1991.0,2019.0,Valladolid,es La Liga,MF,,33.1
Toby Alderweireld,be BEL,1989.0,2019.0,Tottenham,eng Premier League,DF,,32.5
Álex Alegría,es ESP,1992.0,2019.0,Rayo Vallecano,es La Liga,FW,MF,1.6
Alexis Alegue,fr FRA,1996.0,2019.0,Nantes,fr Ligue 1,FW,,0.1
Iván Alejo,es ESP,1995.0,2019.0,Getafe,es La Liga,MF,FW,1.6
Carles Aleñá,es ESP,1998.0,2019.0,Barcelona,es La Liga,MF,,7.1
Alexander,ar ARG,1988.0,2019.0,Leganés,es La Liga,DF,,0.1
Trent Alexander-Arnold,eng ENG,1998.0,2019.0,Liverpool,eng Premier League,DF,,27.4
Rachid Alioui,ma MAR,1992.0,2019.0,Nîmes,fr Ligue 1,FW,,13.9
Allan,br BRA,1991.0,2019.0,Napoli,it Serie A,MF,,29.1
Allan,br BRA,1997.0,2019.0,Eint Frankfurt,de Bundesliga,MF,DF,2.0
Dele Alli,eng ENG,1996.0,2019.0,Tottenham,eng Premier League,MF,FW,20.3
Miguel Almirón,py PAR,1994.0,2019.0,Newcastle Utd,eng Premier League,FW,MF,8.4
Júnior Alonso,py PAR,1993.0,2019.0,Celta Vigo,es La Liga,DF,MF,6.0
Marcos Alonso,es ESP,1990.0,2019.0,Chelsea,eng Premier League,DF,,30.7
Mickaël Alphonse,GPE,1989.0,2019.0,Dijon,fr Ligue 1,DF,,6.3
Sergio Álvarez,es ESP,1992.0,2019.0,Eibar,es La Liga,MF,DF,11.9
Yeray Álvarez,es ESP,1995.0,2019.0,Athletic Club,es La Liga,DF,,29.0
Bruno Alves,pt POR,1981.0,2019.0,Parma,it Serie A,DF,,32.5
Dani Alves,br BRA,1983.0,2019.0,Paris S-G,fr Ligue 1,MF,DF,18.0
Alfons Amade,de GER,1999.0,2019.0,Hoffenheim,de Bundesliga,MF,,0.1
Ibrahim Amadou,fr FRA,1993.0,2019.0,Sevilla,es La Liga,MF,DF,8.5
Romain Amalfitano,fr FRA,1989.0,2019.0,Dijon,fr Ligue 1,MF,FW,28.0
Daniel Amartey,gh GHA,1994.0,2019.0,Leicester City,eng Premier League,DF,,7.1
Jordi Amat,es ESP,1992.0,2019.0,Rayo Vallecano,es La Liga,DF,,30.7
Amath,sn SEN,1996.0,2019.0,Getafe,es La Liga,MF,FW,11.1
Jordan Amavi,fr FRA,1994.0,2019.0,Marseille,fr Ligue 1,DF,,24.2
Kelvin Amian,fr FRA,1998.0,2019.0,Toulouse,fr Ligue 1,DF,,32.0
Nadiem Amiri,de GER,1996.0,2019.0,Hoffenheim,de Bundesliga,MF,FW,8.4
Yanis Ammour,fr FRA,1999.0,2019.0,Montpellier,fr Ligue 1,MF,,0.0
Luke Amos,eng ENG,1997.0,2019.0,Tottenham,eng Premier League,MF,,0.0
Joachim Andersen,dk DEN,1996.0,2019.0,Sampdoria,it Serie A,DF,,32.0
Felipe Anderson,br BRA,1993.0,2019.0,West Ham,eng Premier League,FW,MF,33.8
Florin Andone,ro ROU,1993.0,2019.0,Brighton,eng Premier League,FW,,9.8
Benjamin André,fr FRA,1990.0,2019.0,Rennes,fr Ligue 1,MF,,27.7
Marco Andreolli,it ITA,1986.0,2019.0,Cagliari,it Serie A,DF,,1.2
Marco Andreolli,it ITA,1986.0,2019.0,Chievo,it Serie A,DF,,7.2
Yoann Andreu,fr FRA,1989.0,2019.0,Angers,fr Ligue 1,DF,,0.0
José Ángel,es ESP,1989.0,2019.0,Eibar,es La Liga,DF,,33.6
Cristian Ansaldi,ar ARG,1986.0,2019.0,Torino,it Serie A,DF,MF,20.1
Mirco Antenucci,it ITA,1984.0,2019.0,SPAL,it Serie A,FW,,23.7
Waldemar Anton,de GER,1996.0,2019.0,Hannover 96,de Bundesliga,DF,,34.0
Luca Antonelli,it ITA,1987.0,2019.0,Empoli,it Serie A,DF,MF,8.4
Mauro Antonio Burruchaga,ar ARG,1998.0,2019.0,Chievo,it Serie A,MF,,0.6
Michail Antonio,eng ENG,1990.0,2019.0,West Ham,eng Premier League,FW,MF,23.4
Antoñito,es ESP,1987.0,2019.0,Valladolid,es La Liga,DF,MF,20.7
Vitorino Antunes,pt POR,1987.0,2019.0,Getafe,es La Liga,DF,,24.2
Anuar,ma MAR,1995.0,2019.0,Valladolid,es La Liga,MF,,12.0
Dennis Aogo,de GER,1987.0,2019.0,Stuttgart,de Bundesliga,MF,,11.4
Houssem Aouar,fr FRA,1998.0,2019.0,Lyon,fr Ligue 1,MF,,34.0
Emmanuel Apeh,ng NGA,1996.0,2019.0,Celta Vigo,es La Liga,MF,,0.2
Mauro Arambarri,uy URU,1995.0,2019.0,Getafe,es La Liga,MF,,29.7
Guilherme Arana,br BRA,1997.0,2019.0,Sevilla,es La Liga,MF,DF,7.0
Charles Aránguiz,cl CHI,1989.0,2019.0,Leverkusen,de Bundesliga,MF,,21.0
Luiz Araújo,br BRA,1996.0,2019.0,Lille,fr Ligue 1,FW,MF,8.7
Néstor Araujo,mx MEX,1991.0,2019.0,Celta Vigo,es La Liga,DF,,29.8
Anaitz Arbilla,es ESP,1987.0,2019.0,Eibar,es La Liga,DF,,21.7
Joaquín Ardaiz,uy URU,1999.0,2019.0,Frosinone,it Serie A,FW,,0.2
Santiago Arias,co COL,1992.0,2019.0,Atlético Madrid,es La Liga,DF,,19.7
Lorenzo Ariaudo,it ITA,1989.0,2019.0,Frosinone,it Serie A,DF,,18.7
Nicolò Armini,it ITA,2001.0,2019.0,Lazio,it Serie A,DF,,0.4
Yoël Armougom,fr FRA,1998.0,2019.0,Caen,fr Ligue 1,DF,MF,20.6
Stuart Armstrong,sco SCO,1992.0,2019.0,Southampton,eng Premier League,MF,FW,15.9
José Arnaiz,es ESP,1995.0,2019.0,Leganés,es La Liga,DF,MF,1.3
Marko Arnautović,at AUT,1989.0,2019.0,West Ham,eng Premier League,FW,,22.1
Maximilian Arnold,de GER,1994.0,2019.0,Wolfsburg,de Bundesliga,MF,,31.9
Harry Arter,ie IRL,1989.0,2019.0,Cardiff City,eng Premier League,MF,,22.2
Kwadwo Asamoah,gh GHA,1988.0,2019.0,Inter,it Serie A,DF,,29.7
Takuma Asano,jp JPN,1994.0,2019.0,Hannover 96,de Bundesliga,MF,FW,7.8
Santiago Ascacíbar,ar ARG,1997.0,2019.0,Stuttgart,de Bundesliga,MF,,27.0
Marco Asensio,es ESP,1996.0,2019.0,Real Madrid,es La Liga,FW,,19.8
Iago Aspas,es ESP,1987.0,2019.0,Celta Vigo,es La Liga,FW,,25.0
Simon Asta,de GER,2001.0,2019.0,Augsburg,de Bundesliga,DF,,1.0
Christian Atsu,gh GHA,1992.0,2019.0,Newcastle Utd,eng Premier League,MF,FW,16.6
Youcef Attal,dz ALG,1996.0,2019.0,Nice,fr Ligue 1,DF,MF,25.1
Pierre-Emerick Aubameyang,ga GAB,1989.0,2019.0,Arsenal,eng Premier League,FW,,30.3
Jean-Kévin Augustin,fr FRA,1997.0,2019.0,RB Leipzig,de Bundesliga,FW,,5.1
Ludwig Augustinsson,se SWE,1994.0,2019.0,Werder Bremen,de Bundesliga,DF,,33.6
Serge Aurier,ci CIV,1992.0,2019.0,Tottenham,eng Premier League,DF,MF,6.3
Charlie Austin,eng ENG,1989.0,2019.0,Southampton,eng Premier League,FW,,10.9
Ezequiel Ávila,ar ARG,1994.0,2019.0,Huesca,es La Liga,FW,MF,22.2
Jordan Ayew,gh GHA,1991.0,2019.0,Crystal Palace,eng Premier League,FW,,13.1
Kaan Ayhan,tr TUR,1994.0,2019.0,Düsseldorf,de Bundesliga,DF,,27.2
Floyd Ayité,tg TOG,1988.0,2019.0,Fulham,eng Premier League,FW,MF,5.3
César Azpilicueta,es ESP,1989.0,2019.0,Chelsea,eng Premier League,DF,,37.8
Abdoulaye Ba,sn SEN,1991.0,2019.0,Rayo Vallecano,es La Liga,DF,,23.4
Florian Baak,de GER,1999.0,2019.0,Hertha BSC,de Bundesliga,MF,,0.0
Ludovic Baal,gf GUF,1986.0,2019.0,Rennes,fr Ligue 1,DF,,1.4
Khouma Babacar,sn SEN,1993.0,2019.0,Sassuolo,it Serie A,FW,,16.5
Ryan Babel,nl NED,1986.0,2019.0,Fulham,eng Premier League,FW,,13.9
Carlos Bacca,co COL,1986.0,2019.0,Villarreal,es La Liga,FW,,14.1
Juninho Bacuna,cw CUW,1997.0,2019.0,Huddersfield,eng Premier League,MF,DF,15.7
Leandro Bacuna,cw CUW,1991.0,2019.0,Cardiff City,eng Premier League,MF,DF,6.2
Milan Badelj,hr CRO,1989.0,2019.0,Lazio,it Serie A,MF,,12.7
Holger Badstuber,de GER,1989.0,2019.0,Stuttgart,de Bundesliga,DF,,5.8
Stéphane Bahoken,cm CMR,1992.0,2019.0,Angers,fr Ligue 1,FW,,27.4
Daniel Baier,de GER,1984.0,2019.0,Augsburg,de Bundesliga,MF,,31.3
Leon Bailey,jm JAM,1997.0,2019.0,Leverkusen,de Bundesliga,FW,MF,21.3
Eric Bailly,ci CIV,1994.0,2019.0,Manchester Utd,eng Premier League,DF,,7.1
Leighton Baines,eng ENG,1984.0,2019.0,Everton,eng Premier League,DF,,4.2
Marvin Bakalorz,de GER,1989.0,2019.0,Hannover 96,de Bundesliga,MF,,16.3
Tiemoué Bakayoko,fr FRA,1994.0,2019.0,Milan,it Serie A,MF,,25.6
Ridle Baku,de GER,1998.0,2019.0,Mainz 05,de Bundesliga,MF,,10.4
Fabián Balbuena,py PAR,1991.0,2019.0,West Ham,eng Premier League,DF,,22.4
Keita Baldé,sn SEN,1995.0,2019.0,Inter,it Serie A,FW,MF,9.9
Gareth Bale,wal WAL,1989.0,2019.0,Real Madrid,es La Liga,FW,,19.8
Mikel Balenziaga,es ESP,1988.0,2019.0,Athletic Club,es La Liga,DF,,5.8
Andrija Balić,hr CRO,1997.0,2019.0,Udinese,it Serie A,FW,MF,0.3
Fodé Ballo-Touré,sn SEN,1997.0,2019.0,Lille,fr Ligue 1,DF,,17.7
Fodé Ballo-Touré,sn SEN,1997.0,2019.0,Monaco,fr Ligue 1,DF,,17.7
Florent Balmont,fr FRA,1980.0,2019.0,Dijon,fr Ligue 1,MF,,12.0
Leon Balogun,ng NGA,1988.0,2019.0,Brighton,eng Premier League,DF,,6.6
Mario Balotelli,it ITA,1990.0,2019.0,Marseille,fr Ligue 1,FW,,10.4
Mario Balotelli,it ITA,1990.0,2019.0,Nice,fr Ligue 1,FW,,8.4
Abdoulaye Bamba,ci CIV,1990.0,2019.0,Angers,fr Ligue 1,DF,,28.6
Jonathan Bamba,fr FRA,1996.0,2019.0,Lille,fr Ligue 1,FW,MF,33.4
Sol Bamba,ci CIV,1985.0,2019.0,Cardiff City,eng Premier League,DF,,27.5
Yacine Bammou,ma MAR,1991.0,2019.0,Caen,fr Ligue 1,FW,MF,10.3
Éver Banega,ar ARG,1988.0,2019.0,Sevilla,es La Liga,MF,,29.6
Mattia Bani,it ITA,1993.0,2019.0,Chievo,it Serie A,DF,,29.0
Léo Baptistão,br BRA,1992.0,2019.0,Espanyol,es La Liga,FW,MF,13.7
Antonín Barák,cz CZE,1994.0,2019.0,Udinese,it Serie A,MF,FW,3.7
Federico Barba,it ITA,1993.0,2019.0,Chievo,it Serie A,DF,,27.6
Danilo Barbosa,br BRA,1996.0,2019.0,Nice,fr Ligue 1,MF,,17.2
Enis Bardhi,mk MKD,1995.0,2019.0,Levante,es La Liga,MF,,31.5
Phil Bardsley,sco SCO,1985.0,2019.0,Burnley,eng Premier League,DF,,18.6
Nicolò Barella,it ITA,1997.0,2019.0,Cagliari,it Serie A,MF,FW,34.5
Philipp Bargfrede,de GER,1989.0,2019.0,Werder Bremen,de Bundesliga,MF,DF,12.0
Antonino Barillà,it ITA,1988.0,2019.0,Parma,it Serie A,MF,,29.1
Ross Barkley,eng ENG,1993.0,2019.0,Chelsea,eng Premier League,MF,,13.8
Aymen Barkok,ma MAR,1998.0,2019.0,Düsseldorf,de Bundesliga,MF,,5.7
Ashley Barnes,eng ENG,1989.0,2019.0,Burnley,eng Premier League,FW,,26.5
Harvey Barnes,eng ENG,1997.0,2019.0,Leicester City,eng Premier League,FW,MF,11.2
Antonio Barragán,es ESP,1987.0,2019.0,Betis,es La Liga,DF,MF,10.4
Antonio Barreca,it ITA,1995.0,2019.0,Newcastle Utd,eng Premier League,DF,,0.1
Antonio Barreca,it ITA,1995.0,2019.0,Monaco,fr Ligue 1,DF,,6.6
Leandro Barreiro Martins,lu LUX,2000.0,2019.0,Mainz 05,de Bundesliga,MF,,1.0
Ander Barrenetxea,es ESP,2001.0,2019.0,Real Sociedad,es La Liga,FW,MF,4.4
Édgar Barreto,py PAR,1984.0,2019.0,Sampdoria,it Serie A,MF,,8.7
Musa Barrow,gm GAM,1998.0,2019.0,Atalanta,it Serie A,FW,MF,6.7
Fin Bartels,de GER,1987.0,2019.0,Werder Bremen,de Bundesliga,FW,,0.3
Marc Bartra,es ESP,1991.0,2019.0,Betis,es La Liga,DF,,32.5
Andrea Barzagli,it ITA,1981.0,2019.0,Juventus,it Serie A,DF,,2.9
Daniele Baselli,it ITA,1992.0,2019.0,Torino,it Serie A,MF,,26.4
Toma Bašić,hr CRO,1996.0,2019.0,Bordeaux,fr Ligue 1,MF,,14.8
Thomas Basila,fr FRA,1999.0,2019.0,Nantes,fr Ligue 1,DF,,1.0
Borja Bastón,es ESP,1992.0,2019.0,Alavés,es La Liga,FW,,16.0
Alessandro Bastoni,it ITA,1999.0,2019.0,Parma,it Serie A,DF,,18.8
Bastos,ao ANG,1991.0,2019.0,Lazio,it Serie A,DF,,12.7
Michy Batshuayi,be BEL,1993.0,2019.0,Valencia,es La Liga,FW,,5.9
Michy Batshuayi,be BEL,1993.0,2019.0,Crystal Palace,eng Premier League,FW,,8.3
Robert Bauer,de GER,1995.0,2019.0,Nürnberg,de Bundesliga,DF,,19.1
Timo Baumgartl,de GER,1996.0,2019.0,Stuttgart,de Bundesliga,DF,,18.0
Julian Baumgartlinger,at AUT,1988.0,2019.0,Leverkusen,de Bundesliga,MF,,17.3
Christoph Baumgartner,at AUT,1999.0,2019.0,Hoffenheim,de Bundesliga,MF,,0.9
Jon Bautista,es ESP,1995.0,2019.0,Real Sociedad,es La Liga,FW,,6.6
Paul Baysse,fr FRA,1988.0,2019.0,Bordeaux,fr Ligue 1,DF,,0.8
Paul Baysse,fr FRA,1988.0,2019.0,Caen,fr Ligue 1,DF,,19.9
Noah Joel Sarenren Bazee,ng NGA,1996.0,2019.0,Hannover 96,de Bundesliga,FW,,1.7
Claudio Beauvue,GPE,1988.0,2019.0,Caen,fr Ligue 1,FW,,16.7
Bebé,pt POR,1990.0,2019.0,Rayo Vallecano,es La Liga,FW,MF,14.5
Bebé,pt POR,1990.0,2019.0,Eibar,es La Liga,MF,,0.7
Ihlas Bebou,tg TOG,1994.0,2019.0,Hannover 96,de Bundesliga,FW,MF,11.8
Uffe Bech,dk DEN,1993.0,2019.0,Hannover 96,de Bundesliga,FW,,0.2
Andreas Beck,de GER,1987.0,2019.0,Stuttgart,de Bundesliga,DF,MF,19.7
Jan Bednarek,pl POL,1996.0,2019.0,Southampton,eng Premier League,DF,,23.9
Andrea Beghetto,it ITA,1994.0,2019.0,Frosinone,it Serie A,DF,MF,24.7
Valon Behrami,ch SUI,1985.0,2019.0,Udinese,it Serie A,MF,,15.1
Hanno Behrens,de GER,1990.0,2019.0,Nürnberg,de Bundesliga,MF,,29.3
Ishak Belfodil,dz ALG,1992.0,2019.0,Hoffenheim,de Bundesliga,FW,,20.7
Stefan Bell,de GER,1991.0,2019.0,Mainz 05,de Bundesliga,DF,,25.0
Karim Bellarabi,de GER,1990.0,2019.0,Leverkusen,de Bundesliga,FW,MF,11.7
Héctor Bellerín,es ESP,1995.0,2019.0,Arsenal,eng Premier League,DF,,17.0
Andrea Belotti,it ITA,1993.0,2019.0,Torino,it Serie A,FW,,36.7
Fran Beltrán,es ESP,1999.0,2019.0,Celta Vigo,es La Liga,MF,,16.9
Hatem Ben Arfa,fr FRA,1987.0,2019.0,Rennes,fr Ligue 1,MF,FW,22.6
Wissam Ben Yedder,fr FRA,1990.0,2019.0,Sevilla,es La Liga,FW,,31.2
Marco Benassi,it ITA,1994.0,2019.0,Fiorentina,it Serie A,MF,,25.4
Medhi Benatia,ma MAR,1987.0,2019.0,Juventus,it Serie A,DF,,5.0
Lars Bender,de GER,1989.0,2019.0,Leverkusen,de Bundesliga,DF,MF,15.1
Sven Bender,de GER,1989.0,2019.0,Leverkusen,de Bundesliga,DF,,22.1
László Bénes,sk SVK,1997.0,2019.0,M'Gladbach,de Bundesliga,MF,,0.3
Nicolas Benezet,fr FRA,1991.0,2019.0,Guingamp,fr Ligue 1,MF,FW,18.5
Ismaël Bennacer,dz ALG,1997.0,2019.0,Empoli,it Serie A,MF,,32.9
Joe Bennett,eng ENG,1990.0,2019.0,Cardiff City,eng Premier League,DF,,29.3
Ryan Bennett,eng ENG,1990.0,2019.0,Wolves,eng Premier League,DF,,34.0
Yassine Benrahou,fr FRA,1999.0,2019.0,Bordeaux,fr Ligue 1,MF,DF,2.0
Ramy Bensebaini,dz ALG,1995.0,2019.0,Rennes,fr Ligue 1,DF,,23.9
Nabil Bentaleb,dz ALG,1994.0,2019.0,Schalke 04,de Bundesliga,MF,,19.9
Rodrigo Bentancur,uy URU,1997.0,2019.0,Juventus,it Serie A,MF,,22.3
Christian Benteke,be BEL,1990.0,2019.0,Crystal Palace,eng Premier League,FW,,9.0
Karim Benzema,fr FRA,1987.0,2019.0,Real Madrid,es La Liga,FW,,32.8
Yassine Benzia,dz ALG,1994.0,2019.0,Lille,fr Ligue 1,MF,,1.8
Domenico Berardi,it ITA,1994.0,2019.0,Sassuolo,it Serie A,FW,MF,31.9
Yuri Berchiche,es ESP,1990.0,2019.0,Athletic Club,es La Liga,DF,FW,34.7
Álex Berenguer,es ESP,1995.0,2019.0,Torino,it Serie A,MF,FW,16.5
Bartosz Bereszyński,pl POL,1992.0,2019.0,Sampdoria,it Serie A,DF,,24.4
Jóhann Berg Guðmundsson,is ISL,1990.0,2019.0,Burnley,eng Premier League,MF,FW,19.5
Markel Bergara,es ESP,1986.0,2019.0,Getafe,es La Liga,MF,,0.6
Robert Berić,si SVN,1991.0,2019.0,Saint-Étienne,fr Ligue 1,FW,,13.1
Valon Berisha,xk KVX,1993.0,2019.0,Lazio,it Serie A,MF,,2.2
Bernard,br BRA,1992.0,2019.0,Everton,eng Premier League,FW,MF,23.5
Federico Bernardeschi,it ITA,1994.0,2019.0,Juventus,it Serie A,FW,MF,16.4
Bernardo,br BRA,1995.0,2019.0,Brighton,eng Premier League,DF,,19.5
Juan Bernat,es ESP,1993.0,2019.0,Paris S-G,fr Ligue 1,DF,MF,20.4
Antoine Bernede,fr FRA,1999.0,2019.0,Paris S-G,fr Ligue 1,MF,,1.9
Ryan Bertrand,eng ENG,1989.0,2019.0,Southampton,eng Premier League,DF,,24.0
Daniel Bessa,it ITA,1993.0,2019.0,Genoa,it Serie A,MF,,27.1
Louis Beyer,de GER,2000.0,2019.0,M'Gladbach,de Bundesliga,DF,,8.0
Jonathan Biabiany,fr FRA,1988.0,2019.0,Parma,it Serie A,FW,MF,11.9
Giulian Biancone,fr FRA,2000.0,2019.0,Monaco,fr Ligue 1,DF,,1.0
Ermin Bičakčić,ba BIH,1990.0,2019.0,Hoffenheim,de Bundesliga,DF,,19.9
Pedro Bigas,es ESP,1990.0,2019.0,Eibar,es La Liga,DF,,6.5
Lucas Biglia,ar ARG,1986.0,2019.0,Milan,it Serie A,MF,,12.4
Philip Billing,dk DEN,1996.0,2019.0,Huddersfield,eng Premier League,MF,,24.3
Cristiano Biraghi,it ITA,1992.0,2019.0,Fiorentina,it Serie A,DF,,35.5
Davide Biraschi,it ITA,1994.0,2019.0,Genoa,it Serie A,DF,,31.6
