,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,pt Porto,26,1992,1,59,59,6.3,0.7,1,59,0,0,,0,1.00,0,0,0,0.00,-0.52,1.5,0.3,+1.2,+1.77,+2.03,Matches
2,Antonio Adán\Antonio-Adan,es ESP,GK,es Atlético Madrid,31,1987,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
3,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,21,1997,4,228,57,42.2,2.5,2,91,2,2,23,2,1.17,2,3,-1,-0.39,+1.62,2.8,5.6,-2.8,-1.11,-0.24,Matches
4,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,30,1988,7,507,72,56.3,5.6,6,80,2,1,27,2,1.86,14,8,+6,+1.07,-1.68,11.4,6.6,+4.9,+0.86,-0.67,Matches
5,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MFFW,fr Monaco,24,1994,3,176,59,32.6,2.0,2,80,1,1,17,0,0.33,1,5,-4,-2.05,-0.07,1.2,4.8,-3.6,-1.86,-1.30,Matches
6,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,fr Monaco,22,1996,3,247,82,45.7,2.7,3,82,2,0,,3,0.33,1,6,-5,-1.82,+0.33,2.3,5.5,-3.3,-1.19,-0.38,Matches
7,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,23,1995,5,450,90,62.5,5.0,5,90,5,0,,1,1.40,4,3,+1,+0.20,-0.80,6.9,3.9,+3.1,+0.61,-0.15,Matches
8,Emre Akbaba\Emre-Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1,90,90,16.7,1.0,1,90,1,0,,0,3.00,3,0,+3,+3.00,+4.20,2.0,1.0,+0.9,+0.94,+1.17,Matches
9,Yunus Akgün\Yunus-Akgun,tr TUR,MF,tr Galatasaray,18,2000,1,5,5,0.9,0.1,0,,0,1,4,1,0.00,0,0,0,0.00,+0.50,0.0,0.2,-0.2,-3.32,-3.31,Matches
10,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,4,300,75,55.6,3.3,3,85,2,1,45,0,1.00,4,5,-1,-0.30,-0.30,4.0,5.8,-1.8,-0.55,-0.27,Matches
11,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5,449,90,83.1,5.0,5,90,4,0,,0,1.40,8,6,+2,+0.40,+3.37,6.5,7.1,-0.6,-0.12,+1.85,Matches
12,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2,180,90,33.3,2.0,2,90,2,0,,2,0.50,4,5,-1,-0.50,0.00,4.0,4.7,-0.7,-0.37,-0.24,Matches
13,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,26,1992,7,630,90,87.5,7.0,7,90,7,0,,1,1.71,14,8,+6,+0.86,-1.14,11.2,9.9,+1.4,+0.20,-1.23,Matches
14,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,29,1989,11,990,90,91.7,11.0,11,90,11,0,,1,2.36,25,9,+16,+1.45,+1.45,21.7,11.7,+10.0,+0.91,+2.25,Matches
15,Raúl Albiol\Raul-Albiol,es ESP,DF,it Napoli,32,1985,6,495,83,91.7,5.5,6,83,5,0,,0,1.50,6,4,+2,+0.36,+0.36,9.4,5.3,+4.2,+0.76,+0.76,Matches
16,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,24,1993,5,356,71,49.4,4.0,4,86,3,1,11,0,1.40,4,2,+2,+0.51,+0.01,6.2,3.1,+3.1,+0.78,+0.22,Matches
17,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,27,1991,5,389,78,54.0,4.3,4,90,4,1,28,0,1.20,6,6,0,0.00,-2.18,4.9,6.5,-1.6,-0.36,-1.55,Matches
18,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,29,1989,12,1080,90,92.3,12.0,12,90,12,0,,0,1.67,19,17,+2,+0.17,+1.17,18.4,12.8,+5.6,+0.47,+1.09,Matches
19,Alef\Alef,br BRA,MF,gr AEK Athens,23,1995,4,201,50,37.2,2.2,2,79,1,2,22,0,1.00,0,5,-5,-2.24,-0.65,0.3,5.1,-4.8,-2.16,-1.23,Matches
20,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,20,1998,3,92,31,8.5,1.0,1,92,1,2,0,6,2.33,1,1,0,0.00,-1.46,1.8,2.5,-0.7,-0.68,-1.53,Matches
21,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,11,919,84,78.5,10.2,11,84,8,0,,2,2.27,21,6,+15,+1.47,+2.54,18.1,9.0,+9.1,+0.89,+0.35,Matches
22,Alisson\Alisson,br BRA,GK,eng Liverpool,25,1992,13,1170,90,100.0,13.0,13,90,13,0,,0,1.92,24,12,+12,+0.92,,24.1,13.5,+10.5,+0.81,,Matches
23,Allan\Allan,br BRA,MF,it Napoli,27,1991,6,510,85,94.4,5.7,6,85,5,0,,0,1.50,7,5,+2,+0.35,+0.35,9.4,5.7,+3.7,+0.65,-0.69,Matches
24,Dele Alli\Dele-Alli,eng ENG,MF,eng Tottenham,22,1996,8,707,88,60.4,7.9,8,88,6,0,,0,1.63,11,10,+1,+0.13,+0.13,13.0,8.2,+4.8,+0.61,+0.58,Matches
25,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,27,1990,6,540,90,100.0,6.0,6,90,6,0,,0,1.50,6,11,-5,-0.83,,8.2,10.1,-1.9,-0.32,,Matches
26,Dani Alves\Dani-Alves,br BRA,MFDF,fr Paris S-G,35,1983,3,205,68,28.5,2.3,2,90,1,1,25,1,2.00,3,2,+1,+0.44,-0.78,3.0,2.3,+0.7,+0.32,-0.38,Matches
