,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
761,Milan Škriniar\Milan-Skriniar,sk SVK,DF,it Inter,26-059,1995,3,270,90,50.0,3.0,3,90,3,0,,1,1.33,3,4,-1,-0.33,0.00,3.4,3.2,+0.2,+0.08,-0.56,Matches
762,Martin Škrtel\Martin-Skrtel,sk SVK,DF,tr Başakşehir,36-117,1984,5,401,80,74.3,4.5,5,80,3,0,,0,0.60,4,10,-6,-1.35,+1.89,3.5,8.9,-5.4,-1.21,+1.19,Matches
763,Igor Smolnikov\Igor-Smolnikov,ru RUS,DFMF,ru Krasnodar,32-246,1988,5,450,90,83.3,5.0,5,90,5,0,,0,1.33,4,8,-4,-0.80,+0.20,5.8,9.3,-3.5,-0.70,+0.04,Matches
764,Fyodor Smolov\Fyodor-Smolov,ru RUS,FWMF,ru Loko Moscow,31-061,1990,3,199,66,36.9,2.2,3,66,0,0,,0,0.67,3,4,-1,-0.45,+0.60,2.2,3.8,-1.6,-0.74,+0.25,Matches
765,Eduard Sobol\Eduard-Sobol,ua UKR,DFMF,be Club Brugge,25-356,1995,5,312,62,57.8,3.5,4,77,3,1,4,0,1.60,4,7,-3,-0.87,-1.26,6.2,7.3,-1.2,-0.33,-0.23,Matches
766,Oumar Solet\Oumar-Solet,fr FRA,DF,at RB Salzburg,21-063,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
767,Manor Solomon\Manor-Solomon,il ISR,MFFW,ua Shakhtar,21-261,1999,6,370,62,68.5,4.1,4,82,2,2,22,0,1.33,4,11,-7,-1.70,-1.70,2.4,7.6,-5.2,-1.25,-0.85,Matches
768,Somália\Somalia,br BRA,MF,hu Ferencváros,32-195,1988,6,468,78,86.7,5.2,5,88,4,1,28,0,1.09,5,14,-9,-1.73,+2.02,4.9,9.7,-4.8,-0.93,+1.69,Matches
769,Yann Sommer\Yann-Sommer,ch SUI,GK,de M'Gladbach,32-115,1988,8,720,90,100.0,8.0,8,90,8,0,,0,1.00,16,13,+3,+0.37,,9.9,12.0,-2.0,-0.25,,Matches
770,Brandon Soppy\Brandon-Soppy,fr FRA,DF,fr Rennes,19-049,2002,2,166,83,30.7,1.8,2,83,1,0,,3,0.00,1,4,-3,-1.63,-0.42,2.4,3.0,-0.5,-0.29,+0.39,Matches
771,Yegor Sorokin\Yegor-Sorokin,ru RUS,DF,ru Krasnodar,25-158,1995,3,152,51,28.1,1.7,1,90,1,2,31,1,1.25,1,3,-2,-1.18,-0.49,1.8,3.5,-1.7,-1.01,-0.42,Matches
772,Hillel Soudani\Hillel-Soudani,dz ALG,FWMF,gr Olympiacos,33-137,1987,4,38,10,7.0,0.4,0,,0,4,10,1,0.00,0,2,-2,-4.74,-3.66,0.4,0.1,+0.2,+0.58,+1.55,Matches
773,Vasileios Sourlis\Vasileios-Sourlis,gr GRE,DF,gr Olympiacos,18-146,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
774,Eduard Spertsyan\Eduard-Spertsyan,am ARM,FW,ru Krasnodar,20-308,2000,2,40,20,7.4,0.4,0,,0,2,20,1,0.00,0,2,-2,-4.50,-3.96,0.3,0.9,-0.6,-1.41,-0.75,Matches
775,Marco Sportiello\Marco-Sportiello,it ITA,GK,it Atalanta,28-336,1992,5,450,90,62.5,5.0,5,90,5,0,,3,1.00,8,11,-3,-0.60,-1.27,9.1,9.2,-0.1,-0.02,-0.06,Matches
776,Niccolò Squizzato\Niccolo-Squizzato,it ITA,MF,it Inter,19-094,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
777,Cican Stankovic\Cican-Stankovic,at AUT,GK,at RB Salzburg,28-158,1992,6,540,90,100.0,6.0,6,90,6,0,,0,1.25,10,17,-7,-1.17,,11.3,8.7,+2.7,+0.44,,Matches
778,Filip Stankovic\Filip-Stankovic,rs SRB,GK,it Inter,19-045,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
779,Zack Steffen\Zack-Steffen,us USA,GK,eng Manchester City,26-009,1995,1,90,90,11.1,1.0,1,90,1,0,,8,3.00,3,0,+3,+3.00,+1.25,2.6,0.6,+2.0,+1.95,+0.61,Matches
780,Maarten Stekelenburg\Maarten-Stekelenburg,nl NED,GK,nl Ajax,38-201,1982,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
