Player,Nation,Pos,Secondary_Pos,Born
Samuel Bastien,be BEL,MF,FW,1996
Borja Bastón,es ESP,FW,,1992
Alessandro Bastoni,it ITA,DF,,1999
Bastos,ao ANG,DF,,1991
Michy Batshuayi,be BEL,FW,,1993
Michy Batshuayi,be BEL,FW,,1993
Moritz Bauer,at AUT,DF,MF,1992
Robert Bauer,de GER,DF,,1995
Timo Baumgartl,de GER,DF,,1996
Julian Baumgartlinger,at AUT,MF,DF,1988
Jon Bautista,es ESP,FW,MF,1995
Paul Baysse,fr FRA,DF,,1988
Paul Baysse,fr FRA,DF,,1988
Noah Joel Sarenren Bazee,ng NGA,FW,MF,1996
Hervé Bazile,ht HAI,FW,MF,1990
Riechedly Bazoer,nl NED,MF,,1996
Enrico Bearzotti,it ITA,DF,FW,1996
Claudio Beauvue,GPE,FW,,1988
Bebé,pt POR,MF,FW,1990
Ihlas Bebou,tg TOG,MF,FW,1994
Andreas Beck,de GER,DF,MF,1987
Henri Bedimo,cm CMR,DF,MF,1984
Jan Bednarek,pl POL,DF,,1996
Valon Behrami,ch SUI,MF,,1985
Ishak Belfodil,dz ALG,FW,,1992
Stefan Bell,de GER,DF,,1991
Karim Bellarabi,de GER,FW,MF,1990
Héctor Bellerín,es ESP,DF,MF,1995
François Bellugou,fr FRA,MF,,1987
Andrea Belotti,it ITA,FW,,1993
Chaouki Ben Saada,tn TUN,FW,MF,1984
Wissam Ben Yedder,fr FRA,FW,,1990
Ahmad Benali,ly LBY,MF,,1992
Yohan Benalouane,tn TUN,DF,,1987
Marco Benassi,it ITA,MF,FW,1994
Medhi Benatia,ma MAR,DF,,1987
Lars Bender,de GER,DF,MF,1989
Sven Bender,de GER,DF,,1989
László Bénes,sk SVK,MF,,1997
Nicolas Benezet,fr FRA,FW,MF,1991
Marcel Benger,de GER,MF,,1998
Charlison Benschop,cw CUW,MF,FW,1989
Ramy Bensebaini,dz ALG,DF,,1995
Nabil Bentaleb,dz ALG,MF,,1994
Rodrigo Bentancur,uy URU,MF,,1997
Christian Benteke,be BEL,FW,,1990
Karim Benzema,fr FRA,FW,,1987
Yassine Benzia,dz ALG,MF,FW,1994
Saido Berahino,bi BDI,FW,,1993
Domenico Berardi,it ITA,FW,,1994
Yuri Berchiche,es ESP,DF,,1990
Álex Berenguer,es ESP,FW,,1995
Bartosz Bereszyński,pl POL,DF,,1992
Jóhann Berg Guðmundsson,is ISL,MF,FW,1990
Markel Bergara,es ESP,MF,,1986
Emil Berggreen,dk DEN,FW,,1993
Robert Berić,si SVN,FW,,1991
Kévin Bérigaud,fr FRA,MF,FW,1988
Federico Bernardeschi,it ITA,FW,MF,1994
Bernardo,br BRA,DF,,1995
Juan Bernat,es ESP,DF,FW,1993
Andrea Bertolacci,it ITA,MF,,1991
Ryan Bertrand,eng ENG,DF,,1989
Muhamed Bešić,ba BIH,MF,,1992
Daniel Bessa,it ITA,MF,FW,1993
Daniel Bessa,it ITA,MF,,1993
Vincent Bessat,fr FRA,DF,MF,1985
Matteo Bianchetti,it ITA,DF,,1993
Ermin Bičakčić,ba BIH,DF,,1990
Pedro Bigas,es ESP,DF,,1990
Lucas Biglia,ar ARG,MF,,1986
Philip Billing,dk DEN,MF,,1996
Jean-Claude Billong,fr FRA,DF,,1993
Davide Biondini,it ITA,MF,FW,1983
Cristiano Biraghi,it ITA,DF,,1992
Mame Biram Diouf,sn SEN,FW,MF,1987
Davide Biraschi,it ITA,DF,,1994
Valter Birsa,si SVN,MF,FW,1986
Milan Biševac,rs SRB,DF,,1983
Yves Bissouma,ml MLI,MF,DF,1996
Leonardo Bittencourt,de GER,MF,FW,1993
Ludovic Blas,fr FRA,MF,,1997
Pablo de Blasis,ar ARG,FW,MF,1988
Jérémy Blayac,fr FRA,FW,MF,1983
Alexis Blin,fr FRA,MF,,1996
Daley Blind,nl NED,DF,MF,1990
Danny Blum,de GER,FW,DF,1991
Emmanuel Boateng,gh GHA,FW,,1996
Jérôme Boateng,de GER,DF,,1988
Kevin-Prince Boateng,gh GHA,MF,FW,1987
Raúl Bobadilla,py PAR,FW,MF,1987
Yann Bodiger,fr FRA,MF,FW,1995
Mathieu Bodmer,fr FRA,DF,MF,1982
Jeremie Boga,ci CIV,MF,,1997
Quentin Boisgard,fr FRA,MF,FW,1997
Yannick Bolasie,cd COD,FW,MF,1989
Deian Boldor,ro ROU,DF,,1995
Giacomo Bonaventura,it ITA,MF,,1989
Federico Bonazzoli,it ITA,FW,,1997
Federico Bonazzoli,it ITA,FW,,1997
Daniele Bonera,it ITA,DF,,1981
Gaëtan Bong,cm CMR,DF,,1988
Kevin Bonifazi,it ITA,DF,FW,1996
Leonardo Bonucci,it ITA,DF,,1987
Wilfried Bony,ci CIV,FW,,1988
Celso Borges,cr CRC,MF,,1988
Fabio Borini,it ITA,FW,DF,1991
Marco Borriello,it ITA,FW,,1982
Gabriel Boschilia,br BRA,FW,MF,1996
Ryad Boudebouz,dz ALG,MF,FW,1990
Sofiane Boufal,ma MAR,FW,MF,1993
Arnold Bouka Moutou,cg CGO,DF,,1988
Farid Boulaya,dz ALG,FW,MF,1993
Emmanuel Bourgaud,fr FRA,MF,FW,1987
Benjamin Bourigeaud,fr FRA,MF,FW,1994
Eneko Bóveda,es ESP,DF,,1988
Eneko Bóveda,es ESP,DF,,1988
Lucas Boyé,ar ARG,FW,MF,1996
Lucas Boyé,ar ARG,FW,MF,1996
Robbie Brady,ie IRL,MF,FW,1992
Martin Braithwaite,dk DEN,FW,,1991
Brandon,es ESP,MF,FW,1995
Julian Brandt,de GER,FW,MF,1996
Darko Brašanac,rs SRB,MF,FW,1992
Josip Brekalo,hr CRO,FW,MF,1998
Josip Brekalo,hr CRO,MF,FW,1998
Jimmy Briand,fr FRA,FW,,1985
Enrico Brignola,it ITA,FW,MF,1999
Miguel Britos,uy URU,DF,,1985
Leon Britton,eng ENG,MF,,1982
Petar Brlek,hr CRO,MF,,1994
John Brooks,us USA,DF,,1993
Daniel Brosinski,de GER,DF,MF,1988
Izzy Brown,eng ENG,MF,FW,1997
Marcelo Brozović,hr CRO,MF,,1992
Bruma,pt POR,MF,FW,1994
Jeffrey Bruma,nl NED,DF,,1991
Bruno,es ESP,DF,,1980
Chris Brunt,nir NIR,MF,DF,1984
Jacob Bruun Larsen,dk DEN,MF,DF,1998
Jacob Bruun Larsen,dk DEN,DF,,1998
Marcel Büchel,li LIE,MF,,1991
Ante Budimir,hr CRO,FW,,1991
Alberto Bueno,es ESP,FW,MF,1988
Onur Bulut,tr TUR,MF,,1994
Alessandro Buongiorno,it ITA,DF,,1999
Nicolás Burdisso,ar ARG,DF,,1981
Guido Burgstaller,at AUT,FW,,1989
Burgui,es ESP,FW,MF,1993
Oliver Burke,sco SCO,FW,MF,1997
Patrick Burner,fr FRA,DF,,1996
Dženis Burnić,de GER,MF,DF,1998
Sergio Busquets,es ESP,MF,,1988
Unai Bustinza,es ESP,DF,,1992
Sam Byram,eng ENG,DF,,1993
Jakub Błaszczykowski,pl POL,FW,MF,1985
Erick Cabaco,uy URU,DF,,1995
Yohan Cabaye,fr FRA,MF,,1986
Rémy Cabella,fr FRA,MF,,1990
Rémy Cabella,fr FRA,MF,FW,1990
Gustavo Cabral,ar ARG,DF,,1985
Leandro Cabrera,uy URU,DF,,1991
Leandro Cabrera,uy URU,DF,,1991
Fabrizio Cacciatore,it ITA,DF,,1986
Martín Cáceres,uy URU,DF,,1987
Martín Cáceres,uy URU,DF,,1987
Cafú,pt POR,MF,,1993
Jonathan Cafu,br BRA,FW,MF,1991
Gary Cahill,eng ENG,DF,,1985
Yannick Cahuzac,fr FRA,MF,,1985
Felipe Caicedo,ec ECU,FW,,1988
Caiuby,br BRA,FW,MF,1988
Cala,es ESP,DF,,1989
Davide Calabria,it ITA,DF,,1996
Mattia Caldara,it ITA,DF,,1994
Carlos Calderón,es ESP,FW,,1995
Luca Caldirola,it ITA,DF,,1991
Hakan Çalhanoğlu,tr TUR,FW,MF,1994
Fabrizio Caligara,it ITA,MF,,2000
Daniel Caligiuri,it ITA,DF,MF,1988
José Callejón,es ESP,FW,,1987
Jonathan Calleri,ar ARG,FW,,1993
Simone Calvano,it ITA,MF,,1993
Dominic Calvert-Lewin,eng ENG,FW,MF,1997
Ignacio Camacho,es ESP,MF,DF,1990
Abdoul Camara,gn GUI,FW,MF,1990
Souleymane Camara,sn SEN,FW,,1982
Víctor Camarasa,es ESP,MF,,1994
Geoff Cameron,us USA,DF,MF,1985
José Campaña,es ESP,MF,,1993
Joel Campbell,cr CRC,MF,FW,1992
Tyrese Campbell,eng ENG,FW,MF,1999
Emre Can,de GER,MF,,1994
Sergio Canales,es ESP,MF,FW,1991
João Cancelo,pt POR,DF,,1994
João Cancelo,pt POR,MF,,1994
Antonio Candreva,it ITA,FW,,1987
Paolo Cannavaro,it ITA,DF,,1981
Ander Capa,es ESP,DF,,1992
Pierrick Capelle,fr FRA,MF,FW,1987
Leonardo Capezzi,it ITA,MF,,1995
Étienne Capoue,fr FRA,MF,,1988
Elio Capradossi,it ITA,DF,,1996
Gianluca Caprari,it ITA,FW,MF,1993
Marco Capuano,it ITA,DF,,1991
Marco Capuano,it ITA,DF,,1991
Antonio Caracciolo,it ITA,DF,,1990
Diego Carlos,br BRA,DF,,1993
Lionel Carole,fr FRA,DF,,1991
Yannick Carrasco,be BEL,MF,FW,1993
Michael Carrick,eng ENG,MF,,1981
Daniel Carriço,pt POR,DF,,1988
André Carrillo,pe PER,FW,MF,1991
Guido Carrillo,ar ARG,FW,,1991
Guido Carrillo,ar ARG,FW,MF,1991
Thomas Carrique,fr FRA,DF,,1999
Andy Carroll,eng ENG,FW,MF,1989
Tom Carroll,eng ENG,MF,,1992
Federico Cartabia,ar ARG,FW,MF,1993
Dani Carvajal,es ESP,DF,,1992
Casemiro,br BRA,MF,,1992
Francesco Cassata,it ITA,MF,,1997
Timothy Castagne,be BEL,DF,MF,1995
Leandro Castán,br BRA,DF,,1986
Dani Castellano,es ESP,DF,,1987
Javi Castellano,es ESP,MF,,1987
Samu Castillejo,es ESP,MF,FW,1995
Chory Castro,uy URU,MF,FW,1984
Gonzalo Castro,de GER,MF,,1987
Jonny Castro,es ESP,DF,,1994
Lucas Castro,ar ARG,MF,,1989
Rubén Castro,es ESP,FW,,1981
Danilo Cataldi,it ITA,MF,,1994
Craig Cathcart,nir NIR,DF,,1989
Edinson Cavani,uy URU,FW,,1987
Marijan Ćavar,ba BIH,FW,MF,1998
Dani Ceballos,es ESP,MF,FW,1996
Federico Ceccherini,it ITA,DF,,1992
Emanuel Cecchini,ar ARG,MF,DF,1996
Ricardo Centurión,ar ARG,MF,FW,1993
Luca Ceppitelli,it ITA,DF,,1989
Fabio Ceravolo,it ITA,FW,,1987
Alessio Cerci,it ITA,FW,MF,1987
Boštjan Cesar,si SVN,DF,,1982
Damir Ceter,co COL,FW,MF,1997
Nacer Chadli,be BEL,FW,MF,1989
Fouad Chafik,ma MAR,DF,,1986
Nathaniel Chalobah,eng ENG,MF,,1994
Calum Chambers,eng ENG,DF,,1995
Timothy Chandler,us USA,DF,MF,1990
Kwon Chang-hoon,kr KOR,FW,MF,1994
Charles,br BRA,FW,,1984
Charly Charrier,fr FRA,MF,,1986
Pape Cheikh Diop,sn SEN,MF,,1997
Chema,es ESP,DF,,1992
Denis Cheryshev,ru RUS,MF,FW,1990
Raman Chibsah,gh GHA,MF,,1993
Giorgio Chiellini,it ITA,DF,,1984
Federico Chiesa,it ITA,FW,MF,1997
Ben Chilwell,eng ENG,DF,,1996
Vlad Chiricheș,ro ROU,DF,,1989
Hamza Choudhury,eng ENG,MF,,1997
Andreas Christensen,dk DEN,DF,,1996
Chuca,es ESP,MF,,1997
Lee Chung-yong,kr KOR,FW,,1988
Amato Ciciretti,it ITA,MF,FW,1993
Cifu,es ESP,DF,,1990
Luca Cigarini,it ITA,MF,,1986
Per Ciljan Skjelbred,no NOR,MF,,1987
Thiago Cionek,pl POL,DF,,1986
Saliou Ciss,sn SEN,DF,FW,1989
Karamoko Cissé,gn GUI,FW,DF,1988
Issa Cissokho,sn SEN,DF,,1985
Ciaran Clark,ie IRL,DF,,1989
Christian Clemens,de GER,MF,FW,1991
Tom Cleverley,eng ENG,MF,,1989
Sam Clucas,eng ENG,MF,FW,1990
Nathaniel Clyne,eng ENG,DF,MF,1991
Marcus Coco,fr FRA,FW,MF,1996
Massimo Coda,it ITA,FW,,1988
Isaac Cofie,gh GHA,MF,,1991
Renaud Cohade,fr FRA,MF,,1984
Coke,es ESP,DF,,1987
Coke,es ESP,MF,,1987
Emre Çolak,tr TUR,MF,FW,1991
Séamus Coleman,ie IRL,DF,,1988
James Collins,wal WAL,DF,,1983
Racine Coly,sn SEN,DF,,1995
Kingsley Coman,fr FRA,FW,MF,1996
Marvin Compper,de GER,DF,,1985
Alois Confais,fr FRA,MF,,1996
Daniel Congré,fr FRA,DF,,1985
Diego Contento,de GER,DF,FW,1990
Andrea Conti,it ITA,DF,,1994
Lewis Cook,eng ENG,MF,,1997
Steve Cook,eng ENG,DF,,1991
Duje Čop,hr CRO,FW,,1990
Francis Coquelin,fr FRA,MF,DF,1991
Francis Coquelin,fr FRA,MF,DF,1991
Sébastien Corchia,fr FRA,DF,,1990
Iñigo Córdoba,es ESP,FW,MF,1997
Jhon Córdoba,co COL,FW,,1993
Sergio Córdova,ve VEN,FW,MF,1997
Jérémy Cordoval,GPE,DF,,1990
Benjamin Corgnet,fr FRA,MF,FW,1987
Jack Cork,eng ENG,MF,,1989
Andreas Cornelius,dk DEN,FW,,1993
Maxwel Cornet,ci CIV,FW,MF,1996
Quentin Cornette,fr FRA,FW,MF,1994
Ángel Correa,ar ARG,FW,MF,1995
Joaquín Correa,ar ARG,FW,MF,1994
Andrea Cossu,it ITA,MF,FW,1980
Andrea Costa,it ITA,DF,,1986
Danny da Costa,de GER,DF,,1993
Diego Costa,es ESP,FW,,1988
Douglas Costa,br BRA,FW,MF,1990
Filippo Costa,it ITA,DF,MF,1995
Jaume Costa,es ESP,DF,,1988
Nuno da Costa,cv CPV,FW,MF,1991
Kalifa Coulibaly,ml MLI,FW,,1991
Lassana Coulibaly,ml MLI,MF,,1996
Philippe Coutinho,br BRA,FW,MF,1992
Philippe Coutinho,br BRA,MF,FW,1992
Nicolas Cozza,fr FRA,DF,MF,1999
Martin Cranie,eng ENG,DF,MF,1986
Michele Cremonesi,it ITA,DF,,1988
Aaron Cresswell,eng ENG,DF,,1989
Lorenzo Crisetig,it ITA,MF,,1993
Bryan Cristante,it ITA,MF,FW,1995
Sebastián Cristóforo,uy URU,MF,,1993
Enzo Crivelli,fr FRA,FW,,1995
Enzo Crivelli,fr FRA,FW,,1995
Giovanni Crociata,it ITA,FW,MF,1997
Peter Crouch,eng ENG,FW,,1981
Juan Cuadrado,co COL,FW,MF,1988
Mickaël Cuisance,fr FRA,MF,FW,1999
Josh Cullen,ie IRL,FW,MF,1996
Patrick Cutrone,it ITA,FW,,1998
Wylan Cyprien,fr FRA,MF,,1995
Marco D'Alessandro,it ITA,MF,FW,1991
Danilo D'Ambrosio,it ITA,DF,,1988
Damien Da Silva,fr FRA,DF,,1988
Kouadio-Yves Dabila,ci CIV,DF,,1997
Bryan Dabo,bf BFA,MF,,1992
Bryan Dabo,bf BFA,MF,FW,1992
Mahmoud Dahoud,de GER,MF,,1996
Dario Dainelli,it ITA,DF,,1979
Felipe dal Belo,br BRA,DF,,1984
Charlie Daniels,eng ENG,DF,MF,1986
Danilo,br BRA,DF,,1991
Scott Dann,eng ENG,DF,,1987
Kevin Danso,at AUT,DF,,1998
Dante,br BRA,DF,,1983
Romain Danzé,fr FRA,DF,,1986
Andrea Danzi,it ITA,MF,,1999
Stéphane Darbion,fr FRA,FW,MF,1984
Palkó Dárdai,hu HUN,FW,,1999
Sergi Darder,es ESP,MF,,1993
Sergi Darder,es ESP,MF,,1993
Vladimír Darida,cz CZE,MF,,1990
Matteo Darmian,it ITA,DF,,1989
Ben Davies,wal WAL,DF,,1993
Tom Davies,eng ENG,MF,,1998
Steven Davis,nir NIR,MF,,1985
Salem Al-Dawsari,sa KSA,MF,,1991
Craig Dawson,eng ENG,DF,,1990
Kevin De Bruyne,be BEL,MF,,1991
Sebastien De Maio,fr FRA,DF,,1987
Rodrigo De Paul,ar ARG,MF,FW,1994
Daniele De Rossi,it ITA,MF,,1983
Mattia De Sciglio,it ITA,DF,,1992
Lorenzo De Silvestri,it ITA,DF,MF,1988
Lucas Deaux,fr FRA,MF,,1988
Mathieu Debuchy,fr FRA,DF,,1985
Troy Deeney,eng ENG,FW,,1988
Jermain Defoe,eng ENG,FW,,1982
Steven Defour,be BEL,MF,,1988
Grégoire Defrel,mq MTQ,FW,MF,1991
Alessandro Deiola,it ITA,MF,,1995
Lorenzo Del Pinto,it ITA,MF,,1990
Damien Delaney,ie IRL,DF,,1981
Thomas Delaney,dk DEN,MF,,1991
Jonathan Delaplace,fr FRA,MF,,1986
Cristian Dell'Orco,it ITA,DF,,1994
Andy Delort,dz ALG,FW,,1991
Fabian Delph,eng ENG,DF,,1989
Mousa Dembélé,be BEL,MF,,1987
Ousmane Dembélé,fr FRA,FW,MF,1997
Jessy Deminguet,fr FRA,MF,FW,1998
Kerem Demirbay,de GER,MF,,1993
Ermedin Demirović,ba BIH,FW,,1998
Diego Demme,de GER,MF,,1991
Fabio Depaoli,it ITA,MF,DF,1997
Memphis Depay,nl NED,FW,MF,1994
Mathieu Deplagne,fr FRA,DF,,1991
Laurent Depoitre,be BEL,FW,,1988
Mike van der Hoorn,nl NED,DF,,1992
Gregory van der Wiel,nl NED,DF,,1988
Daniele Dessena,it ITA,MF,DF,1987
Mattia Destro,it ITA,FW,,1991
Gerard Deulofeu,es ESP,MF,FW,1994
Gerard Deulofeu,es ESP,FW,MF,1994
Gianluca Di Chiara,it ITA,DF,,1993
Federico Di Francesco,it ITA,FW,DF,1994
Davide Di Gennaro,it ITA,MF,,1988
Ángel Di María,ar ARG,FW,,1988
Franco Di Santo,ar ARG,FW,MF,1989
Cheick Diabaté,ml MLI,FW,MF,1988
Fousseni Diabaté,ml MLI,MF,FW,1995
Moussa Diaby,fr FRA,MF,,1999
Fallou Diagne,sn SEN,DF,MF,1989
Adama Diakhaby,fr FRA,FW,MF,1996
Mouctar Diakhaby,fr FRA,DF,,1996
Abdou Diallo,sn SEN,DF,,1996
Habib Diallo,sn SEN,FW,,1995
Mustapha Diallo,sn SEN,MF,,1986
Mohamed Diamé,sn SEN,MF,,1987
Lassana Diarra,fr FRA,MF,,1985
Amadou Diawara,gn GUI,MF,,1997
Brahim Díaz,es ESP,FW,MF,1999
