Player,Nation,Pos,Secondary_Pos,Born
Mustapha Diallo,sn SEN,MF,,1986
Sadio Diallo,gn GUI,MF,FW,1990
Alessandro Diamanti,it ITA,FW,MF,1983
Alou Diarra,fr FRA,MF,,1981
Lassana Diarra,fr FRA,MF,,1985
Amadou Diawara,gn GUI,MF,,1997
Marcelo Díaz,cl CHI,MF,,1986
Víctor Díaz,es ESP,DF,,1988
Daniel Didavi,de GER,MF,,1990
Étienne Didot,fr FRA,MF,,1983
Famara Diedhiou,sn SEN,FW,,1992
Dennis Diekmeier,de GER,DF,,1989
Eric Dier,eng ENG,DF,MF,1994
Didier Digard,fr FRA,MF,,1986
Lucas Digne,fr FRA,DF,,1993
Virgil van Dijk,nl NED,DF,,1991
Kevin Diks,nl NED,DF,,1996
Federico Dimarco,it ITA,DF,,1997
Adama Diomande,no NOR,FW,MF,1990
Ismaël Diomandé,ci CIV,MF,DF,1992
Lois Diony,fr FRA,FW,,1992
Issa Diop,fr FRA,DF,,1997
Papakouli Diop,sn SEN,MF,,1986
Assane Dioussé,sn SEN,MF,,1997
Nabil Dirar,ma MAR,MF,DF,1986
Koffi Djidji,ci CIV,DF,MF,1992
Alexander Djiku,gh GHA,DF,,1994
Papy Djilobodji,sn SEN,DF,,1988
Johan Djourou,ch SUI,DF,,1987
Dodô,br BRA,DF,,1992
Keagan Dolly,za RSA,MF,,1993
Giulio Donati,it ITA,DF,,1990
Ji Dong-won,kr KOR,FW,MF,1991
Anastasios Donis,gr GRE,FW,MF,1996
Ryan Donk,sr SUR,MF,DF,1986
Godfred Donsah,gh GHA,MF,,1996
Férébory Doré,cg CGO,FW,,1989
Dória,br BRA,DF,,1994
Gabriel Dos Santos,br BRA,DF,,1997
Jonathan dos Santos,mx MEX,MF,,1990
Mauro dos Santos,ar ARG,DF,,1989
Bas Dost,nl NED,FW,,1989
Abdoulaye Doucouré,fr FRA,MF,,1993
Douglas,br BRA,DF,MF,1990
Cheick Doukouré,ci CIV,MF,,1992
Tongo Doumbia,ml MLI,MF,,1989
Stewart Downing,eng ENG,MF,FW,1984
Aleksandar Dragović,at AUT,DF,,1991
Boukary Dramé,sn SEN,MF,DF,1985
Julian Draxler,de GER,FW,,1993
Julian Draxler,de GER,MF,FW,1993
Danny Drinkwater,eng ENG,MF,,1990
Josip Drmić,ch SUI,FW,,1992
Óscar Duarte,cr CRC,DF,,1989
Rubén Duarte,es ESP,DF,,1995
Leo Dubois,fr FRA,DF,,1994
Duda,pt POR,MF,,1980
Ondrej Duda,sk SVK,FW,MF,1994
Alfred Duncan,gh GHA,MF,,1993
Erik Durm,de GER,MF,DF,1992
Jimmy Durmaz,se SWE,MF,,1989
Riza Durmisi,dk DEN,DF,,1994
Noë Dussenne,be BEL,DF,,1992
Paulo Dybala,ar ARG,MF,FW,1993
Nathan Dyer,eng ENG,MF,FW,1987
Edin Džeko,ba BIH,FW,,1986
Blerim Džemaili,ch SUI,MF,,1986
Elderson Echiéjilé,ng NGA,DF,,1988
Edenílson,br BRA,MF,FW,1989
Éder,pt POR,FW,,1987
Éder,it ITA,FW,MF,1986
Odsonne Édouard,fr FRA,FW,MF,1998
Maximilian Eggestein,de GER,MF,,1996
Ovie Ejaria,eng ENG,MF,,1997
Albin Ekdal,se SWE,MF,DF,1989
Omar Elabdellaoui,no NOR,DF,MF,1991
Andrew Eleftheriou,eng ENG,DF,,1997
Ahmed Elmohamady,eg EGY,DF,MF,1987
Mohamed Elneny,eg EGY,MF,,1992
Aritz Elustondo,es ESP,DF,,1994
Gorka Elustondo,es ESP,DF,,1987
Nico Elvedi,ch SUI,DF,,1996
Rodrigo Ely,br BRA,DF,,1993
Breel Embolo,ch SUI,FW,MF,1997
Youssef En-Nesyri,ma MAR,FW,,1997
Sergi Enrich,es ESP,FW,,1990
Juanan Entrena,es ESP,MF,,1996
Mirko Eramo,it ITA,MF,,1989
Kermit Erasmus,za RSA,FW,,1990
Javier Eraso,es ESP,MF,,1990
Mevlüt Erdinç,tr TUR,FW,,1987
Christian Eriksen,dk DEN,MF,,1992
Gonzalo Escalante,ar ARG,MF,,1993
Sergio Escudero,es ESP,DF,MF,1989
Bernardo Espinosa,co COL,DF,,1989
Cristian Espinoza,ar ARG,MF,,1995
Alexander Esswein,de GER,MF,,1990
Pervis Estupiñán,ec ECU,DF,,1998
Beñat Etxebarria,es ESP,MF,,1987
Xabier Etxeita,es ESP,DF,,1987
Lucas Evangelista,br BRA,MF,,1995
Jonny Evans,nir NIR,DF,,1988
Patrice Evra,fr FRA,DF,,1981
Patrice Evra,fr FRA,DF,MF,1981
Ewandro,br BRA,FW,MF,1996
Edu Expósito,es ESP,MF,,1996
Erik Expósito,es ESP,FW,,1996
Valentin Eysseric,fr FRA,FW,MF,1992
Marco Fabián,mx MEX,MF,FW,1989
Fabinho,br BRA,MF,,1993
Fábio,br BRA,DF,,1990
Cesc Fàbregas,es ESP,MF,,1987
Fayçal Fajr,ma MAR,MF,,1988
Radamel Falcao,co COL,FW,,1986
Diego Falcinelli,it ITA,FW,,1991
Diego Falcinelli,it ITA,FW,,1991
Simon Falette,gn GUI,DF,,1992
Iago Falque,es ESP,FW,MF,1990
Rod Fanni,fr FRA,DF,,1981
Paolo Faragò,it ITA,MF,,1993
Davide Faraoni,it ITA,DF,,1991
Diego Farias,br BRA,MF,FW,1990
Federico Fazio,ar ARG,DF,,1987
Nicolò Fazzi,it ITA,DF,MF,1995
Zouhair Feddal,ma MAR,DF,,1989
Artem Fedetskyi,ua UKR,DF,,1985
Sofiane Feghouli,dz ALG,MF,FW,1989
Nabil Fekir,fr FRA,MF,FW,1993
Marouane Fellaini,be BEL,MF,,1987
Kiko Femenía,es ESP,DF,,1991
Leroy Fer,nl NED,MF,,1990
Julien Féret,fr FRA,MF,,1982
Bruno Fernandes,pt POR,MF,,1994
Edimilson Fernandes,ch SUI,MF,,1996
Gelson Fernandes,ch SUI,MF,,1986
Augusto Fernández,ar ARG,MF,,1986
Carlos Fernández,es ESP,FW,,1996
Federico Fernández,ar ARG,DF,,1989
Matías Fernández,cl CHI,MF,,1986
Pablo Fernández,es ESP,MF,,1996
Fernandinho,br BRA,MF,DF,1985
Fernando,br BRA,MF,DF,1987
Alex Ferrari,it ITA,DF,,1994
Jordan Ferri,fr FRA,MF,,1992
Markus Feulner,de GER,MF,,1982
Riccardo Fiamozzi,it ITA,MF,,1993
Sam Field,eng ENG,MF,,1998
Afonso Figueiredo,pt POR,DF,,1993
Alfreð Finnbogason,is ISL,FW,,1989
Roberto Firmino,br BRA,FW,,1991
Viktor Fischer,dk DEN,FW,MF,1994
Mathieu Flamini,fr FRA,MF,,1984
Jon Flanagan,eng ENG,DF,,1993
Javier Flaño,es ESP,DF,,1984
Miguel Flaño,es ESP,DF,,1984
Ashley Fletcher,eng ENG,FW,,1995
Darren Fletcher,sco SCO,MF,,1984
Sergio Floccari,it ITA,FW,,1981
Alessandro Florenzi,it ITA,DF,MF,1991
Antonio Floro Flores,it ITA,FW,,1983
Moryké Fofana,ci CIV,MF,,1991
Seko Fofana,ci CIV,MF,,1995
Jonas Föhrenbach,de GER,DF,,1996
Michael Folivi,eng ENG,FW,,1998
Andreu Fontàs,es ESP,DF,,1989
José Fonte,pt POR,DF,,1983
José Fonte,pt POR,DF,,1983
Pablo Fornals,es ESP,MF,,1996
Michele Fornasier,it ITA,DF,,1993
Emil Forsberg,se SWE,MF,FW,1991
Adam Forshaw,eng ENG,MF,,1991
Timothy Fosu-Mensah,nl NED,DF,,1998
Dimitri Foulquier,fr FRA,DF,,1993
Raphael Framberger,de GER,MF,DF,1995
Simon Francis,eng ENG,DF,,1985
Mike Frantz,de GER,MF,,1986
Ryan Fraser,sco SCO,MF,,1994
Fabian Frei,ch SUI,MF,,1989
Remo Freuler,ch SUI,MF,,1992
Nicolas Frey,fr FRA,DF,,1984
George Friend,eng ENG,DF,,1987
Clemens Fritz,de GER,MF,,1980
Lukas Fröde,de GER,MF,,1995
Zeki Fryers,eng ENG,DF,,1992
Christian Fuchs,at AUT,DF,,1986
Javi Fuego,es ESP,MF,,1984
Jay Fulton,sco SCO,MF,,1994
Ramiro Funes Mori,ar ARG,DF,,1991
Manolo Gabbiadini,it ITA,FW,,1991
Manolo Gabbiadini,it ITA,FW,,1991
Gabi,es ESP,MF,,1983
Gabriel,br BRA,MF,FW,1993
Mijat Gaćinović,rs SRB,MF,FW,1995
Roberto Gagliardini,it ITA,MF,,1994
Roberto Gagliardini,it ITA,MF,,1994
Nicolás Gaitán,ar ARG,MF,,1988
Milan Gajić,rs SRB,DF,,1996
Serge Gakpé,tg TOG,FW,,1987
Serge Gakpé,tg TOG,FW,,1987
Brendan Galloway,eng ENG,DF,,1996
Álex Gálvez,es ESP,DF,,1989
Bruno Gama,pt POR,MF,,1987
Alessandro Gamberini,it ITA,DF,,1981
Kévin Gameiro,fr FRA,FW,,1987
Idrissa Gana Gueye,sn SEN,MF,,1989
Ganso,br BRA,MF,,1989
Ezequiel Garay,ar ARG,DF,,1986
Aleix García,es ESP,MF,,1997
Dani García,es ESP,MF,,1990
David García,es ESP,DF,,1982
David García,es ESP,DF,,1994
Imanol García,es ESP,MF,DF,1995
Manu García,es ESP,MF,,1986
Mateo García,ar ARG,FW,MF,1996
Raúl García,es ESP,MF,,1986
Raúl García,es ESP,DF,,1989
Samu García,es ESP,MF,,1990
Santiago García,ar ARG,DF,MF,1988
Ulisses Garcia,ch SUI,DF,MF,1996
Unai García,es ESP,DF,,1992
Craig Gardner,eng ENG,MF,,1986
Jordy Gaspar,fr FRA,MF,DF,1997
Mario Gaspar,es ESP,DF,,1990
Daniele Gastaldello,it ITA,DF,,1983
Johan Gastien,fr FRA,MF,,1988
Jon Gaztañaga,es ESP,DF,MF,1991
Alessandro Gazzi,it ITA,MF,,1983
Marcello Gazzola,it ITA,DF,,1985
Jean-Philippe Gbamin,ci CIV,MF,,1995
Theodor Gebre Selassie,cz CZE,DF,MF,1986
Johannes Geis,de GER,MF,,1993
Romain Genevois,ht HAI,DF,,1987
Santiago Gentiletti,ar ARG,DF,,1985
Yannick Gerhardt,de GER,MF,DF,1994
Valère Germain,fr FRA,FW,,1990
Gerson,br BRA,MF,,1997
Rudy Gestede,bj BEN,FW,,1988
Anwar El Ghazi,nl NED,MF,FW,1995
Lamine Ghezali,fr FRA,MF,,1999
Rachid Ghezzal,dz ALG,MF,FW,1992
Faouzi Ghoulam,dz ALG,DF,,1991
Emanuele Giaccherini,it ITA,FW,,1985
Niccolò Giannetti,it ITA,FW,,1991
Kieran Gibbs,eng ENG,MF,DF,1989
Ben Gibson,eng ENG,DF,,1993
Darron Gibson,ie IRL,MF,,1987
Carles Gil,es ESP,MF,,1992
Nacho Gil,es ESP,MF,,1995
Alberto Gilardino,it ITA,FW,,1982
Alberto Gilardino,it ITA,FW,,1982
Guillaume Gillet,be BEL,MF,,1984
Matthias Ginter,de GER,DF,,1994
Thibault Giresse,fr FRA,MF,,1981
Olivier Giroud,fr FRA,FW,,1986
Kamil Glik,pl POL,DF,,1988
Serge Gnabry,de GER,MF,FW,1995
Joris Gnagnon,fr FRA,DF,,1997
Eddy Gnahoré,fr FRA,MF,,1993
Assane Gnoukouri,ci CIV,MF,,1996
Massimo Gobbi,it ITA,DF,,1980
Diego Godín,uy URU,DF,,1986
Evandro Goebel,br BRA,MF,,1986
Edoardo Goldaniga,it ITA,DF,,1993
André Gomes,pt POR,MF,,1993
Angel Gomes,eng ENG,MF,,2000
Gustavo Gómez,py PAR,DF,,1993
Ibai Gómez,es ESP,MF,,1989
Mario Gómez,de GER,FW,,1985
Moi Gómez,es ESP,MF,,1994
Papu Gómez,ar ARG,FW,MF,1988
Sergi Gómez,es ESP,DF,,1992
Vicente Gómez,es ESP,MF,,1988
Bafétimbi Gomis,fr FRA,FW,,1985
Maxime Gonalons,fr FRA,MF,,1989
Jérôme Gondorf,de GER,MF,,1988
Adrián González,es ESP,MF,,1988
Álvaro González,es ESP,DF,,1990
Álvaro González,es ESP,DF,,1990
Bruno González,es ESP,DF,,1990
Diego González,es ESP,DF,,1995
Giancarlo González,cr CRC,DF,,1988
Mario González,es ESP,FW,,1996
Mikel González,es ESP,DF,,1985
Lynden Gooch,us USA,MF,,1995
Leon Goretzka,de GER,MF,,1995
Benjamin Gorka,de GER,DF,,1984
Dan Gosling,eng ENG,MF,,1990
Ashton Götz,de GER,DF,,1993
Mario Götze,de GER,MF,,1992
Yoann Gourcuff,fr FRA,MF,FW,1986
Jeffrey Gouweleeuw,nl NED,DF,,1991
Lewis Grabban,eng ENG,FW,MF,1988
Max Gradel,ci CIV,FW,MF,1987
Esteban Granero,es ESP,MF,,1987
Alberto Grassi,it ITA,MF,,1995
Andre Gray,jm JAM,FW,,1991
Demarai Gray,eng ENG,MF,FW,1996
Michael Gregoritsch,at AUT,MF,FW,1994
Clément Grenier,fr FRA,MF,,1991
Clément Grenier,fr FRA,MF,,1991
Antoine Griezmann,fr FRA,FW,,1991
Vincenzo Grifo,it ITA,MF,,1993
Florian Grillitsch,at AUT,MF,,1995
Pascal Groß,de GER,MF,,1991
Kamil Grosicki,pl POL,MF,,1988
Kamil Grosicki,pl POL,MF,,1988
Marko Grujić,rs SRB,MF,,1996
Karim Guédé,sk SVK,FW,,1985
Gonçalo Guedes,pt POR,FW,,1996
Adlène Guedioura,dz ALG,MF,,1985
Adlène Guedioura,dz ALG,MF,,1985
Mattéo Guendouzi,fr FRA,MF,,1999
Raphaël Guerreiro,pt POR,MF,,1993
John Guidetti,se SWE,FW,,1992
Diallo Guidileye,mr MTN,MF,,1989
Josuha Guilavogui,fr FRA,MF,,1990
Frederic Guilbert,fr FRA,DF,,1994
Frederic Guilbert,fr FRA,DF,MF,1994
Guilherme,br BRA,MF,,1991
Sehrou Guirassy,fr FRA,FW,,1996
Manuel Gulde,de GER,DF,,1991
İlkay Gündoğan,de GER,MF,,1990
Christian Günter,de GER,DF,MF,1993
Julian Günther-Schmidt,de GER,FW,MF,1994
Jon Guridi,es ESP,MF,,1995
Samuel Gustafson,se SWE,MF,,1995
Luiz Gustavo,br BRA,MF,DF,1987
Felipe Gutiérrez,cl CHI,MF,,1990
Leon Guwara,de GER,DF,,1996
Jonathan de Guzmán,nl NED,MF,,1987
Norbert Gyömbér,sk SVK,DF,,1992
Janik Haberer,de GER,FW,MF,1994
Alexander Hack,de GER,DF,,1993
Munir El Haddadi,ma MAR,FW,MF,1995
Munir El Haddadi,ma MAR,FW,MF,1995
Oussama Haddadi,tn TUN,DF,,1992
Florent Hadergjonaj,xk KVX,MF,DF,1994
Youssouf Hadji,ma MAR,FW,,1980
Ianis Hagi,ro ROU,FW,MF,1998
André Hahn,de GER,FW,MF,1990
Izet Hajrović,ba BIH,MF,,1991
Alen Halilović,hr CRO,MF,,1996
Alen Halilović,hr CRO,MF,FW,1996
Emil Hallfreðsson,is ISL,MF,,1984
Marcel Halstenberg,de GER,DF,,1991
Pierre-Yves Hamel,fr FRA,FW,,1994
Romain Hamouma,fr FRA,MF,FW,1987
Marek Hamšík,sk SVK,MF,,1987
Hendrik Hansen,de GER,DF,,1994
Genki Haraguchi,jp JPN,MF,,1991
Amine Harit,ma MAR,MF,,1997
Josh Harrop,eng ENG,FW,,1995
Marcel Hartel,de GER,MF,,1996
Moritz Hartmann,de GER,MF,FW,1986
Makoto Hasebe,jp JPN,MF,DF,1984
Hans Hateboer,nl NED,MF,,1994
Kai Havertz,de GER,MF,FW,1999
Eden Hazard,be BEL,FW,MF,1991
Thorgan Hazard,be BEL,FW,MF,1993
Jonas Hector,de GER,MF,DF,1990
Michael Hector,jm JAM,DF,,1992
Jens Hegeler,de GER,DF,,1988
Gauthier Hein,fr FRA,MF,,1996
Dominique Heintz,de GER,DF,,1993
Filip Helander,se SWE,DF,,1993
Marcel Heller,de GER,MF,,1986
Jordan Henderson,eng ENG,MF,,1990
Jeff Hendrick,ie IRL,MF,,1992
Benjamin Henrichs,de GER,DF,,1997
Markus Henriksen,no NOR,MF,,1992
Bruno Henrique,br BRA,MF,,1990
Bruno Henrique,br BRA,MF,,1989
Dalbert Henrique,br BRA,DF,MF,1993
Pedro Henrique,br BRA,MF,,1990
Uche Henry Agbo,ng NGA,MF,,1995
Hernán,es ESP,MF,,1990
Abel Hernández,uy URU,FW,,1990
Héctor Hernández,es ESP,DF,,1991
Héctor Hernández,es ESP,DF,MF,1991
Javier Hernández,mx MEX,FW,,1988
Lucas Hernández,fr FRA,DF,,1996
Luis Hernández,es ESP,DF,,1989
Luis Hernández,es ESP,DF,,1989
Pablo Hernández,cl CHI,MF,,1986
Theo Hernández,fr FRA,DF,,1997
Hernanes,br BRA,MF,,1985
Ander Herrera,es ESP,MF,,1989
Patrick Herrmann,de GER,MF,,1991
Përparim Hetemaj,fi FIN,MF,,1986
Son Heung-min,kr KOR,MF,FW,1992
Thomas Heurtaux,fr FRA,DF,,1988
Gonzalo Higuaín,ar ARG,FW,,1987
Roberto Hilbert,de GER,DF,,1984
Oscar Hiljemark,se SWE,MF,,1992
Oscar Hiljemark,se SWE,MF,,1992
Vitorino Hilton,br BRA,DF,,1977
Martin Hinteregger,at AUT,DF,,1992
Lukas Hinterseer,at AUT,FW,MF,1991
Andrew Hjulsager,dk DEN,MF,,1995
Wesley Hoedt,nl NED,DF,,1994
Nicolas Höfler,de GER,MF,DF,1990
Jonas Hofmann,de GER,MF,FW,1992
Marco Höger,de GER,MF,,1989
Immanuel Höhn,de GER,DF,,1991
Rob Holding,eng ENG,DF,,1995
José Holebas,gr GRE,DF,MF,1984
Mason Holgate,eng ENG,DF,,1996
Fabian Holland,de GER,DF,,1990
Lewis Holtby,de GER,MF,,1990
Gerrit Holtmann,de GER,MF,,1995
Keisuke Honda,jp JPN,FW,,1986
George Honeyman,eng ENG,MF,,1994
Martin Hongla,cm CMR,DF,MF,1998
Jannes Horn,de GER,DF,MF,1997
Benedikt Höwedes,de GER,DF,,1988
Branimir Hrgota,se SWE,FW,,1993
Benjamin Hübner,de GER,DF,,1989
Tomáš Hubočan,sk SVK,DF,,1985
Tom Huddlestone,eng ENG,MF,,1986
Mats Hummels,de GER,DF,,1988
Adrien Hunou,fr FRA,MF,,1994
Aaron Hunt,de GER,MF,,1986
Klaas-Jan Huntelaar,nl NED,FW,,1983
James Husband,eng ENG,DF,,1994
Szabolcs Huszti,hu HUN,MF,,1983
Robert Huth,de GER,DF,,1984
Elseid Hysaj,al ALB,DF,,1994
Pierre Højbjerg,dk DEN,MF,,1995
Robert Ibáñez,es ESP,MF,,1993
Víctor Ibarbo,co COL,FW,MF,1990
Jordon Ibe,eng ENG,MF,FW,1995
Vedad Ibišević,ba BIH,FW,,1984
Vicente Iborra,es ESP,MF,,1988
Didier Ibrahim Ndong,ga GAB,MF,,1994
Didier Ibrahim Ndong,ga GAB,MF,,1994
Zlatan Ibrahimović,se SWE,FW,,1981
Mauro Icardi,ar ARG,FW,,1993
Pietro Iemmello,it ITA,FW,,1992
Odion Ighalo,ng NGA,FW,,1989
Aleksandar Ignjovski,rs SRB,DF,MF,1991
Kelechi Iheanacho,ng NGA,FW,,1996
Jordan Ikoko,cd COD,DF,,1994
Jonathan Ikone,fr FRA,MF,FW,1998
Jonathan Ikone,fr FRA,MF,FW,1998
Josip Iličić,si SVN,MF,FW,1988
Asier Illarramendi,es ESP,MF,,1990
Jules Iloki,fr FRA,MF,FW,1992
Stefan Ilsanker,at AUT,MF,DF,1989
Giannelli Imbula,cd COD,MF,,1992
Ciro Immobile,it ITA,FW,,1990
Emmanuel Imorou,bj BEN,DF,,1988
Sverrir Ingi Ingason,is ISL,DF,,1993
Roberto Inglese,it ITA,FW,,1991
Andrés Iniesta,es ESP,MF,,1984
Lorenzo Insigne,it ITA,FW,,1991
Pablo Insua,es ESP,DF,,1993
Takashi Inui,jp JPN,MF,,1988
Artur Ioniță,md MDA,MF,,1990
Isco,es ESP,MF,FW,1992
Mauricio Isla,cl CHI,DF,MF,1988
Juan Iturbe,py PAR,FW,MF,1993
Juan Iturbe,py PAR,MF,FW,1993
Ander Iturraspe,es ESP,MF,,1989
Branislav Ivanović,rs SRB,DF,,1984
Alex Iwobi,ng NGA,MF,,1996
Armando Izzo,it ITA,DF,,1992
Koo Ja-cheol,kr KOR,MF,,1989
Phil Jagielka,eng ENG,DF,,1982
Mato Jajalo,ba BIH,MF,,1988
Arnel Jakupović,at AUT,FW,,1998
Christophe Jallet,fr FRA,DF,,1983
Lamin Jallow,gm GAM,FW,,1994
Matty James,eng ENG,MF,,1991
Vasilije Janjicic,ch SUI,MF,,1998
Christoph Janker,de GER,DF,,1985
Jakub Jankto,cz CZE,MF,,1996
Daryl Janmaat,nl NED,MF,DF,1989
Vincent Janssen,nl NED,FW,,1994
Tony Jantschke,de GER,DF,MF,1990
Adnan Januzaj,be BEL,MF,FW,1995
Nicolas Janvier,fr FRA,MF,,1998
Bakery Jatta,gm GAM,MF,,1998
Corentin Jean,fr FRA,FW,,1995
Corentin Jean,fr FRA,MF,,1995
Benjamin Jeannot,fr FRA,FW,,1992
Mile Jedinak,au AUS,MF,,1984
Tin Jedvaj,hr CRO,DF,,1995
Jemerson,br BRA,DF,,1992
Carl Jenkinson,eng ENG,DF,,1992
Jesé,es ESP,FW,,1993
Jesé,es ESP,MF,FW,1993
Gabriel Jesus,br BRA,FW,MF,1997
Juan Jesus,br BRA,DF,,1991
Joaquín,es ESP,FW,MF,1981
Aron Jóhannsson,us USA,FW,,1990
Ola John,nl NED,MF,FW,1992
Fabian Johnson,us USA,MF,FW,1987
Glen Johnson,eng ENG,DF,,1984
Miloš Jojić,rs SRB,MF,,1992
Billy Jones,eng ENG,DF,MF,1987
David Jones,eng ENG,MF,,1984
Phil Jones,eng ENG,DF,,1992
Jony,es ESP,MF,,1991
Park Joo-ho,kr KOR,DF,,1987
Jorge,br BRA,DF,,1996
Jorginho,gw GNB,MF,,1995
Jorginho,it ITA,MF,,1991
Willian José,br BRA,FW,,1991
Joselu,es ESP,FW,,1990
Jota,es ESP,MF,,1991
Yann Jouffre,fr FRA,MF,,1984
Vukašin Jovanović,rs SRB,DF,,1996
Stevan Jovetić,me MNE,FW,MF,1989
Stevan Jovetić,me MNE,FW,,1989
Jozabed,es ESP,MF,,1991
Juanfran,es ESP,DF,,1985
Juanfran,es ESP,DF,,1988
Juankar,es ESP,DF,MF,1990
Juanmi,es ESP,FW,MF,1993
Juanpi,ve VEN,MF,FW,1994
Mariano Julio Izco,ar ARG,MF,DF,1983
Christopher Jullien,fr FRA,DF,,1993
David Juncà,es ESP,DF,,1993
Anthony Jung,de GER,MF,DF,1991
Gideon Jung,de GER,MF,DF,1994
Sebastian Jung,de GER,DF,,1990
Florian Jungwirth,de GER,MF,DF,1989
Zlatko Junuzović,at AUT,MF,,1987
Lukas Jutkiewicz,eng ENG,FW,,1989
Christian Kabasele,be BEL,DF,MF,1991
Younès Kaboul,fr FRA,DF,,1986
Younès Kaboul,fr FRA,DF,,1986
Alexander Kačaniklić,se SWE,MF,FW,1991
Gojko Kačar,rs SRB,MF,DF,1987
Omar El Kaddouri,ma MAR,MF,,1990
Omar El Kaddouri,ma MAR,MF,,1990
Julius Kade,de GER,MF,,1999
Pavel Kadeřábek,cz CZE,MF,DF,1992
Shinji Kagawa,jp JPN,MF,,1989
Sullay Kaikai,eng ENG,FW,MF,1995
Florian Kainz,at AUT,MF,,1992
Dominik Kaiser,de GER,MF,,1988
Gaël Kakuta,cd COD,MF,,1991
Nikola Kalinić,hr CRO,FW,,1988
Salomon Kalou,ci CIV,MF,,1985
Aldo Kalulu,fr FRA,FW,,1996
Aldo Kalulu,fr FRA,FW,MF,1996
François Kamano,gn GUI,FW,,1996
Wilson Kamavuaka,cd COD,MF,,1990
Kevin Kampl,si SVN,MF,,1990
Harry Kane,eng ENG,FW,,1993
N'Golo Kanté,fr FRA,MF,,1991
Abdelhamid El Kaoutari,ma MAR,DF,,1990
Yann Karamoh,fr FRA,MF,FW,1998
Benjamin Karamoko,ml MLI,DF,,1995
Grigoris Kastanos,cy CYP,MF,FW,1998
Aleksandar Katai,rs SRB,MF,FW,1991
Moise Kean,it ITA,FW,,2000
Michael Keane,eng ENG,DF,,1993
Will Keane,eng ENG,FW,,1993
Thilo Kehrer,de GER,DF,,1996
Abdoulaye Keita,ml MLI,DF,MF,1994
Naby Keïta,gn GUI,MF,,1995
Keko,es ESP,MF,,1991
Martin Kelly,eng ENG,DF,,1990
Olivier Kemen,fr FRA,MF,,1996
Marc-Oliver Kempf,de GER,DF,,1995
Kenedy,br BRA,MF,,1996
Kenedy,br BRA,FW,MF,1996
Jonjoe Kenny,eng ENG,DF,FW,1997
Christophe Kerbrat,fr FRA,DF,,1986
Franck Kessié,ci CIV,MF,,1996
Billy Ketkeophomphone,fr FRA,FW,MF,1990
Hamidou Keyta,fr FRA,MF,FW,1994
Saîf-Eddine Khaoui,tn TUN,MF,,1995
Wahbi Khazri,tn TUN,MF,FW,1991
Rani Khedira,de GER,MF,,1994
Sami Khedira,de GER,MF,,1987
Isaac Kiese Thelin,se SWE,FW,,1992
Stefan Kießling,de GER,FW,,1984
Michael Kightly,eng ENG,MF,,1986
Kike,es ESP,FW,,1989
Joshua Kimmich,de GER,MF,DF,1995
Presnel Kimpembe,fr FRA,DF,,1995
Andy King,wal WAL,MF,,1988
Joshua King,no NOR,MF,FW,1992
Stephen Kingsley,sco SCO,DF,,1994
Jan Kirchhoff,de GER,MF,,1990
Ricardo Kishna,nl NED,MF,FW,1995
Ricardo Kishna,nl NED,FW,,1995
Sonny Kittel,de GER,MF,FW,1993
Sofian Kiyine,ma MAR,MF,,1997
Hiroshi Kiyotake,jp JPN,MF,FW,1989
Ragnar Klavan,ee EST,DF,,1985
László Kleinheisler,hu HUN,MF,,1994
Lukas Klostermann,de GER,DF,,1996
Lukas Klünter,de GER,DF,,1996
Robin Knoche,de GER,DF,,1992
Kenan Kodro,ba BIH,FW,,1993
Erwin Koffi,fr FRA,DF,,1995
Dominik Kohr,de GER,MF,,1994
Koke,es ESP,MF,,1992
Aleksandar Kolarov,rs SRB,DF,,1985
Sead Kolašinac,ba BIH,MF,DF,1993
Timothée Kolodziejczak,fr FRA,DF,,1991
Timothée Kolodziejczak,fr FRA,DF,,1991
Vincent Kompany,be BEL,DF,,1986
Geoffrey Kondogbia,cf CTA,MF,,1993
Arouna Koné,ci CIV,FW,,1983
Bakary Koné,bf BFA,DF,,1988
Lamine Koné,ci CIV,DF,,1989
Mamadou Koné,ci CIV,FW,,1991
Panagiotis Kone,gr GRE,MF,,1987
Panagiotis Kone,gr GRE,MF,,1987
Youssouf Koné,ml MLI,DF,,1995
Abdoulay Konko,fr FRA,MF,DF,1984
Yevhen Konoplyanka,ua UKR,FW,MF,1989
Julian Korb,de GER,DF,MF,1992
Laurent Koscielny,fr FRA,DF,,1985
Filip Kostić,rs SRB,MF,,1992
Andrej Kotnik,si SVN,MF,,1995
Kalidou Koulibaly,sn SEN,DF,,1991
Anthony Koura,bf BFA,FW,MF,1993
Cheikhou Kouyaté,sn SEN,MF,DF,1989
Mateo Kovačić,hr CRO,MF,,1994
Vincent Koziello,fr FRA,MF,,1995
Emil Krafth,se SWE,DF,,1994
Andrej Kramarić,hr CRO,FW,MF,1991
Christoph Kramer,de GER,MF,,1991
Matías Kranevitter,ar ARG,MF,,1993
Artem Kravets,ua UKR,FW,,1989
Ladislav Krejčí,cz CZE,FW,MF,1992
Rene Krhin,si SVN,MF,,1990
Bojan Krkić,es ESP,MF,FW,1990
Bojan Krkić,es ESP,MF,FW,1990
Michael Krohn-Dehli,dk DEN,MF,FW,1983
Toni Kroos,de GER,MF,,1990
Nenad Krstičić,rs SRB,MF,,1990
