Player,Nation,Pos,Born,Rk,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Geoffrey Jourdren,fr FRA,GK,1986,,,,,,,,,,,,,,,,,,,,,,,
Carlos Kameni,cm CMR,GK,1984,,,,,,,,,,,,,,,,,,,,,,,
Loris Karius,de GER,GK,1993,,,,,,,,,,,,,,,,,,,,,,,
Orestis Karnezis,gr GRE,GK,1985,,,,,,,,,,,,,,,,,,,,,,,
Eiji Kawashima,jp JPN,GK,1983,,,,,,,,,,,,,,,,,,,,,,,
Thomas Kessler,de GER,GK,1986,,,,,,,,,,,,,,,,,,,,,,,
Alban Lafont,fr FRA,GK,1999,,,,,,,,,,,,,,,,,,,,,,,
Eugenio Lamanna,it ITA,GK,1989,,,,,,,,,,,,,,,,,,,,,,,
Jean-Louis Leca,fr FRA,GK,1985,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Lecomte,fr FRA,GK,1991,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,de GER,GK,1992,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Leroy,fr FRA,GK,1989,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Letellier,fr FRA,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Luca Lezzerini,it ITA,GK,1995,,,,,,,,,,,,,,,,,,,,,,,
Heinz Lindner,at AUT,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Raúl Lizoain,es ESP,GK,1991,,,,,,,,,,,,,,,,,,,,,,,
Hugo Lloris,fr FRA,GK,1986,,,,,,,,,,,,,,,,,,,,,,,
Anthony Lopes,pt POR,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Diego López,es ESP,GK,1981,,,,,,,,,,,,,,,,,,,,,,,
Jonas Lössl,dk DEN,GK,1989,,,,,,,,,,,,,,,,,,,,,,,
Andreas Luthe,de GER,GK,1987,,,,,,,,,,,,,,,,,,,,,,,
