Player,Nation,Pos,Squad,Comp,Born,goals_allowed,goals_allowed_per_90,SoTA,Saves,save_percentage,wins,draws,losses,clean_sheet,clean_sheet_percentage,penalties_attempted,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage,season
Diego Benaglio,ch SUI,GK,Wolfsburg,de Bundesliga,1983,22,1.57,63,41,68.3,5.0,1.0,8.0,3,21.4,4.0,2.0,1.0,1.0,33.3,2017
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,1993,1,0.42,6,5,83.3,0.0,2.0,0.0,1,50.0,0.0,0.0,0.0,0.0,,2017
Etrit Berisha,al ALB,GK,Atalanta,it Serie A,1989,26,1.0,77,51,70.1,15.0,7.0,4.0,11,42.3,3.0,3.0,0.0,0.0,0.0,2017
Albano Bizzarri,ar ARG,GK,Pescara,it Serie A,1977,68,2.34,169,101,62.7,1.0,6.0,22.0,2,6.9,5.0,5.0,0.0,0.0,0.0,2017
Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,1995,15,1.36,53,38,81.1,5.0,3.0,3.0,2,18.2,5.0,5.0,0.0,0.0,0.0,2017
Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,1980,63,1.8,176,113,65.3,11.0,9.0,15.0,9,25.7,4.0,2.0,2.0,0.0,50.0,2017
Denys Boyko,ua UKR,GK,Málaga,es La Liga,1988,7,2.33,11,4,36.4,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2017
Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,1983,26,1.19,60,34,56.7,12.0,5.0,5.0,5,22.7,1.0,0.0,1.0,0.0,100.0,2017
Claudio Bravo,cl CHI,GK,Barcelona,es La Liga,1983,2,2.0,5,3,60.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2017
Alberto Brignoli,it ITA,GK,Leganés,es La Liga,1991,3,4.35,6,3,50.0,0.0,0.0,1.0,0,,0.0,0.0,0.0,0.0,,2017
Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,1978,24,0.81,91,67,74.7,22.0,3.0,5.0,12,40.0,1.0,1.0,0.0,0.0,0.0,2017
Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,1990,29,1.07,97,68,72.2,16.0,6.0,5.0,9,33.3,2.0,2.0,0.0,0.0,0.0,2017
Jack Butland,eng ENG,GK,Stoke City,eng Premier League,1993,8,1.6,24,16,66.7,1.0,2.0,2.0,2,40.0,0.0,0.0,0.0,0.0,,2017
Willy Caballero,ar ARG,GK,Manchester City,eng Premier League,1981,13,0.81,45,32,75.6,11.0,4.0,1.0,6,37.5,4.0,2.0,0.0,2.0,0.0,2017
