Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
David Alaba,at AUT,DF,,Bayern Munich,UCL,2019,1992,7,,0,4,2,50,0.57,0.29,0,0,29,3,0,0,0.1,0.1,0.04,-0.1,-0.1,,360,445,80.9,6370,2456,167,183,91.3,147,175,84,42,68,61.8,2,0.6,1.4,7,31,8,1,33,,376,69,4,0,62,8,11,3,0,0,0,271,74,100,300,53,25,62,1,3,11,6,12,,8,1.14,7,1,0,0,0,0,2,0.29,2,0,0,0,0,0,0,,10,8,2,7,1,3,14,21.4,11,76,24,31.6,28,36,12,12,1,0,11,15,25,15,1,,513,24,140,269,130,13,441,2,6,33.3,2,0,321,1530,766,41,12,2,4,8,351,317,90.3,20,,0,0,0,6,0,1,11,15,8,0,0,0,66,6,2,75
Jordi Alba,es ESP,DF,,Barcelona,UCL,2019,1989,11,,1,6,3,50,0.55,0.27,0.17,0.33,15.3,0,0,0,0.6,0.6,0.11,0.4,0.4,,883,1027,86,13846,4783,470,515,91.3,352,400,88,48,84,57.1,5,3,2,22,42,22,9,80,,915,112,9,2,139,7,36,0,0,0,0,734,183,110,771,115,31,103,3,2,8,17,23,,31,2.82,29,1,0,0,0,1,7,0.64,6,0,0,0,0,1,0,,13,8,7,5,1,6,18,33.3,12,143,46,32.2,68,49,26,23,3,0,20,14,27,23,1,,1118,37,262,558,350,36,1007,7,10,70,7,1,796,2938,1715,78,21,5,9,3,896,817,91.2,66,,2,0,0,6,3,2,36,14,8,0,0,0,106,5,1,83.3
Raúl Albiol,es ESP,DF,,Napoli,UCL,2019,1985,5.5,,0,1,1,100,0.18,0.18,0,0,9,0,0,0,0,0,0.03,0,0,,373,416,89.7,8615,2601,98,104,94.2,183,195,93.8,91,115,79.1,0,0,0,0,27,0,0,20,,405,11,10,0,42,21,0,0,0,0,0,300,32,84,52,343,13,1,2,0,8,1,1,,2,0.36,2,0,0,0,0,0,1,0.18,1,0,0,0,0,0,0,,3,3,1,2,0,0,0,,0,28,9,32.1,17,10,1,6,5,0,1,5,8,27,0,,456,55,218,260,4,1,445,0,0,,0,0,338,1395,807,21,2,0,0,0,348,345,99.1,1,,1,0,0,3,4,0,0,5,3,0,0,0,57,8,4,66.7
Paco Alcácer,es ESP,FW,,Dortmund,UCL,2019,1993,4,,1,7,4,57.1,1.77,1.01,0.14,0.25,19.3,0,0,1,2,1.3,0.18,-1,-0.3,,68,94,72.3,944,185,42,56,75,20,28,71.4,4,4,100,1,0.7,0.3,7,3,4,0,6,,88,6,0,1,14,0,1,0,0,0,0,67,14,13,16,70,5,0,0,0,1,2,4,,9,2.28,7,0,1,1,0,0,2,0.51,1,0,1,0,0,0,0,,1,1,0,1,0,0,0,,0,48,13,27.1,1,16,31,4,0,0,4,1,2,0,0,,124,2,5,44,78,15,117,1,2,50,1,0,87,142,36,1,1,1,5,6,151,94,62.3,41,,1,0,0,4,0,5,1,1,1,0,0,0,12,3,1,75
Thiago Alcántara,es ESP,MF,,Bayern Munich,UCL,2019,1991,4.3,,0,4,0,0,0.93,0,0,,24.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,,278,327,85,5819,1269,103,113,91.2,116,130,89.2,56,75,74.7,1,0.4,0.6,8,23,3,0,23,,310,17,11,0,43,24,1,2,0,0,0,228,39,60,24,283,10,0,3,2,7,5,5,,11,2.54,7,1,0,1,1,1,2,0.46,1,0,0,0,1,0,0,,11,9,3,7,1,1,8,12.5,7,105,30,28.6,28,59,18,8,2,0,6,11,22,2,0,,374,9,84,249,75,5,360,3,5,60,3,0,282,1439,813,34,13,2,4,6,292,270,92.5,8,,1,0,0,5,8,0,1,11,9,1,0,0,53,7,4,63.6
Toby Alderweireld,be BEL,DF,,Tottenham,UCL,2019,1989,12,,0,9,2,22.2,0.75,0.17,0,0,8.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,,625,730,85.6,15498,4519,134,144,93.1,319,341,93.5,170,237,71.7,0,0.2,-0.2,2,53,5,0,35,,702,28,25,1,95,35,2,0,0,0,0,500,58,172,150,530,35,3,1,4,13,5,8,,8,0.67,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,11,7,11,0,0,2,12,16.7,10,72,21,29.2,48,22,2,20,13,0,7,7,18,58,1,,839,100,433,431,24,9,811,0,0,,0,0,556,2980,1370,36,3,0,0,1,611,599,98,10,,2,0,0,6,3,0,2,7,7,0,0,0,107,22,17,56.4
Alef,br BRA,MF,,AEK Athens,UCL,2019,1995,2.2,,0,2,0,0,0.9,0,0,,22.1,0,0,0,0,0,0.02,0,0,,63,77,81.8,1272,144,23,27,85.2,27,32,84.4,12,15,80,0,0,0,0,6,0,0,3,,77,0,0,0,11,4,0,0,0,0,0,49,10,18,12,57,5,0,0,0,1,1,2,,1,0.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2,4,1,0,2,6,33.3,4,32,4,12.5,15,14,3,4,0,0,4,4,9,3,0,,104,10,31,66,13,0,104,1,1,100,1,0,69,335,106,6,1,0,4,4,70,61,87.1,6,,1,0,0,7,1,0,0,4,2,0,0,0,24,3,3,50
Carles Aleñá,es ESP,MF,,Barcelona,UCL,2019,1998,1,,0,2,0,0,1.96,0,0,,21.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,,53,56,94.6,903,210,25,27,92.6,25,26,96.2,3,3,100,0,0,0,2,0,0,0,3,,54,2,2,0,8,1,0,0,0,0,0,50,4,2,53,3,0,0,0,0,0,0,1,,4,3.91,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,3,0,0,1,4,25,3,29,4,13.8,10,12,7,0,0,0,0,0,3,1,0,,66,0,20,38,11,2,64,1,2,50,2,0,54,195,54,3,0,1,0,1,55,53,96.4,1,,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0
Trent Alexander-Arnold,eng ENG,DF,,Liverpool,UCL,2019,1998,10.2,,0,11,1,9.1,1.08,0.1,0,0,25.3,1,0,0,0.4,0.4,0.04,-0.4,-0.4,,473,725,65.2,10161,4220,167,209,79.9,213,293,72.7,88,198,44.4,2,2.8,-0.8,23,41,25,12,67,,560,165,21,4,124,35,42,25,8,8,1,308,108,309,52,523,25,119,0,2,31,18,24,,33,3.23,22,9,1,0,0,1,6,0.59,4,1,0,0,0,1,0,,18,11,9,7,2,10,26,38.5,16,161,46,28.6,72,58,31,17,1,0,16,12,30,34,0,,831,33,208,399,265,16,668,6,10,60,7,1,450,2069,1210,55,18,5,4,7,496,455,91.7,21,,0,0,0,7,3,1,42,12,11,0,0,0,116,7,5,58.3
Allan,br BRA,MF,,Napoli,UCL,2019,1991,5.7,,0,5,2,40,0.88,0.35,0,0,28.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,,340,381,89.2,6146,1560,159,172,92.4,129,139,92.8,48,64,75,0,0.1,-0.1,6,40,3,0,33,,370,11,6,1,53,9,1,0,0,0,0,279,40,62,25,345,7,1,1,1,2,6,2,,10,1.76,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32,25,15,17,0,7,32,21.9,25,241,66,27.4,70,142,29,11,2,0,9,8,40,2,0,,453,11,103,316,66,2,443,10,17,58.8,12,2,368,1329,752,30,10,0,6,8,350,322,92,16,,1,0,0,12,12,0,1,8,25,0,0,0,62,2,1,66.7
